"Open","High","Low","Close","Volume","Date","Emiten"
98,102,89,98,1274430000,"2007-11-06","ACES"
98,103,97,101,349330000,"2007-11-07","ACES"
99,100,96,99,66270000,"2007-11-08","ACES"
95,97,95,95,40075000,"2007-11-09","ACES"
90,95,89,90,113285000,"2007-11-12","ACES"
86,90,86,86,26735000,"2007-11-13","ACES"
85,88,84,85,39535000,"2007-11-14","ACES"
87,87,83,87,98030000,"2007-11-15","ACES"
85,85,84,85,15405000,"2007-11-16","ACES"
85,85,84,84,33740000,"2007-11-19","ACES"
84,87,82,87,58235000,"2007-11-20","ACES"
84,85,83,85,19880000,"2007-11-21","ACES"
85,85,84,85,15240000,"2007-11-22","ACES"
86,86,85,86,20905000,"2007-11-23","ACES"
86,86,85,85,50720000,"2007-11-26","ACES"
85,85,83,85,30050000,"2007-11-27","ACES"
85,87,85,85,36685000,"2007-11-28","ACES"
85,87,85,85,29600000,"2007-11-29","ACES"
85,85,85,85,52910000,"2007-11-30","ACES"
85,85,85,85,120385000,"2007-12-03","ACES"
85,85,84,85,13835000,"2007-12-04","ACES"
86,87,86,86,33230000,"2007-12-05","ACES"
86,86,85,86,27300000,"2007-12-06","ACES"
85,86,85,85,40775000,"2007-12-07","ACES"
85,85,83,85,11670000,"2007-12-10","ACES"
84,84,84,84,835000,"2007-12-11","ACES"
84,85,82,84,25870000,"2007-12-12","ACES"
84,85,84,84,26410000,"2007-12-13","ACES"
84,85,84,85,10850000,"2007-12-14","ACES"
83,84,82,83,35125000,"2007-12-17","ACES"
82,82,81,82,14550000,"2007-12-18","ACES"
82,82,81,82,8235000,"2007-12-19","ACES"
82,83,81,82,18010000,"2007-12-26","ACES"
82,84,82,82,31540000,"2007-12-27","ACES"
82,87,83,87,50870000,"2007-12-28","ACES"
87,87,87,87,0,"2007-12-31","ACES"
84,87,83,84,28925000,"2008-01-02","ACES"
84,84,83,84,27500000,"2008-01-03","ACES"
84,84,83,84,3515000,"2008-01-04","ACES"
84,84,83,84,6735000,"2008-01-07","ACES"
83,83,83,83,41365000,"2008-01-08","ACES"
84,84,82,84,9.5e+07,"2008-01-09","ACES"
84,84,83,84,8425000,"2008-01-14","ACES"
84,84,83,84,22560000,"2008-01-15","ACES"
84,84,82,84,945000,"2008-01-16","ACES"
84,84,83,84,12375000,"2008-01-17","ACES"
84,84,83,84,3780000,"2008-01-18","ACES"
82,85,82,82,5580000,"2008-01-21","ACES"
82,84,75,82,14870000,"2008-01-22","ACES"
82,82,80,82,6455000,"2008-01-23","ACES"
82,82,82,82,2510000,"2008-01-24","ACES"
82,83,82,82,255000,"2008-01-25","ACES"
81,81,81,81,250000,"2008-01-28","ACES"
84,84,81,84,17990000,"2008-01-29","ACES"
84,85,84,84,2285000,"2008-01-30","ACES"
84,84,84,84,3090000,"2008-01-31","ACES"
87,87,84,87,4075000,"2008-02-01","ACES"
87,87,86,87,10130000,"2008-02-04","ACES"
90,90,87,90,57615000,"2008-02-05","ACES"
90,89,88,89,5265000,"2008-02-06","ACES"
89,89,88,89,14465000,"2008-02-11","ACES"
92,92,90,92,146785000,"2008-02-12","ACES"
91,91,90,91,12650000,"2008-02-13","ACES"
94,94,91,94,32420000,"2008-02-14","ACES"
92,95,92,95,32185000,"2008-02-15","ACES"
95,95,95,95,73580000,"2008-02-18","ACES"
96,97,95,96,23690000,"2008-02-19","ACES"
99,99,96,99,84290000,"2008-02-20","ACES"
100,102,99,100,116265000,"2008-02-21","ACES"
102,102,100,102,36320000,"2008-02-22","ACES"
100,101,100,100,32895000,"2008-02-25","ACES"
100,100,99,100,56110000,"2008-02-26","ACES"
100,101,99,100,44230000,"2008-02-27","ACES"
100,101,99,100,68585000,"2008-02-28","ACES"
100,100,99,100,30120000,"2008-02-29","ACES"
100,100,98,100,45785000,"2008-03-03","ACES"
99,100,98,99,27835000,"2008-03-04","ACES"
101,101,99,101,115430000,"2008-03-05","ACES"
100,101,100,100,8685000,"2008-03-06","ACES"
99,100,99,99,20100000,"2008-03-10","ACES"
100,100,99,100,115150000,"2008-03-11","ACES"
100,101,99,100,71105000,"2008-03-12","ACES"
99,100,99,99,10250000,"2008-03-13","ACES"
99,100,98,99,94460000,"2008-03-14","ACES"
97,98,97,98,38800000,"2008-03-17","ACES"
97,97,96,96,22525000,"2008-03-18","ACES"
97,97,97,97,13075000,"2008-03-19","ACES"
96,97,96,96,17390000,"2008-03-24","ACES"
100,100,97,100,18365000,"2008-03-25","ACES"
101,101,99,101,35265000,"2008-03-26","ACES"
100,101,100,100,7920000,"2008-03-27","ACES"
100,100,100,100,9125000,"2008-03-28","ACES"
101,101,100,101,585000,"2008-03-31","ACES"
101,101,100,100,98425000,"2008-04-01","ACES"
103,103,100,103,17060000,"2008-04-02","ACES"
100,102,100,100,101640000,"2008-04-03","ACES"
100,100,99,99,13775000,"2008-04-04","ACES"
99,99,98,98,7805000,"2008-04-07","ACES"
98,98,93,93,68840000,"2008-04-08","ACES"
90,92,89,90,61500000,"2008-04-09","ACES"
95,95,91,95,37765000,"2008-04-10","ACES"
95,95,95,95,7750000,"2008-04-11","ACES"
96,96,96,96,2085000,"2008-04-14","ACES"
95,96,95,95,9460000,"2008-04-15","ACES"
95,97,95,95,2025000,"2008-04-16","ACES"
98,98,95,98,12140000,"2008-04-17","ACES"
97,97,97,97,15100000,"2008-04-18","ACES"
97,97,97,97,17680000,"2008-04-21","ACES"
97,97,97,97,8665000,"2008-04-22","ACES"
97,97,96,97,12530000,"2008-04-23","ACES"
97,97,97,97,7500000,"2008-04-24","ACES"
97,97,97,97,30,"2008-04-25","ACES"
97,97,97,97,2500000,"2008-04-28","ACES"
97,97,97,97,8500000,"2008-04-29","ACES"
96,96,95,95,1.8e+07,"2008-04-30","ACES"
95,96,95,96,25970000,"2008-05-05","ACES"
96,96,95,96,5e+06,"2008-05-06","ACES"
95,95,95,95,1e+05,"2008-05-07","ACES"
95,95,95,95,5e+06,"2008-05-08","ACES"
95,95,95,95,5e+06,"2008-05-09","ACES"
95,95,95,95,0,"2008-05-12","ACES"
95,96,94,94,49140000,"2008-05-13","ACES"
94,94,94,94,0,"2008-05-14","ACES"
95,95,95,95,7500000,"2008-05-15","ACES"
94,94,94,94,6240000,"2008-05-16","ACES"
97,97,95,96,8500000,"2008-05-21","ACES"
95,95,95,95,2025000,"2008-05-22","ACES"
97,98,97,97,9050000,"2008-05-23","ACES"
96,96,96,96,850000,"2008-05-26","ACES"
95,95,95,95,2200000,"2008-05-27","ACES"
94,94,94,94,15010000,"2008-05-28","ACES"
94,96,94,96,21560000,"2008-05-29","ACES"
94,94,94,94,10000,"2008-05-30","ACES"
95,95,95,95,25000,"2008-06-02","ACES"
95,95,95,95,140000,"2008-06-03","ACES"
NA,NA,NA,NA,NA,"2008-06-04","ACES"
95,95,95,95,5500000,"2008-06-05","ACES"
95,96,95,95,33100000,"2008-06-06","ACES"
92,94,92,92,30875000,"2008-06-09","ACES"
92,92,92,92,17050000,"2008-06-10","ACES"
92,92,92,92,30,"2008-06-11","ACES"
92,92,92,92,30,"2008-06-12","ACES"
92,92,92,92,0,"2008-06-13","ACES"
92,92,92,92,30,"2008-06-16","ACES"
91,91,91,91,5e+06,"2008-06-17","ACES"
92,92,91,92,5025000,"2008-06-18","ACES"
92,92,92,92,30,"2008-06-19","ACES"
91,91,91,91,210000,"2008-06-20","ACES"
