"Open","High","Low","Close","Volume","Date","Emiten"
1500,1760,1500,1730,789786000,"2008-07-16","ADRO"
1700,1760,1700,1700,383602500,"2008-07-17","ADRO"
1640,1700,1640,1640,95396000,"2008-07-18","ADRO"
1680,1690,1640,1680,49749000,"2008-07-21","ADRO"
1670,1690,1660,1670,29585500,"2008-07-22","ADRO"
1660,1670,1650,1660,42075000,"2008-07-23","ADRO"
1630,1650,1610,1630,74595000,"2008-07-24","ADRO"
1630,1650,1600,1630,76357500,"2008-07-25","ADRO"
1670,1680,1620,1670,75732500,"2008-07-28","ADRO"
1680,1690,1650,1680,49173500,"2008-07-29","ADRO"
1690,1710,1680,1690,42381500,"2008-07-31","ADRO"
1630,1680,1620,1630,78478500,"2008-08-01","ADRO"
1590,1630,1590,1590,43837000,"2008-08-04","ADRO"
1550,1580,1540,1550,50244500,"2008-08-05","ADRO"
1540,1570,1540,1540,48545500,"2008-08-06","ADRO"
1560,1570,1540,1560,50999500,"2008-08-07","ADRO"
1600,1600,1560,1600,39360500,"2008-08-08","ADRO"
1540,1600,1540,1540,39079000,"2008-08-11","ADRO"
1510,1560,1510,1510,38431000,"2008-08-12","ADRO"
1500,1510,1500,1500,28072500,"2008-08-13","ADRO"
1520,1540,1510,1520,33205000,"2008-08-14","ADRO"
1530,1540,1510,1530,24960000,"2008-08-15","ADRO"
1490,1510,1490,1490,25006500,"2008-08-19","ADRO"
1530,1540,1490,1530,39692000,"2008-08-20","ADRO"
1530,1540,1530,1530,28790500,"2008-08-21","ADRO"
1560,1570,1550,1560,27394000,"2008-08-22","ADRO"
1540,1550,1520,1540,29753000,"2008-08-25","ADRO"
1540,1560,1530,1540,28639000,"2008-08-26","ADRO"
1530,1540,1530,1530,23323500,"2008-08-27","ADRO"
1530,1540,1530,1530,29418500,"2008-08-28","ADRO"
1540,1550,1530,1540,26630000,"2008-08-29","ADRO"
1530,1550,1530,1530,21011500,"2008-09-01","ADRO"
1510,1520,1500,1510,26971500,"2008-09-02","ADRO"
1480,1510,1480,1480,25662000,"2008-09-03","ADRO"
1490,1490,1470,1490,20080000,"2008-09-04","ADRO"
1450,1470,1440,1450,30259000,"2008-09-05","ADRO"
1450,1480,1450,1450,25948000,"2008-09-08","ADRO"
1410,1450,1400,1410,49851500,"2008-09-09","ADRO"
1410,1410,1340,1410,35819000,"2008-09-10","ADRO"
1400,1410,1390,1400,19940000,"2008-09-11","ADRO"
1390,1400,1380,1390,17619500,"2008-09-12","ADRO"
1360,1390,1360,1360,25371000,"2008-09-15","ADRO"
1320,1340,1240,1320,44673500,"2008-09-16","ADRO"
1350,1380,1330,1350,45475500,"2008-09-17","ADRO"
1430,1430,1300,1430,3,"2008-09-18","ADRO"
1510,1530,1440,1510,110096500,"2008-09-19","ADRO"
1510,1540,1510,1510,18809500,"2008-09-22","ADRO"
1510,1540,1510,1510,27651500,"2008-09-23","ADRO"
1510,1510,1500,1510,18974000,"2008-09-24","ADRO"
1490,1510,1490,1490,30922500,"2008-09-25","ADRO"
1440,1490,1430,1440,71104000,"2008-09-26","ADRO"
1210,1350,1190,1210,3,"2008-10-06","ADRO"
1000,1100,980,1000,3,"2008-10-07","ADRO"
810,910,780,810,3,"2008-10-08","ADRO"
810,810,810,810,0,"2008-10-09","ADRO"
810,810,810,810,0,"2008-10-10","ADRO"
730,810,730,730,3,"2008-10-13","ADRO"
NA,NA,NA,NA,NA,"2008-10-14","ADRO"
NA,NA,NA,NA,NA,"2008-10-15","ADRO"
740,800,660,740,71792000,"2008-10-16","ADRO"
740,770,720,740,17754000,"2008-10-17","ADRO"
790,800,710,790,3,"2008-10-20","ADRO"
760,830,760,760,7740000,"2008-10-21","ADRO"
730,750,710,730,5129000,"2008-10-22","ADRO"
690,710,680,690,7275000,"2008-10-23","ADRO"
690,700,630,700,9426000,"2008-10-24","ADRO"
630,640,630,630,3456000,"2008-10-27","ADRO"
570,600,570,570,21728000,"2008-10-28","ADRO"
520,600,520,520,3,"2008-10-29","ADRO"
570,570,490,570,3,"2008-10-30","ADRO"
680,680,540,680,3,"2008-10-31","ADRO"
810,810,710,810,3,"2008-11-03","ADRO"
810,850,770,810,20380000,"2008-11-04","ADRO"
