"Open","High","Low","Close","Volume","Date","Emiten"
1190,1225,1070,1160,249082600,"2016-09-28","AGII"
1170,1180,1145,1160,49272100,"2016-09-29","AGII"
1160,1160,1145,1160,25401400,"2016-09-30","AGII"
1170,1170,1110,1110,18995200,"2016-10-03","AGII"
1110,1140,1080,1100,19220900,"2016-10-04","AGII"
1100,1120,1100,1110,24592600,"2016-10-05","AGII"
1110,1125,1100,1110,20918400,"2016-10-06","AGII"
1110,1120,1100,1110,20412900,"2016-10-07","AGII"
1110,1125,1110,1110,18992200,"2016-10-10","AGII"
1110,1165,1110,1145,26567900,"2016-10-11","AGII"
1155,1155,1125,1135,22450200,"2016-10-12","AGII"
1130,1200,1125,1200,36386800,"2016-10-13","AGII"
1200,1255,1175,1185,20276100,"2016-10-14","AGII"
1170,1230,1160,1165,19231300,"2016-10-17","AGII"
1170,1190,1160,1165,22090700,"2016-10-18","AGII"
1175,1205,1135,1135,34579300,"2016-10-19","AGII"
1145,1155,1130,1130,17062800,"2016-10-20","AGII"
1135,1145,1135,1135,16699600,"2016-10-21","AGII"
1135,1140,1105,1125,21230500,"2016-10-24","AGII"
1135,1140,1120,1120,15274100,"2016-10-25","AGII"
1130,1130,1125,1125,15490200,"2016-10-26","AGII"
1125,1135,1120,1120,16615600,"2016-10-27","AGII"
1125,1135,1110,1120,16644400,"2016-10-28","AGII"
1125,1135,1110,1115,15857200,"2016-10-31","AGII"
1115,1135,1110,1115,15843600,"2016-11-01","AGII"
1120,1120,1110,1110,14550100,"2016-11-02","AGII"
1105,1115,1095,1095,12440200,"2016-11-03","AGII"
1095,1095,1030,1090,19755800,"2016-11-04","AGII"
1090,1105,1065,1100,11555400,"2016-11-07","AGII"
1105,1115,1100,1110,10345300,"2016-11-08","AGII"
1110,1115,1065,1095,9456100,"2016-11-09","AGII"
1095,1120,1095,1110,15884700,"2016-11-10","AGII"
1100,1100,1045,1060,4758000,"2016-11-11","AGII"
1045,1085,990,1000,8290200,"2016-11-14","AGII"
1000,1045,970,980,13985300,"2016-11-15","AGII"
980,1015,980,1000,12669500,"2016-11-16","AGII"
