"Open","High","Low","Close","Volume","Date","Emiten"
109,109,109,109,30250000,"2007-01-02","AKRA"
110,110,108,110,64375000,"2007-01-03","AKRA"
110,110,109,110,58275000,"2007-01-04","AKRA"
110,110,109,110,53625000,"2007-01-05","AKRA"
108,110,107,108,50762500,"2007-01-08","AKRA"
107,108,107,107,30312500,"2007-01-09","AKRA"
107,110,109,107,3.5e+07,"2007-01-10","AKRA"
107,107,107,107,32875000,"2007-01-11","AKRA"
105,107,100,105,46900000,"2007-01-12","AKRA"
107,108,105,107,63562500,"2007-01-15","AKRA"
107,107,107,107,0,"2007-01-16","AKRA"
106,106,102,106,37050000,"2007-01-17","AKRA"
107,107,103,107,78650000,"2007-01-18","AKRA"
107,107,106,107,22750000,"2007-01-19","AKRA"
102,107,102,102,44475000,"2007-01-22","AKRA"
102,103,100,102,34112500,"2007-01-23","AKRA"
102,102,102,102,125000,"2007-01-24","AKRA"
102,103,100,102,24600000,"2007-01-25","AKRA"
102,102,102,102,34500000,"2007-01-26","AKRA"
101,102,101,101,37675000,"2007-01-29","AKRA"
101,101,100,101,27475000,"2007-01-30","AKRA"
103,105,102,103,35062500,"2007-01-31","AKRA"
103,103,102,103,31425000,"2007-02-01","AKRA"
103,103,103,103,0,"2007-02-02","AKRA"
103,104,101,103,45650000,"2007-02-05","AKRA"
102,102,102,102,17625000,"2007-02-06","AKRA"
101,101,101,101,30175000,"2007-02-07","AKRA"
102,102,101,102,45325000,"2007-02-08","AKRA"
102,102,101,102,43137500,"2007-02-09","AKRA"
101,102,100,101,25837500,"2007-02-12","AKRA"
101,101,101,101,0,"2007-02-13","AKRA"
100,101,99,100,21062500,"2007-02-14","AKRA"
101,101,99,101,48825000,"2007-02-15","AKRA"
101,101,100,101,61862500,"2007-02-16","AKRA"
99,100,99,99,6700000,"2007-02-19","AKRA"
104,104,99,104,34975000,"2007-02-20","AKRA"
111,112,105,111,18050000,"2007-02-21","AKRA"
111,111,111,111,0,"2007-02-22","AKRA"
122,132,115,122,48987500,"2007-02-23","AKRA"
124,124,120,124,28037500,"2007-02-26","AKRA"
127,127,124,127,25700000,"2007-02-27","AKRA"
126,126,120,126,20500000,"2007-02-28","AKRA"
125,127,122,125,22075000,"2007-03-01","AKRA"
123,124,120,123,27425000,"2007-03-02","AKRA"
120,122,112,120,13300000,"2007-03-05","AKRA"
120,120,119,120,15700000,"2007-03-06","AKRA"
120,124,119,120,20500000,"2007-03-07","AKRA"
123,124,116,123,29725000,"2007-03-08","AKRA"
124,124,123,124,30675000,"2007-03-09","AKRA"
125,125,124,125,34725000,"2007-03-12","AKRA"
125,125,124,125,23925000,"2007-03-13","AKRA"
125,125,124,125,20337500,"2007-03-14","AKRA"
125,125,124,125,29937500,"2007-03-15","AKRA"
125,125,117,125,23875000,"2007-03-16","AKRA"
125,125,124,125,26162500,"2007-03-20","AKRA"
125,125,125,125,0,"2007-03-21","AKRA"
124,124,118,124,12775000,"2007-03-22","AKRA"
124,124,120,124,12162500,"2007-03-23","AKRA"
125,125,122,125,8112500,"2007-03-26","AKRA"
125,125,124,125,7350000,"2007-03-27","AKRA"
120,124,120,120,7062500,"2007-03-28","AKRA"
120,120,118,120,30175000,"2007-03-29","AKRA"
120,120,120,120,4412500,"2007-03-30","AKRA"
120,120,119,120,19125000,"2007-04-02","AKRA"
120,120,119,120,20650000,"2007-04-03","AKRA"
120,120,119,120,18587500,"2007-04-04","AKRA"
120,120,119,120,17450000,"2007-04-05","AKRA"
120,120,118,120,18925000,"2007-04-09","AKRA"
119,119,119,119,175000,"2007-04-10","AKRA"
120,120,119,120,50325000,"2007-04-11","AKRA"
120,120,120,120,0,"2007-04-12","AKRA"
120,120,119,120,31800000,"2007-04-13","AKRA"
121,121,118,121,30600000,"2007-04-16","AKRA"
120,120,118,120,14137500,"2007-04-17","AKRA"
119,119,118,119,3400000,"2007-04-18","AKRA"
119,119,117,119,462500,"2007-04-19","AKRA"
119,119,119,119,0,"2007-04-20","AKRA"
121,121,119,121,97150000,"2007-04-23","AKRA"
123,123,120,123,76325000,"2007-04-24","AKRA"
125,126,122,125,84312500,"2007-04-25","AKRA"
127,127,125,127,54062500,"2007-04-26","AKRA"
129,130,127,129,90550000,"2007-04-27","AKRA"
133,133,130,133,24812500,"2007-04-30","AKRA"
147,148,133,147,7.8e+07,"2007-05-01","AKRA"
148,152,145,148,68012500,"2007-05-02","AKRA"
150,151,147,150,97437500,"2007-05-03","AKRA"
150,151,150,150,59450000,"2007-05-04","AKRA"
150,150,149,150,67037500,"2007-05-07","AKRA"
150,150,149,150,56625000,"2007-05-08","AKRA"
149,150,149,149,49437500,"2007-05-09","AKRA"
151,151,149,151,47487500,"2007-05-10","AKRA"
153,153,150,153,53712500,"2007-05-11","AKRA"
160,161,154,160,54612500,"2007-05-14","AKRA"
161,161,159,161,57275000,"2007-05-15","AKRA"
167,168,161,167,38350000,"2007-05-16","AKRA"
167,167,167,167,0,"2007-05-21","AKRA"
164,168,161,164,39937500,"2007-05-22","AKRA"
