"Open","High","Low","Close","Volume","Date","Emiten"
148,148,148,148,148700,"2020-03-13","AMAN"
180,199,180,199,7390200,"2020-03-16","AMAN"
248,250,199,199,9096200,"2020-03-17","AMAN"
202,204,186,192,3433900,"2020-03-18","AMAN"
193,208,179,189,5073300,"2020-03-19","AMAN"
192,208,187,192,4688700,"2020-03-20","AMAN"
191,199,190,192,252800,"2020-03-23","AMAN"
193,194,190,191,401300,"2020-03-24","AMAN"
192,195,190,190,1717300,"2020-03-26","AMAN"
190,194,188,192,816700,"2020-03-27","AMAN"
190,258,190,258,7778100,"2020-03-30","AMAN"
260,280,240,250,9985900,"2020-03-31","AMAN"
252,252,234,234,1770200,"2020-04-01","AMAN"
234,234,218,218,736400,"2020-04-02","AMAN"
218,240,204,228,526000,"2020-04-03","AMAN"
228,234,214,220,373200,"2020-04-06","AMAN"
216,220,206,212,349000,"2020-04-07","AMAN"
212,232,208,214,134400,"2020-04-08","AMAN"
214,220,204,212,46300,"2020-04-09","AMAN"
220,232,198,224,172300,"2020-04-13","AMAN"
220,224,210,210,259000,"2020-04-14","AMAN"
220,220,208,212,73300,"2020-04-15","AMAN"
212,222,198,216,132500,"2020-04-16","AMAN"
216,230,202,208,62000,"2020-04-17","AMAN"
208,208,194,206,326100,"2020-04-20","AMAN"
214,214,192,204,171100,"2020-04-21","AMAN"
204,214,190,190,957100,"2020-04-22","AMAN"
189,189,177,177,795200,"2020-04-23","AMAN"
176,202,165,189,252600,"2020-04-24","AMAN"
189,198,176,194,664000,"2020-04-27","AMAN"
194,200,181,198,41700,"2020-04-28","AMAN"
197,197,197,197,1600,"2020-04-29","AMAN"
197,198,184,197,323500,"2020-04-30","AMAN"
196,197,196,196,151100,"2020-05-04","AMAN"
196,204,184,200,464700,"2020-05-05","AMAN"
200,200,186,191,27100,"2020-05-06","AMAN"
178,206,178,200,118900,"2020-05-08","AMAN"
200,220,190,200,90200,"2020-05-11","AMAN"
186,208,186,208,1936500,"2020-05-12","AMAN"
206,206,194,204,932800,"2020-05-13","AMAN"
190,208,190,190,61500,"2020-05-14","AMAN"
200,204,190,200,25400,"2020-05-15","AMAN"
200,202,197,202,4800,"2020-05-18","AMAN"
202,202,200,200,200,"2020-05-19","AMAN"
186,200,186,200,500,"2020-05-20","AMAN"
200,202,200,202,200,"2020-05-26","AMAN"
202,210,202,208,17300,"2020-05-27","AMAN"
208,208,194,204,50700,"2020-05-28","AMAN"
194,206,190,190,542200,"2020-05-29","AMAN"
190,200,190,194,7000,"2020-06-02","AMAN"
194,198,181,186,126300,"2020-06-03","AMAN"
186,194,181,187,36100,"2020-06-04","AMAN"
186,210,185,206,3641600,"2020-06-05","AMAN"
206,206,198,202,1289800,"2020-06-08","AMAN"
202,202,199,200,347800,"2020-06-09","AMAN"
200,200,198,199,228500,"2020-06-10","AMAN"
199,200,199,199,288700,"2020-06-11","AMAN"
199,199,198,199,529800,"2020-06-12","AMAN"
199,199,199,199,308000,"2020-06-15","AMAN"
199,200,199,200,257800,"2020-06-16","AMAN"
200,200,199,200,251800,"2020-06-17","AMAN"
200,200,199,200,271600,"2020-06-18","AMAN"
200,200,199,199,324800,"2020-06-19","AMAN"
199,199,198,198,249500,"2020-06-22","AMAN"
198,198,197,198,247000,"2020-06-23","AMAN"
198,198,198,198,247900,"2020-06-24","AMAN"
198,198,197,197,356800,"2020-06-25","AMAN"
197,197,197,197,228800,"2020-06-26","AMAN"
197,197,197,197,234500,"2020-06-29","AMAN"
197,197,196,196,407700,"2020-06-30","AMAN"
196,197,196,197,191000,"2020-07-01","AMAN"
197,197,196,196,325000,"2020-07-02","AMAN"
196,196,196,196,199200,"2020-07-03","AMAN"
196,196,196,196,238500,"2020-07-06","AMAN"
196,196,195,196,249100,"2020-07-07","AMAN"
196,196,195,196,298400,"2020-07-08","AMAN"
196,196,195,195,297700,"2020-07-09","AMAN"
195,196,195,196,236700,"2020-07-10","AMAN"
196,196,196,196,267300,"2020-07-13","AMAN"
196,196,195,195,254700,"2020-07-14","AMAN"
195,195,195,195,287400,"2020-07-15","AMAN"
195,195,195,195,269400,"2020-07-16","AMAN"
195,196,195,195,312700,"2020-07-17","AMAN"
195,196,195,196,280600,"2020-07-20","AMAN"
196,196,195,195,230800,"2020-07-21","AMAN"
195,195,195,195,215500,"2020-07-22","AMAN"
195,195,195,195,215500,"2020-07-23","AMAN"
195,196,195,196,221600,"2020-07-24","AMAN"
196,196,196,196,230300,"2020-07-27","AMAN"
196,196,195,196,230800,"2020-07-28","AMAN"
196,196,195,195,174400,"2020-07-29","AMAN"
195,196,195,196,208600,"2020-07-30","AMAN"
196,196,195,195,256600,"2020-08-03","AMAN"
195,195,195,195,253100,"2020-08-04","AMAN"
195,195,195,195,225800,"2020-08-05","AMAN"
195,195,195,195,225600,"2020-08-06","AMAN"
195,196,195,196,235400,"2020-08-07","AMAN"
196,197,196,196,241700,"2020-08-10","AMAN"
196,196,196,196,215800,"2020-08-11","AMAN"
196,197,196,196,236800,"2020-08-12","AMAN"
196,196,196,196,229500,"2020-08-13","AMAN"
196,250,196,216,1552500,"2020-08-14","AMAN"
224,244,224,244,3417500,"2020-08-18","AMAN"
244,248,232,236,1991700,"2020-08-19","AMAN"
236,246,236,246,1477600,"2020-08-24","AMAN"
