"Open","High","Low","Close","Volume","Date","Emiten"
2900,2900,2900,2900,19000,"2007-01-02","AMFG"
3050,3050,2900,3050,259000,"2007-01-03","AMFG"
3000,3000,2950,3000,7500,"2007-01-04","AMFG"
3000,3075,2975,3000,322000,"2007-01-05","AMFG"
3000,3000,2975,3000,79000,"2007-01-08","AMFG"
3000,3025,2925,3000,65500,"2007-01-09","AMFG"
2950,3075,2975,2950,194000,"2007-01-10","AMFG"
2875,2950,2875,2875,53000,"2007-01-11","AMFG"
2900,2900,2750,2900,14000,"2007-01-12","AMFG"
2900,2925,2875,2900,30000,"2007-01-15","AMFG"
2900,2900,2875,2900,36500,"2007-01-16","AMFG"
2925,2925,2900,2925,37500,"2007-01-17","AMFG"
2950,2950,2925,2925,21500,"2007-01-18","AMFG"
2925,2925,2900,2925,66000,"2007-01-19","AMFG"
2875,2950,2875,2875,36000,"2007-01-22","AMFG"
2900,2900,2875,2900,32500,"2007-01-23","AMFG"
2900,2900,2900,2900,5000,"2007-01-24","AMFG"
2850,2875,2825,2850,78000,"2007-01-25","AMFG"
2850,2850,2850,2850,3,"2007-01-26","AMFG"
2850,2850,2800,2850,10500,"2007-01-29","AMFG"
2850,2850,2825,2850,2000,"2007-01-30","AMFG"
2825,2825,2700,2825,64000,"2007-01-31","AMFG"
2825,2825,2825,2825,2,"2007-02-01","AMFG"
2825,2825,2825,2825,2,"2007-02-02","AMFG"
2825,2825,2825,2825,2,"2007-02-05","AMFG"
2825,2825,2825,2825,2,"2007-02-06","AMFG"
2825,2825,2825,2825,2,"2007-02-07","AMFG"
2825,2825,2825,2825,2,"2007-02-08","AMFG"
2825,2825,2825,2825,2,"2007-02-09","AMFG"
2900,2900,2850,2900,5000,"2007-02-12","AMFG"
2900,2900,2900,2900,0,"2007-02-13","AMFG"
2900,2900,2900,2900,2,"2007-02-14","AMFG"
2900,2900,2900,2900,2,"2007-02-15","AMFG"
2900,2900,2900,2900,2,"2007-02-16","AMFG"
2650,2825,2650,2825,1500,"2007-02-19","AMFG"
2825,2825,2825,2825,2,"2007-02-20","AMFG"
2825,2825,2825,2825,3,"2007-02-21","AMFG"
2825,2825,2825,2825,2,"2007-02-22","AMFG"
2825,2825,2825,2825,2,"2007-02-23","AMFG"
2825,2825,2825,2825,2,"2007-02-26","AMFG"
2825,2825,2825,2825,2,"2007-02-27","AMFG"
2825,2825,2825,2825,2,"2007-02-28","AMFG"
2825,2825,2825,2825,2,"2007-03-01","AMFG"
2825,2825,2825,2825,2,"2007-03-02","AMFG"
2775,2775,2500,2775,18000,"2007-03-05","AMFG"
2800,2800,2800,2800,500,"2007-03-06","AMFG"
2800,2800,2800,2800,2,"2007-03-07","AMFG"
2800,2800,2800,2800,0,"2007-03-08","AMFG"
2800,2800,2800,2800,2,"2007-03-09","AMFG"
2800,2800,2800,2800,2,"2007-03-12","AMFG"
2800,2800,2700,2800,2500,"2007-03-13","AMFG"
2800,2800,2800,2800,2,"2007-03-14","AMFG"
2800,2800,2800,2800,2,"2007-03-15","AMFG"
2500,2800,2500,2800,7000,"2007-03-16","AMFG"
2800,2800,2800,2800,2,"2007-03-20","AMFG"
2800,2800,2800,2800,2,"2007-03-21","AMFG"
2600,2800,2600,2800,36500,"2007-03-22","AMFG"
2700,2700,2575,2700,59500,"2007-03-23","AMFG"
2625,2650,2550,2625,13000,"2007-03-26","AMFG"
2550,2575,2550,2550,41000,"2007-03-27","AMFG"
2550,2550,2500,2550,20500,"2007-03-28","AMFG"
2575,2575,2525,2575,46500,"2007-03-29","AMFG"
2575,2575,2475,2575,48000,"2007-03-30","AMFG"
2525,2525,2500,2525,1000,"2007-04-02","AMFG"
2575,2575,2500,2575,36500,"2007-04-03","AMFG"
2600,2600,2500,2600,45000,"2007-04-04","AMFG"
2650,2650,2600,2650,737500,"2007-04-05","AMFG"
2650,2650,2650,2650,3,"2007-04-09","AMFG"
2625,2625,2550,2625,32500,"2007-04-10","AMFG"
2600,2625,2600,2600,10000,"2007-04-11","AMFG"
2650,2675,2600,2650,1500,"2007-04-12","AMFG"
2650,2650,2600,2650,11500,"2007-04-13","AMFG"
2700,2700,2600,2700,12000,"2007-04-16","AMFG"
2700,2700,2700,2700,3,"2007-04-17","AMFG"
2725,2725,2700,2725,23500,"2007-04-18","AMFG"
2725,2725,2725,2725,2500,"2007-04-19","AMFG"
2700,2750,2700,2750,173500,"2007-04-20","AMFG"
2750,2750,2750,2750,3,"2007-04-23","AMFG"
2750,2750,2750,2750,2,"2007-04-24","AMFG"
2650,2800,2650,2800,104000,"2007-04-25","AMFG"
2800,2800,2650,2800,175500,"2007-04-26","AMFG"
2700,2700,2650,2700,27500,"2007-04-27","AMFG"
2775,2775,2700,2775,29000,"2007-04-30","AMFG"
2775,2775,2775,2775,3,"2007-05-01","AMFG"
2800,2800,2700,2800,1399000,"2007-05-02","AMFG"
2800,2800,2800,2800,3,"2007-05-03","AMFG"
2800,2800,2800,2800,2,"2007-05-04","AMFG"
2800,2800,2800,2800,2,"2007-05-07","AMFG"
2800,2800,2800,2800,2,"2007-05-08","AMFG"
2625,2775,2625,2775,1500,"2007-05-09","AMFG"
2750,2775,2675,2750,86000,"2007-05-10","AMFG"
2800,2800,2700,2800,23500,"2007-05-11","AMFG"
2750,2775,2700,2750,17000,"2007-05-14","AMFG"
2800,2800,2750,2800,82000,"2007-05-15","AMFG"
2800,2800,2800,2800,3,"2007-05-16","AMFG"
2800,2800,2750,2800,181000,"2007-05-21","AMFG"
2775,2775,2750,2775,48000,"2007-05-22","AMFG"
2775,2775,2750,2775,28000,"2007-05-23","AMFG"
2800,2800,2750,2800,1e+05,"2007-05-24","AMFG"
