"Open","High","Low","Close","Volume","Date","Emiten"
1280,1280,1180,1190,3,"2013-05-08","ANJT"
1160,1200,1150,1200,2388500,"2013-05-10","ANJT"
1200,1200,1190,1200,412000,"2013-05-13","ANJT"
1200,1210,1190,1210,998500,"2013-05-14","ANJT"
1210,1250,1210,1240,6221500,"2013-05-15","ANJT"
1240,1250,1230,1250,937000,"2013-05-16","ANJT"
1250,1300,1240,1290,4110000,"2013-05-17","ANJT"
1290,1310,1280,1300,1015500,"2013-05-20","ANJT"
1300,1310,1290,1310,1215500,"2013-05-21","ANJT"
1300,1320,1300,1320,603500,"2013-05-22","ANJT"
1300,1320,1280,1320,985000,"2013-05-23","ANJT"
1310,1390,1310,1380,3,"2013-05-24","ANJT"
1380,1430,1350,1390,377000,"2013-05-27","ANJT"
1320,1390,1320,1370,1405000,"2013-05-28","ANJT"
1370,1370,1170,1370,2657500,"2013-05-29","ANJT"
1370,1390,1360,1380,625000,"2013-05-30","ANJT"
1380,1390,1360,1380,1427500,"2013-05-31","ANJT"
1360,1370,1330,1360,543500,"2013-06-03","ANJT"
1360,1370,1320,1360,2286500,"2013-06-04","ANJT"
1350,1370,1340,1350,1838500,"2013-06-05","ANJT"
1350,1370,1350,1370,1075500,"2013-06-07","ANJT"
1370,1370,1370,1370,555500,"2013-06-10","ANJT"
1370,1400,1340,1400,2465500,"2013-06-11","ANJT"
1380,1400,1370,1400,999000,"2013-06-12","ANJT"
1400,1400,1390,1390,314500,"2013-06-13","ANJT"
1400,1400,1390,1390,759500,"2013-06-14","ANJT"
1370,1390,1360,1390,1438000,"2013-06-17","ANJT"
1390,1400,1350,1400,1953500,"2013-06-18","ANJT"
1400,1410,1370,1380,1740000,"2013-06-19","ANJT"
1380,1380,1380,1380,427000,"2013-06-20","ANJT"
1380,1380,1350,1380,831000,"2013-06-21","ANJT"
1380,1380,1340,1380,3124500,"2013-06-24","ANJT"
1360,1360,1310,1310,1999000,"2013-06-25","ANJT"
1320,1350,1300,1300,1883500,"2013-06-26","ANJT"
1300,1300,1270,1270,103000,"2013-06-27","ANJT"
1290,1300,1280,1300,1818000,"2013-06-28","ANJT"
1300,1310,1300,1300,345000,"2013-07-01","ANJT"
1290,1300,1290,1300,201000,"2013-07-02","ANJT"
1300,1300,1300,1300,201000,"2013-07-03","ANJT"
1300,1300,1300,1300,201000,"2013-07-04","ANJT"
1260,1260,1260,1260,135500,"2013-07-05","ANJT"
1260,1260,1260,1260,135500,"2013-07-08","ANJT"
1260,1260,1260,1260,1500,"2013-07-09","ANJT"
1250,1250,1200,1250,11000,"2013-07-10","ANJT"
1300,1300,1300,1300,25000,"2013-07-11","ANJT"
1300,1300,1300,1300,25000,"2013-07-12","ANJT"
1300,1300,1300,1300,25000,"2013-07-15","ANJT"
1300,1300,1300,1300,25000,"2013-07-16","ANJT"
1300,1300,1300,1300,25000,"2013-07-17","ANJT"
1300,1300,1300,1300,25000,"2013-07-18","ANJT"
1300,1300,1300,1300,15000,"2013-07-19","ANJT"
1290,1300,1290,1300,20000,"2013-07-22","ANJT"
1300,1300,1300,1300,160000,"2013-07-23","ANJT"
1300,1300,1300,1300,160000,"2013-07-24","ANJT"
1300,1300,1300,1300,160000,"2013-07-25","ANJT"
1300,1300,1250,1300,5000,"2013-07-26","ANJT"
1300,1300,1300,1300,5000,"2013-07-29","ANJT"
1300,1300,1250,1300,109500,"2013-07-30","ANJT"
1300,1300,1300,1300,1429000,"2013-07-31","ANJT"
1300,1300,1290,1290,1820000,"2013-08-01","ANJT"
1300,1300,1300,1300,500,"2013-08-02","ANJT"
1300,1300,1300,1300,0,"2013-08-12","ANJT"
1300,1300,1300,1300,0,"2013-08-13","ANJT"
1370,1370,1370,1370,60000,"2013-08-14","ANJT"
