"Open","High","Low","Close","Volume","Date","Emiten"
255,330,230,330,37409000,"2013-10-29","APII"
370,410,350,385,19547500,"2013-10-30","APII"
390,390,315,315,6320500,"2013-10-31","APII"
300,320,280,285,4617000,"2013-11-01","APII"
285,300,275,280,888500,"2013-11-04","APII"
270,295,265,265,2476500,"2013-11-06","APII"
250,275,250,260,1296500,"2013-11-07","APII"
245,265,245,260,817500,"2013-11-08","APII"
260,270,255,260,754500,"2013-11-11","APII"
245,265,230,230,1893500,"2013-11-12","APII"
220,225,210,215,1802500,"2013-11-13","APII"
205,260,205,245,2996500,"2013-11-14","APII"
250,265,235,240,1248000,"2013-11-15","APII"
240,250,235,240,797000,"2013-11-18","APII"
245,245,235,235,237500,"2013-11-19","APII"
235,235,230,235,342500,"2013-11-20","APII"
220,235,220,230,232000,"2013-11-21","APII"
220,235,220,225,422500,"2013-11-22","APII"
220,230,220,225,262000,"2013-11-25","APII"
230,230,220,220,548000,"2013-11-26","APII"
220,225,220,225,125000,"2013-11-27","APII"
225,230,225,225,351000,"2013-11-28","APII"
225,225,220,225,146500,"2013-11-29","APII"
225,230,225,225,135500,"2013-12-02","APII"
225,235,225,235,198500,"2013-12-03","APII"
240,245,225,225,633000,"2013-12-04","APII"
225,225,225,225,89000,"2013-12-05","APII"
225,230,225,225,82500,"2013-12-06","APII"
225,225,225,225,88000,"2013-12-09","APII"
225,230,225,230,112000,"2013-12-10","APII"
225,230,225,225,130000,"2013-12-11","APII"
225,225,225,225,131500,"2013-12-12","APII"
230,230,230,230,1e+05,"2013-12-13","APII"
230,230,230,230,287000,"2013-12-16","APII"
230,230,225,225,107000,"2013-12-17","APII"
230,230,225,225,96500,"2013-12-18","APII"
225,225,225,225,101000,"2013-12-19","APII"
225,225,225,225,96000,"2013-12-20","APII"
225,225,225,225,96000,"2013-12-23","APII"
225,225,225,225,96000,"2013-12-24","APII"
225,225,225,225,96000,"2013-12-27","APII"
225,225,225,225,15000,"2013-12-30","APII"
225,225,225,225,27500,"2014-01-02","APII"
225,225,225,225,11000,"2014-01-03","APII"
225,225,225,225,36000,"2014-01-06","APII"
225,225,220,225,251100,"2014-01-07","APII"
225,230,222,222,150500,"2014-01-08","APII"
225,225,225,225,48400,"2014-01-09","APII"
225,235,225,235,119000,"2014-01-10","APII"
230,235,225,230,273000,"2014-01-13","APII"
230,235,230,235,60000,"2014-01-15","APII"
230,235,230,230,72400,"2014-01-16","APII"
235,235,230,230,25700,"2014-01-17","APII"
230,240,230,240,7600,"2014-01-20","APII"
230,230,230,230,20000,"2014-01-21","APII"
230,240,230,230,17200,"2014-01-22","APII"
235,245,235,236,216600,"2014-01-23","APII"
230,230,230,230,48500,"2014-01-24","APII"
225,225,220,220,150400,"2014-01-27","APII"
225,230,225,230,181600,"2014-01-28","APII"
230,230,230,230,1000,"2014-01-29","APII"
225,230,225,230,11000,"2014-01-30","APII"
230,230,225,225,31100,"2014-02-03","APII"
225,225,225,225,48200,"2014-02-04","APII"
225,230,225,230,34500,"2014-02-05","APII"
225,235,225,230,51200,"2014-02-06","APII"
225,230,223,225,124500,"2014-02-07","APII"
