"Open","High","Low","Close","Volume","Date","Emiten"
310,310,295,310,2122500,"2007-01-02","ASGR"
305,315,305,305,2016500,"2007-01-03","ASGR"
315,330,305,315,16397000,"2007-01-04","ASGR"
310,315,310,310,4131500,"2007-01-05","ASGR"
305,310,305,305,6514500,"2007-01-08","ASGR"
290,305,290,290,10320500,"2007-01-09","ASGR"
290,315,310,290,2664500,"2007-01-10","ASGR"
285,290,280,285,553000,"2007-01-11","ASGR"
275,290,250,275,1763000,"2007-01-12","ASGR"
285,290,280,285,187500,"2007-01-15","ASGR"
285,290,285,285,151500,"2007-01-16","ASGR"
285,285,285,285,243500,"2007-01-17","ASGR"
295,300,290,295,2404000,"2007-01-18","ASGR"
290,290,290,290,167000,"2007-01-19","ASGR"
295,295,285,295,97500,"2007-01-22","ASGR"
290,295,290,290,252500,"2007-01-23","ASGR"
290,290,290,290,275500,"2007-01-24","ASGR"
290,290,290,290,0,"2007-01-25","ASGR"
285,290,275,285,1626500,"2007-01-26","ASGR"
290,300,285,290,7630500,"2007-01-29","ASGR"
290,295,285,290,1199500,"2007-01-30","ASGR"
290,295,285,290,1461000,"2007-01-31","ASGR"
295,295,290,295,1323500,"2007-02-01","ASGR"
295,295,295,295,251500,"2007-02-02","ASGR"
295,295,290,295,437500,"2007-02-05","ASGR"
295,295,290,295,641000,"2007-02-06","ASGR"
300,305,295,300,3855500,"2007-02-07","ASGR"
340,345,300,340,72389504,"2007-02-08","ASGR"
315,350,315,315,76785504,"2007-02-09","ASGR"
305,320,305,305,2785000,"2007-02-12","ASGR"
305,305,305,305,0,"2007-02-13","ASGR"
310,320,310,310,4070500,"2007-02-14","ASGR"
315,320,310,315,847500,"2007-02-15","ASGR"
315,315,310,315,1456500,"2007-02-16","ASGR"
315,315,305,315,888000,"2007-02-19","ASGR"
310,310,305,310,284500,"2007-02-20","ASGR"
300,310,300,300,3752000,"2007-02-21","ASGR"
310,310,305,310,2565000,"2007-02-22","ASGR"
305,310,305,305,928500,"2007-02-23","ASGR"
305,305,300,305,1615000,"2007-02-26","ASGR"
305,320,300,305,6327500,"2007-02-27","ASGR"
300,300,280,300,8282500,"2007-02-28","ASGR"
300,305,300,300,1713000,"2007-03-01","ASGR"
300,305,300,300,1065500,"2007-03-02","ASGR"
285,300,285,285,4800000,"2007-03-05","ASGR"
295,295,290,295,2145500,"2007-03-06","ASGR"
295,300,295,295,2028000,"2007-03-07","ASGR"
295,295,295,295,0,"2007-03-08","ASGR"
295,300,295,295,748500,"2007-03-09","ASGR"
305,305,295,305,1233500,"2007-03-12","ASGR"
300,305,300,300,256500,"2007-03-13","ASGR"
295,300,290,295,1522000,"2007-03-14","ASGR"
295,300,295,295,3480000,"2007-03-15","ASGR"
295,300,295,295,484000,"2007-03-16","ASGR"
290,300,290,290,1876500,"2007-03-20","ASGR"
290,295,290,290,724500,"2007-03-21","ASGR"
295,295,290,295,854000,"2007-03-22","ASGR"
295,295,295,295,696500,"2007-03-23","ASGR"
295,295,295,295,680000,"2007-03-26","ASGR"
295,295,295,295,680000,"2007-03-27","ASGR"
290,295,290,290,54000,"2007-03-28","ASGR"
295,295,290,295,2420500,"2007-03-29","ASGR"
295,300,295,295,586500,"2007-03-30","ASGR"
305,305,295,305,3952000,"2007-04-02","ASGR"
305,310,300,305,3633000,"2007-04-03","ASGR"
310,315,305,310,4616000,"2007-04-04","ASGR"
305,310,305,305,989500,"2007-04-05","ASGR"
305,310,305,305,1215000,"2007-04-09","ASGR"
310,310,305,310,392000,"2007-04-10","ASGR"
310,310,305,310,385500,"2007-04-11","ASGR"
310,310,305,310,1662500,"2007-04-12","ASGR"
320,320,310,320,2977500,"2007-04-13","ASGR"
335,335,320,335,8819000,"2007-04-16","ASGR"
325,335,325,325,3198500,"2007-04-17","ASGR"
335,345,325,335,9217500,"2007-04-18","ASGR"
325,340,325,325,5915500,"2007-04-19","ASGR"
325,325,325,325,0,"2007-04-20","ASGR"
345,350,340,345,7837500,"2007-04-23","ASGR"
355,360,340,355,8380500,"2007-04-24","ASGR"
355,360,350,355,4765000,"2007-04-25","ASGR"
380,380,360,380,15833500,"2007-04-26","ASGR"
395,410,375,395,48829000,"2007-04-27","ASGR"
550,550,410,550,276067488,"2007-04-30","ASGR"
760,760,590,760,148472496,"2007-05-01","ASGR"
780,1030,770,780,223655504,"2007-05-02","ASGR"
760,840,700,760,61435500,"2007-05-03","ASGR"
630,780,620,630,67139000,"2007-05-04","ASGR"
880,880,680,880,292131488,"2007-05-07","ASGR"
880,880,880,880,0,"2007-05-08","ASGR"
880,930,830,880,207274000,"2007-05-09","ASGR"
800,910,800,800,134322496,"2007-05-10","ASGR"
800,840,750,800,34310500,"2007-05-11","ASGR"
780,840,780,780,29498500,"2007-05-14","ASGR"
780,820,780,780,11407500,"2007-05-15","ASGR"
760,790,760,760,4548500,"2007-05-16","ASGR"
780,830,780,780,18265500,"2007-05-21","ASGR"
780,860,780,780,79071000,"2007-05-22","ASGR"
810,880,790,810,193607008,"2007-05-23","ASGR"
760,840,750,760,61734500,"2007-05-24","ASGR"
770,780,760,770,11246000,"2007-05-25","ASGR"
770,790,760,770,6319000,"2007-05-28","ASGR"
780,800,740,780,25766000,"2007-05-29","ASGR"
760,790,750,760,9421000,"2007-05-30","ASGR"
760,760,760,760,0,"2007-05-31","ASGR"
700,760,690,700,7015500,"2007-06-04","ASGR"
680,730,680,680,9567500,"2007-06-05","ASGR"
680,710,670,680,2866000,"2007-06-06","ASGR"
650,680,640,650,3671000,"2007-06-07","ASGR"
650,680,620,650,8837500,"2007-06-08","ASGR"
650,690,640,650,8244000,"2007-06-11","ASGR"
640,660,630,640,2800000,"2007-06-12","ASGR"
620,630,610,620,2262500,"2007-06-13","ASGR"
640,640,610,640,11748500,"2007-06-14","ASGR"
630,670,630,630,9247500,"2007-06-15","ASGR"
630,650,620,630,2146500,"2007-06-18","ASGR"
620,630,620,620,2056500,"2007-06-19","ASGR"
620,640,620,620,2902500,"2007-06-20","ASGR"
620,650,620,620,6302000,"2007-06-21","ASGR"
620,630,610,620,1741000,"2007-06-22","ASGR"
620,620,610,620,1649000,"2007-06-25","ASGR"
610,620,610,610,1688500,"2007-06-26","ASGR"
580,620,580,580,3980500,"2007-06-27","ASGR"
580,600,550,580,4103000,"2007-06-28","ASGR"
580,580,570,570,947000,"2007-06-29","ASGR"
570,570,570,570,0,"2007-07-02","ASGR"
560,580,560,560,592500,"2007-07-03","ASGR"
570,590,560,570,3795000,"2007-07-04","ASGR"
560,570,560,560,595000,"2007-07-05","ASGR"
570,590,560,570,2217500,"2007-07-06","ASGR"
620,660,580,620,24666000,"2007-07-09","ASGR"
620,640,610,620,3420000,"2007-07-10","ASGR"
620,640,600,620,2698000,"2007-07-11","ASGR"
600,630,600,600,1536000,"2007-07-12","ASGR"
610,620,600,610,2060000,"2007-07-13","ASGR"
600,610,590,600,1283500,"2007-07-16","ASGR"
580,590,580,580,825500,"2007-07-17","ASGR"
580,600,580,580,1767500,"2007-07-18","ASGR"
590,600,580,590,1373000,"2007-07-19","ASGR"
600,600,580,600,3650000,"2007-07-20","ASGR"
600,600,600,600,0,"2007-07-23","ASGR"
600,600,600,600,0,"2007-07-24","ASGR"
600,600,600,600,0,"2007-07-25","ASGR"
600,600,600,600,0,"2007-07-26","ASGR"
600,600,600,600,0,"2007-07-27","ASGR"
600,600,600,600,0,"2007-07-30","ASGR"
600,600,600,600,0,"2007-07-31","ASGR"
500,540,490,500,6371000,"2007-08-01","ASGR"
500,520,480,500,2097000,"2007-08-02","ASGR"
460,500,460,460,1828500,"2007-08-03","ASGR"
590,600,590,590,874500,"2007-08-06","ASGR"
425,450,420,425,3995500,"2007-08-07","ASGR"
460,465,430,460,5641000,"2007-08-08","ASGR"
450,485,450,450,1863000,"2007-08-09","ASGR"
450,450,425,450,2797000,"2007-08-10","ASGR"
450,450,450,450,0,"2007-08-13","ASGR"
440,445,440,440,1113500,"2007-08-14","ASGR"
395,435,380,395,4987000,"2007-08-15","ASGR"
340,380,300,340,5665500,"2007-08-16","ASGR"
390,390,360,390,3709500,"2007-08-20","ASGR"
375,405,375,375,5378500,"2007-08-21","ASGR"
470,470,380,470,36070500,"2007-08-22","ASGR"
445,505,440,445,9893000,"2007-08-23","ASGR"
585,590,435,585,42612000,"2007-08-24","ASGR"
580,640,560,580,50423000,"2007-08-27","ASGR"
530,580,520,530,10350500,"2007-08-28","ASGR"
520,530,450,520,6139000,"2007-08-29","ASGR"
540,550,510,540,4298000,"2007-08-30","ASGR"
540,580,530,540,15250500,"2007-08-31","ASGR"
540,550,530,540,2966000,"2007-09-03","ASGR"
540,550,530,540,2718000,"2007-09-04","ASGR"
550,550,540,550,4136500,"2007-09-05","ASGR"
600,610,540,600,21136000,"2007-09-06","ASGR"
580,600,570,580,2697500,"2007-09-07","ASGR"
580,580,580,580,0,"2007-09-10","ASGR"
550,570,550,550,710000,"2007-09-11","ASGR"
600,600,540,600,6747500,"2007-09-12","ASGR"
590,610,590,590,6415000,"2007-09-13","ASGR"
590,610,590,590,5274000,"2007-09-14","ASGR"
570,590,570,570,1258500,"2007-09-17","ASGR"
580,590,580,580,501000,"2007-09-18","ASGR"
580,600,580,580,2014500,"2007-09-19","ASGR"
580,590,580,580,837000,"2007-09-20","ASGR"
580,580,580,580,0,"2007-09-21","ASGR"
580,580,580,580,0,"2007-09-24","ASGR"
570,580,570,570,492000,"2007-09-25","ASGR"
570,580,570,570,1047000,"2007-09-26","ASGR"
580,580,580,580,568500,"2007-09-27","ASGR"
580,580,570,580,449500,"2007-09-28","ASGR"
570,580,570,570,1331500,"2007-10-01","ASGR"
590,590,570,590,3599500,"2007-10-02","ASGR"
630,660,580,630,55580500,"2007-10-03","ASGR"
600,640,590,600,10588000,"2007-10-04","ASGR"
600,600,600,600,0,"2007-10-05","ASGR"
600,600,600,600,0,"2007-10-08","ASGR"
610,630,590,610,8085000,"2007-10-09","ASGR"
610,630,610,610,4593000,"2007-10-10","ASGR"
600,610,600,600,1596000,"2007-10-11","ASGR"
590,600,590,590,2850500,"2007-10-17","ASGR"
610,620,600,610,11533500,"2007-10-18","ASGR"
610,610,610,610,0,"2007-10-19","ASGR"
610,610,610,610,0,"2007-10-22","ASGR"
590,590,580,590,3048000,"2007-10-23","ASGR"
600,610,580,590,3106500,"2007-10-24","ASGR"
590,600,580,590,3979500,"2007-10-25","ASGR"
590,590,580,580,2998500,"2007-10-26","ASGR"
580,600,580,580,3024500,"2007-10-29","ASGR"
580,590,580,580,2814500,"2007-10-30","ASGR"
580,580,580,580,0,"2007-10-31","ASGR"
580,590,580,580,1948000,"2007-11-01","ASGR"
580,580,560,580,1492500,"2007-11-02","ASGR"
580,580,580,580,0,"2007-11-05","ASGR"
600,610,590,590,1275500,"2007-11-06","ASGR"
590,590,590,590,0,"2007-11-07","ASGR"
570,580,570,570,1122000,"2007-11-08","ASGR"
570,580,570,570,677000,"2007-11-09","ASGR"
570,570,570,570,0,"2007-11-12","ASGR"
570,570,560,570,1478500,"2007-11-13","ASGR"
580,590,570,570,4759000,"2007-11-14","ASGR"
580,580,570,580,861500,"2007-11-15","ASGR"
