"Open","High","Low","Close","Volume","Adjusted","Date","Emiten"
1635,1635,1605,1635,40,1038.486938,"2007-01-02","ASII"
1640,1650,1625,1640,40,1041.66272,"2007-01-03","ASII"
1650,1660,1640,1650,40,1048.014282,"2007-01-04","ASII"
1675,1690,1640,1675,40,1063.893188,"2007-01-05","ASII"
1615,1670,1610,1615,40,1025.783813,"2007-01-08","ASII"
1660,1660,1565,1570,49455000,997.201355,"2007-01-09","ASII"
1550,1550,1495,1505,118905000,955.916077,"2007-01-10","ASII"
1485,1540,1480,1485,40,943.212952,"2007-01-11","ASII"
1500,1510,1460,1500,93705000,952.740234,"2007-01-12","ASII"
1530,1545,1510,1530,40,971.795166,"2007-01-15","ASII"
1560,1565,1540,1560,40,990.850159,"2007-01-16","ASII"
1540,1565,1540,1540,40,978.146729,"2007-01-17","ASII"
1565,1570,1550,1565,40,994.025574,"2007-01-18","ASII"
1610,1635,1560,1610,40,1022.607849,"2007-01-19","ASII"
1605,1625,1595,1605,40,1019.431641,"2007-01-22","ASII"
1580,1605,1570,1580,40,1003.553223,"2007-01-23","ASII"
1580,1600,1580,1580,40,1003.553223,"2007-01-24","ASII"
1580,1580,1545,1555,62215000,987.67395,"2007-01-25","ASII"
1540,1540,1505,1540,39435000,978.146729,"2007-01-26","ASII"
1525,1550,1505,1525,40,968.619324,"2007-01-29","ASII"
1500,1530,1480,1500,40,952.740234,"2007-01-30","ASII"
1485,1505,1470,1485,40,943.212952,"2007-01-31","ASII"
1455,1505,1455,1455,40,924.158081,"2007-02-01","ASII"
1510,1505,1515,1510,40,959.092041,"2007-02-02","ASII"
1460,1515,1455,1460,40,927.333801,"2007-02-05","ASII"
1445,1465,1440,1445,40,917.806458,"2007-02-06","ASII"
1490,1505,1425,1490,40,946.38855,"2007-02-07","ASII"
1475,1505,1460,1475,40,936.860901,"2007-02-08","ASII"
1515,1520,1450,1515,40,962.267517,"2007-02-09","ASII"
1510,1550,1510,1510,76660000,959.092041,"2007-02-12","ASII"
1520,1520,1460,1480,15625000,940.036987,"2007-02-13","ASII"
1490,1500,1485,1490,40,946.38855,"2007-02-14","ASII"
1495,1520,1485,1495,40,949.564331,"2007-02-15","ASII"
1500,1515,1490,1500,23750000,952.740234,"2007-02-16","ASII"
1500,1520,1495,1500,40,952.740234,"2007-02-19","ASII"
