"Open","High","Low","Close","Volume","Date","Emiten"
178,178,178,178,7400,"2020-02-17","ASPI"
240,240,240,240,12900,"2020-02-18","ASPI"
300,300,240,300,69484100,"2020-02-19","ASPI"
304,374,270,304,176242300,"2020-02-20","ASPI"
306,324,278,292,78517500,"2020-02-21","ASPI"
292,312,266,272,52382600,"2020-02-24","ASPI"
272,292,266,286,47711200,"2020-02-25","ASPI"
290,300,286,290,24407200,"2020-02-26","ASPI"
292,312,282,294,46892500,"2020-02-27","ASPI"
296,296,272,274,21344900,"2020-02-28","ASPI"
274,282,266,280,14122300,"2020-03-02","ASPI"
280,310,280,306,30526000,"2020-03-03","ASPI"
306,332,304,318,31632100,"2020-03-04","ASPI"
316,336,312,324,29016000,"2020-03-05","ASPI"
322,348,322,342,33807300,"2020-03-06","ASPI"
340,344,332,338,34222500,"2020-03-09","ASPI"
338,354,338,346,34312300,"2020-03-10","ASPI"
348,358,346,354,32909400,"2020-03-11","ASPI"
354,358,342,344,29234700,"2020-03-12","ASPI"
344,402,330,400,42779300,"2020-03-13","ASPI"
398,398,390,390,22955600,"2020-03-16","ASPI"
390,392,382,384,23248100,"2020-03-17","ASPI"
384,384,378,380,18778400,"2020-03-18","ASPI"
378,380,372,372,23053400,"2020-03-19","ASPI"
372,378,368,376,21322200,"2020-03-20","ASPI"
374,374,368,370,23934600,"2020-03-23","ASPI"
370,380,368,376,22003000,"2020-03-24","ASPI"
378,388,372,380,23518300,"2020-03-26","ASPI"
382,394,376,382,22441700,"2020-03-27","ASPI"
380,384,378,378,17522000,"2020-03-30","ASPI"
378,390,376,380,21491000,"2020-03-31","ASPI"
380,384,378,378,12827800,"2020-04-01","ASPI"
378,392,376,382,27743700,"2020-04-02","ASPI"
382,384,376,380,17972600,"2020-04-03","ASPI"
380,380,376,376,12645000,"2020-04-06","ASPI"
376,382,374,378,15367800,"2020-04-07","ASPI"
380,388,378,382,15229300,"2020-04-08","ASPI"
384,396,382,392,20530200,"2020-04-09","ASPI"
390,392,388,390,14684600,"2020-04-13","ASPI"
390,396,388,392,13970800,"2020-04-14","ASPI"
392,402,390,400,15873400,"2020-04-15","ASPI"
398,402,392,396,13046500,"2020-04-16","ASPI"
398,400,396,396,10294800,"2020-04-17","ASPI"
396,398,394,396,11054500,"2020-04-20","ASPI"
394,398,388,390,14676200,"2020-04-21","ASPI"
390,396,382,390,20509800,"2020-04-22","ASPI"
384,384,368,368,11359700,"2020-04-23","ASPI"
368,372,362,372,15936700,"2020-04-24","ASPI"
374,380,368,370,11911100,"2020-04-27","ASPI"
370,370,360,362,9416600,"2020-04-28","ASPI"
362,366,356,366,11931500,"2020-04-29","ASPI"
368,378,368,378,13437300,"2020-04-30","ASPI"
376,392,376,392,10820900,"2020-05-04","ASPI"
394,406,394,402,15322100,"2020-05-05","ASPI"
404,408,402,402,8837400,"2020-05-06","ASPI"
404,404,382,384,14107300,"2020-05-08","ASPI"
388,408,388,408,10885400,"2020-05-11","ASPI"
408,428,408,428,14686000,"2020-05-12","ASPI"
428,434,426,426,9051200,"2020-05-13","ASPI"
426,432,424,432,13094800,"2020-05-14","ASPI"
428,434,426,428,8630400,"2020-05-15","ASPI"
428,438,412,434,13298700,"2020-05-18","ASPI"
436,448,436,444,7998500,"2020-05-19","ASPI"
446,466,446,464,13482000,"2020-05-20","ASPI"
466,484,464,484,10745100,"2020-05-26","ASPI"
484,515,482,510,12914100,"2020-05-27","ASPI"
510,535,500,500,8777300,"2020-05-28","ASPI"
500,510,488,488,9118100,"2020-05-29","ASPI"
488,488,466,468,7415800,"2020-06-02","ASPI"
470,470,438,438,11277900,"2020-06-03","ASPI"
438,438,420,422,6955000,"2020-06-04","ASPI"
422,500,410,482,15939000,"2020-06-05","ASPI"
486,500,478,498,8045900,"2020-06-08","ASPI"
500,515,500,500,10216900,"2020-06-09","ASPI"
505,515,505,505,7458800,"2020-06-10","ASPI"
505,515,500,505,9672700,"2020-06-11","ASPI"
500,505,498,498,6677100,"2020-06-12","ASPI"
500,585,470,488,39044600,"2020-06-15","ASPI"
490,515,460,472,16453100,"2020-06-16","ASPI"
472,478,440,440,23824200,"2020-06-17","ASPI"
430,432,410,410,24706200,"2020-06-18","ASPI"
400,400,390,394,15678600,"2020-06-19","ASPI"
394,414,392,412,16686600,"2020-06-22","ASPI"
418,426,384,384,34379100,"2020-06-23","ASPI"
368,370,358,368,20478900,"2020-06-24","ASPI"
368,380,364,378,18039500,"2020-06-25","ASPI"
378,386,378,382,12703700,"2020-06-26","ASPI"
380,390,376,384,13432400,"2020-06-29","ASPI"
386,394,366,368,15625500,"2020-06-30","ASPI"
368,376,366,368,17422000,"2020-07-01","ASPI"
368,374,366,366,8009700,"2020-07-02","ASPI"
366,380,346,346,17907000,"2020-07-03","ASPI"
346,352,326,326,11645900,"2020-07-06","ASPI"
326,332,310,322,15770300,"2020-07-07","ASPI"
322,322,304,304,11406100,"2020-07-08","ASPI"
304,314,302,314,18541200,"2020-07-09","ASPI"
314,326,306,322,12821900,"2020-07-10","ASPI"
322,322,304,306,13144900,"2020-07-13","ASPI"
308,312,304,308,5523300,"2020-07-14","ASPI"
306,316,300,304,9856300,"2020-07-15","ASPI"
