"Open","High","Low","Close","Volume","Date","Emiten"
140,178,140,178,481805500,"2007-12-18","ASRI"
190,200,181,190,199766000,"2007-12-19","ASRI"
190,204,190,200,214873500,"2007-12-26","ASRI"
200,210,200,205,75149500,"2007-12-27","ASRI"
205,205,195,200,20591000,"2007-12-28","ASRI"
200,200,200,200,0,"2007-12-31","ASRI"
200,205,195,200,27253500,"2008-01-02","ASRI"
200,200,195,200,6647500,"2008-01-03","ASRI"
210,220,200,210,178100000,"2008-01-04","ASRI"
205,225,205,220,282250000,"2008-01-07","ASRI"
220,240,220,235,432287500,"2008-01-08","ASRI"
235,245,230,235,258355500,"2008-01-09","ASRI"
230,240,220,230,188021000,"2008-01-14","ASRI"
220,230,215,220,124916500,"2008-01-15","ASRI"
215,220,210,215,72960500,"2008-01-16","ASRI"
225,230,215,225,214200500,"2008-01-17","ASRI"
225,225,215,225,72655000,"2008-01-18","ASRI"
220,230,215,220,125704500,"2008-01-21","ASRI"
205,215,195,205,106103000,"2008-01-22","ASRI"
215,220,205,215,236271500,"2008-01-23","ASRI"
215,220,210,215,153608000,"2008-01-24","ASRI"
220,225,210,220,135582000,"2008-01-25","ASRI"
210,220,200,210,162059500,"2008-01-28","ASRI"
210,215,200,210,195556500,"2008-01-29","ASRI"
215,215,205,215,56676000,"2008-01-30","ASRI"
205,215,205,205,31783000,"2008-01-31","ASRI"
215,215,205,215,49642000,"2008-02-01","ASRI"
210,215,205,210,36800500,"2008-02-04","ASRI"
205,225,205,220,212116500,"2008-02-05","ASRI"
220,220,210,215,54545500,"2008-02-06","ASRI"
205,215,205,205,24488500,"2008-02-11","ASRI"
210,215,205,210,34951000,"2008-02-12","ASRI"
225,230,215,225,192207000,"2008-02-13","ASRI"
230,235,225,230,148313000,"2008-02-14","ASRI"
225,230,220,230,72939500,"2008-02-15","ASRI"
225,230,220,225,40906500,"2008-02-18","ASRI"
220,225,215,220,23819000,"2008-02-19","ASRI"
210,225,210,210,147722500,"2008-02-20","ASRI"
215,230,215,230,162347000,"2008-02-21","ASRI"
225,230,220,225,34464000,"2008-02-22","ASRI"
225,225,215,225,21575000,"2008-02-25","ASRI"
220,225,215,220,48247000,"2008-02-26","ASRI"
220,225,215,220,43086500,"2008-02-27","ASRI"
220,220,210,220,26745000,"2008-02-28","ASRI"
210,215,205,210,20909000,"2008-02-29","ASRI"
205,205,195,205,45258000,"2008-03-03","ASRI"
200,205,190,200,30014000,"2008-03-04","ASRI"
195,195,185,195,40007000,"2008-03-05","ASRI"
