"Open","High","Low","Close","Volume","Date","Emiten"
490,490,420,490,171981500,"2012-11-12","ASSA"
480,510,470,480,61509500,"2012-11-13","ASSA"
480,480,470,480,36180500,"2012-11-14","ASSA"
465,480,450,465,18578500,"2012-11-19","ASSA"
460,465,450,460,6529000,"2012-11-20","ASSA"
470,475,445,470,39023500,"2012-11-21","ASSA"
480,490,465,480,30876000,"2012-11-22","ASSA"
500,510,465,500,102619000,"2012-11-23","ASSA"
510,510,490,510,41449500,"2012-11-26","ASSA"
510,520,495,510,49954000,"2012-11-27","ASSA"
500,510,490,500,24016500,"2012-11-28","ASSA"
530,550,500,530,64994500,"2012-11-29","ASSA"
510,540,500,510,19303000,"2012-11-30","ASSA"
520,520,500,520,10137500,"2012-12-03","ASSA"
530,530,500,530,17622500,"2012-12-04","ASSA"
530,540,510,530,9779500,"2012-12-05","ASSA"
520,540,520,520,11254000,"2012-12-06","ASSA"
530,530,510,530,4086500,"2012-12-07","ASSA"
530,530,510,530,5567500,"2012-12-10","ASSA"
520,530,500,520,30314000,"2012-12-11","ASSA"
500,520,485,500,33364000,"2012-12-12","ASSA"
485,495,480,485,13199500,"2012-12-13","ASSA"
490,490,480,490,1359500,"2012-12-14","ASSA"
490,490,480,490,2530500,"2012-12-17","ASSA"
470,485,465,470,12905000,"2012-12-18","ASSA"
460,470,450,460,11369500,"2012-12-19","ASSA"
460,460,445,460,6753000,"2012-12-20","ASSA"
450,455,440,450,6484500,"2012-12-21","ASSA"
430,450,425,430,3,"2012-12-26","ASSA"
415,435,395,415,22407000,"2012-12-27","ASSA"
425,430,415,425,8233000,"2012-12-28","ASSA"
420,420,410,420,19127000,"2013-01-02","ASSA"
430,440,420,430,24781500,"2013-01-03","ASSA"
410,430,405,410,14290000,"2013-01-04","ASSA"
405,425,400,405,21002500,"2013-01-07","ASSA"
410,415,400,410,16842500,"2013-01-08","ASSA"
425,435,405,425,33834000,"2013-01-09","ASSA"
420,435,415,420,21746000,"2013-01-10","ASSA"
425,435,415,425,19593500,"2013-01-11","ASSA"
440,455,425,440,56109000,"2013-01-14","ASSA"
435,445,430,435,24526500,"2013-01-15","ASSA"
425,435,425,425,4254000,"2013-01-16","ASSA"
430,435,425,430,8269500,"2013-01-17","ASSA"
430,435,420,430,8574500,"2013-01-18","ASSA"
425,430,420,425,6823500,"2013-01-21","ASSA"
420,430,415,420,6571500,"2013-01-22","ASSA"
420,420,415,420,2133500,"2013-01-23","ASSA"
415,420,415,415,2714500,"2013-01-25","ASSA"
410,415,390,410,32933500,"2013-01-28","ASSA"
410,410,405,410,4434000,"2013-01-29","ASSA"
410,410,400,410,7022500,"2013-01-30","ASSA"
390,410,390,390,8216500,"2013-01-31","ASSA"
400,405,395,400,5946000,"2013-02-01","ASSA"
395,405,390,395,10427000,"2013-02-04","ASSA"
405,410,395,405,12607500,"2013-02-05","ASSA"
405,420,405,405,17018000,"2013-02-06","ASSA"
405,410,400,405,3250500,"2013-02-07","ASSA"
400,420,400,400,22542000,"2013-02-08","ASSA"
405,405,400,405,4463500,"2013-02-11","ASSA"
400,405,395,400,4943500,"2013-02-12","ASSA"
400,405,395,400,4209000,"2013-02-13","ASSA"
395,405,390,395,12720000,"2013-02-14","ASSA"
395,405,390,395,13202500,"2013-02-15","ASSA"
390,400,385,390,14561000,"2013-02-18","ASSA"
385,395,380,385,12409500,"2013-02-19","ASSA"
375,395,375,375,16041000,"2013-02-20","ASSA"
