"Open","High","Low","Close","Volume","Date","Emiten"
930,970,865,865,706846700,"2021-12-08","AVIA"
850,850,805,835,441667300,"2021-12-09","AVIA"
845,910,830,875,323110900,"2021-12-10","AVIA"
885,905,880,895,109784700,"2021-12-13","AVIA"
900,900,860,885,87670400,"2021-12-14","AVIA"
885,890,865,890,82526500,"2021-12-15","AVIA"
890,920,880,920,66413900,"2021-12-16","AVIA"
915,915,895,905,31019500,"2021-12-17","AVIA"
905,910,860,890,40745200,"2021-12-20","AVIA"
890,905,875,895,86599300,"2021-12-21","AVIA"
895,915,890,910,50830800,"2021-12-22","AVIA"
915,920,895,915,41850100,"2021-12-23","AVIA"
915,915,905,910,32457000,"2021-12-24","AVIA"
915,935,910,935,72660400,"2021-12-27","AVIA"
930,940,920,930,64104700,"2021-12-28","AVIA"
930,935,905,915,42827500,"2021-12-29","AVIA"
915,925,895,925,42617000,"2021-12-30","AVIA"
925,925,910,925,31289500,"2022-01-03","AVIA"
920,930,915,920,29066600,"2022-01-04","AVIA"
920,920,905,910,27027000,"2022-01-05","AVIA"
910,920,900,915,28528300,"2022-01-06","AVIA"
915,925,910,915,22357500,"2022-01-07","AVIA"
915,920,910,920,17391800,"2022-01-10","AVIA"
920,920,885,890,39591200,"2022-01-11","AVIA"
890,915,885,910,30221400,"2022-01-12","AVIA"
910,920,900,905,15839900,"2022-01-13","AVIA"
900,920,900,920,25637200,"2022-01-14","AVIA"
920,920,905,905,16791600,"2022-01-17","AVIA"
905,920,880,885,36965300,"2022-01-18","AVIA"
885,905,885,900,24067400,"2022-01-19","AVIA"
900,910,895,905,23994300,"2022-01-20","AVIA"
905,905,880,890,40305700,"2022-01-21","AVIA"
890,895,870,885,33067100,"2022-01-24","AVIA"
885,885,855,880,49395300,"2022-01-25","AVIA"
880,890,870,885,22790300,"2022-01-26","AVIA"
885,895,865,880,26036500,"2022-01-27","AVIA"
875,890,865,870,35030900,"2022-01-28","AVIA"
875,875,865,870,22683000,"2022-01-31","AVIA"
880,880,865,875,29276000,"2022-02-02","AVIA"
870,890,870,875,22938500,"2022-02-03","AVIA"
875,880,860,875,26269800,"2022-02-04","AVIA"
875,885,865,870,21508500,"2022-02-07","AVIA"
870,870,855,865,30781000,"2022-02-08","AVIA"
865,865,850,855,28983200,"2022-02-09","AVIA"
855,860,850,850,34853600,"2022-02-10","AVIA"
850,850,820,840,50623000,"2022-02-11","AVIA"
840,840,825,830,22624200,"2022-02-14","AVIA"
830,835,810,815,41283200,"2022-02-15","AVIA"
815,825,815,825,36425300,"2022-02-16","AVIA"
825,870,825,860,49078800,"2022-02-17","AVIA"
860,865,850,860,29146800,"2022-02-18","AVIA"
860,865,845,850,23894600,"2022-02-21","AVIA"
850,850,830,835,23576500,"2022-02-22","AVIA"
840,840,810,815,51531500,"2022-02-23","AVIA"
820,820,805,810,45332000,"2022-02-24","AVIA"
810,820,805,815,17261800,"2022-02-25","AVIA"
820,820,805,810,45469900,"2022-03-01","AVIA"
815,815,800,805,34303900,"2022-03-02","AVIA"
800,805,755,755,75007500,"2022-03-04","AVIA"
760,760,705,710,80295600,"2022-03-07","AVIA"
710,715,685,710,57287000,"2022-03-08","AVIA"
710,715,700,715,32026700,"2022-03-09","AVIA"
715,725,705,715,50174300,"2022-03-10","AVIA"
720,745,715,730,90505100,"2022-03-11","AVIA"
730,730,730,730,0,"2022-03-14","AVIA"
735,735,715,730,40146800,"2022-03-15","AVIA"
730,730,720,725,35192600,"2022-03-16","AVIA"
730,785,725,785,56905900,"2022-03-17","AVIA"
785,785,750,760,41117200,"2022-03-18","AVIA"
760,765,740,755,25257000,"2022-03-21","AVIA"
755,760,740,745,41816400,"2022-03-22","AVIA"
750,750,730,735,42483300,"2022-03-23","AVIA"
740,755,730,745,47170400,"2022-03-24","AVIA"
750,750,730,750,35096300,"2022-03-25","AVIA"
750,755,740,745,34740200,"2022-03-28","AVIA"
750,765,735,760,40636300,"2022-03-29","AVIA"
765,805,755,800,49521500,"2022-03-30","AVIA"
805,805,765,780,31715500,"2022-03-31","AVIA"
780,780,760,765,52485700,"2022-04-01","AVIA"
765,765,750,760,19518400,"2022-04-04","AVIA"
760,765,750,755,17910200,"2022-04-05","AVIA"
760,765,750,765,22404500,"2022-04-06","AVIA"
765,790,755,775,44154700,"2022-04-07","AVIA"
780,785,775,785,19302000,"2022-04-08","AVIA"
785,785,760,765,25499900,"2022-04-11","AVIA"
770,770,740,770,24629600,"2022-04-12","AVIA"
770,785,755,780,30006600,"2022-04-13","AVIA"
780,795,775,790,23576600,"2022-04-14","AVIA"
785,825,780,820,43637500,"2022-04-18","AVIA"
820,835,810,830,40574400,"2022-04-19","AVIA"
830,835,815,830,32535200,"2022-04-20","AVIA"
830,835,820,830,28660200,"2022-04-21","AVIA"
830,840,825,835,22256500,"2022-04-22","AVIA"
830,835,825,830,23724900,"2022-04-25","AVIA"
830,845,825,830,40521700,"2022-04-26","AVIA"
830,835,775,790,68547700,"2022-04-27","AVIA"
790,820,785,820,31822200,"2022-04-28","AVIA"
820,820,790,795,36028100,"2022-05-09","AVIA"
795,800,785,790,24434600,"2022-05-10","AVIA"
790,795,760,765,23093000,"2022-05-11","AVIA"
765,765,715,720,51568100,"2022-05-12","AVIA"
720,725,685,710,57109900,"2022-05-13","AVIA"
710,745,700,745,40752400,"2022-05-17","AVIA"
745,760,740,750,23887200,"2022-05-18","AVIA"
745,750,720,745,32108800,"2022-05-19","AVIA"
745,800,740,785,68912600,"2022-05-20","AVIA"
785,785,735,735,42647500,"2022-05-23","AVIA"
735,745,710,745,32851900,"2022-05-24","AVIA"
745,750,735,740,65107000,"2022-05-25","AVIA"
740,750,715,740,72072100,"2022-05-27","AVIA"
740,740,720,730,30378800,"2022-05-30","AVIA"
730,740,715,740,63001500,"2022-05-31","AVIA"
740,765,730,735,49817600,"2022-06-02","AVIA"
735,780,735,765,33574300,"2022-06-03","AVIA"
770,785,765,775,51034200,"2022-06-06","AVIA"
775,800,765,780,32217200,"2022-06-07","AVIA"
780,800,770,770,51041500,"2022-06-08","AVIA"
770,810,765,780,52505300,"2022-06-09","AVIA"
780,785,755,755,32873700,"2022-06-10","AVIA"
755,795,750,750,58731300,"2022-06-13","AVIA"
750,810,750,795,75284800,"2022-06-14","AVIA"
795,805,780,800,47171100,"2022-06-15","AVIA"
800,840,795,820,62739200,"2022-06-16","AVIA"
820,825,765,790,291322600,"2022-06-17","AVIA"
790,800,760,780,22826000,"2022-06-20","AVIA"
780,790,765,775,16266000,"2022-06-21","AVIA"
775,805,775,805,23235900,"2022-06-22","AVIA"
805,830,790,820,44543200,"2022-06-23","AVIA"
820,855,815,820,42272200,"2022-06-24","AVIA"
815,845,805,805,21891300,"2022-06-27","AVIA"
805,825,800,815,19767300,"2022-06-28","AVIA"
815,830,810,815,19257000,"2022-06-29","AVIA"
820,825,810,815,23480400,"2022-06-30","AVIA"
820,845,815,825,32555000,"2022-07-01","AVIA"
825,830,820,825,31769500,"2022-07-04","AVIA"
825,870,820,865,79542800,"2022-07-05","AVIA"
865,875,855,865,34193200,"2022-07-06","AVIA"
865,865,855,860,14226800,"2022-07-07","AVIA"
860,900,860,890,43068100,"2022-07-08","AVIA"
895,910,890,910,40356000,"2022-07-11","AVIA"
910,930,910,930,57078200,"2022-07-12","AVIA"
930,960,925,950,93015400,"2022-07-13","AVIA"
950,955,930,945,49183500,"2022-07-14","AVIA"
945,945,915,925,56369800,"2022-07-15","AVIA"
925,930,875,885,45433500,"2022-07-18","AVIA"
885,910,870,910,39005300,"2022-07-19","AVIA"
910,920,900,915,24439200,"2022-07-20","AVIA"
910,915,890,895,27505400,"2022-07-21","AVIA"
895,895,855,860,32646900,"2022-07-22","AVIA"
860,870,850,855,25986900,"2022-07-25","AVIA"
860,875,850,850,31252200,"2022-07-26","AVIA"
850,875,850,865,25849900,"2022-07-27","AVIA"
865,900,860,890,35029100,"2022-07-28","AVIA"
890,895,840,855,48501200,"2022-07-29","AVIA"
855,860,835,850,49260500,"2022-08-01","AVIA"
850,925,850,900,93513200,"2022-08-02","AVIA"
900,915,890,900,38943800,"2022-08-03","AVIA"
900,900,875,885,59194800,"2022-08-04","AVIA"
890,895,850,860,33883300,"2022-08-05","AVIA"
860,880,855,870,34873300,"2022-08-08","AVIA"
870,895,860,880,35432000,"2022-08-09","AVIA"
885,905,875,900,42747900,"2022-08-10","AVIA"
900,905,885,895,17399000,"2022-08-11","AVIA"
895,910,890,900,19258500,"2022-08-12","AVIA"
900,930,890,895,30811600,"2022-08-15","AVIA"
895,900,880,885,20395300,"2022-08-16","AVIA"
885,885,865,875,17837400,"2022-08-18","AVIA"
875,900,875,885,20523200,"2022-08-19","AVIA"
885,905,880,900,33752400,"2022-08-22","AVIA"
900,900,890,890,21329800,"2022-08-23","AVIA"
890,900,885,895,32184400,"2022-08-24","AVIA"
895,895,845,855,49099900,"2022-08-25","AVIA"
855,855,805,805,47790900,"2022-08-26","AVIA"
805,805,775,795,37066000,"2022-08-29","AVIA"
795,810,790,800,48736800,"2022-08-30","AVIA"
