"Open","High","Low","Close","Volume","Date","Emiten"
170,170,170,170,11500,"2020-02-12","AYLS"
228,228,228,228,17600,"2020-02-13","AYLS"
256,284,202,284,20855700,"2020-02-14","AYLS"
290,354,290,354,3020400,"2020-02-17","AYLS"
356,442,266,272,67861400,"2020-02-18","AYLS"
272,288,204,204,24782600,"2020-02-19","AYLS"
194,204,155,204,47977300,"2020-02-20","AYLS"
204,210,153,153,32628200,"2020-02-21","AYLS"
143,143,100,100,40657400,"2020-02-24","AYLS"
110,110,65,69,143121000,"2020-02-25","AYLS"
69,83,52,70,177637700,"2020-02-26","AYLS"
70,75,50,50,131301500,"2020-02-27","AYLS"
50,50,50,50,461400,"2020-02-28","AYLS"
50,50,50,50,111900,"2020-03-02","AYLS"
50,50,50,50,7431000,"2020-03-03","AYLS"
50,50,50,50,127500,"2020-03-04","AYLS"
50,50,50,50,131900,"2020-03-05","AYLS"
50,50,50,50,128400,"2020-03-06","AYLS"
50,67,50,59,133870200,"2020-03-09","AYLS"
58,68,56,65,41672700,"2020-03-10","AYLS"
65,70,62,62,18106300,"2020-03-11","AYLS"
62,62,56,58,11377200,"2020-03-12","AYLS"
56,56,54,54,836500,"2020-03-13","AYLS"
54,54,51,51,5571600,"2020-03-16","AYLS"
50,51,50,50,7683600,"2020-03-17","AYLS"
50,57,50,51,10509900,"2020-03-18","AYLS"
51,55,50,50,3158100,"2020-03-19","AYLS"
51,52,50,51,2237800,"2020-03-20","AYLS"
51,51,50,50,4161200,"2020-03-23","AYLS"
50,52,50,50,1435000,"2020-03-24","AYLS"
50,56,50,50,8618700,"2020-03-26","AYLS"
51,53,50,51,2572800,"2020-03-27","AYLS"
51,53,50,52,1255400,"2020-03-30","AYLS"
52,52,50,50,902400,"2020-03-31","AYLS"
50,52,50,51,2405100,"2020-04-01","AYLS"
51,51,50,50,11724300,"2020-04-02","AYLS"
50,52,50,51,1189600,"2020-04-03","AYLS"
51,52,50,51,2667200,"2020-04-06","AYLS"
51,51,50,51,3091200,"2020-04-07","AYLS"
51,52,50,51,1920700,"2020-04-08","AYLS"
51,51,50,50,2994400,"2020-04-09","AYLS"
51,51,50,50,14708000,"2020-04-13","AYLS"
50,50,50,50,490700,"2020-04-14","AYLS"
50,50,50,50,968600,"2020-04-15","AYLS"
50,50,50,50,19800,"2020-04-16","AYLS"
50,50,50,50,9000,"2020-04-17","AYLS"
50,50,50,50,58700,"2020-04-20","AYLS"
50,50,50,50,15500,"2020-04-21","AYLS"
50,50,50,50,2600,"2020-04-22","AYLS"
50,50,50,50,24800,"2020-04-23","AYLS"
50,50,50,50,832300,"2020-04-24","AYLS"
50,50,50,50,3500,"2020-04-27","AYLS"
50,50,50,50,4600,"2020-04-28","AYLS"
50,50,50,50,200,"2020-04-29","AYLS"
50,50,50,50,9300,"2020-04-30","AYLS"
50,50,50,50,3100,"2020-05-04","AYLS"
50,50,50,50,2800,"2020-05-05","AYLS"
50,50,50,50,2800,"2020-05-06","AYLS"
50,50,50,50,700,"2020-05-08","AYLS"
50,50,50,50,308800,"2020-05-11","AYLS"
50,50,50,50,18100,"2020-05-12","AYLS"
50,50,50,50,200,"2020-05-13","AYLS"
50,50,50,50,3900,"2020-05-14","AYLS"
50,50,50,50,100,"2020-05-15","AYLS"
50,50,50,50,13600,"2020-05-18","AYLS"
50,50,50,50,34200,"2020-05-19","AYLS"
50,50,50,50,200,"2020-05-20","AYLS"
50,50,50,50,80800,"2020-05-26","AYLS"
50,50,50,50,1000,"2020-05-27","AYLS"
50,50,50,50,300,"2020-05-28","AYLS"
50,50,50,50,1400,"2020-05-29","AYLS"
50,50,50,50,101400,"2020-06-02","AYLS"
50,50,50,50,2200,"2020-06-03","AYLS"
50,50,50,50,18500,"2020-06-04","AYLS"
50,50,50,50,20200,"2020-06-05","AYLS"
50,53,50,50,8354300,"2020-06-08","AYLS"
50,50,50,50,80200,"2020-06-09","AYLS"
50,50,50,50,3000,"2020-06-10","AYLS"
50,50,50,50,4400,"2020-06-11","AYLS"
50,50,50,50,400,"2020-06-12","AYLS"
50,50,50,50,100900,"2020-06-15","AYLS"
50,50,50,50,15000,"2020-06-16","AYLS"
50,50,50,50,2600,"2020-06-17","AYLS"
50,50,50,50,17700,"2020-06-18","AYLS"
50,50,50,50,0,"2020-06-19","AYLS"
50,50,50,50,10300,"2020-06-22","AYLS"
50,50,50,50,1000,"2020-06-23","AYLS"
50,50,50,50,43800,"2020-06-24","AYLS"
50,50,50,50,2200,"2020-06-25","AYLS"
50,50,50,50,1700,"2020-06-26","AYLS"
50,50,50,50,20300,"2020-06-29","AYLS"
50,50,50,50,8400,"2020-06-30","AYLS"
50,50,50,50,5100,"2020-07-01","AYLS"
50,50,50,50,1800,"2020-07-02","AYLS"
50,50,50,50,3500,"2020-07-03","AYLS"
50,50,50,50,6200,"2020-07-06","AYLS"
50,50,50,50,101200,"2020-07-07","AYLS"
50,50,50,50,1300,"2020-07-08","AYLS"
50,50,50,50,1200,"2020-07-09","AYLS"
50,50,50,50,302600,"2020-07-10","AYLS"
50,50,50,50,60300,"2020-07-13","AYLS"
50,50,50,50,200,"2020-07-14","AYLS"
50,50,50,50,3800,"2020-07-15","AYLS"
50,50,50,50,8600,"2020-07-16","AYLS"
50,50,50,50,100,"2020-07-17","AYLS"
50,50,50,50,27600,"2020-07-20","AYLS"
50,50,50,50,4200,"2020-07-21","AYLS"
50,50,50,50,2700,"2020-07-22","AYLS"
50,50,50,50,200,"2020-07-23","AYLS"
50,50,50,50,300,"2020-07-24","AYLS"
50,50,50,50,5200,"2020-07-27","AYLS"
50,50,50,50,3100,"2020-07-28","AYLS"
50,50,50,50,1100,"2020-07-29","AYLS"
50,50,50,50,1100,"2020-07-30","AYLS"
50,50,50,50,451500,"2020-08-03","AYLS"
50,50,50,50,100,"2020-08-04","AYLS"
50,50,50,50,20000,"2020-08-05","AYLS"
50,50,50,50,2100,"2020-08-06","AYLS"
50,50,50,50,2000,"2020-08-07","AYLS"
50,50,50,50,600,"2020-08-10","AYLS"
50,50,50,50,0,"2020-08-11","AYLS"
50,50,50,50,0,"2020-08-12","AYLS"
50,50,50,50,100,"2020-08-13","AYLS"
50,50,50,50,0,"2020-08-14","AYLS"
50,50,50,50,0,"2020-08-18","AYLS"
50,50,50,50,0,"2020-08-19","AYLS"
50,50,50,50,10000,"2020-08-24","AYLS"
50,50,50,50,101400,"2020-08-25","AYLS"
50,50,50,50,0,"2020-08-26","AYLS"
50,50,50,50,0,"2020-08-27","AYLS"
50,50,50,50,300,"2020-08-28","AYLS"
50,50,50,50,0,"2020-08-31","AYLS"
50,50,50,50,0,"2020-09-01","AYLS"
50,50,50,50,0,"2020-09-02","AYLS"
50,50,50,50,0,"2020-09-03","AYLS"
50,50,50,50,0,"2020-09-04","AYLS"
50,50,50,50,0,"2020-09-07","AYLS"
50,50,50,50,300,"2020-09-08","AYLS"
50,50,50,50,100,"2020-09-09","AYLS"
50,50,50,50,800,"2020-09-10","AYLS"
50,50,50,50,1800,"2020-09-11","AYLS"
50,50,50,50,6000,"2020-09-14","AYLS"
50,50,50,50,600,"2020-09-15","AYLS"
50,50,50,50,1200,"2020-09-16","AYLS"
50,50,50,50,4000,"2020-09-17","AYLS"
50,50,50,50,12800,"2020-09-18","AYLS"
50,50,50,50,400,"2020-09-21","AYLS"
50,50,50,50,1600,"2020-09-22","AYLS"
50,50,50,50,400,"2020-09-23","AYLS"
50,50,50,50,8900,"2020-09-24","AYLS"
50,50,50,50,0,"2020-09-25","AYLS"
50,50,50,50,2000,"2020-09-28","AYLS"
50,50,50,50,400,"2020-09-29","AYLS"
50,50,50,50,5000,"2020-09-30","AYLS"
50,50,50,50,157800,"2020-10-01","AYLS"
50,50,50,50,700,"2020-10-02","AYLS"
50,50,50,50,500,"2020-10-05","AYLS"
50,50,50,50,800,"2020-10-06","AYLS"
50,59,50,50,62944800,"2020-10-07","AYLS"
50,52,50,50,5777500,"2020-10-08","AYLS"
50,50,50,50,176800,"2020-10-09","AYLS"
50,50,50,50,18900,"2020-10-12","AYLS"
50,50,50,50,13300,"2020-10-13","AYLS"
50,50,50,50,6300,"2020-10-14","AYLS"
50,50,50,50,600,"2020-10-15","AYLS"
50,50,50,50,34100,"2020-10-16","AYLS"
50,50,50,50,9500,"2020-10-19","AYLS"
50,50,50,50,207000,"2020-10-20","AYLS"
50,50,50,50,400,"2020-10-21","AYLS"
50,50,50,50,100,"2020-10-22","AYLS"
50,50,50,50,3500,"2020-10-23","AYLS"
50,50,50,50,2700,"2020-10-26","AYLS"
50,50,50,50,10900,"2020-10-27","AYLS"
50,50,50,50,6300,"2020-11-02","AYLS"
50,50,50,50,1400,"2020-11-03","AYLS"
50,50,50,50,12700,"2020-11-04","AYLS"
50,50,50,50,16700,"2020-11-05","AYLS"
50,51,50,50,3889900,"2020-11-06","AYLS"
50,50,50,50,99800,"2020-11-09","AYLS"
50,50,50,50,2555300,"2020-11-10","AYLS"
