"Open","High","Low","Close","Volume","Date","Emiten"
141,141,140,141,350000,"2007-01-02","BATA"
146,146,143,146,3e+05,"2007-01-03","BATA"
149,149,149,149,50000,"2007-01-04","BATA"
149,149,149,149,0,"2007-01-05","BATA"
149,149,149,149,0,"2007-01-08","BATA"
145,145,145,145,150000,"2007-01-09","BATA"
143,143,143,143,250000,"2007-01-10","BATA"
143,143,143,143,150000,"2007-01-11","BATA"
140,140,140,140,5e+05,"2007-01-12","BATA"
140,140,140,140,0,"2007-01-15","BATA"
140,140,140,140,0,"2007-01-16","BATA"
142,142,142,142,1e+05,"2007-01-17","BATA"
142,142,142,142,0,"2007-01-18","BATA"
142,142,142,142,0,"2007-01-19","BATA"
142,142,142,142,0,"2007-01-22","BATA"
142,142,142,142,0,"2007-01-23","BATA"
145,145,142,145,150000,"2007-01-24","BATA"
145,145,145,145,0,"2007-01-25","BATA"
145,145,145,145,0,"2007-01-26","BATA"
145,145,145,145,0,"2007-01-29","BATA"
145,145,145,145,0,"2007-01-30","BATA"
145,145,145,145,0,"2007-01-31","BATA"
145,145,145,145,0,"2007-02-01","BATA"
145,145,145,145,0,"2007-02-02","BATA"
144,144,144,144,1e+05,"2007-02-05","BATA"
144,144,144,144,0,"2007-02-06","BATA"
145,145,145,145,250000,"2007-02-07","BATA"
145,145,145,145,0,"2007-02-08","BATA"
145,145,145,145,0,"2007-02-09","BATA"
145,145,145,145,0,"2007-02-12","BATA"
145,145,145,145,0,"2007-02-13","BATA"
145,145,145,145,1250000,"2007-02-14","BATA"
146,146,146,146,5e+05,"2007-02-15","BATA"
145,145,145,145,1e+05,"2007-02-16","BATA"
145,145,145,145,0,"2007-02-19","BATA"
145,145,145,145,0,"2007-02-20","BATA"
145,145,120,145,1e+05,"2007-02-21","BATA"
147,147,147,147,1e+05,"2007-02-22","BATA"
147,147,147,147,0,"2007-02-23","BATA"
147,147,147,147,0,"2007-02-26","BATA"
147,147,147,147,0,"2007-02-27","BATA"
147,147,147,147,0,"2007-02-28","BATA"
147,147,147,147,0,"2007-03-01","BATA"
147,147,147,147,0,"2007-03-02","BATA"
147,147,147,147,0,"2007-03-05","BATA"
147,147,147,147,0,"2007-03-06","BATA"
147,147,147,147,0,"2007-03-07","BATA"
145,145,145,145,1e+05,"2007-03-08","BATA"
145,145,145,145,0,"2007-03-09","BATA"
145,145,145,145,1e+05,"2007-03-12","BATA"
145,145,145,145,0,"2007-03-13","BATA"
145,145,145,145,750000,"2007-03-14","BATA"
147,147,147,147,150000,"2007-03-15","BATA"
153,153,147,153,350000,"2007-03-16","BATA"
153,153,153,153,0,"2007-03-20","BATA"
153,153,153,153,0,"2007-03-21","BATA"
153,153,153,153,0,"2007-03-22","BATA"
153,153,153,153,0,"2007-03-23","BATA"
153,153,153,153,0,"2007-03-26","BATA"
153,153,153,153,0,"2007-03-27","BATA"
153,153,153,153,0,"2007-03-28","BATA"
153,153,153,153,0,"2007-03-29","BATA"
153,153,153,153,0,"2007-03-30","BATA"
153,153,153,153,0,"2007-04-02","BATA"
153,153,153,153,0,"2007-04-03","BATA"
153,153,153,153,0,"2007-04-04","BATA"
153,153,153,153,0,"2007-04-05","BATA"
153,153,153,153,0,"2007-04-09","BATA"
150,150,150,150,1e+05,"2007-04-10","BATA"
150,150,150,150,0,"2007-04-11","BATA"
150,150,150,150,0,"2007-04-12","BATA"
150,150,150,150,0,"2007-04-13","BATA"
148,149,148,148,6e+05,"2007-04-16","BATA"
148,148,148,148,0,"2007-04-17","BATA"
148,148,148,148,0,"2007-04-18","BATA"
148,148,148,148,0,"2007-04-19","BATA"
148,148,148,148,0,"2007-04-20","BATA"
145,145,145,145,250000,"2007-04-23","BATA"
145,145,145,145,250000,"2007-04-24","BATA"
145,145,145,145,0,"2007-04-25","BATA"
145,145,145,145,0,"2007-04-26","BATA"
145,145,145,145,0,"2007-04-27","BATA"
145,145,145,145,1e+05,"2007-04-30","BATA"
145,145,145,145,0,"2007-05-01","BATA"
145,145,145,145,0,"2007-05-02","BATA"
145,145,145,145,0,"2007-05-03","BATA"
145,145,145,145,0,"2007-05-04","BATA"
145,145,145,145,0,"2007-05-07","BATA"
145,145,145,145,0,"2007-05-08","BATA"
146,146,146,146,250000,"2007-05-09","BATA"
146,146,146,146,0,"2007-05-10","BATA"
140,140,140,140,1e+05,"2007-05-11","BATA"
140,140,140,140,0,"2007-05-14","BATA"
140,140,140,140,0,"2007-05-15","BATA"
140,140,140,140,0,"2007-05-16","BATA"
140,140,140,140,0,"2007-05-21","BATA"
140,140,140,140,0,"2007-05-22","BATA"
140,140,140,140,0,"2007-05-23","BATA"
140,140,140,140,0,"2007-05-24","BATA"
140,140,140,140,0,"2007-05-25","BATA"
140,140,140,140,0,"2007-05-28","BATA"
144,144,144,144,1e+05,"2007-05-29","BATA"
144,144,144,144,0,"2007-05-30","BATA"
144,144,144,144,0,"2007-05-31","BATA"
145,145,145,145,4e+05,"2007-06-04","BATA"
145,145,145,145,0,"2007-06-05","BATA"
145,145,145,145,0,"2007-06-06","BATA"
145,145,145,145,0,"2007-06-07","BATA"
145,145,145,145,0,"2007-06-08","BATA"
145,145,145,145,0,"2007-06-11","BATA"
144,144,144,144,750000,"2007-06-12","BATA"
144,144,144,144,0,"2007-06-13","BATA"
144,144,144,144,0,"2007-06-14","BATA"
144,144,144,144,0,"2007-06-15","BATA"
145,145,145,145,3e+06,"2007-06-18","BATA"
145,145,145,145,0,"2007-06-19","BATA"
145,145,145,145,0,"2007-06-20","BATA"
145,145,145,145,0,"2007-06-21","BATA"
145,145,144,145,11200000,"2007-06-22","BATA"
145,145,145,145,1150000,"2007-06-25","BATA"
145,145,144.5,145,5050000,"2007-06-26","BATA"
145,145,145,145,0,"2007-06-27","BATA"
145,145,145,145,0,"2007-06-28","BATA"
145,145,145,145,0,"2007-06-29","BATA"
145,145,145,145,1e+05,"2007-07-02","BATA"
145,145,145,145,0,"2007-07-03","BATA"
145,145,145,145,0,"2007-07-04","BATA"
145,145,145,145,0,"2007-07-05","BATA"
145,145,145,145,50000,"2007-07-06","BATA"
145,145,145,145,0,"2007-07-09","BATA"
145,145,145,145,250000,"2007-07-10","BATA"
145,145,145,145,0,"2007-07-11","BATA"
145,145,145,145,0,"2007-07-12","BATA"
145,145,145,145,0,"2007-07-13","BATA"
145,145,145,145,0,"2007-07-16","BATA"
145,145,145,145,0,"2007-07-17","BATA"
145,145,145,145,0,"2007-07-18","BATA"
145,145,145,145,0,"2007-07-19","BATA"
145,145,145,145,0,"2007-07-20","BATA"
145,145,145,145,0,"2007-07-23","BATA"
145,145,145,145,0,"2007-07-24","BATA"
145,145,145,145,0,"2007-07-25","BATA"
145,145,145,145,0,"2007-07-26","BATA"
145,145,145,145,0,"2007-07-27","BATA"
145,145,145,145,0,"2007-07-30","BATA"
145,145,145,145,0,"2007-07-31","BATA"
145,145,145,145,0,"2007-08-01","BATA"
145,145,145,145,0,"2007-08-02","BATA"
144,144,144,144,50000,"2007-08-03","BATA"
147.5,147.5,147.5,147.5,150000,"2007-08-06","BATA"
147.5,147.5,147.5,147.5,0,"2007-08-07","BATA"
147.5,147.5,147.5,147.5,0,"2007-08-08","BATA"
147.5,147.5,147.5,147.5,0,"2007-08-09","BATA"
147.5,147.5,147.5,147.5,0,"2007-08-10","BATA"
147.5,147.5,147.5,147.5,0,"2007-08-13","BATA"
147.5,147.5,147.5,147.5,0,"2007-08-14","BATA"
145,145,145,145,3750000,"2007-08-15","BATA"
143,143,143,143,2500000,"2007-08-16","BATA"
143,143,143,143,0,"2007-08-20","BATA"
145,145,145,145,250000,"2007-08-21","BATA"
145,145,145,145,0,"2007-08-22","BATA"
145,145,145,145,0,"2007-08-23","BATA"
145,145,145,145,2500000,"2007-08-24","BATA"
145,145,145,145,2e+06,"2007-08-27","BATA"
145,145,145,145,0,"2007-08-28","BATA"
145,145,145,145,0,"2007-08-29","BATA"
145,145,145,145,0,"2007-08-30","BATA"
146,146,146,146,150000,"2007-08-31","BATA"
146,146,146,146,0,"2007-09-03","BATA"
146,146,146,146,0,"2007-09-04","BATA"
146,146,146,146,0,"2007-09-05","BATA"
146,146,146,146,0,"2007-09-06","BATA"
146,146,146,146,0,"2007-09-07","BATA"
146,146,146,146,0,"2007-09-10","BATA"
146,146,146,146,0,"2007-09-11","BATA"
146,146,146,146,0,"2007-09-12","BATA"
146,146,146,146,0,"2007-09-13","BATA"
146,146,146,146,0,"2007-09-14","BATA"
160,160,160,160,5e+05,"2007-09-17","BATA"
165,165,165,165,850000,"2007-09-18","BATA"
161,161,160,161,350000,"2007-09-19","BATA"
160,160,160,160,5e+05,"2007-09-20","BATA"
160,160,160,160,0,"2007-09-21","BATA"
160,160,160,160,0,"2007-09-24","BATA"
160,160,160,160,0,"2007-09-25","BATA"
160,160,160,160,0,"2007-09-26","BATA"
160,160,160,160,50000,"2007-09-27","BATA"
160,160,160,160,0,"2007-09-28","BATA"
160,160,160,160,0,"2007-10-01","BATA"
165,165,165,165,5e+05,"2007-10-02","BATA"
160,165,160,160,1300000,"2007-10-03","BATA"
160,160,160,160,0,"2007-10-04","BATA"
160,160,160,160,0,"2007-10-05","BATA"
160,160,160,160,0,"2007-10-08","BATA"
160,160,160,160,50000,"2007-10-09","BATA"
160,160,160,160,0,"2007-10-10","BATA"
170,170,160,170,7e+05,"2007-10-11","BATA"
160,170,160,160,1900000,"2007-10-17","BATA"
160,160,160,160,0,"2007-10-18","BATA"
160,160,160,160,0,"2007-10-19","BATA"
160,160,160,160,0,"2007-10-22","BATA"
160,160,160,160,0,"2007-10-23","BATA"
160,160,160,160,0,"2007-10-24","BATA"
160,160,160,160,0,"2007-10-25","BATA"
160,160,160,160,0,"2007-10-26","BATA"
200,200,195,200,4e+05,"2007-10-29","BATA"
200,210,205,210,250000,"2007-10-30","BATA"
210,210,210,210,0,"2007-10-31","BATA"
210,210,210,210,0,"2007-11-01","BATA"
210,210,210,210,0,"2007-11-02","BATA"
210,210,210,210,0,"2007-11-05","BATA"
210,210,210,210,0,"2007-11-06","BATA"
210,210,210,210,0,"2007-11-07","BATA"
210,210,210,210,0,"2007-11-08","BATA"
210,210,210,210,0,"2007-11-09","BATA"
210,210,210,210,0,"2007-11-12","BATA"
210,210,210,210,0,"2007-11-13","BATA"
210,210,210,210,0,"2007-11-14","BATA"
210,210,210,210,0,"2007-11-15","BATA"
210,210,210,210,0,"2007-11-16","BATA"
210,210,210,210,0,"2007-11-19","BATA"
210,210,210,210,0,"2007-11-20","BATA"
210,210,210,210,0,"2007-11-21","BATA"
210,210,210,210,0,"2007-11-22","BATA"
210,210,210,210,0,"2007-11-23","BATA"
210,210,210,210,0,"2007-11-26","BATA"
210,210,210,210,0,"2007-11-27","BATA"
210,210,210,210,0,"2007-11-28","BATA"
210,210,210,210,0,"2007-11-29","BATA"
210,210,210,210,0,"2007-11-30","BATA"
210,210,210,210,0,"2007-12-03","BATA"
210,210,210,210,0,"2007-12-04","BATA"
210,210,210,210,0,"2007-12-05","BATA"
210,210,210,210,0,"2007-12-06","BATA"
210,210,210,210,0,"2007-12-07","BATA"
210,210,210,210,0,"2007-12-10","BATA"
210,210,210,210,0,"2007-12-11","BATA"
210,210,210,210,0,"2007-12-12","BATA"
210,210,210,210,0,"2007-12-13","BATA"
210,210,210,210,0,"2007-12-14","BATA"
210,210,210,210,0,"2007-12-17","BATA"
210,210,210,210,0,"2007-12-18","BATA"
210,210,210,210,0,"2007-12-19","BATA"
210,210,210,210,0,"2007-12-26","BATA"
210,210,210,210,0,"2007-12-27","BATA"
210,210,210,210,0,"2007-12-28","BATA"
210,210,210,210,0,"2007-12-31","BATA"
210,210,210,210,0,"2008-01-02","BATA"
210,210,210,210,0,"2008-01-03","BATA"
210,210,210,210,0,"2008-01-04","BATA"
210,210,210,210,0,"2008-01-07","BATA"
210,210,210,210,0,"2008-01-08","BATA"
230,230,230,230,50000,"2008-01-09","BATA"
220,220,220,220,250000,"2008-01-14","BATA"
220,220,220,220,0,"2008-01-15","BATA"
220,220,220,220,0,"2008-01-16","BATA"
220,220,220,220,0,"2008-01-17","BATA"
220,220,220,220,0,"2008-01-18","BATA"
220,220,220,220,0,"2008-01-21","BATA"
190,190,190,190,5e+05,"2008-01-22","BATA"
190,190,190,190,0,"2008-01-23","BATA"
190,190,190,190,0,"2008-01-24","BATA"
190,190,190,190,0,"2008-01-25","BATA"
190,190,190,190,0,"2008-01-28","BATA"
190,190,190,190,0,"2008-01-29","BATA"
190,190,190,190,0,"2008-01-30","BATA"
190,190,190,190,0,"2008-01-31","BATA"
190,190,190,190,0,"2008-02-01","BATA"
190,190,190,190,0,"2008-02-04","BATA"
190,190,190,190,50000,"2008-02-05","BATA"
190,190,190,190,0,"2008-02-06","BATA"
190,190,190,190,0,"2008-02-11","BATA"
190,190,190,190,0,"2008-02-12","BATA"
190,190,190,190,0,"2008-02-13","BATA"
190,190,190,190,0,"2008-02-14","BATA"
190,190,190,190,0,"2008-02-15","BATA"
190,190,190,190,0,"2008-02-18","BATA"
190,190,190,190,0,"2008-02-19","BATA"
190,190,190,190,0,"2008-02-20","BATA"
190,190,190,190,0,"2008-02-21","BATA"
190,190,190,190,0,"2008-02-22","BATA"
190,190,190,190,0,"2008-02-25","BATA"
190,190,190,190,0,"2008-02-26","BATA"
190,190,190,190,0,"2008-02-27","BATA"
190,190,190,190,0,"2008-02-28","BATA"
190,190,190,190,0,"2008-02-29","BATA"
190,190,190,190,0,"2008-03-03","BATA"
190,190,190,190,0,"2008-03-04","BATA"
190,190,190,190,0,"2008-03-05","BATA"
190,190,190,190,0,"2008-03-06","BATA"
190,190,190,190,0,"2008-03-10","BATA"
190,190,190,190,0,"2008-03-11","BATA"
190,190,190,190,0,"2008-03-12","BATA"
190,190,190,190,0,"2008-03-13","BATA"
190,190,190,190,0,"2008-03-14","BATA"
190,190,190,190,0,"2008-03-17","BATA"
190,190,190,190,0,"2008-03-18","BATA"
190,190,190,190,0,"2008-03-19","BATA"
190,190,190,190,0,"2008-03-24","BATA"
190,190,190,190,0,"2008-03-25","BATA"
190,190,190,190,0,"2008-03-26","BATA"
190,190,190,190,0,"2008-03-27","BATA"
190,190,190,190,0,"2008-03-28","BATA"
190,190,190,190,0,"2008-03-31","BATA"
190,190,190,190,0,"2008-04-01","BATA"
190,190,190,190,0,"2008-04-02","BATA"
190,190,190,190,0,"2008-04-03","BATA"
190,190,190,190,0,"2008-04-04","BATA"
190,190,190,190,0,"2008-04-07","BATA"
190,190,190,190,0,"2008-04-08","BATA"
200,200,191,200,1650000,"2008-04-09","BATA"
200,200,200,200,1150000,"2008-04-10","BATA"
200,200,200,200,0,"2008-04-11","BATA"
200,200,200,200,1300000,"2008-04-14","BATA"
200,200,200,200,0,"2008-04-15","BATA"
200,200,200,200,550000,"2008-04-16","BATA"
205,205,200,205,1250000,"2008-04-17","BATA"
205,205,205,205,0,"2008-04-18","BATA"
205,205,205,205,50000,"2008-04-21","BATA"
205,205,205,205,250000,"2008-04-22","BATA"
205,205,205,205,350000,"2008-04-23","BATA"
205,205,205,205,0,"2008-04-24","BATA"
220,220,205,220,750000,"2008-04-25","BATA"
220,220,220,220,0,"2008-04-28","BATA"
220,220,220,220,0,"2008-04-29","BATA"
220,220,220,220,0,"2008-04-30","BATA"
220,220,220,220,0,"2008-05-05","BATA"
220,220,220,220,0,"2008-05-06","BATA"
220,220,220,220,0,"2008-05-07","BATA"
220,220,220,220,0,"2008-05-08","BATA"
220,220,220,220,0,"2008-05-09","BATA"
220,220,220,220,0,"2008-05-12","BATA"
