"Open","High","Low","Close","Volume","Date","Emiten"
135,135,107,135,1060598500,"2022-01-28","BAUT"
140,182,135,182,687243600,"2022-01-31","BAUT"
192,244,190,244,123577800,"2022-02-02","BAUT"
264,304,228,228,328047500,"2022-02-03","BAUT"
238,238,214,214,10920700,"2022-02-04","BAUT"
200,200,200,200,4819800,"2022-02-07","BAUT"
186,186,186,186,14797100,"2022-02-08","BAUT"
173,218,173,178,440922500,"2022-02-09","BAUT"
171,191,168,170,104936600,"2022-02-10","BAUT"
170,175,159,160,77958200,"2022-02-11","BAUT"
150,164,149,149,59012100,"2022-02-14","BAUT"
149,154,139,141,60513000,"2022-02-15","BAUT"
132,190,132,190,723326600,"2022-02-16","BAUT"
200,224,195,199,544825000,"2022-02-17","BAUT"
200,222,197,204,265691100,"2022-02-18","BAUT"
206,218,190,190,1714536600,"2022-02-21","BAUT"
188,199,177,177,811860800,"2022-02-22","BAUT"
165,165,165,165,13464300,"2022-02-23","BAUT"
154,154,154,154,51571800,"2022-02-24","BAUT"
144,155,144,144,402043100,"2022-02-25","BAUT"
135,154,134,134,671504700,"2022-03-01","BAUT"
125,141,125,125,737713000,"2022-03-02","BAUT"
117,125,117,117,99444900,"2022-03-04","BAUT"
114,116,109,109,30657800,"2022-03-07","BAUT"
106,127,102,102,622879500,"2022-03-08","BAUT"
99,101,95,95,102777400,"2022-03-09","BAUT"
95,95,89,93,168451200,"2022-03-10","BAUT"
94,108,93,104,330627000,"2022-03-11","BAUT"
104,105,97,97,91765200,"2022-03-14","BAUT"
97,97,91,91,106214600,"2022-03-15","BAUT"
91,97,88,92,72365000,"2022-03-16","BAUT"
89,93,89,91,21835300,"2022-03-17","BAUT"
88,93,88,90,28559400,"2022-03-18","BAUT"
85,93,85,87,25189400,"2022-03-21","BAUT"
87,93,85,89,66619700,"2022-03-22","BAUT"
90,102,90,99,327388300,"2022-03-23","BAUT"
100,110,93,93,2266193200,"2022-03-24","BAUT"
87,93,87,87,982936300,"2022-03-25","BAUT"
81,81,81,81,76486100,"2022-03-28","BAUT"
