"Open","High","Low","Close","Volume","Date","Emiten"
65,65.5,65,65,10100000,"2007-01-02","BFIN"
65,65,65,65,0,"2007-01-03","BFIN"
65,65,65,65,60,"2007-01-04","BFIN"
65,65,65,65,60,"2007-01-05","BFIN"
65,65,65,65,60,"2007-01-08","BFIN"
65,65,65,65,60,"2007-01-09","BFIN"
65,65,65,65,40,"2007-01-10","BFIN"
65,65,65,65,2e+05,"2007-01-11","BFIN"
65.5,66,65.5,65.5,11190000,"2007-01-12","BFIN"
65.5,65.5,65.5,65.5,60,"2007-01-15","BFIN"
65,65,65,65,2e+06,"2007-01-16","BFIN"
65,65,65,65,60,"2007-01-17","BFIN"
65,65,65,65,60,"2007-01-18","BFIN"
65,65,65,65,40,"2007-01-19","BFIN"
65,65,65,65,60,"2007-01-22","BFIN"
65,65,65,65,60,"2007-01-23","BFIN"
65,65,65,65,60,"2007-01-24","BFIN"
65,65,65,65,60,"2007-01-25","BFIN"
65,65,65,65,60,"2007-01-26","BFIN"
67.5,70,65,67.5,14890000,"2007-01-29","BFIN"
66,66,65.5,66,1520000,"2007-01-30","BFIN"
66,66,66,66,20,"2007-01-31","BFIN"
65.5,65.5,65.5,65.5,5e+05,"2007-02-01","BFIN"
65.5,65.5,65.5,65.5,20,"2007-02-02","BFIN"
65.5,65.5,65.5,65.5,20,"2007-02-05","BFIN"
65.5,65.5,65.5,65.5,60,"2007-02-06","BFIN"
66.5,66.5,65,66.5,7e+05,"2007-02-07","BFIN"
66.5,66.5,66.5,66.5,0,"2007-02-08","BFIN"
66.5,66.5,66.5,66.5,0,"2007-02-09","BFIN"
66.5,66.5,66.5,66.5,40,"2007-02-12","BFIN"
66.5,66.5,66.5,66.5,40,"2007-02-13","BFIN"
66.5,66.5,66.5,66.5,2e+05,"2007-02-14","BFIN"
66.5,66.5,66.5,66.5,40,"2007-02-15","BFIN"
65,65,65,65,10000,"2007-02-16","BFIN"
65,65,65,65,0,"2007-02-19","BFIN"
65,65,65,65,1500000,"2007-02-20","BFIN"
