"Open","High","Low","Close","Volume","Date","Emiten"
7450,8175,6900,7450,21777100,"2014-11-05","BIRD"
7625,7675,7500,7625,6653200,"2014-11-06","BIRD"
7525,7675,7525,7525,2698500,"2014-11-07","BIRD"
7250,7575,7175,7250,2018400,"2014-11-10","BIRD"
7500,7550,7250,7500,797300,"2014-11-11","BIRD"
7525,7575,7500,7525,720400,"2014-11-12","BIRD"
7600,7600,7375,7600,1357600,"2014-11-13","BIRD"
7475,7500,7400,7475,1069300,"2014-11-14","BIRD"
7475,7600,7150,7600,2611200,"2014-11-17","BIRD"
7550,7800,7400,7550,380600,"2014-11-18","BIRD"
7500,7550,7500,7500,375500,"2014-11-19","BIRD"
7425,7500,7400,7425,73800,"2014-11-20","BIRD"
7600,7600,7350,7600,272400,"2014-11-21","BIRD"
7500,7500,7400,7500,247500,"2014-11-24","BIRD"
7375,7500,7350,7375,70400,"2014-11-25","BIRD"
7450,7500,7400,7450,388400,"2014-11-26","BIRD"
7475,7475,7450,7475,355900,"2014-11-27","BIRD"
7500,7500,7375,7500,184100,"2014-11-28","BIRD"
7450,7450,7375,7400,36000,"2014-12-01","BIRD"
7375,7375,7300,7300,71800,"2014-12-02","BIRD"
7300,7975,7250,7700,651600,"2014-12-03","BIRD"
7700,7725,7450,7550,111700,"2014-12-04","BIRD"
7550,7550,7525,7550,71900,"2014-12-05","BIRD"
7550,7775,7425,7725,1047700,"2014-12-08","BIRD"
7700,7800,7575,7775,834200,"2014-12-09","BIRD"
7800,8600,7800,8300,2314700,"2014-12-10","BIRD"
8300,8575,8250,8475,1530500,"2014-12-11","BIRD"
8450,8625,8425,8550,1267700,"2014-12-12","BIRD"
8550,8575,8450,8550,593300,"2014-12-15","BIRD"
8525,8725,8000,8700,467700,"2014-12-16","BIRD"
8550,8700,8550,8700,668100,"2014-12-17","BIRD"
8700,8800,8675,8775,1052400,"2014-12-18","BIRD"
8775,9100,8700,8925,709300,"2014-12-19","BIRD"
9000,9550,9000,9350,1587700,"2014-12-22","BIRD"
9350,9725,9350,9475,548500,"2014-12-23","BIRD"
9500,9550,9350,9475,354100,"2014-12-24","BIRD"
9475,9475,9375,9450,34200,"2014-12-29","BIRD"
9500,9500,9400,9425,144100,"2014-12-30","BIRD"
8925,9500,8925,9450,494000,"2015-01-02","BIRD"
9500,9975,9425,9650,1660000,"2015-01-05","BIRD"
9650,9700,9575,9675,855300,"2015-01-06","BIRD"
9675,9725,9650,9725,435100,"2015-01-07","BIRD"
9800,10250,9775,10000,2390400,"2015-01-08","BIRD"
10000,10050,9925,10000,184300,"2015-01-09","BIRD"
10000,10525,9900,10475,2372900,"2015-01-12","BIRD"
10500,10825,10400,10700,820100,"2015-01-13","BIRD"
10800,11500,10800,11100,698600,"2015-01-14","BIRD"
11575,12500,10950,11575,1489000,"2015-01-15","BIRD"
11625,12300,11625,12100,3041400,"2015-01-16","BIRD"
12200,12250,11350,11525,3320200,"2015-01-19","BIRD"
11600,11600,10100,11475,1489500,"2015-01-20","BIRD"
11500,11500,11000,11025,152200,"2015-01-21","BIRD"
11025,11450,11025,11075,236700,"2015-01-22","BIRD"
11200,11575,11200,11400,401400,"2015-01-23","BIRD"
11550,11550,10650,11000,775900,"2015-01-26","BIRD"
11000,11100,10900,11000,625900,"2015-01-27","BIRD"
11000,11075,10975,11000,106700,"2015-01-28","BIRD"
11000,11025,10825,10975,212000,"2015-01-29","BIRD"
11025,11025,10850,10900,124200,"2015-01-30","BIRD"
10900,10950,10800,10875,153300,"2015-02-02","BIRD"
11000,11000,10450,10500,319700,"2015-02-03","BIRD"
10425,10450,10000,10025,1001100,"2015-02-04","BIRD"
10000,10500,10000,10425,701800,"2015-02-05","BIRD"
10450,10750,10300,10625,370200,"2015-02-06","BIRD"
10625,10700,10375,10500,234200,"2015-02-09","BIRD"
10500,10500,10275,10350,163600,"2015-02-10","BIRD"
10350,10350,10150,10250,59300,"2015-02-11","BIRD"
10250,10375,10025,10200,181800,"2015-02-12","BIRD"
10275,10525,10200,10500,548400,"2015-02-13","BIRD"
10500,10500,10100,10350,76400,"2015-02-16","BIRD"
10475,10500,10425,10500,109200,"2015-02-17","BIRD"
10500,10500,10300,10500,35000,"2015-02-18","BIRD"
10500,10650,10500,10625,184900,"2015-02-20","BIRD"
10600,10900,10475,10850,526000,"2015-02-23","BIRD"
10875,10950,10800,10800,116700,"2015-02-24","BIRD"
10800,10950,10100,10725,617000,"2015-02-25","BIRD"
10700,10850,10650,10800,80200,"2015-02-26","BIRD"
10650,10900,10575,10900,523000,"2015-02-27","BIRD"
10900,10900,10625,10700,161500,"2015-03-02","BIRD"
10700,10725,10400,10500,164500,"2015-03-03","BIRD"
10500,10500,10425,10425,76300,"2015-03-04","BIRD"
10500,10600,10400,10500,338600,"2015-03-05","BIRD"
10500,10600,10500,10575,421600,"2015-03-06","BIRD"
10575,10575,10250,10250,161800,"2015-03-09","BIRD"
10275,10425,10225,10225,104200,"2015-03-10","BIRD"
10225,10225,10000,10225,213100,"2015-03-11","BIRD"
10375,10375,10100,10225,18700,"2015-03-12","BIRD"
10200,10200,9950,10000,782800,"2015-03-13","BIRD"
9975,9975,9850,9900,26800,"2015-03-16","BIRD"
9900,9975,9575,9700,208800,"2015-03-17","BIRD"
9700,9700,9100,9500,592000,"2015-03-18","BIRD"
9625,9875,9500,9850,320800,"2015-03-19","BIRD"
9850,9875,9675,9850,161900,"2015-03-20","BIRD"
9850,10000,9850,9975,327700,"2015-03-23","BIRD"
9975,10050,9850,9850,637700,"2015-03-24","BIRD"
9900,10350,9900,10100,1093800,"2015-03-25","BIRD"
10000,10150,9975,10000,277400,"2015-03-26","BIRD"
10000,10000,9750,9925,788200,"2015-03-27","BIRD"
9700,10000,9625,10000,904700,"2015-03-30","BIRD"
9975,10000,9775,9950,503400,"2015-03-31","BIRD"
9950,9975,9900,9975,66600,"2015-04-01","BIRD"
9950,9975,9800,9975,203800,"2015-04-02","BIRD"
9975,10000,9800,9800,195000,"2015-04-06","BIRD"
9825,9825,9600,9800,116200,"2015-04-07","BIRD"
9775,9775,9525,9700,133700,"2015-04-08","BIRD"
9700,9825,9700,9775,579900,"2015-04-09","BIRD"
9775,9775,9775,9775,310200,"2015-04-10","BIRD"
9775,9800,9700,9775,177800,"2015-04-13","BIRD"
9775,9800,9575,9775,1202200,"2015-04-14","BIRD"
9800,9800,9550,9700,158400,"2015-04-15","BIRD"
9750,9775,9125,9300,875000,"2015-04-16","BIRD"
9125,9400,9050,9300,620400,"2015-04-17","BIRD"
9300,9300,9050,9100,1941300,"2015-04-20","BIRD"
9050,9175,9000,9150,148800,"2015-04-21","BIRD"
9150,9150,9100,9100,312800,"2015-04-22","BIRD"
9100,9100,8625,8800,251400,"2015-04-23","BIRD"
8800,8825,8725,8825,199000,"2015-04-24","BIRD"
8800,8825,8300,8825,179800,"2015-04-27","BIRD"
8600,8825,8575,8825,295700,"2015-04-28","BIRD"
8650,8725,8375,8425,284600,"2015-04-29","BIRD"
8350,8350,8000,8200,302700,"2015-04-30","BIRD"
8350,8350,8075,8225,65900,"2015-05-04","BIRD"
8200,8225,8150,8200,262400,"2015-05-05","BIRD"
8200,8225,7925,8000,700700,"2015-05-06","BIRD"
8000,8050,7850,8000,449700,"2015-05-07","BIRD"
8000,8175,7925,8150,155100,"2015-05-08","BIRD"
8150,8200,8000,8200,58200,"2015-05-11","BIRD"
8200,9700,8200,8950,452800,"2015-05-12","BIRD"
9000,9000,8550,8725,164100,"2015-05-13","BIRD"
8700,9000,8100,8275,60000,"2015-05-15","BIRD"
8350,8500,8275,8450,16600,"2015-05-18","BIRD"
8450,8600,8450,8600,67100,"2015-05-19","BIRD"
8500,8550,8450,8450,18100,"2015-05-20","BIRD"
8450,8450,8300,8300,112100,"2015-05-21","BIRD"
8400,8925,8300,8900,226200,"2015-05-22","BIRD"
8700,8750,8650,8650,23700,"2015-05-25","BIRD"
8650,8650,8500,8500,65800,"2015-05-26","BIRD"
8550,8550,8350,8350,56900,"2015-05-27","BIRD"
8700,8700,8325,8325,4800,"2015-05-28","BIRD"
8500,8500,8300,8400,39800,"2015-05-29","BIRD"
8300,8500,8300,8475,1000,"2015-06-01","BIRD"
8300,8475,8150,8150,95100,"2015-06-03","BIRD"
8150,8375,8150,8375,154700,"2015-06-04","BIRD"
8400,8550,8225,8250,245500,"2015-06-05","BIRD"
8200,8250,8200,8250,23800,"2015-06-08","BIRD"
8150,8175,8000,8000,418100,"2015-06-09","BIRD"
8000,8150,8000,8150,172600,"2015-06-10","BIRD"
8150,8200,7950,8000,151800,"2015-06-11","BIRD"
8000,8000,8000,8000,406100,"2015-06-12","BIRD"
8000,8000,7950,8000,9000,"2015-06-15","BIRD"
8000,8000,7825,7900,123500,"2015-06-16","BIRD"
