"Open","High","Low","Close","Volume","Date","Emiten"
350,350,330,350,65012200,"2021-11-01","BOBA"
342,436,326,348,296562000,"2021-11-02","BOBA"
360,386,324,328,158743000,"2021-11-03","BOBA"
328,330,306,306,26044200,"2021-11-04","BOBA"
306,324,290,308,49146500,"2021-11-05","BOBA"
308,308,290,294,13428000,"2021-11-08","BOBA"
294,312,294,308,21643300,"2021-11-09","BOBA"
310,312,294,298,9105800,"2021-11-10","BOBA"
298,300,294,296,5063500,"2021-11-11","BOBA"
300,300,286,290,5631500,"2021-11-12","BOBA"
290,292,280,286,5168100,"2021-11-15","BOBA"
286,288,278,280,3656700,"2021-11-16","BOBA"
280,284,272,278,2978600,"2021-11-17","BOBA"
276,280,270,274,2781500,"2021-11-18","BOBA"
272,278,268,274,3300100,"2021-11-19","BOBA"
274,276,270,274,2569700,"2021-11-22","BOBA"
274,278,270,270,1569400,"2021-11-23","BOBA"
272,274,264,268,2155700,"2021-11-24","BOBA"
264,270,260,262,1666200,"2021-11-25","BOBA"
264,264,250,250,3503300,"2021-11-26","BOBA"
252,252,234,246,3816400,"2021-11-29","BOBA"
248,260,246,248,4592600,"2021-11-30","BOBA"
248,256,248,250,2321600,"2021-12-01","BOBA"
254,256,248,252,1280600,"2021-12-02","BOBA"
256,256,248,248,1343500,"2021-12-03","BOBA"
248,302,248,270,30220000,"2021-12-06","BOBA"
272,278,256,264,6172600,"2021-12-07","BOBA"
264,264,250,252,2289800,"2021-12-08","BOBA"
252,262,252,262,1836700,"2021-12-09","BOBA"
266,266,258,262,1601600,"2021-12-10","BOBA"
262,266,258,266,1749600,"2021-12-13","BOBA"
266,266,258,260,501400,"2021-12-14","BOBA"
258,262,252,258,751400,"2021-12-15","BOBA"
260,260,250,254,681100,"2021-12-16","BOBA"
254,258,240,248,466300,"2021-12-17","BOBA"
246,250,242,244,271700,"2021-12-20","BOBA"
242,250,238,242,495100,"2021-12-21","BOBA"
240,252,240,248,667100,"2021-12-22","BOBA"
250,250,238,244,434100,"2021-12-23","BOBA"
244,246,240,244,247400,"2021-12-24","BOBA"
244,244,238,244,534600,"2021-12-27","BOBA"
244,246,238,238,541500,"2021-12-28","BOBA"
244,244,228,232,1309200,"2021-12-29","BOBA"
232,238,222,230,834700,"2021-12-30","BOBA"
226,232,222,226,756300,"2022-01-03","BOBA"
226,230,220,226,952700,"2022-01-04","BOBA"
228,248,226,232,2351900,"2022-01-05","BOBA"
232,238,224,230,454500,"2022-01-06","BOBA"
230,234,226,230,560300,"2022-01-07","BOBA"
232,232,222,230,685600,"2022-01-10","BOBA"
230,232,222,228,400300,"2022-01-11","BOBA"
226,228,222,224,366600,"2022-01-12","BOBA"
