"Open","High","Low","Close","Volume","Date","Emiten"
730,825,650,825,22453400,"2015-07-07","BOLT"
850,970,825,835,51717400,"2015-07-08","BOLT"
835,845,780,840,16978900,"2015-07-09","BOLT"
840,965,830,965,34706000,"2015-07-10","BOLT"
970,985,950,955,23928200,"2015-07-13","BOLT"
960,965,930,950,9916600,"2015-07-14","BOLT"
950,950,865,885,15204000,"2015-07-15","BOLT"
885,885,835,855,5542200,"2015-07-22","BOLT"
855,910,825,825,14122000,"2015-07-23","BOLT"
825,825,790,805,7371600,"2015-07-24","BOLT"
805,850,785,820,14044300,"2015-07-27","BOLT"
820,835,790,790,7210800,"2015-07-28","BOLT"
800,810,790,790,5529000,"2015-07-29","BOLT"
790,795,735,745,14713400,"2015-07-30","BOLT"
750,755,725,750,6043000,"2015-07-31","BOLT"
750,750,725,740,6916500,"2015-08-03","BOLT"
740,740,715,720,9406400,"2015-08-04","BOLT"
720,725,705,715,11592600,"2015-08-05","BOLT"
720,805,720,750,8165200,"2015-08-06","BOLT"
750,750,715,715,7166500,"2015-08-07","BOLT"
685,725,685,710,4806300,"2015-08-10","BOLT"
715,745,705,720,3960200,"2015-08-11","BOLT"
700,720,690,715,4028600,"2015-08-12","BOLT"
715,875,700,845,5249300,"2015-08-13","BOLT"
845,870,840,870,5462900,"2015-08-14","BOLT"
875,950,870,875,14517200,"2015-08-18","BOLT"
880,925,875,905,7625500,"2015-08-19","BOLT"
905,910,880,880,8018600,"2015-08-20","BOLT"
875,880,865,880,8333400,"2015-08-21","BOLT"
875,875,850,860,9087000,"2015-08-24","BOLT"
855,905,855,890,4717700,"2015-08-25","BOLT"
900,905,890,900,6833500,"2015-08-26","BOLT"
905,940,905,935,9717100,"2015-08-27","BOLT"
935,970,935,945,8384300,"2015-08-28","BOLT"
950,970,945,945,7263400,"2015-08-31","BOLT"
945,945,920,925,3891300,"2015-09-01","BOLT"
920,925,915,925,6302100,"2015-09-02","BOLT"
935,985,935,975,7633300,"2015-09-03","BOLT"
980,990,970,990,5849400,"2015-09-04","BOLT"
990,990,950,965,4157100,"2015-09-07","BOLT"
965,985,965,985,4619400,"2015-09-08","BOLT"
990,1005,990,990,3447200,"2015-09-09","BOLT"
990,990,960,965,4181200,"2015-09-10","BOLT"
965,975,965,965,4887600,"2015-09-11","BOLT"
970,975,965,975,4819500,"2015-09-14","BOLT"
970,975,935,970,5492400,"2015-09-15","BOLT"
970,985,970,980,4187500,"2015-09-16","BOLT"
980,1025,980,1015,7851900,"2015-09-17","BOLT"
1015,1055,1015,1055,6996800,"2015-09-18","BOLT"
1050,1075,1040,1060,6036900,"2015-09-21","BOLT"
1065,1100,1055,1055,10553700,"2015-09-22","BOLT"
1055,1060,1030,1030,4747800,"2015-09-23","BOLT"
1030,1045,1010,1030,10340800,"2015-09-25","BOLT"
1030,1035,1010,1020,5147300,"2015-09-28","BOLT"
1015,1025,995,1015,3757700,"2015-09-29","BOLT"
1015,1030,1010,1010,4845600,"2015-09-30","BOLT"
1010,1040,1010,1015,6984500,"2015-10-01","BOLT"
1015,1045,1015,1030,12590200,"2015-10-02","BOLT"
1035,1055,1025,1040,11312300,"2015-10-05","BOLT"
1040,1045,1035,1035,10189500,"2015-10-06","BOLT"
1035,1075,1030,1075,20185000,"2015-10-07","BOLT"
1080,1175,1075,1115,28408900,"2015-10-08","BOLT"
1120,1155,1090,1090,10155000,"2015-10-09","BOLT"
1090,1115,1085,1085,5434300,"2015-10-12","BOLT"
1090,1090,1045,1045,1895700,"2015-10-13","BOLT"
1040,1115,1040,1055,20098100,"2015-10-15","BOLT"
1060,1085,1050,1055,10985400,"2015-10-16","BOLT"
1055,1070,1055,1060,7774800,"2015-10-19","BOLT"
1060,1085,1055,1055,5135300,"2015-10-20","BOLT"
1060,1065,1040,1040,3813600,"2015-10-21","BOLT"
1040,1050,1010,1020,4820000,"2015-10-22","BOLT"
1025,1045,1010,1015,5844100,"2015-10-23","BOLT"
1020,1030,1010,1015,4695200,"2015-10-26","BOLT"
1020,1025,1010,1010,3622000,"2015-10-27","BOLT"
1010,1025,1005,1005,4633400,"2015-10-28","BOLT"
1005,1010,975,1010,4143800,"2015-10-29","BOLT"
1005,1010,995,1010,5255000,"2015-10-30","BOLT"
1015,1055,1015,1045,8218800,"2015-11-02","BOLT"
1045,1075,1030,1030,6998400,"2015-11-03","BOLT"
1030,1055,1020,1030,5976400,"2015-11-04","BOLT"
1030,1050,1015,1030,8588400,"2015-11-05","BOLT"
1030,1105,1030,1080,14815400,"2015-11-06","BOLT"
1085,1105,1065,1075,7870700,"2015-11-09","BOLT"
1075,1075,1035,1035,5160800,"2015-11-10","BOLT"
1035,1050,1025,1025,6777800,"2015-11-11","BOLT"
1025,1065,1025,1045,18417800,"2015-11-12","BOLT"
1040,1040,1005,1020,14118400,"2015-11-13","BOLT"
1020,1045,1020,1025,11773100,"2015-11-16","BOLT"
1025,1040,1025,1025,11791300,"2015-11-17","BOLT"
1030,1035,1020,1020,10071900,"2015-11-18","BOLT"
1025,1030,1015,1015,14248700,"2015-11-19","BOLT"
1015,1020,1010,1010,12290600,"2015-11-20","BOLT"
1015,1020,1010,1015,12842400,"2015-11-23","BOLT"
1015,1030,1015,1020,11915200,"2015-11-24","BOLT"
1025,1025,1005,1005,10280800,"2015-11-25","BOLT"
1005,1005,980,990,17693700,"2015-11-26","BOLT"
990,1005,980,990,14499100,"2015-11-27","BOLT"
995,1000,975,985,13644000,"2015-11-30","BOLT"
990,1000,980,985,13466800,"2015-12-01","BOLT"
985,1045,980,1030,21015700,"2015-12-02","BOLT"
1025,1035,1000,1000,11326900,"2015-12-03","BOLT"
995,1080,975,1080,18285500,"2015-12-04","BOLT"
1080,1170,1080,1170,19940500,"2015-12-07","BOLT"
1170,1170,1140,1140,13210900,"2015-12-08","BOLT"
1140,1140,1140,1140,0,"2015-12-09","BOLT"
1140,1160,1135,1140,12980300,"2015-12-10","BOLT"
1140,1150,1105,1150,10234000,"2015-12-11","BOLT"
1150,1150,1120,1125,12195600,"2015-12-14","BOLT"
1125,1140,1120,1130,12279600,"2015-12-15","BOLT"
1130,1130,1100,1100,12592500,"2015-12-16","BOLT"
1105,1135,1105,1110,16373700,"2015-12-17","BOLT"
1110,1125,1090,1125,13805500,"2015-12-18","BOLT"
1125,1140,1125,1135,13704400,"2015-12-21","BOLT"
1135,1145,1115,1120,14099100,"2015-12-22","BOLT"
1120,1145,1110,1145,16335300,"2015-12-23","BOLT"
1150,1280,1150,1200,18249400,"2015-12-28","BOLT"
1205,1230,1195,1200,13268000,"2015-12-29","BOLT"
1200,1230,1195,1195,15020000,"2015-12-30","BOLT"
1190,1205,1090,1165,12900000,"2016-01-04","BOLT"
1165,1195,1155,1170,14964700,"2016-01-05","BOLT"
1170,1185,1165,1165,12882200,"2016-01-06","BOLT"
1160,1160,1125,1125,13760600,"2016-01-07","BOLT"
1120,1125,1090,1090,14595700,"2016-01-08","BOLT"
1080,1090,1060,1085,16785600,"2016-01-11","BOLT"
1085,1110,1085,1095,19823600,"2016-01-12","BOLT"
1100,1110,1090,1100,14929200,"2016-01-13","BOLT"
1090,1090,1040,1085,17572200,"2016-01-14","BOLT"
1090,1110,1070,1080,17438800,"2016-01-15","BOLT"
1075,1080,1055,1060,17805800,"2016-01-18","BOLT"
1060,1070,1045,1060,18094600,"2016-01-19","BOLT"
1060,1075,1050,1060,14635100,"2016-01-20","BOLT"
1060,1085,1050,1085,12360600,"2016-01-21","BOLT"
1090,1090,1070,1075,15798900,"2016-01-22","BOLT"
1080,1085,1065,1070,15706700,"2016-01-25","BOLT"
1065,1080,1050,1060,18679300,"2016-01-26","BOLT"
1065,1075,1050,1065,14052700,"2016-01-27","BOLT"
1065,1075,1035,1060,17564200,"2016-01-28","BOLT"
1060,1065,1045,1045,17066700,"2016-01-29","BOLT"
1050,1065,1035,1040,17113500,"2016-02-01","BOLT"
1045,1050,1035,1040,18374800,"2016-02-02","BOLT"
1030,1050,1025,1035,13365400,"2016-02-03","BOLT"
1035,1045,1025,1030,13731800,"2016-02-04","BOLT"
1030,1045,1015,1035,16513900,"2016-02-05","BOLT"
1035,1035,1020,1020,12442100,"2016-02-09","BOLT"
1020,1035,1020,1030,17998700,"2016-02-10","BOLT"
1030,1035,1030,1030,15127000,"2016-02-11","BOLT"
1020,1045,1020,1045,14757900,"2016-02-12","BOLT"
1045,1065,1045,1055,19116700,"2016-02-15","BOLT"
1055,1060,1035,1045,19479600,"2016-02-16","BOLT"
1045,1055,1045,1055,18509900,"2016-02-17","BOLT"
1055,1065,1040,1040,14170600,"2016-02-18","BOLT"
1040,1045,1020,1025,15275300,"2016-02-19","BOLT"
