"Open","High","Low","Close","Volume","Date","Emiten"
135,135,135,135,281895000,"2022-11-08","BSBK"
155,182,130,182,985787500,"2022-11-09","BSBK"
197,244,187,242,1008282000,"2022-11-10","BSBK"
250,300,248,290,865122100,"2022-11-11","BSBK"
294,320,270,270,294248200,"2022-11-14","BSBK"
252,252,252,252,1886400,"2022-11-15","BSBK"
236,236,236,236,1338300,"2022-11-16","BSBK"
220,220,220,220,45806800,"2022-11-17","BSBK"
206,254,206,226,1600560400,"2022-11-18","BSBK"
228,256,226,234,1168791100,"2022-11-21","BSBK"
236,266,218,218,1632734300,"2022-11-22","BSBK"
204,206,204,204,115175700,"2022-11-23","BSBK"
202,216,190,216,271312000,"2022-11-24","BSBK"
216,236,202,218,1088122500,"2022-11-25","BSBK"
218,244,204,234,954451400,"2022-11-28","BSBK"
236,292,232,292,1322298400,"2022-11-29","BSBK"
294,362,288,338,2042089700,"2022-11-30","BSBK"
338,372,316,316,1452506900,"2022-12-01","BSBK"
294,294,294,294,23977800,"2022-12-02","BSBK"
274,274,274,274,15595000,"2022-12-05","BSBK"
256,272,256,256,927616000,"2022-12-06","BSBK"
240,272,240,240,1829229400,"2022-12-07","BSBK"
224,262,224,258,1027264900,"2022-12-08","BSBK"
260,278,240,240,558549500,"2022-12-09","BSBK"
224,296,224,232,2354032400,"2022-12-12","BSBK"
234,262,228,252,573151300,"2022-12-13","BSBK"
254,278,236,236,1093239200,"2022-12-14","BSBK"
232,240,220,220,308825400,"2022-12-15","BSBK"
250,250,206,206,537576900,"2022-12-16","BSBK"
192,212,192,208,724104800,"2022-12-19","BSBK"
208,214,194,194,1015977100,"2022-12-20","BSBK"
188,200,181,198,1038566900,"2022-12-21","BSBK"
197,226,194,208,883434600,"2022-12-22","BSBK"
210,222,194,194,968269900,"2022-12-23","BSBK"
194,199,181,181,974327500,"2022-12-26","BSBK"
169,171,169,169,299807400,"2022-12-27","BSBK"
158,161,158,158,324934900,"2022-12-28","BSBK"
150,166,150,160,804014200,"2022-12-29","BSBK"
160,160,149,149,718203100,"2022-12-30","BSBK"
146,179,141,171,1069182200,"2023-01-02","BSBK"
172,178,160,170,1717601100,"2023-01-03","BSBK"
160,162,159,159,937069800,"2023-01-04","BSBK"
149,155,148,148,1549467500,"2023-01-05","BSBK"
138,140,138,138,312704700,"2023-01-06","BSBK"
137,139,129,131,190216900,"2023-01-09","BSBK"
132,142,126,134,216254500,"2023-01-10","BSBK"
136,154,134,153,331122600,"2023-01-11","BSBK"
155,170,155,165,300370500,"2023-01-12","BSBK"
166,167,154,154,105525500,"2023-01-13","BSBK"
144,144,144,144,39703800,"2023-01-16","BSBK"
136,153,134,148,249595700,"2023-01-17","BSBK"
149,187,138,138,1974735000,"2023-01-18","BSBK"
129,132,129,129,950215000,"2023-01-19","BSBK"
120,129,120,120,475488700,"2023-01-20","BSBK"
