"Open","High","Low","Close","Volume","Date","Emiten"
130,157,130,157,285218500,"2021-12-16","BSML"
171,208,147,153,212272300,"2021-12-17","BSML"
152,154,143,143,44465000,"2021-12-20","BSML"
142,143,133,140,24014700,"2021-12-21","BSML"
140,140,131,131,7602400,"2021-12-22","BSML"
130,153,130,140,32662900,"2021-12-23","BSML"
140,150,135,148,16541200,"2021-12-24","BSML"
149,153,142,151,13406500,"2021-12-27","BSML"
151,175,151,167,60809300,"2021-12-28","BSML"
166,199,163,184,73545100,"2021-12-29","BSML"
185,210,183,194,63802400,"2021-12-30","BSML"
195,196,181,182,18364200,"2022-01-03","BSML"
184,200,182,193,24438100,"2022-01-04","BSML"
195,254,195,246,82104600,"2022-01-05","BSML"
248,258,230,238,27693300,"2022-01-06","BSML"
240,292,238,278,50184700,"2022-01-07","BSML"
278,332,278,322,53727600,"2022-01-10","BSML"
320,366,304,316,50288900,"2022-01-11","BSML"
320,368,318,350,50179000,"2022-01-12","BSML"
356,394,350,392,40296400,"2022-01-13","BSML"
396,418,374,406,52409100,"2022-01-14","BSML"
418,418,386,392,15264900,"2022-01-17","BSML"
398,402,380,390,10599600,"2022-01-18","BSML"
390,404,384,396,12687300,"2022-01-19","BSML"
398,400,386,398,10388300,"2022-01-20","BSML"
400,416,398,412,24855400,"2022-01-21","BSML"
414,430,404,430,27163900,"2022-01-24","BSML"
430,450,426,430,27986700,"2022-01-25","BSML"
430,456,426,456,18541700,"2022-01-26","BSML"
460,476,448,472,11379500,"2022-01-27","BSML"
472,480,470,470,5804100,"2022-01-28","BSML"
470,498,442,494,33752100,"2022-01-31","BSML"
494,580,488,560,35172300,"2022-02-02","BSML"
565,585,550,580,15653900,"2022-02-03","BSML"
585,680,565,620,29439600,"2022-02-04","BSML"
620,650,610,645,7273100,"2022-02-07","BSML"
655,720,650,720,15885800,"2022-02-08","BSML"
720,720,720,720,0,"2022-02-09","BSML"
725,725,670,670,2672100,"2022-02-10","BSML"
625,625,625,625,620200,"2022-02-11","BSML"
585,585,585,585,2175400,"2022-02-14","BSML"
545,715,545,680,69782600,"2022-02-15","BSML"
685,710,635,665,30797300,"2022-02-16","BSML"
665,695,620,620,22363200,"2022-02-17","BSML"
630,640,580,580,16382200,"2022-02-18","BSML"
540,605,540,580,14490400,"2022-02-21","BSML"
580,615,570,575,10272500,"2022-02-22","BSML"
580,600,550,590,10728900,"2022-02-23","BSML"
590,595,550,550,6887200,"2022-02-24","BSML"
515,535,515,515,3169300,"2022-02-25","BSML"
480,480,480,480,647000,"2022-03-01","BSML"
448,450,448,448,626900,"2022-03-02","BSML"
418,492,418,430,9136900,"2022-03-04","BSML"
422,448,400,410,8678700,"2022-03-07","BSML"
505,505,406,408,2013200,"2022-03-08","BSML"
414,426,400,408,4886700,"2022-03-09","BSML"
408,422,408,418,3002200,"2022-03-10","BSML"
420,510,420,456,21355500,"2022-03-11","BSML"
456,456,456,456,0,"2022-03-14","BSML"
456,480,440,470,5983800,"2022-03-15","BSML"
472,505,472,488,8298700,"2022-03-16","BSML"
488,498,466,472,3750500,"2022-03-17","BSML"
474,498,462,498,7304500,"2022-03-18","BSML"
500,535,492,535,10021300,"2022-03-21","BSML"
540,585,498,575,70456900,"2022-03-22","BSML"
580,585,560,565,5714900,"2022-03-23","BSML"
565,570,535,535,6516100,"2022-03-24","BSML"
535,665,535,665,49140200,"2022-03-25","BSML"
715,810,650,675,113882900,"2022-03-28","BSML"
680,680,630,635,20989000,"2022-03-29","BSML"
640,730,630,705,55793200,"2022-03-30","BSML"
710,880,660,880,80418800,"2022-03-31","BSML"
910,1070,870,890,97906800,"2022-04-01","BSML"
890,950,860,880,16978900,"2022-04-04","BSML"
880,920,865,880,5588700,"2022-04-05","BSML"
885,1010,850,985,30305700,"2022-04-06","BSML"
995,1065,960,965,16029700,"2022-04-07","BSML"
965,995,905,965,12415300,"2022-04-08","BSML"
960,1185,955,1160,45420200,"2022-04-11","BSML"
1140,1185,1080,1130,14131600,"2022-04-12","BSML"
1130,1155,1100,1120,4230200,"2022-04-13","BSML"
1170,1400,1145,1350,36180900,"2022-04-14","BSML"
1380,1575,1305,1345,23262700,"2022-04-18","BSML"
1350,1375,1320,1340,7344600,"2022-04-19","BSML"
1350,1365,1250,1325,16155100,"2022-04-20","BSML"
1330,1400,1250,1315,19085600,"2022-04-21","BSML"
1315,1630,1295,1565,40400100,"2022-04-22","BSML"
1565,1775,1460,1465,36507600,"2022-04-25","BSML"
1485,1550,1400,1470,12276500,"2022-04-26","BSML"
1475,1810,1475,1805,27583300,"2022-04-27","BSML"
1835,2150,1740,1750,48604400,"2022-04-28","BSML"
1830,1945,1655,1790,24649400,"2022-05-09","BSML"
1775,1900,1715,1715,17437500,"2022-05-10","BSML"
1775,1840,1625,1630,19487800,"2022-05-11","BSML"
1630,1630,1520,1520,18057600,"2022-05-12","BSML"
1560,1680,1420,1420,21478000,"2022-05-13","BSML"
1540,1540,1365,1400,10915200,"2022-05-17","BSML"
1400,1615,1370,1590,18215900,"2022-05-18","BSML"
1620,1625,1480,1480,13811100,"2022-05-19","BSML"
1465,1495,1380,1385,10247400,"2022-05-20","BSML"
1375,1380,1290,1290,2754100,"2022-05-23","BSML"
1270,1335,1200,1205,22512700,"2022-05-24","BSML"
1290,1290,1130,1205,16411100,"2022-05-25","BSML"
1210,1240,1175,1230,7035000,"2022-05-27","BSML"
1230,1255,1145,1145,10258400,"2022-05-30","BSML"
1180,1215,1155,1200,7516700,"2022-05-31","BSML"
1205,1290,1160,1265,12169500,"2022-06-02","BSML"
1270,1355,1245,1350,13795400,"2022-06-03","BSML"
1400,1520,1260,1260,28097200,"2022-06-06","BSML"
1175,1265,1175,1175,11151900,"2022-06-07","BSML"
1125,1175,1095,1110,6404000,"2022-06-08","BSML"
1105,1155,1070,1145,7944200,"2022-06-09","BSML"
1145,1180,1085,1140,6619000,"2022-06-10","BSML"
1115,1135,1065,1065,3061400,"2022-06-13","BSML"
1005,1040,995,995,6929800,"2022-06-14","BSML"
1050,1070,930,930,15079600,"2022-06-15","BSML"
885,955,880,940,5846400,"2022-06-16","BSML"
895,965,880,910,6760600,"2022-06-17","BSML"
910,950,900,935,4199400,"2022-06-20","BSML"
890,980,890,960,5008800,"2022-06-21","BSML"
985,990,920,945,3269300,"2022-06-22","BSML"
930,1040,910,1040,7317800,"2022-06-23","BSML"
1040,1080,975,995,6851200,"2022-06-24","BSML"
975,1040,975,1040,5503400,"2022-06-27","BSML"
1040,1170,1020,1095,15615100,"2022-06-28","BSML"
1100,1185,1060,1185,10176000,"2022-06-29","BSML"
1190,1295,1115,1245,24468900,"2022-06-30","BSML"
1245,1255,1160,1160,8327500,"2022-07-01","BSML"
1090,1095,1080,1080,563800,"2022-07-04","BSML"
1080,1095,1005,1040,8785700,"2022-07-05","BSML"
1030,1040,975,985,4100600,"2022-07-06","BSML"
985,1045,975,1040,6010200,"2022-07-07","BSML"
1040,1065,1010,1040,5089500,"2022-07-08","BSML"
1040,1070,985,1000,4016700,"2022-07-11","BSML"
1000,1040,985,1015,3206000,"2022-07-12","BSML"
1015,1075,1000,1025,5400900,"2022-07-13","BSML"
1025,1110,1015,1050,11712200,"2022-07-14","BSML"
1080,1080,980,980,6711500,"2022-07-15","BSML"
960,985,915,950,5077700,"2022-07-18","BSML"
905,970,905,940,3109400,"2022-07-19","BSML"
945,965,895,925,2824500,"2022-07-20","BSML"
875,950,875,940,2321700,"2022-07-21","BSML"
940,965,925,965,3008700,"2022-07-22","BSML"
970,1020,955,995,5244700,"2022-07-25","BSML"
1005,1025,990,1015,2477100,"2022-07-26","BSML"
1020,1040,995,1025,3115100,"2022-07-27","BSML"
1035,1060,955,975,7361100,"2022-07-28","BSML"
985,985,940,950,2424000,"2022-07-29","BSML"
950,1020,945,955,2296800,"2022-08-01","BSML"
950,960,930,940,1396000,"2022-08-02","BSML"
950,950,935,935,566300,"2022-08-03","BSML"
945,965,925,940,2482800,"2022-08-04","BSML"
940,955,905,935,1726800,"2022-08-05","BSML"
935,950,880,920,5319800,"2022-08-08","BSML"
920,930,885,925,4030600,"2022-08-09","BSML"
930,1060,920,1035,13241900,"2022-08-10","BSML"
1040,1120,995,1070,12441000,"2022-08-11","BSML"
1250,1250,1070,1090,4849400,"2022-08-12","BSML"
1100,1150,1085,1115,3065300,"2022-08-15","BSML"
1115,1220,1045,1200,9036200,"2022-08-16","BSML"
1220,1295,1160,1175,4554400,"2022-08-18","BSML"
1175,1190,1105,1160,3516100,"2022-08-19","BSML"
1160,1160,1100,1115,1112100,"2022-08-22","BSML"
1125,1240,1075,1095,3221300,"2022-08-23","BSML"
