"Open","High","Low","Close","Volume","Date","Emiten"
1940,1960,1850,1940,11438000,"2012-11-08","BSSR"
1930,1960,1930,1930,462000,"2012-11-09","BSSR"
1940,1940,1830,1940,159500,"2012-11-12","BSSR"
1940,1940,1920,1940,295000,"2012-11-13","BSSR"
1930,1930,1930,1930,241000,"2012-11-14","BSSR"
1930,1940,1900,1930,211500,"2012-11-19","BSSR"
1930,1930,1900,1930,35500,"2012-11-20","BSSR"
1920,1920,1900,1920,141500,"2012-11-21","BSSR"
1900,1920,1900,1900,7500,"2012-11-22","BSSR"
1920,1920,1910,1920,15500,"2012-11-23","BSSR"
1920,1920,1900,1920,60500,"2012-11-26","BSSR"
1910,1920,1910,1910,20000,"2012-11-27","BSSR"
1890,1890,1890,1890,2000,"2012-11-28","BSSR"
1900,1910,1890,1900,191000,"2012-11-29","BSSR"
1910,1910,1900,1910,32500,"2012-11-30","BSSR"
1920,1920,1900,1920,32500,"2012-12-03","BSSR"
1930,1930,1900,1930,7500,"2012-12-04","BSSR"
1920,1920,1920,1920,7500,"2012-12-05","BSSR"
1920,1920,1920,1920,25000,"2012-12-06","BSSR"
1920,1920,1900,1920,25000,"2012-12-07","BSSR"
1920,1920,1920,1920,0,"2012-12-10","BSSR"
1920,1920,1920,1920,5000,"2012-12-11","BSSR"
1910,1910,1910,1910,35000,"2012-12-12","BSSR"
1920,1920,1910,1920,45500,"2012-12-13","BSSR"
1900,1910,1900,1900,32500,"2012-12-14","BSSR"
1920,1920,1900,1920,111500,"2012-12-17","BSSR"
1920,1920,1910,1920,378000,"2012-12-18","BSSR"
1930,1930,1910,1930,367500,"2012-12-19","BSSR"
1930,1930,1930,1930,367500,"2012-12-20","BSSR"
1950,1950,1920,1950,172500,"2012-12-21","BSSR"
1950,1950,1950,1950,0,"2012-12-26","BSSR"
1960,1960,1960,1960,2500,"2012-12-27","BSSR"
1980,1980,1950,1980,102000,"2012-12-28","BSSR"
1980,1980,1980,1980,2500,"2013-01-02","BSSR"
1980,1980,1980,1980,2500,"2013-01-03","BSSR"
