"Open","High","Low","Close","Volume","Date","Emiten"
1250,1460,1200,1460,74480800,"2018-05-08","BTPS"
1500,1540,1460,1470,22920200,"2018-05-09","BTPS"
NA,NA,NA,NA,NA,"2018-05-10","BTPS"
1470,1515,1470,1510,43286000,"2018-05-11","BTPS"
1510,1515,1495,1505,16091400,"2018-05-14","BTPS"
1505,1505,1505,1505,0,"2018-05-15","BTPS"
1505,1505,1505,1505,0,"2018-05-16","BTPS"
1515,1585,1515,1580,69931400,"2018-05-17","BTPS"
1580,1590,1580,1580,15817100,"2018-05-18","BTPS"
1580,1585,1570,1580,12665700,"2018-05-21","BTPS"
1580,1600,1580,1590,16716800,"2018-05-22","BTPS"
1590,1600,1590,1595,23964500,"2018-05-23","BTPS"
1595,1595,1585,1590,17099900,"2018-05-24","BTPS"
1590,1590,1580,1585,9364400,"2018-05-25","BTPS"
1585,1600,1585,1595,22885700,"2018-05-28","BTPS"
1595,1595,1595,1595,0,"2018-05-29","BTPS"
1590,1590,1570,1570,19846500,"2018-05-30","BTPS"
1570,1570,1550,1550,13292200,"2018-05-31","BTPS"
1550,1550,1550,1550,0,"2018-06-01","BTPS"
1550,1560,1550,1560,9721900,"2018-06-04","BTPS"
1560,1560,1540,1545,12678900,"2018-06-05","BTPS"
1545,1545,1525,1525,12060200,"2018-06-06","BTPS"
1530,1530,1500,1505,16103800,"2018-06-07","BTPS"
1505,1510,1500,1505,9214200,"2018-06-08","BTPS"
1505,1505,1505,1505,0,"2018-06-11","BTPS"
1505,1505,1505,1505,0,"2018-06-12","BTPS"
1505,1505,1505,1505,0,"2018-06-13","BTPS"
1505,1505,1505,1505,0,"2018-06-14","BTPS"
1505,1505,1505,1505,0,"2018-06-15","BTPS"
1505,1505,1505,1505,0,"2018-06-18","BTPS"
1505,1505,1505,1505,0,"2018-06-19","BTPS"
1520,1570,1520,1550,34766300,"2018-06-20","BTPS"
1555,1575,1555,1560,68818300,"2018-06-21","BTPS"
1565,1575,1560,1570,74405400,"2018-06-22","BTPS"
1570,1585,1570,1570,75461700,"2018-06-25","BTPS"
1570,1575,1560,1570,15658300,"2018-06-26","BTPS"
1570,1575,1570,1575,12599600,"2018-06-27","BTPS"
1575,1585,1570,1585,38934100,"2018-06-28","BTPS"
1585,1595,1585,1585,17237900,"2018-06-29","BTPS"
1585,1590,1580,1585,7156900,"2018-07-02","BTPS"
1585,1585,1580,1585,8054200,"2018-07-03","BTPS"
1585,1590,1580,1585,22347300,"2018-07-04","BTPS"
1585,1590,1580,1580,33188300,"2018-07-05","BTPS"
1585,1590,1580,1580,38814900,"2018-07-06","BTPS"
1585,1590,1580,1585,39453600,"2018-07-09","BTPS"
1585,1590,1580,1590,57329000,"2018-07-10","BTPS"
