"Open","High","Low","Close","Volume","Date","Emiten"
250,253,222,239,28430800,"2014-01-16","CANI"
240,249,238,242,6768200,"2014-01-17","CANI"
242,247,240,243,3855600,"2014-01-20","CANI"
243,245,242,245,1996100,"2014-01-21","CANI"
244,244,241,243,1055600,"2014-01-22","CANI"
243,245,243,243,1303100,"2014-01-23","CANI"
242,242,240,242,1020300,"2014-01-24","CANI"
240,240,237,240,1067200,"2014-01-27","CANI"
240,242,240,240,929100,"2014-01-28","CANI"
241,243,241,243,1003300,"2014-01-29","CANI"
242,242,240,242,1101700,"2014-01-30","CANI"
241,241,240,241,914200,"2014-02-03","CANI"
239,240,239,239,1143400,"2014-02-04","CANI"
240,243,240,243,1210300,"2014-02-05","CANI"
243,246,243,246,1216100,"2014-02-06","CANI"
246,249,246,249,964900,"2014-02-07","CANI"
250,252,250,251,971100,"2014-02-10","CANI"
251,253,251,253,678100,"2014-02-11","CANI"
253,257,253,257,716200,"2014-02-12","CANI"
256,256,256,256,14700,"2014-02-13","CANI"
257,266,257,265,1432300,"2014-02-14","CANI"
266,270,265,270,1313300,"2014-02-17","CANI"
270,270,267,267,410800,"2014-02-18","CANI"
267,272,267,272,729800,"2014-02-19","CANI"
272,272,263,264,1518000,"2014-02-20","CANI"
265,266,265,266,148300,"2014-02-21","CANI"
264,264,262,262,375100,"2014-02-24","CANI"
262,262,258,258,274900,"2014-02-25","CANI"
258,258,249,249,2100100,"2014-02-26","CANI"
249,249,248,248,48900,"2014-02-27","CANI"
249,249,247,247,592900,"2014-02-28","CANI"
247,247,237,245,2865900,"2014-03-03","CANI"
245,250,244,250,1938400,"2014-03-04","CANI"
251,268,251,259,4963700,"2014-03-05","CANI"
259,265,259,263,1230400,"2014-03-06","CANI"
264,271,264,271,3141100,"2014-03-07","CANI"
271,271,270,270,828500,"2014-03-10","CANI"
270,270,269,269,256900,"2014-03-11","CANI"
268,268,264,266,848900,"2014-03-12","CANI"
266,270,266,270,816900,"2014-03-13","CANI"
269,271,267,270,894400,"2014-03-14","CANI"
269,270,267,267,1225000,"2014-03-17","CANI"
266,266,265,265,847100,"2014-03-18","CANI"
265,267,265,265,1357400,"2014-03-19","CANI"
265,265,265,265,0,"2014-03-20","CANI"
265,265,265,265,0,"2014-03-21","CANI"
265,265,265,265,0,"2014-03-24","CANI"
264,265,262,265,109600,"2014-03-25","CANI"
264,264,264,264,1000,"2014-03-26","CANI"
264,264,264,264,0,"2014-03-27","CANI"
261,269,261,269,252100,"2014-03-28","CANI"
265,265,265,265,50000,"2014-04-01","CANI"
264,264,264,264,50000,"2014-04-02","CANI"
264,264,264,264,50000,"2014-04-03","CANI"
264,264,264,264,0,"2014-04-04","CANI"
264,264,264,264,0,"2014-04-07","CANI"
264,264,264,264,0,"2014-04-08","CANI"
264,264,264,264,0,"2014-04-09","CANI"
264,264,264,264,0,"2014-04-10","CANI"
263,263,262,262,138100,"2014-04-11","CANI"
264,264,264,264,3600,"2014-04-14","CANI"
264,264,264,264,0,"2014-04-15","CANI"
261,261,261,261,100,"2014-04-16","CANI"
261,261,261,261,0,"2014-04-17","CANI"
261,261,261,261,0,"2014-04-21","CANI"
261,261,261,261,0,"2014-04-22","CANI"
259,259,259,259,11900,"2014-04-23","CANI"
259,259,259,259,0,"2014-04-24","CANI"
259,259,259,259,0,"2014-04-25","CANI"
259,259,259,259,3600,"2014-04-28","CANI"
