"Open","High","Low","Close","Volume","Date","Emiten"
395,425,390,395,17494000,"2011-12-05","CASS"
355,395,355,355,2767500,"2011-12-06","CASS"
340,365,340,340,895000,"2011-12-07","CASS"
320,340,315,320,2510000,"2011-12-08","CASS"
400,400,305,400,10848500,"2011-12-09","CASS"
440,500,415,440,27325500,"2011-12-12","CASS"
450,475,420,450,43184000,"2011-12-13","CASS"
415,460,410,415,26555000,"2011-12-14","CASS"
430,430,400,430,7220500,"2011-12-15","CASS"
410,440,405,410,11798500,"2011-12-16","CASS"
410,410,410,410,0,"2011-12-19","CASS"
395,400,385,395,665000,"2011-12-20","CASS"
395,400,390,395,969000,"2011-12-21","CASS"
385,390,385,385,454500,"2011-12-22","CASS"
400,400,385,400,553500,"2011-12-23","CASS"
390,410,390,390,386000,"2011-12-27","CASS"
395,415,390,395,557000,"2011-12-28","CASS"
400,405,395,400,467500,"2011-12-29","CASS"
405,405,395,405,250500,"2011-12-30","CASS"
390,400,390,390,48500,"2012-01-02","CASS"
405,415,390,405,607500,"2012-01-03","CASS"
400,415,400,400,199000,"2012-01-04","CASS"
400,410,400,400,1067500,"2012-01-05","CASS"
400,410,400,400,182000,"2012-01-06","CASS"
400,405,395,400,157500,"2012-01-09","CASS"
395,400,390,395,26000,"2012-01-10","CASS"
390,400,390,390,59000,"2012-01-11","CASS"
400,405,400,400,116500,"2012-01-12","CASS"
400,405,395,400,0,"2012-01-13","CASS"
400,400,395,400,112500,"2012-01-16","CASS"
405,405,395,405,727500,"2012-01-17","CASS"
410,410,395,410,576000,"2012-01-18","CASS"
410,415,405,410,43500,"2012-01-19","CASS"
400,405,400,400,177500,"2012-01-20","CASS"
405,410,400,405,34000,"2012-01-24","CASS"
395,400,395,395,325000,"2012-01-25","CASS"
405,405,380,405,91500,"2012-01-26","CASS"
405,405,405,405,91500,"2012-01-27","CASS"
400,400,390,400,74500,"2012-01-30","CASS"
400,400,390,400,122500,"2012-01-31","CASS"
390,400,390,390,22500,"2012-02-01","CASS"
390,390,390,390,22500,"2012-02-02","CASS"
390,395,390,390,18500,"2012-02-03","CASS"
395,400,380,395,15500,"2012-02-06","CASS"
385,395,375,385,11000,"2012-02-07","CASS"
390,390,390,390,5500,"2012-02-08","CASS"
395,400,385,395,35500,"2012-02-09","CASS"
380,395,380,380,250500,"2012-02-10","CASS"
410,410,385,410,503000,"2012-02-13","CASS"
410,420,410,410,121000,"2012-02-14","CASS"
405,410,405,405,19500,"2012-02-15","CASS"
410,415,405,410,171000,"2012-02-16","CASS"
410,410,410,410,18500,"2012-02-17","CASS"
410,410,405,410,45500,"2012-02-20","CASS"
410,415,405,410,124000,"2012-02-21","CASS"
425,425,410,425,285000,"2012-02-22","CASS"
415,425,410,415,13500,"2012-02-23","CASS"
405,410,405,405,248000,"2012-02-24","CASS"
405,405,405,405,11500,"2012-02-27","CASS"
410,410,405,410,327000,"2012-02-28","CASS"
445,460,410,445,2882500,"2012-02-29","CASS"
420,445,420,420,96000,"2012-03-01","CASS"
415,435,410,415,214500,"2012-03-02","CASS"
415,415,415,415,220500,"2012-03-05","CASS"
415,420,415,415,40000,"2012-03-06","CASS"
410,430,405,410,174000,"2012-03-07","CASS"
420,440,410,420,273000,"2012-03-08","CASS"
410,430,405,410,2,"2012-03-09","CASS"
400,430,400,400,78500,"2012-03-12","CASS"
415,415,405,415,104500,"2012-03-13","CASS"
415,425,415,415,94500,"2012-03-14","CASS"
415,415,415,415,1000,"2012-03-15","CASS"
405,420,405,405,99000,"2012-03-16","CASS"
410,410,410,410,1500,"2012-03-19","CASS"
415,425,415,415,23000,"2012-03-20","CASS"
420,430,420,420,74500,"2012-03-21","CASS"
425,425,425,425,1500,"2012-03-22","CASS"
425,425,425,425,1000,"2012-03-26","CASS"
425,425,425,425,10000,"2012-03-27","CASS"
425,425,425,425,17500,"2012-03-28","CASS"
425,425,425,425,12500,"2012-03-29","CASS"
425,430,425,425,25500,"2012-03-30","CASS"
425,430,420,425,99000,"2012-04-02","CASS"
425,425,425,425,0,"2012-04-03","CASS"
450,475,450,450,319500,"2012-04-04","CASS"
560,560,460,560,33573500,"2012-04-05","CASS"
620,670,560,620,18384000,"2012-04-09","CASS"
640,720,580,640,12152000,"2012-04-10","CASS"
600,640,580,600,7415500,"2012-04-11","CASS"
700,730,600,700,28046000,"2012-04-12","CASS"
700,750,700,700,25491500,"2012-04-13","CASS"
730,750,700,730,14883500,"2012-04-16","CASS"
720,740,700,720,10166000,"2012-04-17","CASS"
710,720,700,710,2396500,"2012-04-18","CASS"
760,820,700,760,39863500,"2012-04-19","CASS"
790,810,760,790,20827000,"2012-04-20","CASS"
780,820,770,780,6125500,"2012-04-23","CASS"
770,800,760,770,3174000,"2012-04-24","CASS"
880,880,760,880,21805000,"2012-04-25","CASS"
890,920,850,890,18775500,"2012-04-26","CASS"
890,890,890,890,18775500,"2012-04-27","CASS"
820,920,820,820,3305500,"2012-04-30","CASS"
860,880,820,860,2892500,"2012-05-01","CASS"
860,880,820,860,3,"2012-05-02","CASS"
830,850,820,830,350000,"2012-05-03","CASS"
820,850,820,820,250000,"2012-05-04","CASS"
780,810,760,780,946500,"2012-05-07","CASS"
770,790,770,770,610000,"2012-05-08","CASS"
830,850,750,830,5747000,"2012-05-09","CASS"
860,870,800,860,6897500,"2012-05-10","CASS"
890,910,840,890,6856000,"2012-05-11","CASS"
840,920,840,840,4647500,"2012-05-14","CASS"
850,880,830,850,781000,"2012-05-15","CASS"
820,860,800,820,661500,"2012-05-16","CASS"
850,850,820,850,436500,"2012-05-21","CASS"
860,870,840,860,1229500,"2012-05-22","CASS"
850,860,850,850,124000,"2012-05-23","CASS"
850,860,840,850,374000,"2012-05-24","CASS"
840,840,830,840,47500,"2012-05-25","CASS"
830,850,790,830,356000,"2012-05-28","CASS"
840,840,810,840,421000,"2012-05-29","CASS"
820,830,800,820,70000,"2012-05-30","CASS"
790,810,760,790,137000,"2012-05-31","CASS"
790,790,770,790,58000,"2012-06-01","CASS"
790,790,700,790,580500,"2012-06-04","CASS"
790,800,780,790,29500,"2012-06-05","CASS"
800,810,790,800,52500,"2012-06-06","CASS"
790,800,780,790,24000,"2012-06-07","CASS"
780,790,770,780,128000,"2012-06-08","CASS"
790,800,780,790,45000,"2012-06-11","CASS"
790,790,790,790,3500,"2012-06-12","CASS"
770,780,760,770,235000,"2012-06-13","CASS"
820,820,750,820,151500,"2012-06-14","CASS"
800,800,750,800,191000,"2012-06-15","CASS"
810,810,790,810,380000,"2012-06-18","CASS"
780,780,780,780,25000,"2012-06-19","CASS"
750,790,740,750,776500,"2012-06-20","CASS"
750,760,740,750,129000,"2012-06-21","CASS"
750,750,720,750,41500,"2012-06-22","CASS"
750,750,740,750,13000,"2012-06-25","CASS"
