"Open","High","Low","Close","Volume","Date","Emiten"
144,145,144,145,65266100,"2023-01-09","CBRE"
160,195,140,195,328134800,"2023-01-10","CBRE"
202,242,182,182,448969700,"2023-01-11","CBRE"
170,174,170,170,17100000,"2023-01-12","CBRE"
159,171,159,159,113064400,"2023-01-13","CBRE"
148,148,148,148,11269500,"2023-01-16","CBRE"
138,164,138,155,390748800,"2023-01-17","CBRE"
158,166,145,145,103760600,"2023-01-18","CBRE"
135,135,135,135,12849400,"2023-01-19","CBRE"
126,143,126,136,259785200,"2023-01-20","CBRE"
139,141,129,130,58423600,"2023-01-24","CBRE"
130,130,121,121,51820000,"2023-01-25","CBRE"
113,116,113,113,16355900,"2023-01-26","CBRE"
106,113,106,106,124137200,"2023-01-27","CBRE"
99,104,99,99,91496200,"2023-01-30","CBRE"
93,107,93,96,85620700,"2023-01-31","CBRE"
96,102,96,101,49374700,"2023-02-01","CBRE"
102,104,96,101,38845700,"2023-02-02","CBRE"
94,102,94,98,30058300,"2023-02-03","CBRE"
93,99,93,95,18167900,"2023-02-06","CBRE"
89,101,89,96,115008200,"2023-02-07","CBRE"
96,100,90,90,46621000,"2023-02-08","CBRE"
84,90,84,84,14155700,"2023-02-09","CBRE"
79,98,79,88,158021500,"2023-02-10","CBRE"
89,92,82,85,90551700,"2023-02-13","CBRE"
80,85,80,80,56752100,"2023-02-14","CBRE"
75,80,75,75,82179700,"2023-02-15","CBRE"
70,81,70,79,84168500,"2023-02-16","CBRE"
79,81,74,74,78103900,"2023-02-17","CBRE"
75,76,69,69,58230500,"2023-02-20","CBRE"
70,79,69,73,172597700,"2023-02-21","CBRE"
74,74,68,68,177540600,"2023-02-22","CBRE"
64,66,64,64,13571500,"2023-02-23","CBRE"
64,64,60,61,105116800,"2023-02-24","CBRE"
61,61,61,61,0,"2023-02-27","CBRE"
57,66,57,60,79758700,"2023-02-28","CBRE"
62,62,56,56,52652000,"2023-03-01","CBRE"
56,61,55,57,73706600,"2023-03-02","CBRE"
57,57,54,55,35520100,"2023-03-03","CBRE"
55,56,52,54,49284400,"2023-03-06","CBRE"
54,57,52,55,68518000,"2023-03-07","CBRE"
53,54,52,53,37655500,"2023-03-08","CBRE"
50,53,50,52,81882100,"2023-03-09","CBRE"
52,52,51,51,38474000,"2023-03-10","CBRE"
51,52,50,50,19052100,"2023-03-13","CBRE"
50,51,50,50,19698700,"2023-03-14","CBRE"
50,50,50,50,31597500,"2023-03-15","CBRE"
50,50,50,50,21371300,"2023-03-16","CBRE"
50,50,50,50,37374500,"2023-03-17","CBRE"
50,50,50,50,44384000,"2023-03-20","CBRE"
50,51,50,50,233798600,"2023-03-21","CBRE"
50,53,50,50,316520800,"2023-03-24","CBRE"
51,67,50,61,716361500,"2023-03-27","CBRE"
63,70,58,60,443850700,"2023-03-28","CBRE"
60,64,58,58,76106600,"2023-03-29","CBRE"
59,60,55,56,109550100,"2023-03-30","CBRE"
55,59,54,55,100239200,"2023-03-31","CBRE"
55,57,52,54,48799600,"2023-04-03","CBRE"
54,60,53,56,188116100,"2023-04-04","CBRE"
57,59,55,57,93608800,"2023-04-05","CBRE"
57,64,56,60,175688600,"2023-04-06","CBRE"
60,61,56,56,46361800,"2023-04-10","CBRE"
55,57,53,53,80391800,"2023-04-11","CBRE"
53,56,53,54,29570800,"2023-04-12","CBRE"
54,57,53,53,29428800,"2023-04-13","CBRE"
53,55,50,51,38170200,"2023-04-14","CBRE"
51,52,50,51,59205500,"2023-04-17","CBRE"
51,51,50,50,18779200,"2023-04-18","CBRE"
50,51,50,50,11657600,"2023-04-26","CBRE"
51,53,50,52,54087000,"2023-04-27","CBRE"
52,52,50,50,8985500,"2023-04-28","CBRE"
50,51,50,50,10561600,"2023-05-02","CBRE"
50,51,50,51,12557300,"2023-05-03","CBRE"
50,51,50,50,25419400,"2023-05-04","CBRE"
50,51,50,50,8790100,"2023-05-05","CBRE"
50,51,50,50,8691900,"2023-05-08","CBRE"
50,51,50,50,4860500,"2023-05-09","CBRE"
50,50,50,50,4098900,"2023-05-10","CBRE"
50,51,50,50,3136200,"2023-05-11","CBRE"
