"Open","High","Low","Close","Volume","Date","Emiten"
140,168,132,143,577174300,"2023-07-10","CRSN"
144,145,122,122,145463600,"2023-07-11","CRSN"
113,129,111,121,40637300,"2023-07-12","CRSN"
121,123,118,118,18773800,"2023-07-13","CRSN"
118,121,111,113,25313900,"2023-07-14","CRSN"
108,117,106,107,43792400,"2023-07-17","CRSN"
100,108,99,99,31960100,"2023-07-18","CRSN"
99,123,97,112,149451700,"2023-07-20","CRSN"
113,119,106,111,52988100,"2023-07-21","CRSN"
111,117,108,110,25728900,"2023-07-24","CRSN"
110,113,107,108,14074800,"2023-07-25","CRSN"
109,114,106,110,22772800,"2023-07-26","CRSN"
110,116,108,109,35201600,"2023-07-27","CRSN"
110,112,108,109,11537300,"2023-07-28","CRSN"
110,116,109,115,35799600,"2023-07-31","CRSN"
116,118,112,117,54747000,"2023-08-01","CRSN"
118,127,115,125,65211000,"2023-08-02","CRSN"
126,127,120,125,32652400,"2023-08-03","CRSN"
125,129,122,124,23311100,"2023-08-04","CRSN"
125,129,123,125,22673600,"2023-08-07","CRSN"
125,132,123,131,59382000,"2023-08-08","CRSN"
132,133,112,116,52262500,"2023-08-09","CRSN"
118,124,116,120,37027800,"2023-08-10","CRSN"
120,120,112,116,10763100,"2023-08-11","CRSN"
116,118,116,116,3994400,"2023-08-14","CRSN"
116,117,108,109,13225700,"2023-08-15","CRSN"
106,109,96,106,28338900,"2023-08-16","CRSN"
104,110,103,109,7768600,"2023-08-18","CRSN"
101,118,101,115,31339300,"2023-08-21","CRSN"
116,123,112,113,35087900,"2023-08-22","CRSN"
113,114,108,110,5370200,"2023-08-23","CRSN"
110,114,109,112,2081800,"2023-08-24","CRSN"
112,115,110,111,1720600,"2023-08-25","CRSN"
112,114,111,112,2854100,"2023-08-28","CRSN"
112,113,108,112,3148900,"2023-08-29","CRSN"
112,118,111,114,7396900,"2023-08-30","CRSN"
117,117,112,114,2109600,"2023-08-31","CRSN"
115,121,110,116,15052000,"2023-09-01","CRSN"
116,118,113,115,12320600,"2023-09-04","CRSN"
114,118,112,116,12024600,"2023-09-05","CRSN"
117,117,113,113,4604100,"2023-09-06","CRSN"
113,115,111,111,4298600,"2023-09-07","CRSN"
111,116,110,113,8048100,"2023-09-08","CRSN"
113,121,109,120,27301400,"2023-09-11","CRSN"
121,124,114,114,25405800,"2023-09-12","CRSN"
114,118,114,114,6110800,"2023-09-13","CRSN"
114,114,112,112,2015200,"2023-09-14","CRSN"
113,116,111,113,5313400,"2023-09-15","CRSN"
113,113,108,108,6291900,"2023-09-18","CRSN"
108,112,106,109,7889800,"2023-09-19","CRSN"
109,115,109,115,5058400,"2023-09-20","CRSN"
115,115,112,113,2187600,"2023-09-21","CRSN"
114,114,110,111,4994800,"2023-09-22","CRSN"
112,113,109,110,2214500,"2023-09-25","CRSN"
110,112,108,108,3895700,"2023-09-26","CRSN"
