"Open","High","Low","Close","Volume","Date","Emiten"
264,264,196,197,23164200,"2020-04-09","CSMI"
196,200,184,184,4094400,"2020-04-13","CSMI"
184,190,172,177,4183200,"2020-04-14","CSMI"
173,189,173,184,1521600,"2020-04-15","CSMI"
190,202,174,181,4908700,"2020-04-16","CSMI"
171,190,169,190,2175000,"2020-04-17","CSMI"
183,188,179,183,562500,"2020-04-20","CSMI"
173,183,171,172,363500,"2020-04-21","CSMI"
162,180,160,172,515600,"2020-04-22","CSMI"
162,185,162,172,856000,"2020-04-23","CSMI"
162,172,162,164,251500,"2020-04-24","CSMI"
163,169,163,169,3488500,"2020-04-27","CSMI"
164,177,163,175,85300,"2020-04-28","CSMI"
165,180,165,175,89800,"2020-04-29","CSMI"
177,180,164,180,735000,"2020-04-30","CSMI"
180,182,174,178,779400,"2020-05-04","CSMI"
176,180,170,175,148900,"2020-05-05","CSMI"
166,179,166,177,222300,"2020-05-06","CSMI"
167,177,167,177,157300,"2020-05-08","CSMI"
167,177,167,177,580500,"2020-05-11","CSMI"
172,177,172,177,634500,"2020-05-12","CSMI"
177,177,173,177,330700,"2020-05-13","CSMI"
175,178,174,177,638700,"2020-05-14","CSMI"
177,177,173,177,183500,"2020-05-15","CSMI"
176,177,173,177,175300,"2020-05-18","CSMI"
177,179,177,179,148900,"2020-05-19","CSMI"
175,179,170,179,166600,"2020-05-20","CSMI"
179,184,175,184,117700,"2020-05-26","CSMI"
184,199,184,195,187500,"2020-05-27","CSMI"
195,195,185,193,115200,"2020-05-28","CSMI"
183,195,183,190,40900,"2020-05-29","CSMI"
180,195,180,195,126100,"2020-06-02","CSMI"
195,195,186,193,111500,"2020-06-03","CSMI"
193,193,186,190,117100,"2020-06-04","CSMI"
189,190,183,190,233200,"2020-06-05","CSMI"
190,192,185,191,359100,"2020-06-08","CSMI"
186,193,186,193,506300,"2020-06-09","CSMI"
193,193,187,190,139800,"2020-06-10","CSMI"
189,189,189,189,149800,"2020-06-11","CSMI"
188,188,184,188,73200,"2020-06-12","CSMI"
188,189,178,189,110800,"2020-06-15","CSMI"
180,191,180,191,121000,"2020-06-16","CSMI"
184,191,184,191,148800,"2020-06-17","CSMI"
186,191,186,191,161500,"2020-06-18","CSMI"
186,197,186,197,64200,"2020-06-19","CSMI"
198,206,191,200,181400,"2020-06-22","CSMI"
190,202,190,202,10800,"2020-06-23","CSMI"
202,208,190,208,27500,"2020-06-24","CSMI"
208,208,208,208,15000,"2020-06-25","CSMI"
200,206,199,206,3100,"2020-06-26","CSMI"
206,206,206,206,0,"2020-06-29","CSMI"
206,206,206,206,0,"2020-06-30","CSMI"
206,206,206,206,0,"2020-07-01","CSMI"
206,206,206,206,0,"2020-07-02","CSMI"
256,256,216,218,1400,"2020-07-03","CSMI"
272,272,230,230,500,"2020-07-06","CSMI"
220,220,216,216,200,"2020-07-07","CSMI"
270,270,212,230,217200,"2020-07-08","CSMI"
286,286,240,240,700,"2020-07-09","CSMI"
290,290,228,228,33600,"2020-07-10","CSMI"
248,248,216,220,60600,"2020-07-13","CSMI"
240,240,206,210,36500,"2020-07-14","CSMI"
210,230,197,216,29700,"2020-07-15","CSMI"
208,216,202,216,78300,"2020-07-16","CSMI"
266,266,204,210,67100,"2020-07-17","CSMI"
262,262,200,228,108900,"2020-07-20","CSMI"
268,268,216,224,154700,"2020-07-21","CSMI"
244,244,210,212,110400,"2020-07-22","CSMI"
252,252,202,218,21500,"2020-07-23","CSMI"
238,238,216,216,22900,"2020-07-24","CSMI"
226,226,208,214,57300,"2020-07-27","CSMI"
234,234,206,206,77500,"2020-07-28","CSMI"
226,226,204,204,14200,"2020-07-29","CSMI"
224,224,194,208,18300,"2020-07-30","CSMI"
228,228,208,208,800,"2020-08-03","CSMI"
228,228,200,210,50600,"2020-08-04","CSMI"
230,230,208,208,62100,"2020-08-05","CSMI"
228,228,208,208,20100,"2020-08-06","CSMI"
228,228,194,194,35800,"2020-08-07","CSMI"
204,204,194,200,28700,"2020-08-10","CSMI"
220,220,210,210,40700,"2020-08-11","CSMI"
230,230,196,200,130400,"2020-08-12","CSMI"
228,228,214,214,9300,"2020-08-13","CSMI"
234,234,200,202,103700,"2020-08-14","CSMI"
222,222,190,204,121800,"2020-08-18","CSMI"
224,224,191,202,32700,"2020-08-19","CSMI"
222,222,206,206,49500,"2020-08-24","CSMI"
226,226,206,206,52600,"2020-08-25","CSMI"
210,210,202,202,30400,"2020-08-26","CSMI"
222,222,192,212,150500,"2020-08-27","CSMI"
232,232,202,212,121300,"2020-08-28","CSMI"
232,232,202,210,80400,"2020-08-31","CSMI"
230,230,196,208,120500,"2020-09-01","CSMI"
228,240,202,216,24300,"2020-09-02","CSMI"
236,236,216,216,51700,"2020-09-03","CSMI"
236,236,202,220,35400,"2020-09-04","CSMI"
220,220,206,220,57200,"2020-09-07","CSMI"
240,240,208,216,3400,"2020-09-08","CSMI"
236,236,220,220,8100,"2020-09-09","CSMI"
240,240,206,206,28900,"2020-09-10","CSMI"
246,246,216,216,3600,"2020-09-11","CSMI"
236,236,204,214,22700,"2020-09-14","CSMI"
230,230,206,220,31600,"2020-09-15","CSMI"
240,240,212,220,51100,"2020-09-16","CSMI"
230,230,206,222,50700,"2020-09-17","CSMI"
242,242,212,228,35500,"2020-09-18","CSMI"
236,236,214,226,70700,"2020-09-21","CSMI"
246,246,212,230,178200,"2020-09-22","CSMI"
250,250,218,236,102000,"2020-09-23","CSMI"
256,256,224,234,117000,"2020-09-24","CSMI"
254,254,226,246,10600,"2020-09-25","CSMI"
306,306,230,298,347600,"2020-09-28","CSMI"
358,358,280,294,19800,"2020-09-29","CSMI"
336,336,306,306,59300,"2020-09-30","CSMI"
326,326,286,310,98600,"2020-10-01","CSMI"
370,370,290,340,144200,"2020-10-02","CSMI"
360,360,318,338,127200,"2020-10-05","CSMI"
358,358,326,344,110600,"2020-10-06","CSMI"
364,364,326,344,110400,"2020-10-07","CSMI"
364,364,334,354,59200,"2020-10-08","CSMI"
374,374,334,360,57200,"2020-10-09","CSMI"
380,440,362,440,88000,"2020-10-12","CSMI"
550,550,450,496,6700,"2020-10-13","CSMI"
620,620,480,500,8000,"2020-10-14","CSMI"
550,550,482,482,900,"2020-10-15","CSMI"
500,535,450,490,44800,"2020-10-16","CSMI"
510,550,488,488,52800,"2020-10-19","CSMI"
550,550,454,486,72600,"2020-10-20","CSMI"
505,550,460,525,3800,"2020-10-21","CSMI"
550,550,490,525,36500,"2020-10-22","CSMI"
575,575,525,525,4200,"2020-10-23","CSMI"
525,525,490,520,48400,"2020-10-26","CSMI"
570,570,520,520,3500,"2020-10-27","CSMI"
520,530,520,530,5200,"2020-11-02","CSMI"
580,580,525,525,20700,"2020-11-03","CSMI"
575,575,492,520,11600,"2020-11-04","CSMI"
570,570,510,540,1000,"2020-11-05","CSMI"
575,575,540,540,200,"2020-11-06","CSMI"
590,590,540,540,200,"2020-11-09","CSMI"
590,590,530,530,15300,"2020-11-10","CSMI"
570,570,500,540,3800,"2020-11-11","CSMI"
590,630,540,630,10900,"2020-11-12","CSMI"
680,680,600,650,3800,"2020-11-13","CSMI"
700,720,620,645,1100,"2020-11-16","CSMI"
695,750,600,600,4000,"2020-11-17","CSMI"
630,730,600,600,61100,"2020-11-18","CSMI"
650,650,560,560,39300,"2020-11-19","CSMI"
610,620,540,540,17300,"2020-11-20","CSMI"
570,570,505,505,175200,"2020-11-23","CSMI"
555,555,496,496,13200,"2020-11-24","CSMI"
515,515,490,500,400,"2020-11-25","CSMI"
550,550,478,500,25100,"2020-11-26","CSMI"
550,550,488,494,24200,"2020-11-27","CSMI"
510,510,510,510,100,"2020-11-30","CSMI"
510,555,476,555,39100,"2020-12-01","CSMI"
605,605,520,545,66200,"2020-12-02","CSMI"
595,595,510,525,49300,"2020-12-03","CSMI"
490,525,490,515,16900,"2020-12-04","CSMI"
565,565,515,525,5800,"2020-12-07","CSMI"
575,575,525,525,1900,"2020-12-08","CSMI"
550,550,525,525,400,"2020-12-10","CSMI"
525,530,525,530,1300,"2020-12-11","CSMI"
580,580,545,545,700,"2020-12-14","CSMI"
595,595,525,540,1200,"2020-12-15","CSMI"
590,590,530,530,1700,"2020-12-16","CSMI"
580,580,520,530,22000,"2020-12-17","CSMI"
580,580,520,520,3400,"2020-12-18","CSMI"
520,520,520,520,100,"2020-12-21","CSMI"
570,570,500,500,4500,"2020-12-22","CSMI"
550,550,500,530,3800,"2020-12-23","CSMI"
580,580,520,530,10800,"2020-12-28","CSMI"
