"Open","High","Low","Close","Volume","Date","Emiten"
274,274,240,274,106356200,"2023-03-08","CUAN"
342,342,330,342,52800300,"2023-03-09","CUAN"
424,426,320,426,677210900,"2023-03-10","CUAN"
440,530,412,530,179128300,"2023-03-13","CUAN"
550,660,550,660,308573600,"2023-03-14","CUAN"
710,825,700,825,157997300,"2023-03-15","CUAN"
825,1000,770,770,318321800,"2023-03-16","CUAN"
720,755,720,720,42305300,"2023-03-17","CUAN"
670,670,670,670,17004400,"2023-03-20","CUAN"
625,790,625,760,331031000,"2023-03-21","CUAN"
785,805,710,710,84063200,"2023-03-24","CUAN"
670,755,665,710,89121500,"2023-03-27","CUAN"
720,780,715,755,104158100,"2023-03-28","CUAN"
760,760,715,735,33811300,"2023-03-29","CUAN"
735,785,720,740,54239200,"2023-03-30","CUAN"
745,880,745,815,186211800,"2023-03-31","CUAN"
825,850,790,810,56983300,"2023-04-03","CUAN"
840,920,820,895,156869100,"2023-04-04","CUAN"
920,940,885,900,65160600,"2023-04-05","CUAN"
915,925,875,900,27758400,"2023-04-06","CUAN"
905,925,865,870,18436000,"2023-04-10","CUAN"
870,950,870,945,73821100,"2023-04-11","CUAN"
945,960,915,925,32959600,"2023-04-12","CUAN"
925,935,885,900,15984100,"2023-04-13","CUAN"
925,925,890,890,12207100,"2023-04-14","CUAN"
890,910,830,900,30517500,"2023-04-17","CUAN"
900,950,875,950,21527300,"2023-04-18","CUAN"
950,1065,940,1030,66429500,"2023-04-26","CUAN"
1030,1065,1000,1015,17486600,"2023-04-27","CUAN"
1035,1035,975,1000,16021200,"2023-04-28","CUAN"
1010,1045,990,990,13530800,"2023-05-02","CUAN"
995,1000,970,970,6083200,"2023-05-03","CUAN"
970,1000,905,920,21824500,"2023-05-04","CUAN"
920,930,860,900,30187600,"2023-05-05","CUAN"
900,935,845,880,13691900,"2023-05-08","CUAN"
880,880,840,855,5135300,"2023-05-09","CUAN"
815,855,805,805,11637000,"2023-05-10","CUAN"
800,855,800,810,11387600,"2023-05-11","CUAN"
825,880,800,855,14348000,"2023-05-12","CUAN"
865,870,820,825,7989100,"2023-05-15","CUAN"
825,985,825,920,54921000,"2023-05-16","CUAN"
920,935,870,875,17830700,"2023-05-17","CUAN"
870,895,860,870,7173100,"2023-05-19","CUAN"
875,895,870,885,4109400,"2023-05-22","CUAN"
885,890,865,865,4828800,"2023-05-23","CUAN"
865,890,865,870,3800200,"2023-05-24","CUAN"
875,905,870,880,8663600,"2023-05-25","CUAN"
880,885,865,875,3329700,"2023-05-26","CUAN"
875,885,865,875,3344700,"2023-05-29","CUAN"
880,910,865,880,6111300,"2023-05-30","CUAN"
885,895,875,875,4203600,"2023-05-31","CUAN"
880,895,875,885,2938900,"2023-06-05","CUAN"
890,915,885,895,3378300,"2023-06-06","CUAN"
900,930,885,925,13434400,"2023-06-07","CUAN"
940,955,915,915,14521500,"2023-06-08","CUAN"
920,925,885,890,4928400,"2023-06-09","CUAN"
890,915,880,885,3432500,"2023-06-12","CUAN"
895,915,885,900,2678200,"2023-06-13","CUAN"
905,920,895,900,2653300,"2023-06-14","CUAN"
905,920,895,910,4192000,"2023-06-15","CUAN"
910,1030,905,995,48060700,"2023-06-16","CUAN"
995,1020,935,945,14412300,"2023-06-19","CUAN"
945,965,910,920,5443200,"2023-06-20","CUAN"
920,920,885,900,4930200,"2023-06-21","CUAN"
905,935,895,905,3096800,"2023-06-22","CUAN"
905,935,860,870,8828500,"2023-06-23","CUAN"
865,870,740,800,37034300,"2023-06-26","CUAN"
800,860,800,845,8019000,"2023-06-27","CUAN"
855,865,830,845,3335900,"2023-07-03","CUAN"
845,865,835,855,3767400,"2023-07-04","CUAN"
855,895,855,860,3139000,"2023-07-05","CUAN"
860,880,835,870,2523000,"2023-07-06","CUAN"
870,905,850,900,5319600,"2023-07-07","CUAN"
910,955,900,950,8192700,"2023-07-10","CUAN"
955,980,915,960,6032900,"2023-07-11","CUAN"
965,965,930,960,3183200,"2023-07-12","CUAN"
955,970,925,970,5411000,"2023-07-13","CUAN"
980,1050,965,1030,16726500,"2023-07-14","CUAN"
1030,1220,1030,1155,31318900,"2023-07-17","CUAN"
1155,1400,1140,1385,43386400,"2023-07-18","CUAN"
1395,1540,1265,1410,44539100,"2023-07-20","CUAN"
1410,1510,1385,1425,15730100,"2023-07-21","CUAN"
1425,1500,1295,1445,19688600,"2023-07-24","CUAN"
1445,1490,1395,1445,7544600,"2023-07-25","CUAN"
1450,1480,1395,1470,7347900,"2023-07-26","CUAN"
1475,1600,1420,1560,22393100,"2023-07-27","CUAN"
1580,1780,1540,1750,21982300,"2023-07-28","CUAN"
1800,1810,1660,1740,13116300,"2023-07-31","CUAN"
1740,1810,1660,1685,14323000,"2023-08-01","CUAN"
1690,1705,1615,1685,4222600,"2023-08-02","CUAN"
1685,1710,1655,1685,3032400,"2023-08-03","CUAN"
1690,1760,1680,1755,7004300,"2023-08-04","CUAN"
1765,1870,1735,1815,10390700,"2023-08-07","CUAN"
1820,1940,1815,1900,14295500,"2023-08-08","CUAN"
1900,1925,1865,1910,5467800,"2023-08-09","CUAN"
1910,1915,1765,1815,8753600,"2023-08-10","CUAN"
1815,2020,1815,1995,19690200,"2023-08-11","CUAN"
1995,2490,1995,2490,37582900,"2023-08-14","CUAN"
2490,2490,2490,2490,0,"2023-08-15","CUAN"
2690,2690,2300,2570,39506400,"2023-08-16","CUAN"
2570,2570,2570,2570,0,"2023-08-18","CUAN"
2570,2570,2570,2570,0,"2023-08-21","CUAN"
2570,2570,2570,2570,0,"2023-08-22","CUAN"
2570,2570,2570,2570,0,"2023-08-23","CUAN"
2500,2570,2340,2440,21203900,"2023-08-24","CUAN"
2440,2530,2200,2380,36902600,"2023-08-25","CUAN"
2370,2450,2270,2400,15847200,"2023-08-28","CUAN"
2450,2460,2320,2320,10828200,"2023-08-29","CUAN"
2320,2460,2270,2360,9644600,"2023-08-30","CUAN"
2370,2490,2270,2270,32642600,"2023-08-31","CUAN"
2300,2380,2160,2220,22565700,"2023-09-01","CUAN"
2220,2250,2010,2050,12772800,"2023-09-04","CUAN"
2050,2250,2010,2250,12966300,"2023-09-05","CUAN"
2300,2470,2280,2470,15139100,"2023-09-06","CUAN"
2590,2650,2370,2400,21397900,"2023-09-07","CUAN"
2410,2470,2380,2400,4512300,"2023-09-08","CUAN"
2410,2440,2330,2410,3834300,"2023-09-11","CUAN"
