"Open","High","Low","Close","Volume","Date","Emiten"
130,135,130,135,59517600,"2023-08-08","CYBR"
175,182,148,182,224080300,"2023-08-09","CYBR"
200,244,184,240,475898500,"2023-08-10","CYBR"
254,282,242,272,320601600,"2023-08-11","CYBR"
274,276,232,232,184225600,"2023-08-14","CYBR"
214,246,214,230,93795100,"2023-08-15","CYBR"
232,240,210,226,61653500,"2023-08-16","CYBR"
226,226,198,218,51263600,"2023-08-18","CYBR"
216,218,202,204,33091600,"2023-08-21","CYBR"
204,230,192,222,70202300,"2023-08-22","CYBR"
224,228,212,212,19867700,"2023-08-23","CYBR"
212,218,204,212,8658400,"2023-08-24","CYBR"
212,214,202,208,7864600,"2023-08-25","CYBR"
208,210,198,202,12240800,"2023-08-28","CYBR"
202,204,198,200,6942300,"2023-08-29","CYBR"
200,218,196,210,13506200,"2023-08-30","CYBR"
212,212,200,200,9434700,"2023-08-31","CYBR"
200,206,198,202,5490600,"2023-09-01","CYBR"
202,210,202,204,4516100,"2023-09-04","CYBR"
204,204,175,175,64807000,"2023-09-05","CYBR"
167,184,165,170,28937800,"2023-09-06","CYBR"
166,173,163,166,8777200,"2023-09-07","CYBR"
166,168,165,165,3631000,"2023-09-08","CYBR"
165,168,163,165,3196200,"2023-09-11","CYBR"
164,165,153,156,48382900,"2023-09-12","CYBR"
156,165,151,154,15500400,"2023-09-13","CYBR"
156,196,153,182,117394100,"2023-09-14","CYBR"
184,197,176,180,78032700,"2023-09-15","CYBR"
178,185,170,172,14913400,"2023-09-18","CYBR"
173,179,172,176,7386200,"2023-09-19","CYBR"
176,181,174,177,5912600,"2023-09-20","CYBR"
178,178,174,175,3528000,"2023-09-21","CYBR"
175,181,175,178,4900000,"2023-09-22","CYBR"
179,189,177,181,14052400,"2023-09-25","CYBR"
182,200,181,190,42507000,"2023-09-26","CYBR"
200,224,188,216,123149400,"2023-09-27","CYBR"
218,236,204,236,86446000,"2023-09-29","CYBR"
240,242,220,226,33225100,"2023-10-02","CYBR"
226,234,220,224,19408300,"2023-10-03","CYBR"
226,248,226,246,63140600,"2023-10-04","CYBR"
248,260,234,234,72709000,"2023-10-05","CYBR"
230,246,214,246,20566200,"2023-10-06","CYBR"
248,254,240,248,21089700,"2023-10-09","CYBR"
248,248,186,214,27692000,"2023-10-10","CYBR"
212,224,212,218,6042600,"2023-10-11","CYBR"
218,220,204,208,9640400,"2023-10-12","CYBR"
210,226,210,226,14367800,"2023-10-13","CYBR"
228,232,220,226,13539400,"2023-10-16","CYBR"
228,246,228,238,25273800,"2023-10-17","CYBR"
240,246,232,236,11625100,"2023-10-18","CYBR"
236,240,224,238,9850000,"2023-10-19","CYBR"
238,240,234,238,6879900,"2023-10-20","CYBR"
238,242,234,236,9638900,"2023-10-23","CYBR"
234,234,210,212,26737500,"2023-10-24","CYBR"
212,220,195,195,16425600,"2023-10-25","CYBR"
195,204,186,194,11742200,"2023-10-26","CYBR"
199,200,191,197,3007600,"2023-10-27","CYBR"
197,204,189,191,7441600,"2023-10-30","CYBR"
191,194,185,191,6526700,"2023-10-31","CYBR"
191,193,187,188,3822600,"2023-11-01","CYBR"
188,197,187,192,2900900,"2023-11-02","CYBR"
192,194,188,193,2135500,"2023-11-03","CYBR"
193,195,190,191,1901500,"2023-11-06","CYBR"
191,191,185,185,6278500,"2023-11-07","CYBR"
188,192,186,192,2957100,"2023-11-08","CYBR"
190,192,183,187,9572800,"2023-11-09","CYBR"
191,200,190,195,8550500,"2023-11-10","CYBR"
194,206,191,206,8833100,"2023-11-13","CYBR"
208,228,206,228,49435200,"2023-11-14","CYBR"
230,230,212,212,17514500,"2023-11-15","CYBR"
210,218,208,214,5578300,"2023-11-16","CYBR"
214,218,210,212,2955500,"2023-11-17","CYBR"
214,216,204,212,3343300,"2023-11-20","CYBR"
210,218,210,214,2729900,"2023-11-21","CYBR"
216,226,210,212,12285900,"2023-11-22","CYBR"
214,232,214,224,31234000,"2023-11-23","CYBR"
224,238,214,222,13835700,"2023-11-24","CYBR"
222,224,216,222,4218800,"2023-11-27","CYBR"
222,228,214,222,7272200,"2023-11-28","CYBR"
226,228,199,206,17397300,"2023-11-29","CYBR"
200,214,190,210,15803600,"2023-11-30","CYBR"
208,212,204,212,4047900,"2023-12-01","CYBR"
212,214,208,212,3886400,"2023-12-04","CYBR"
212,214,206,212,5805300,"2023-12-05","CYBR"
212,214,202,206,3988300,"2023-12-06","CYBR"
206,212,202,206,1880600,"2023-12-07","CYBR"
206,210,197,199,7524100,"2023-12-08","CYBR"
198,198,170,173,38924100,"2023-12-11","CYBR"
175,175,162,169,10035100,"2023-12-12","CYBR"
169,190,169,188,11052200,"2023-12-13","CYBR"
188,189,180,186,3650700,"2023-12-14","CYBR"
186,190,180,186,2825600,"2023-12-15","CYBR"
187,190,187,188,2353600,"2023-12-18","CYBR"
189,194,184,190,3932900,"2023-12-19","CYBR"
190,191,187,189,1038400,"2023-12-20","CYBR"
190,193,186,190,1092000,"2023-12-21","CYBR"
188,199,187,196,7246800,"2023-12-22","CYBR"
198,206,196,206,6751700,"2023-12-27","CYBR"
206,214,200,212,10993700,"2023-12-28","CYBR"
210,220,204,220,15964100,"2023-12-29","CYBR"
220,220,200,206,4706700,"2024-01-02","CYBR"
206,208,196,198,1984000,"2024-01-03","CYBR"
202,202,198,200,710800,"2024-01-04","CYBR"
200,200,184,197,3695300,"2024-01-05","CYBR"
197,202,195,197,822000,"2024-01-08","CYBR"
202,202,195,198,2141000,"2024-01-09","CYBR"
195,197,185,185,7726700,"2024-01-10","CYBR"
185,196,185,193,1533100,"2024-01-11","CYBR"
193,196,176,182,7430100,"2024-01-12","CYBR"
182,182,182,182,0,"2024-01-15","CYBR"
189,192,188,188,737900,"2024-01-16","CYBR"
188,192,188,190,1551600,"2024-01-17","CYBR"
190,193,186,193,2285600,"2024-01-18","CYBR"
193,193,189,190,1971300,"2024-01-19","CYBR"
190,202,186,200,2755500,"2024-01-22","CYBR"
200,202,192,198,1845900,"2024-01-23","CYBR"
198,208,195,200,4277000,"2024-01-24","CYBR"
200,216,198,212,4729600,"2024-01-25","CYBR"
