"Open","High","Low","Close","Volume","Date","Emiten"
173,173,162,173,48085200,"2020-02-14","DADA"
174,185,146,151,79914500,"2020-02-17","DADA"
151,165,140,158,37196300,"2020-02-18","DADA"
158,171,158,164,48941900,"2020-02-19","DADA"
161,168,158,162,26996200,"2020-02-20","DADA"
161,162,151,157,35825300,"2020-02-21","DADA"
156,158,144,151,17702400,"2020-02-24","DADA"
151,160,143,149,19634000,"2020-02-25","DADA"
149,151,137,138,20908600,"2020-02-26","DADA"
138,157,134,136,22941900,"2020-02-27","DADA"
135,135,103,112,22512700,"2020-02-28","DADA"
112,151,108,151,52769400,"2020-03-02","DADA"
154,183,140,165,32449000,"2020-03-03","DADA"
165,180,144,160,33467900,"2020-03-04","DADA"
160,185,159,170,25285700,"2020-03-05","DADA"
171,171,159,164,14550800,"2020-03-06","DADA"
163,220,160,214,28121400,"2020-03-09","DADA"
212,266,197,266,23345300,"2020-03-10","DADA"
268,300,266,296,23036800,"2020-03-11","DADA"
296,302,268,268,6724300,"2020-03-12","DADA"
262,268,250,250,854500,"2020-03-13","DADA"
250,272,234,250,13579500,"2020-03-16","DADA"
240,250,234,236,11434400,"2020-03-17","DADA"
236,262,220,236,13711000,"2020-03-18","DADA"
236,292,224,290,6266000,"2020-03-19","DADA"
296,322,270,270,13084900,"2020-03-20","DADA"
266,288,252,270,4234400,"2020-03-23","DADA"
270,290,268,272,1338500,"2020-03-24","DADA"
280,340,270,340,7283300,"2020-03-26","DADA"
346,380,326,340,8364100,"2020-03-27","DADA"
340,340,318,318,5970000,"2020-03-30","DADA"
320,396,320,396,21575700,"2020-03-31","DADA"
400,428,370,370,10223300,"2020-04-01","DADA"
368,372,346,346,4662400,"2020-04-02","DADA"
344,360,322,348,6506300,"2020-04-03","DADA"
350,392,338,354,14197000,"2020-04-06","DADA"
354,360,344,350,3773600,"2020-04-07","DADA"
352,352,338,340,2025200,"2020-04-08","DADA"
340,380,318,370,9922800,"2020-04-09","DADA"
370,384,366,376,5441600,"2020-04-13","DADA"
376,380,372,380,3209900,"2020-04-14","DADA"
378,378,368,370,3370000,"2020-04-15","DADA"
368,368,358,368,3035100,"2020-04-16","DADA"
368,382,360,382,7546500,"2020-04-17","DADA"
380,400,356,356,29100900,"2020-04-20","DADA"
356,356,332,332,235000,"2020-04-21","DADA"
332,332,310,310,130100,"2020-04-22","DADA"
292,326,290,322,2877100,"2020-04-23","DADA"
324,330,300,328,8530900,"2020-04-24","DADA"
312,328,306,308,10582200,"2020-04-27","DADA"
308,310,288,288,4439100,"2020-04-28","DADA"
290,290,268,270,11406400,"2020-04-29","DADA"
264,278,252,274,11108700,"2020-04-30","DADA"
272,274,256,258,10336900,"2020-05-04","DADA"
258,258,240,242,12701200,"2020-05-05","DADA"
242,242,226,228,13059900,"2020-05-06","DADA"
228,228,214,216,13764400,"2020-05-08","DADA"
218,218,204,218,15077600,"2020-05-11","DADA"
218,224,204,218,15291700,"2020-05-12","DADA"
218,224,208,224,14648400,"2020-05-13","DADA"
224,228,220,224,15089700,"2020-05-14","DADA"
218,224,210,210,14648700,"2020-05-15","DADA"
210,210,196,197,16540600,"2020-05-18","DADA"
197,202,197,198,17311700,"2020-05-19","DADA"
198,200,196,197,17156100,"2020-05-20","DADA"
197,198,191,191,18517800,"2020-05-26","DADA"
191,193,181,181,20638700,"2020-05-27","DADA"
180,190,174,183,20812500,"2020-05-28","DADA"
183,183,172,172,22356200,"2020-05-29","DADA"
172,172,165,166,19936000,"2020-06-02","DADA"
164,167,158,158,22384200,"2020-06-03","DADA"
158,158,148,150,22506000,"2020-06-04","DADA"
150,152,142,144,26975200,"2020-06-05","DADA"
144,148,142,147,26592400,"2020-06-08","DADA"
147,148,144,148,26237500,"2020-06-09","DADA"
148,186,147,185,101653300,"2020-06-10","DADA"
185,188,173,173,60363300,"2020-06-11","DADA"
164,167,161,161,38829600,"2020-06-12","DADA"
152,167,150,153,42761300,"2020-06-15","DADA"
152,153,146,148,31027200,"2020-06-16","DADA"
148,153,144,146,32023000,"2020-06-17","DADA"
146,150,142,144,27935700,"2020-06-18","DADA"
144,144,134,134,47828300,"2020-06-19","DADA"
136,136,125,129,36708800,"2020-06-22","DADA"
129,129,120,123,23708800,"2020-06-23","DADA"
123,125,118,120,13176000,"2020-06-24","DADA"
120,128,119,121,51403300,"2020-06-25","DADA"
121,121,113,113,45754000,"2020-06-26","DADA"
106,114,106,108,29694000,"2020-06-29","DADA"
108,115,105,107,48087200,"2020-06-30","DADA"
108,110,102,104,42703200,"2020-07-01","DADA"
99,106,99,101,36122700,"2020-07-02","DADA"
98,105,98,105,31990200,"2020-07-03","DADA"
105,110,105,106,49067000,"2020-07-06","DADA"
106,108,100,102,39834000,"2020-07-07","DADA"
102,107,101,102,41417400,"2020-07-08","DADA"
102,104,98,98,47459900,"2020-07-09","DADA"
100,100,92,92,76379800,"2020-07-10","DADA"
92,93,88,88,58200700,"2020-07-13","DADA"
87,109,86,104,255955600,"2020-07-14","DADA"
104,110,97,106,231247300,"2020-07-15","DADA"
