"Open","High","Low","Close","Volume","Date","Emiten"
560,600,470,600,279806200,"2021-11-25","DEPO"
620,745,600,620,214715900,"2021-11-26","DEPO"
620,620,580,590,38802600,"2021-11-29","DEPO"
590,665,585,615,49875100,"2021-11-30","DEPO"
645,645,595,610,24329600,"2021-12-01","DEPO"
620,630,605,610,21041800,"2021-12-02","DEPO"
610,625,570,570,25123600,"2021-12-03","DEPO"
565,585,535,560,16572600,"2021-12-06","DEPO"
560,565,525,525,13743600,"2021-12-07","DEPO"
535,535,500,520,11411200,"2021-12-08","DEPO"
520,535,510,525,8189800,"2021-12-09","DEPO"
525,535,520,530,5884500,"2021-12-10","DEPO"
530,535,520,530,5567100,"2021-12-13","DEPO"
530,530,515,530,8079900,"2021-12-14","DEPO"
530,535,520,530,5762700,"2021-12-15","DEPO"
525,535,500,520,7646300,"2021-12-16","DEPO"
520,520,500,510,5576800,"2021-12-17","DEPO"
510,510,492,496,5164200,"2021-12-20","DEPO"
494,496,480,490,8767600,"2021-12-21","DEPO"
490,490,482,488,5852400,"2021-12-22","DEPO"
488,492,486,488,6179500,"2021-12-23","DEPO"
490,496,484,486,6713400,"2021-12-24","DEPO"
488,488,484,486,4904200,"2021-12-27","DEPO"
486,496,482,492,7205300,"2021-12-28","DEPO"
492,494,486,488,5630300,"2021-12-29","DEPO"
488,490,484,488,7136000,"2021-12-30","DEPO"
488,490,482,486,6142000,"2022-01-03","DEPO"
486,486,480,486,7920300,"2022-01-04","DEPO"
486,486,480,484,6689800,"2022-01-05","DEPO"
482,486,480,484,7423500,"2022-01-06","DEPO"
484,484,480,484,6987400,"2022-01-07","DEPO"
484,484,478,482,7426100,"2022-01-10","DEPO"
482,482,478,478,7641200,"2022-01-11","DEPO"
478,480,464,468,8699400,"2022-01-12","DEPO"
468,470,440,468,11741300,"2022-01-13","DEPO"
468,492,466,490,12320700,"2022-01-14","DEPO"
492,520,486,490,12524400,"2022-01-17","DEPO"
490,494,482,488,16193500,"2022-01-18","DEPO"
488,488,480,480,6242800,"2022-01-19","DEPO"
480,480,466,472,6718800,"2022-01-20","DEPO"
472,480,470,476,5668900,"2022-01-21","DEPO"
476,486,474,482,9402500,"2022-01-24","DEPO"
480,482,458,470,6456400,"2022-01-25","DEPO"
470,474,468,474,5703700,"2022-01-26","DEPO"
474,480,472,480,6264000,"2022-01-27","DEPO"
480,482,476,482,7092700,"2022-01-28","DEPO"
482,515,476,496,14033400,"2022-01-31","DEPO"
498,500,474,480,8084600,"2022-02-02","DEPO"
478,480,462,470,7260500,"2022-02-03","DEPO"
468,470,460,466,6294500,"2022-02-04","DEPO"
466,470,464,470,6111300,"2022-02-07","DEPO"
470,492,470,488,11988000,"2022-02-08","DEPO"
488,520,486,520,14698200,"2022-02-09","DEPO"
525,540,500,510,12677000,"2022-02-10","DEPO"
505,535,500,520,10300800,"2022-02-11","DEPO"
525,535,505,535,9237900,"2022-02-14","DEPO"
540,580,515,525,18572800,"2022-02-15","DEPO"
525,530,500,520,8305700,"2022-02-16","DEPO"
515,535,505,515,7578800,"2022-02-17","DEPO"
515,525,505,520,5295100,"2022-02-18","DEPO"
515,525,500,515,11407900,"2022-02-21","DEPO"
515,530,510,525,7778900,"2022-02-22","DEPO"
525,565,520,565,12478800,"2022-02-23","DEPO"
565,575,530,530,7410700,"2022-02-24","DEPO"
530,530,494,510,10296200,"2022-02-25","DEPO"
510,510,500,505,5609100,"2022-03-01","DEPO"
500,505,500,505,8443200,"2022-03-02","DEPO"
505,515,498,505,9609600,"2022-03-04","DEPO"
505,505,478,490,7650000,"2022-03-07","DEPO"
488,490,456,456,4773600,"2022-03-08","DEPO"
456,468,440,466,2539700,"2022-03-09","DEPO"
466,490,450,488,3890200,"2022-03-10","DEPO"
488,492,480,488,2362000,"2022-03-11","DEPO"
488,494,484,486,1249500,"2022-03-14","DEPO"
488,505,488,500,2173800,"2022-03-15","DEPO"
500,515,500,500,1720600,"2022-03-16","DEPO"
500,510,500,500,2140300,"2022-03-17","DEPO"
500,510,498,505,1535800,"2022-03-18","DEPO"
505,510,500,500,1099600,"2022-03-21","DEPO"
500,505,500,500,1288600,"2022-03-22","DEPO"
500,510,500,505,1082100,"2022-03-23","DEPO"
510,510,500,505,1338100,"2022-03-24","DEPO"
505,510,500,505,1575900,"2022-03-25","DEPO"
505,505,500,505,160900,"2022-03-28","DEPO"
505,505,500,500,624300,"2022-03-29","DEPO"
505,505,500,500,532400,"2022-03-30","DEPO"
505,510,500,510,1180900,"2022-03-31","DEPO"
510,510,505,505,405400,"2022-04-01","DEPO"
505,510,500,500,1264100,"2022-04-04","DEPO"
500,505,500,505,235500,"2022-04-05","DEPO"
505,505,500,500,1174900,"2022-04-06","DEPO"
500,505,500,505,229600,"2022-04-07","DEPO"
505,505,490,490,464200,"2022-04-08","DEPO"
492,525,492,505,2525400,"2022-04-11","DEPO"
510,510,500,505,789700,"2022-04-12","DEPO"
510,510,500,500,438900,"2022-04-13","DEPO"
505,505,500,500,74000,"2022-04-14","DEPO"
500,505,500,500,333100,"2022-04-18","DEPO"
505,520,500,510,820400,"2022-04-19","DEPO"
510,515,505,510,460900,"2022-04-20","DEPO"
510,555,510,535,8180800,"2022-04-21","DEPO"
540,540,498,500,2925300,"2022-04-22","DEPO"
500,510,492,510,1064800,"2022-04-25","DEPO"
510,510,500,505,459400,"2022-04-26","DEPO"
505,505,500,500,416000,"2022-04-27","DEPO"
500,500,470,492,1099000,"2022-04-28","DEPO"
490,515,484,505,755500,"2022-05-09","DEPO"
505,505,500,505,403700,"2022-05-10","DEPO"
500,505,498,505,297400,"2022-05-11","DEPO"
505,505,500,505,772000,"2022-05-12","DEPO"
505,505,492,496,208700,"2022-05-13","DEPO"
496,515,496,505,684000,"2022-05-17","DEPO"
500,505,500,505,278200,"2022-05-18","DEPO"
505,505,490,500,198500,"2022-05-19","DEPO"
505,505,500,505,250700,"2022-05-20","DEPO"
500,500,492,494,299100,"2022-05-23","DEPO"
500,500,494,496,271200,"2022-05-24","DEPO"
498,498,492,494,91500,"2022-05-25","DEPO"
505,515,490,496,360100,"2022-05-27","DEPO"
500,505,492,500,467500,"2022-05-30","DEPO"
505,505,486,498,558600,"2022-05-31","DEPO"
498,498,490,496,237500,"2022-06-02","DEPO"
496,498,490,490,303900,"2022-06-03","DEPO"
490,496,490,494,134900,"2022-06-06","DEPO"
494,494,484,488,813400,"2022-06-07","DEPO"
488,488,482,484,617200,"2022-06-08","DEPO"
484,486,480,482,302500,"2022-06-09","DEPO"
482,488,480,488,229900,"2022-06-10","DEPO"
488,488,454,474,398900,"2022-06-13","DEPO"
474,474,468,470,218900,"2022-06-14","DEPO"
470,470,456,456,343900,"2022-06-15","DEPO"
460,480,458,476,411500,"2022-06-16","DEPO"
476,476,458,460,238000,"2022-06-17","DEPO"
468,468,460,462,194700,"2022-06-20","DEPO"
462,462,458,460,33400,"2022-06-21","DEPO"
468,468,456,460,482300,"2022-06-22","DEPO"
460,470,452,460,474200,"2022-06-23","DEPO"
468,490,460,466,255800,"2022-06-24","DEPO"
466,470,464,470,204000,"2022-06-27","DEPO"
468,470,460,468,350900,"2022-06-28","DEPO"
468,482,452,456,486100,"2022-06-29","DEPO"
460,462,452,454,400600,"2022-06-30","DEPO"
454,466,452,460,146200,"2022-07-01","DEPO"
460,464,454,460,98200,"2022-07-04","DEPO"
462,478,460,462,83100,"2022-07-05","DEPO"
464,464,462,464,55400,"2022-07-06","DEPO"
