"Open","High","Low","Close","Volume","Date","Emiten"
1675,1745,1450,1640,136067200,"2018-11-27","DIVA"
1650,1665,1600,1630,51266800,"2018-11-28","DIVA"
1630,1650,1620,1640,18218600,"2018-11-29","DIVA"
1640,1640,1615,1630,17753000,"2018-11-30","DIVA"
1630,1630,1575,1600,16171000,"2018-12-03","DIVA"
1600,1600,1535,1585,12529200,"2018-12-04","DIVA"
1580,1580,1565,1575,5844200,"2018-12-05","DIVA"
1575,1610,1545,1600,10758800,"2018-12-06","DIVA"
1615,1645,1600,1645,7685800,"2018-12-07","DIVA"
1640,1640,1610,1625,5602800,"2018-12-10","DIVA"
1625,1625,1590,1605,4828600,"2018-12-11","DIVA"
1610,1620,1555,1580,32352400,"2018-12-12","DIVA"
1585,1600,1575,1575,22392000,"2018-12-13","DIVA"
1585,1625,1560,1590,25088800,"2018-12-14","DIVA"
1595,1610,1585,1585,12995200,"2018-12-17","DIVA"
1585,1590,1575,1590,12562000,"2018-12-18","DIVA"
1585,1595,1580,1595,9286600,"2018-12-19","DIVA"
1590,1595,1585,1590,8248800,"2018-12-20","DIVA"
1590,1595,1575,1575,6543400,"2018-12-21","DIVA"
1575,1575,1575,1575,0,"2018-12-24","DIVA"
1575,1575,1575,1575,0,"2018-12-25","DIVA"
1570,1575,1555,1565,4794800,"2018-12-26","DIVA"
1570,1570,1555,1560,3215800,"2018-12-27","DIVA"
1565,1610,1545,1610,5847000,"2018-12-28","DIVA"
1610,1610,1610,1610,0,"2018-12-31","DIVA"
1610,1610,1610,1610,0,"2019-01-01","DIVA"
1595,1610,1560,1570,3174800,"2019-01-02","DIVA"
1575,1585,1540,1540,4616600,"2019-01-03","DIVA"
1540,1550,1530,1530,4185800,"2019-01-04","DIVA"
1530,1535,1510,1510,3910200,"2019-01-07","DIVA"
1510,1510,1410,1475,5555200,"2019-01-08","DIVA"
1475,1475,1455,1475,4225200,"2019-01-09","DIVA"
1475,1475,1445,1470,4100000,"2019-01-10","DIVA"
1470,1500,1470,1475,3944400,"2019-01-11","DIVA"
1475,1480,1460,1470,4204400,"2019-01-14","DIVA"
1470,1485,1465,1470,4219600,"2019-01-15","DIVA"
1470,1470,1445,1470,4657400,"2019-01-16","DIVA"
1470,1470,1435,1465,4496800,"2019-01-17","DIVA"
1465,1465,1415,1440,3139600,"2019-01-18","DIVA"
1440,1445,1405,1410,2824200,"2019-01-21","DIVA"
1410,1415,1405,1410,6270000,"2019-01-22","DIVA"
1415,1435,1415,1425,4264800,"2019-01-23","DIVA"
1430,1450,1430,1440,4286400,"2019-01-24","DIVA"
1445,1450,1440,1440,4348000,"2019-01-25","DIVA"
1445,1445,1430,1430,3892200,"2019-01-28","DIVA"
1425,1425,1400,1405,4262400,"2019-01-29","DIVA"
1405,1410,1390,1405,2735000,"2019-01-30","DIVA"
1405,1405,1395,1405,3072200,"2019-01-31","DIVA"
1410,1410,1400,1405,4181400,"2019-02-01","DIVA"
1410,1425,1410,1415,4309000,"2019-02-04","DIVA"
1415,1415,1415,1415,0,"2019-02-05","DIVA"
1420,1485,1420,1450,5090600,"2019-02-06","DIVA"
1455,1495,1455,1485,5397800,"2019-02-07","DIVA"
1490,1505,1490,1495,5206200,"2019-02-08","DIVA"
1500,1540,1500,1500,6479800,"2019-02-11","DIVA"
1500,1535,1500,1535,7257600,"2019-02-12","DIVA"
1540,1550,1525,1540,8368800,"2019-02-13","DIVA"
1545,1555,1540,1545,6556400,"2019-02-14","DIVA"
1545,1555,1530,1535,3891000,"2019-02-15","DIVA"
1535,1545,1530,1545,4279400,"2019-02-18","DIVA"
1545,1550,1535,1540,3856600,"2019-02-19","DIVA"
1540,1550,1540,1540,3887400,"2019-02-20","DIVA"
1545,1560,1545,1555,5589600,"2019-02-21","DIVA"
