"Open","High","Low","Close","Volume","Date","Emiten"
1370,1370,1370,1370,3660600,"2020-01-22","DMND"
1690,1695,1420,1530,16315700,"2020-01-23","DMND"
1560,1600,1350,1350,5645200,"2020-01-24","DMND"
1370,1370,1075,1095,3089600,"2020-01-27","DMND"
1090,1185,1050,1075,1136600,"2020-01-28","DMND"
1080,1110,1000,1010,1028000,"2020-01-29","DMND"
1015,1030,945,950,1416800,"2020-01-30","DMND"
950,965,915,930,692200,"2020-01-31","DMND"
930,1100,920,1015,1924800,"2020-02-03","DMND"
1020,1085,1020,1080,528300,"2020-02-04","DMND"
1085,1140,980,1000,924600,"2020-02-05","DMND"
1005,1005,950,990,376700,"2020-02-06","DMND"
990,1010,990,990,114500,"2020-02-07","DMND"
990,990,935,935,378700,"2020-02-10","DMND"
930,985,930,955,187800,"2020-02-11","DMND"
940,940,925,925,220700,"2020-02-12","DMND"
950,950,915,920,150300,"2020-02-13","DMND"
920,950,915,925,52800,"2020-02-14","DMND"
925,940,920,925,52600,"2020-02-17","DMND"
925,960,915,950,262500,"2020-02-18","DMND"
960,975,915,950,78800,"2020-02-19","DMND"
950,950,925,950,273900,"2020-02-20","DMND"
950,950,920,935,75700,"2020-02-21","DMND"
930,935,910,915,205600,"2020-02-24","DMND"
915,920,895,915,462100,"2020-02-25","DMND"
915,920,905,910,61300,"2020-02-26","DMND"
890,910,875,910,188000,"2020-02-27","DMND"
910,920,905,910,208900,"2020-02-28","DMND"
910,960,910,960,159200,"2020-03-02","DMND"
960,1040,955,1000,152800,"2020-03-03","DMND"
980,1030,955,970,229700,"2020-03-04","DMND"
990,995,965,970,17500,"2020-03-05","DMND"
970,970,955,960,37700,"2020-03-06","DMND"
950,960,925,950,85300,"2020-03-09","DMND"
940,970,940,955,1e+05,"2020-03-10","DMND"
950,950,935,950,65800,"2020-03-11","DMND"
945,950,925,950,434900,"2020-03-12","DMND"
950,955,950,955,272900,"2020-03-13","DMND"
950,955,950,955,52300,"2020-03-16","DMND"
955,960,930,950,172600,"2020-03-17","DMND"
950,955,950,950,146700,"2020-03-18","DMND"
950,955,930,955,153900,"2020-03-19","DMND"
950,970,950,970,55600,"2020-03-20","DMND"
955,955,950,950,41400,"2020-03-23","DMND"
950,960,950,955,41500,"2020-03-24","DMND"
950,960,945,950,84700,"2020-03-26","DMND"
950,960,950,955,114600,"2020-03-27","DMND"
955,955,920,955,15700,"2020-03-30","DMND"
955,955,950,955,6500,"2020-03-31","DMND"
955,990,950,990,20300,"2020-04-01","DMND"
990,990,965,990,5400,"2020-04-02","DMND"
990,990,930,955,10200,"2020-04-03","DMND"
955,965,940,965,17900,"2020-04-06","DMND"
960,970,940,965,37900,"2020-04-07","DMND"
965,965,940,940,6500,"2020-04-08","DMND"
945,945,915,935,21900,"2020-04-09","DMND"
970,970,935,940,3800,"2020-04-13","DMND"
930,960,930,960,22000,"2020-04-14","DMND"
935,960,920,950,12400,"2020-04-15","DMND"
950,950,930,945,22600,"2020-04-16","DMND"
930,955,930,955,24400,"2020-04-17","DMND"
