"Open","High","Low","Close","Volume","Date","Emiten"
93,132,93,105,2361018900,"2023-05-08","DOOH"
101,114,98,105,629985100,"2023-05-09","DOOH"
105,109,98,100,199629100,"2023-05-10","DOOH"
99,100,93,94,117824000,"2023-05-11","DOOH"
88,104,88,99,322789500,"2023-05-12","DOOH"
101,102,93,95,158307200,"2023-05-15","DOOH"
93,95,89,91,133044000,"2023-05-16","DOOH"
91,92,87,91,103302400,"2023-05-17","DOOH"
86,95,85,90,198770300,"2023-05-19","DOOH"
89,95,84,87,457688100,"2023-05-22","DOOH"
87,87,81,82,138665200,"2023-05-23","DOOH"
77,82,77,80,138192000,"2023-05-24","DOOH"
79,80,75,75,126560400,"2023-05-25","DOOH"
70,88,70,74,1518368500,"2023-05-26","DOOH"
74,79,72,74,393754900,"2023-05-29","DOOH"
74,76,69,69,113555200,"2023-05-30","DOOH"
65,68,65,66,158515600,"2023-05-31","DOOH"
66,66,57,57,134658100,"2023-06-05","DOOH"
50,59,50,51,541112500,"2023-06-06","DOOH"
52,59,50,52,730752600,"2023-06-07","DOOH"
52,53,50,51,42170600,"2023-06-08","DOOH"
52,53,50,52,122389800,"2023-06-09","DOOH"
51,52,50,51,109740500,"2023-06-12","DOOH"
51,51,50,50,57319000,"2023-06-13","DOOH"
50,50,50,50,1810500,"2023-06-14","DOOH"
50,50,50,50,1819200,"2023-06-15","DOOH"
50,50,50,50,38200100,"2023-06-16","DOOH"
50,50,50,50,526800,"2023-06-19","DOOH"
50,50,50,50,2832500,"2023-06-20","DOOH"
50,50,50,50,207100,"2023-06-21","DOOH"
50,50,50,50,1538600,"2023-06-22","DOOH"
50,50,50,50,621900,"2023-06-23","DOOH"
50,50,50,50,7314100,"2023-06-26","DOOH"
50,50,50,50,1185700,"2023-06-27","DOOH"
50,50,50,50,21166100,"2023-07-03","DOOH"
50,64,50,59,1518146900,"2023-07-04","DOOH"
61,68,57,60,1134481400,"2023-07-05","DOOH"
60,62,58,61,419570300,"2023-07-06","DOOH"
60,62,58,58,203490300,"2023-07-07","DOOH"
59,60,52,58,376994900,"2023-07-10","DOOH"
59,63,57,59,875324000,"2023-07-11","DOOH"
59,60,55,56,130307400,"2023-07-12","DOOH"
55,58,55,56,264752700,"2023-07-13","DOOH"
56,65,55,57,803681800,"2023-07-14","DOOH"
57,58,54,56,409509400,"2023-07-17","DOOH"
56,56,53,53,86274900,"2023-07-18","DOOH"
50,58,50,56,593438500,"2023-07-20","DOOH"
56,58,54,56,463079300,"2023-07-21","DOOH"
56,60,54,57,585021500,"2023-07-24","DOOH"
57,60,56,57,198532100,"2023-07-25","DOOH"
57,60,56,58,96557800,"2023-07-26","DOOH"
58,59,56,57,287831700,"2023-07-27","DOOH"
57,65,55,55,834993900,"2023-07-28","DOOH"
56,56,54,54,181503700,"2023-07-31","DOOH"
54,55,53,53,86682500,"2023-08-01","DOOH"
53,56,52,54,351104700,"2023-08-02","DOOH"
52,55,52,52,218051300,"2023-08-03","DOOH"
53,53,52,52,19186400,"2023-08-04","DOOH"
50,53,50,52,61986000,"2023-08-07","DOOH"
53,53,52,52,9648800,"2023-08-08","DOOH"
52,53,50,50,83932300,"2023-08-09","DOOH"
50,50,50,50,2076600,"2023-08-10","DOOH"
50,50,50,50,22670800,"2023-08-11","DOOH"
50,50,50,50,883300,"2023-08-14","DOOH"
50,53,50,50,366129400,"2023-08-15","DOOH"
50,50,50,50,5062800,"2023-08-16","DOOH"
50,50,50,50,93200,"2023-08-18","DOOH"
50,50,50,50,696700,"2023-08-21","DOOH"
50,50,50,50,3687200,"2023-08-22","DOOH"
50,50,50,50,102900,"2023-08-23","DOOH"
50,50,50,50,2804000,"2023-08-24","DOOH"
50,50,50,50,45000,"2023-08-25","DOOH"
50,50,50,50,101400,"2023-08-28","DOOH"
50,50,50,50,257100,"2023-08-29","DOOH"
50,50,50,50,5688200,"2023-08-30","DOOH"
50,50,50,50,4733800,"2023-08-31","DOOH"
50,50,50,50,122100,"2023-09-01","DOOH"
50,50,50,50,64900,"2023-09-04","DOOH"
50,50,50,50,393900,"2023-09-05","DOOH"
50,55,50,54,478196700,"2023-09-06","DOOH"
54,56,51,52,634616900,"2023-09-07","DOOH"
52,54,51,53,280545400,"2023-09-08","DOOH"
53,55,50,50,772648400,"2023-09-11","DOOH"
50,54,50,53,131049500,"2023-09-12","DOOH"
53,54,52,53,7255400,"2023-09-13","DOOH"
52,53,51,52,29197900,"2023-09-14","DOOH"
52,52,51,51,8090200,"2023-09-15","DOOH"
52,52,50,51,12348900,"2023-09-18","DOOH"
51,53,50,52,90528400,"2023-09-19","DOOH"
52,55,51,51,195633800,"2023-09-20","DOOH"
52,52,51,52,7882400,"2023-09-21","DOOH"
51,70,50,70,810838700,"2023-09-22","DOOH"
71,82,63,73,915160700,"2023-09-25","DOOH"
72,98,68,98,814239400,"2023-09-26","DOOH"
104,110,98,100,448238300,"2023-09-27","DOOH"
100,131,100,123,437044800,"2023-09-29","DOOH"
123,161,120,149,716218800,"2023-10-02","DOOH"
149,149,149,149,0,"2023-10-03","DOOH"
149,181,145,167,344058600,"2023-10-04","DOOH"
169,186,118,162,270168100,"2023-10-05","DOOH"
163,212,163,185,560048200,"2023-10-06","DOOH"
190,220,186,210,275644200,"2023-10-09","DOOH"
210,210,210,210,0,"2023-10-10","DOOH"
210,210,210,210,0,"2023-10-11","DOOH"
210,210,210,210,0,"2023-10-12","DOOH"
210,210,210,210,0,"2023-10-13","DOOH"
210,210,210,210,0,"2023-10-16","DOOH"
210,210,210,210,0,"2023-10-17","DOOH"
210,210,210,210,0,"2023-10-18","DOOH"
210,210,210,210,0,"2023-10-19","DOOH"
199,218,191,193,274477500,"2023-10-20","DOOH"
195,212,174,212,253897800,"2023-10-23","DOOH"
220,232,208,232,247666200,"2023-10-24","DOOH"
234,252,220,238,105873400,"2023-10-25","DOOH"
238,244,216,226,188688400,"2023-10-26","DOOH"
228,236,218,228,193539600,"2023-10-27","DOOH"
228,236,216,216,218354000,"2023-10-30","DOOH"
216,224,198,212,463815800,"2023-10-31","DOOH"
210,212,191,191,223256300,"2023-11-01","DOOH"
172,200,172,191,557778500,"2023-11-02","DOOH"
192,194,184,187,123634000,"2023-11-03","DOOH"
189,192,171,177,138353400,"2023-11-06","DOOH"
177,177,160,160,104537200,"2023-11-07","DOOH"
144,144,144,144,8853100,"2023-11-08","DOOH"
130,133,130,130,41244900,"2023-11-09","DOOH"
117,117,117,117,1301100,"2023-11-10","DOOH"
106,106,106,106,7892800,"2023-11-13","DOOH"
96,116,96,116,145112100,"2023-11-14","DOOH"
117,127,117,127,88944300,"2023-11-15","DOOH"
130,133,115,118,130831200,"2023-11-16","DOOH"
120,128,114,126,182422600,"2023-11-17","DOOH"
136,136,115,117,248114500,"2023-11-20","DOOH"
117,122,111,117,113307100,"2023-11-21","DOOH"
117,118,111,117,128862300,"2023-11-22","DOOH"
117,124,113,117,326604600,"2023-11-23","DOOH"
117,121,113,115,246574200,"2023-11-24","DOOH"
115,119,112,112,178116700,"2023-11-27","DOOH"
113,113,106,106,242520400,"2023-11-28","DOOH"
106,112,102,105,251859600,"2023-11-29","DOOH"
105,105,101,104,90712200,"2023-11-30","DOOH"
104,106,98,98,399793200,"2023-12-01","DOOH"
99,99,92,93,59730700,"2023-12-04","DOOH"
93,97,91,94,132470700,"2023-12-05","DOOH"
94,97,92,94,180348700,"2023-12-06","DOOH"
94,95,93,95,170176000,"2023-12-07","DOOH"
95,96,93,96,207484400,"2023-12-08","DOOH"
96,97,91,91,33035100,"2023-12-11","DOOH"
91,93,91,92,150055800,"2023-12-12","DOOH"
92,92,89,89,220466600,"2023-12-13","DOOH"
90,90,77,89,195048000,"2023-12-14","DOOH"
89,90,81,86,472933100,"2023-12-15","DOOH"
86,89,81,87,104577700,"2023-12-18","DOOH"
85,87,81,86,231332100,"2023-12-19","DOOH"
86,91,83,87,551688700,"2023-12-20","DOOH"
87,89,82,85,412270400,"2023-12-21","DOOH"
86,88,82,85,135339200,"2023-12-22","DOOH"
84,85,82,84,247976500,"2023-12-27","DOOH"
84,85,81,83,402642900,"2023-12-28","DOOH"
83,83,81,83,191036400,"2023-12-29","DOOH"
82,111,82,110,489452400,"2024-01-02","DOOH"
110,111,91,91,350291700,"2024-01-03","DOOH"
91,94,85,87,372480200,"2024-01-04","DOOH"
87,89,83,84,254391600,"2024-01-05","DOOH"
84,86,78,80,248872300,"2024-01-08","DOOH"
80,83,73,80,405220700,"2024-01-09","DOOH"
80,81,78,79,297769700,"2024-01-10","DOOH"
80,82,75,80,333162800,"2024-01-11","DOOH"
79,80,75,78,392159300,"2024-01-12","DOOH"
78,78,78,78,0,"2024-01-15","DOOH"
79,80,77,77,350428000,"2024-01-16","DOOH"
78,78,73,75,190862100,"2024-01-17","DOOH"
75,76,73,75,375047300,"2024-01-18","DOOH"
75,76,73,76,101300500,"2024-01-19","DOOH"
76,77,70,76,547930400,"2024-01-22","DOOH"
76,83,73,75,389375000,"2024-01-23","DOOH"
75,76,73,75,236451900,"2024-01-24","DOOH"
75,75,71,71,130304600,"2024-01-25","DOOH"
71,82,69,71,647705000,"2024-01-26","DOOH"
71,74,69,71,241822600,"2024-01-29","DOOH"
71,71,69,71,310258000,"2024-01-30","DOOH"
71,72,69,70,217908800,"2024-01-31","DOOH"
70,71,68,70,354602000,"2024-02-01","DOOH"
70,73,67,69,284850800,"2024-02-02","DOOH"
69,70,67,70,382794800,"2024-02-05","DOOH"
70,85,68,78,586573200,"2024-02-06","DOOH"
78,85,73,81,602399500,"2024-02-07","DOOH"
81,88,79,82,316204100,"2024-02-12","DOOH"
82,83,79,80,243947300,"2024-02-13","DOOH"
80,103,79,99,583906200,"2024-02-15","DOOH"
101,102,84,96,553193300,"2024-02-16","DOOH"
95,100,92,93,407750700,"2024-02-19","DOOH"
93,95,91,93,356447400,"2024-02-20","DOOH"
93,93,89,91,168204100,"2024-02-21","DOOH"
91,109,89,105,715428400,"2024-02-22","DOOH"
106,106,92,96,188293700,"2024-02-23","DOOH"
96,100,82,83,669121800,"2024-02-26","DOOH"
83,86,71,84,416618400,"2024-02-27","DOOH"
85,87,80,81,309365800,"2024-02-28","DOOH"
80,84,80,81,513891300,"2024-02-29","DOOH"
81,82,77,79,326562700,"2024-03-01","DOOH"
78,84,76,80,335838700,"2024-03-04","DOOH"
80,87,79,82,453147800,"2024-03-05","DOOH"
82,84,80,80,346533400,"2024-03-06","DOOH"
80,82,79,81,287418900,"2024-03-07","DOOH"
81,81,78,80,147770300,"2024-03-08","DOOH"
80,82,75,75,460065600,"2024-03-13","DOOH"
76,77,73,75,648491300,"2024-03-14","DOOH"
76,76,71,73,136820300,"2024-03-15","DOOH"
71,75,68,72,358737500,"2024-03-18","DOOH"
72,73,71,72,365191100,"2024-03-19","DOOH"
72,72,66,69,359155900,"2024-03-20","DOOH"
68,74,64,65,541022500,"2024-03-21","DOOH"
64,73,60,65,800228500,"2024-03-22","DOOH"
