"Open","High","Low","Close","Volume","Date","Emiten"
545,550,466,496,192255900,"2021-12-20","DRMA"
494,494,468,478,26992400,"2021-12-21","DRMA"
476,488,468,478,23772500,"2021-12-22","DRMA"
478,515,478,515,44462000,"2021-12-23","DRMA"
520,570,515,525,101649000,"2021-12-24","DRMA"
530,540,505,525,34448600,"2021-12-27","DRMA"
525,530,510,510,24003500,"2021-12-28","DRMA"
515,525,505,520,24289300,"2021-12-29","DRMA"
520,525,505,510,15974900,"2021-12-30","DRMA"
510,555,510,545,51281400,"2022-01-03","DRMA"
550,680,545,630,113492600,"2022-01-04","DRMA"
625,710,605,660,72367100,"2022-01-05","DRMA"
665,695,640,665,30219000,"2022-01-06","DRMA"
675,730,670,710,69787600,"2022-01-07","DRMA"
715,720,685,695,22795200,"2022-01-10","DRMA"
705,710,650,690,33004700,"2022-01-11","DRMA"
690,715,675,690,30660700,"2022-01-12","DRMA"
690,700,660,665,12609800,"2022-01-13","DRMA"
665,685,630,675,23482900,"2022-01-14","DRMA"
680,680,640,640,11711000,"2022-01-17","DRMA"
640,670,625,655,19046500,"2022-01-18","DRMA"
660,660,630,635,10176500,"2022-01-19","DRMA"
630,645,610,610,13305300,"2022-01-20","DRMA"
610,620,580,615,13399300,"2022-01-21","DRMA"
620,630,590,590,12369500,"2022-01-24","DRMA"
575,600,560,600,16270400,"2022-01-25","DRMA"
600,635,575,630,23395700,"2022-01-26","DRMA"
630,635,590,595,22681400,"2022-01-27","DRMA"
595,620,580,600,23142500,"2022-01-28","DRMA"
620,675,600,640,39156000,"2022-01-31","DRMA"
645,645,620,620,12079300,"2022-02-02","DRMA"
620,640,600,620,17558000,"2022-02-03","DRMA"
615,635,600,605,7682300,"2022-02-04","DRMA"
605,615,590,600,12605300,"2022-02-07","DRMA"
600,605,575,580,14617600,"2022-02-08","DRMA"
585,585,560,565,14500600,"2022-02-09","DRMA"
565,585,545,555,22214900,"2022-02-10","DRMA"
555,575,555,560,10261800,"2022-02-11","DRMA"
570,585,560,585,16179500,"2022-02-14","DRMA"
585,600,570,590,13201700,"2022-02-15","DRMA"
590,610,590,595,12288000,"2022-02-16","DRMA"
575,600,570,580,13090100,"2022-02-17","DRMA"
580,590,570,570,15097400,"2022-02-18","DRMA"
575,625,575,615,29806800,"2022-02-21","DRMA"
