"Open","High","Low","Close","Volume","Date","Emiten"
980,980,970,980,62500,"2007-01-02","DUTI"
980,990,980,980,33000,"2007-01-03","DUTI"
950,950,950,950,50000,"2007-01-04","DUTI"
990,990,990,990,10000,"2007-01-05","DUTI"
980,980,980,980,15000,"2007-01-08","DUTI"
980,980,980,980,3,"2007-01-09","DUTI"
980,980,980,980,2,"2007-01-10","DUTI"
980,980,980,980,2,"2007-01-11","DUTI"
990,990,990,990,2e+05,"2007-01-12","DUTI"
990,990,990,990,2,"2007-01-15","DUTI"
990,990,990,990,2,"2007-01-16","DUTI"
990,990,990,990,2,"2007-01-17","DUTI"
990,990,990,990,0,"2007-01-18","DUTI"
990,990,990,990,2,"2007-01-19","DUTI"
990,990,990,990,2,"2007-01-22","DUTI"
990,990,990,990,2,"2007-01-23","DUTI"
810,940,810,900,22000,"2007-01-24","DUTI"
930,930,830,860,16000,"2007-01-25","DUTI"
870,870,870,870,500,"2007-01-26","DUTI"
850,850,850,850,10000,"2007-01-29","DUTI"
900,900,840,840,63500,"2007-01-30","DUTI"
840,840,840,840,53000,"2007-01-31","DUTI"
840,840,840,840,3,"2007-02-01","DUTI"
840,840,840,840,1,"2007-02-02","DUTI"
840,840,840,840,2,"2007-02-05","DUTI"
880,890,870,880,44500,"2007-02-06","DUTI"
910,950,900,910,58500,"2007-02-07","DUTI"
910,910,850,850,16500,"2007-02-08","DUTI"
850,850,850,850,20000,"2007-02-09","DUTI"
850,850,850,850,1,"2007-02-12","DUTI"
850,850,850,850,20000,"2007-02-13","DUTI"
850,850,850,850,20000,"2007-02-14","DUTI"
860,860,860,860,40000,"2007-02-15","DUTI"
860,860,860,860,1,"2007-02-16","DUTI"
860,860,860,860,26000,"2007-02-19","DUTI"
850,850,850,850,1500,"2007-02-20","DUTI"
850,850,850,850,3,"2007-02-21","DUTI"
860,860,850,860,57500,"2007-02-22","DUTI"
880,890,880,880,50500,"2007-02-23","DUTI"
880,880,880,880,2,"2007-02-26","DUTI"
