"Open","High","Low","Close","Volume","Date","Emiten"
895,895,795,825,50305400,"2022-02-08","ENAK"
825,825,770,815,11716500,"2022-02-09","ENAK"
815,835,815,825,6150100,"2022-02-10","ENAK"
825,830,785,790,1530100,"2022-02-11","ENAK"
790,790,735,740,2955500,"2022-02-14","ENAK"
720,735,690,695,3469000,"2022-02-15","ENAK"
680,710,660,705,1650700,"2022-02-16","ENAK"
710,720,680,715,1061800,"2022-02-17","ENAK"
715,720,700,720,397800,"2022-02-18","ENAK"
715,735,705,720,687400,"2022-02-21","ENAK"
680,720,670,680,8657100,"2022-02-22","ENAK"
680,725,635,710,2301300,"2022-02-23","ENAK"
710,725,680,725,3163100,"2022-02-24","ENAK"
715,725,705,710,174500,"2022-02-25","ENAK"
710,765,700,765,2002000,"2022-03-01","ENAK"
765,800,730,785,2916200,"2022-03-02","ENAK"
790,825,765,815,1638200,"2022-03-04","ENAK"
815,825,785,795,846600,"2022-03-07","ENAK"
790,810,775,795,748600,"2022-03-08","ENAK"
795,810,780,805,654600,"2022-03-09","ENAK"
805,815,795,810,700200,"2022-03-10","ENAK"
810,825,805,805,343000,"2022-03-11","ENAK"
810,810,795,800,104000,"2022-03-14","ENAK"
810,815,780,815,2625000,"2022-03-15","ENAK"
820,840,800,840,8538200,"2022-03-16","ENAK"
845,850,825,830,3103300,"2022-03-17","ENAK"
830,840,825,830,466000,"2022-03-18","ENAK"
835,840,815,825,17004100,"2022-03-21","ENAK"
830,850,825,840,2710500,"2022-03-22","ENAK"
845,845,835,835,100100,"2022-03-23","ENAK"
830,840,825,830,253900,"2022-03-24","ENAK"
830,835,825,830,265400,"2022-03-25","ENAK"
830,835,825,835,146400,"2022-03-28","ENAK"
835,835,825,830,342900,"2022-03-29","ENAK"
830,830,825,825,124200,"2022-03-30","ENAK"
825,830,820,820,247600,"2022-03-31","ENAK"
820,820,815,815,276700,"2022-04-01","ENAK"
815,820,810,810,151900,"2022-04-04","ENAK"
810,815,795,805,830700,"2022-04-05","ENAK"
805,815,800,800,92300,"2022-04-06","ENAK"
805,825,795,820,2385400,"2022-04-07","ENAK"
805,845,805,845,1478100,"2022-04-08","ENAK"
845,860,830,860,902000,"2022-04-11","ENAK"
860,860,845,850,912900,"2022-04-12","ENAK"
850,855,845,855,205400,"2022-04-13","ENAK"
855,865,845,845,983500,"2022-04-14","ENAK"
835,850,825,850,1634300,"2022-04-18","ENAK"
845,860,845,855,683400,"2022-04-19","ENAK"
865,870,850,860,569200,"2022-04-20","ENAK"
860,870,855,870,596300,"2022-04-21","ENAK"
875,900,875,880,1194300,"2022-04-22","ENAK"
880,900,870,900,874900,"2022-04-25","ENAK"
905,940,905,935,1473100,"2022-04-26","ENAK"
