"Open","High","Low","Close","Volume","Date","Emiten"
141,141,141,141,690700,"2020-09-14","ENZO"
190,190,132,132,138415000,"2020-09-15","ENZO"
123,123,123,123,1917900,"2020-09-16","ENZO"
115,115,115,115,2299000,"2020-09-17","ENZO"
107,107,107,107,2898900,"2020-09-18","ENZO"
100,100,100,100,4829500,"2020-09-21","ENZO"
93,93,93,93,1254600,"2020-09-22","ENZO"
87,87,87,87,1271500,"2020-09-23","ENZO"
81,81,81,81,7131400,"2020-09-24","ENZO"
76,76,76,76,2293500,"2020-09-25","ENZO"
71,96,71,86,135500400,"2020-09-28","ENZO"
87,92,80,80,79271400,"2020-09-29","ENZO"
75,81,75,75,20135300,"2020-09-30","ENZO"
71,81,70,70,127736500,"2020-10-01","ENZO"
71,71,66,66,32603100,"2020-10-02","ENZO"
62,66,62,62,22184300,"2020-10-05","ENZO"
58,65,58,62,18045600,"2020-10-06","ENZO"
58,64,58,60,8903400,"2020-10-07","ENZO"
57,61,57,58,19606600,"2020-10-08","ENZO"
54,63,54,54,66430500,"2020-10-09","ENZO"
51,53,51,51,71166700,"2020-10-12","ENZO"
50,54,50,50,49581300,"2020-10-13","ENZO"
51,52,50,50,13896800,"2020-10-14","ENZO"
51,51,50,50,16417900,"2020-10-15","ENZO"
50,51,50,50,9763000,"2020-10-16","ENZO"
50,51,50,50,7508900,"2020-10-19","ENZO"
50,51,50,50,5928900,"2020-10-20","ENZO"
51,51,50,50,6260600,"2020-10-21","ENZO"
50,51,50,51,4626600,"2020-10-22","ENZO"
51,51,50,50,9830400,"2020-10-23","ENZO"
50,50,50,50,926900,"2020-10-26","ENZO"
50,51,50,51,7929000,"2020-10-27","ENZO"
51,51,50,50,3013400,"2020-11-02","ENZO"
50,51,50,50,4939600,"2020-11-03","ENZO"
51,51,50,50,2379300,"2020-11-04","ENZO"
50,50,50,50,2172900,"2020-11-05","ENZO"
50,51,50,50,1397000,"2020-11-06","ENZO"
50,51,50,50,6183300,"2020-11-09","ENZO"
50,50,50,50,631500,"2020-11-10","ENZO"
50,51,50,50,4086200,"2020-11-11","ENZO"
50,50,50,50,823300,"2020-11-12","ENZO"
50,50,50,50,293700,"2020-11-13","ENZO"
50,50,50,50,308800,"2020-11-16","ENZO"
50,50,50,50,524700,"2020-11-17","ENZO"
50,50,50,50,148400,"2020-11-18","ENZO"
50,50,50,50,813000,"2020-11-19","ENZO"
50,50,50,50,83600,"2020-11-20","ENZO"
50,50,50,50,514600,"2020-11-23","ENZO"
50,50,50,50,594800,"2020-11-24","ENZO"
50,55,50,53,35436500,"2020-11-25","ENZO"
53,58,51,52,29220000,"2020-11-26","ENZO"
52,54,50,51,11847800,"2020-11-27","ENZO"
51,52,50,50,8277100,"2020-11-30","ENZO"
50,51,50,50,7658100,"2020-12-01","ENZO"
50,51,50,50,4344400,"2020-12-02","ENZO"
50,51,50,50,3175800,"2020-12-03","ENZO"
50,50,50,50,1246700,"2020-12-04","ENZO"
50,51,50,51,8767800,"2020-12-07","ENZO"
50,51,50,50,10290500,"2020-12-08","ENZO"
50,51,50,50,5746900,"2020-12-10","ENZO"
50,51,50,50,1804700,"2020-12-11","ENZO"
50,51,50,50,2645800,"2020-12-14","ENZO"
51,51,50,50,1190700,"2020-12-15","ENZO"
51,51,50,50,395300,"2020-12-16","ENZO"
50,50,50,50,160500,"2020-12-17","ENZO"
50,50,50,50,628300,"2020-12-18","ENZO"
50,50,50,50,292500,"2020-12-21","ENZO"
50,50,50,50,364900,"2020-12-22","ENZO"
50,50,50,50,177900,"2020-12-23","ENZO"
50,50,50,50,192300,"2020-12-28","ENZO"
50,50,50,50,394700,"2020-12-29","ENZO"
50,50,50,50,76800,"2020-12-30","ENZO"
50,50,50,50,293000,"2021-01-04","ENZO"
50,50,50,50,260700,"2021-01-05","ENZO"
50,50,50,50,64000,"2021-01-06","ENZO"
