"Open","High","Low","Close","Volume","Date","Emiten"
148,148,148,148,6300,"2020-07-01","EPAC"
199,199,199,199,1e+05,"2020-07-02","EPAC"
268,268,268,268,652500,"2020-07-03","EPAC"
288,334,260,282,93031300,"2020-07-06","EPAC"
284,292,264,268,40989700,"2020-07-07","EPAC"
268,278,254,254,27228800,"2020-07-08","EPAC"
254,268,242,268,10774400,"2020-07-09","EPAC"
268,294,262,294,20470400,"2020-07-10","EPAC"
294,322,290,320,42331500,"2020-07-13","EPAC"
322,336,302,306,34049900,"2020-07-14","EPAC"
308,320,292,296,17828600,"2020-07-15","EPAC"
296,304,282,282,9063200,"2020-07-16","EPAC"
284,292,270,276,11626300,"2020-07-17","EPAC"
276,276,264,264,2798100,"2020-07-20","EPAC"
264,286,262,286,9546300,"2020-07-21","EPAC"
286,296,270,270,14450200,"2020-07-22","EPAC"
268,276,258,276,16813300,"2020-07-23","EPAC"
276,286,262,264,15157600,"2020-07-24","EPAC"
264,270,248,250,11393200,"2020-07-27","EPAC"
252,254,242,242,3289400,"2020-07-28","EPAC"
244,244,236,236,1346000,"2020-07-29","EPAC"
236,238,228,228,2091500,"2020-07-30","EPAC"
228,240,228,234,9377300,"2020-08-03","EPAC"
236,236,228,232,1884800,"2020-08-04","EPAC"
232,252,230,242,13620200,"2020-08-05","EPAC"
244,248,242,244,1702300,"2020-08-06","EPAC"
244,252,242,242,2721300,"2020-08-07","EPAC"
244,260,244,254,6691700,"2020-08-10","EPAC"
254,256,250,250,2146400,"2020-08-11","EPAC"
250,272,248,262,11551800,"2020-08-12","EPAC"
264,266,256,256,2657700,"2020-08-13","EPAC"
256,264,256,260,2964900,"2020-08-14","EPAC"
260,282,256,272,8182400,"2020-08-18","EPAC"
274,286,272,286,4866600,"2020-08-19","EPAC"
286,290,284,286,2298700,"2020-08-24","EPAC"
286,290,280,282,2597900,"2020-08-25","EPAC"
282,292,282,286,4121100,"2020-08-26","EPAC"
286,292,284,290,4064300,"2020-08-27","EPAC"
290,298,286,286,3012900,"2020-08-28","EPAC"
284,300,284,288,6135000,"2020-08-31","EPAC"
288,298,288,292,4530800,"2020-09-01","EPAC"
294,294,290,290,928600,"2020-09-02","EPAC"
290,336,290,322,28205600,"2020-09-03","EPAC"
324,348,310,336,19948100,"2020-09-04","EPAC"
338,362,330,356,14637900,"2020-09-07","EPAC"
356,382,342,364,23242100,"2020-09-08","EPAC"
366,366,346,346,3430500,"2020-09-09","EPAC"
348,354,332,348,5782500,"2020-09-10","EPAC"
348,354,342,354,2560100,"2020-09-11","EPAC"
356,368,354,368,4475700,"2020-09-14","EPAC"
370,390,366,380,10592100,"2020-09-15","EPAC"
382,394,364,364,8663900,"2020-09-16","EPAC"
364,372,340,340,5021300,"2020-09-17","EPAC"
340,348,334,336,2455700,"2020-09-18","EPAC"
336,340,334,336,1239400,"2020-09-21","EPAC"
332,402,322,398,16579000,"2020-09-22","EPAC"
400,412,372,380,13419300,"2020-09-23","EPAC"
380,380,370,376,1491700,"2020-09-24","EPAC"
378,408,378,408,8399600,"2020-09-25","EPAC"
408,418,380,384,11866600,"2020-09-28","EPAC"
384,404,384,404,4795500,"2020-09-29","EPAC"
404,424,376,376,13998900,"2020-09-30","EPAC"
376,396,360,396,5088900,"2020-10-01","EPAC"
394,400,390,398,2384600,"2020-10-02","EPAC"
400,418,400,418,3249900,"2020-10-05","EPAC"
420,440,390,398,16566200,"2020-10-06","EPAC"
398,400,372,374,6959100,"2020-10-07","EPAC"
376,390,348,352,9692400,"2020-10-08","EPAC"
354,374,352,374,4988500,"2020-10-09","EPAC"
374,396,348,350,22284500,"2020-10-12","EPAC"
350,354,326,326,15886500,"2020-10-13","EPAC"
324,324,306,312,3193400,"2020-10-14","EPAC"
312,328,308,328,4268700,"2020-10-15","EPAC"
328,332,306,306,23074700,"2020-10-16","EPAC"
306,310,286,286,6120000,"2020-10-19","EPAC"
284,284,266,272,3293100,"2020-10-20","EPAC"
272,280,272,276,2243400,"2020-10-21","EPAC"
276,290,276,290,2589400,"2020-10-22","EPAC"
290,290,284,290,1092300,"2020-10-23","EPAC"
290,302,282,282,4668000,"2020-10-26","EPAC"
282,282,268,270,1627800,"2020-10-27","EPAC"
270,274,266,268,1090800,"2020-11-02","EPAC"
270,276,270,274,1356300,"2020-11-03","EPAC"
272,280,272,276,1250700,"2020-11-04","EPAC"
276,292,274,280,4890300,"2020-11-05","EPAC"
282,284,268,268,3218400,"2020-11-06","EPAC"
268,268,262,266,1341500,"2020-11-09","EPAC"
266,272,266,272,1139500,"2020-11-10","EPAC"
272,278,270,274,2003400,"2020-11-11","EPAC"
276,276,256,256,4238400,"2020-11-12","EPAC"
256,256,242,248,1344900,"2020-11-13","EPAC"
248,260,242,254,3181300,"2020-11-16","EPAC"
254,260,254,256,991500,"2020-11-17","EPAC"
256,266,240,240,13441900,"2020-11-18","EPAC"
242,244,224,224,10559800,"2020-11-19","EPAC"
224,224,210,210,12812200,"2020-11-20","EPAC"
210,210,196,197,2155900,"2020-11-23","EPAC"
197,197,184,184,1924900,"2020-11-24","EPAC"
184,184,172,172,936300,"2020-11-25","EPAC"
160,160,160,160,712700,"2020-11-26","EPAC"
160,160,149,149,810100,"2020-11-27","EPAC"
139,145,139,140,30266000,"2020-11-30","EPAC"
140,152,140,150,9274200,"2020-12-01","EPAC"
152,163,152,154,21981400,"2020-12-02","EPAC"
156,166,154,158,19512200,"2020-12-03","EPAC"
159,166,158,162,14210200,"2020-12-04","EPAC"
163,165,159,161,6931200,"2020-12-07","EPAC"
162,182,156,162,46251600,"2020-12-08","EPAC"
162,167,155,155,32404100,"2020-12-10","EPAC"
155,162,155,157,11548600,"2020-12-11","EPAC"
157,162,148,149,22891300,"2020-12-14","EPAC"
150,152,142,142,9429000,"2020-12-15","EPAC"
142,147,141,143,6687300,"2020-12-16","EPAC"
143,148,142,143,3862700,"2020-12-17","EPAC"
143,143,140,142,1901300,"2020-12-18","EPAC"
142,145,140,141,3090500,"2020-12-21","EPAC"
141,145,140,142,4794500,"2020-12-22","EPAC"
142,144,137,140,3561700,"2020-12-23","EPAC"
140,142,138,141,5352700,"2020-12-28","EPAC"
142,153,140,144,22917300,"2020-12-29","EPAC"
144,148,140,141,12861100,"2020-12-30","EPAC"
140,146,139,139,6784400,"2021-01-04","EPAC"
139,153,130,130,36605100,"2021-01-05","EPAC"
129,130,121,122,21874700,"2021-01-06","EPAC"
122,130,122,122,13102700,"2021-01-07","EPAC"
122,125,121,121,2775300,"2021-01-08","EPAC"
121,126,118,125,11593100,"2021-01-11","EPAC"
126,137,117,118,30840000,"2021-01-12","EPAC"
118,121,115,116,1496200,"2021-01-13","EPAC"
116,120,116,116,1593100,"2021-01-14","EPAC"
116,119,112,113,958300,"2021-01-15","EPAC"
113,114,107,107,1574400,"2021-01-18","EPAC"
