"Open","High","Low","Close","Volume","Date","Emiten"
60,60,60,60,40000,"2007-01-02","ESTI"
60,60,60,60,2,"2007-01-03","ESTI"
60,60,60,60,0,"2007-01-04","ESTI"
60,60,60,60,0,"2007-01-05","ESTI"
60,60,60,60,0,"2007-01-08","ESTI"
60,60,60,60,0,"2007-01-09","ESTI"
60,60,60,60,0,"2007-01-10","ESTI"
60,60,60,60,0,"2007-01-11","ESTI"
60,60,60,60,0,"2007-01-12","ESTI"
60,60,60,60,0,"2007-01-15","ESTI"
60,60,60,60,0,"2007-01-16","ESTI"
69,69,69,69,10000,"2007-01-17","ESTI"
69,69,69,69,0,"2007-01-18","ESTI"
69,69,69,69,0,"2007-01-19","ESTI"
69,69,69,69,0,"2007-01-22","ESTI"
69,69,69,69,2,"2007-01-23","ESTI"
69,69,69,69,2,"2007-01-24","ESTI"
69,69,69,69,2,"2007-01-25","ESTI"
69,69,69,69,0,"2007-01-26","ESTI"
69,69,69,69,2,"2007-01-29","ESTI"
69,69,69,69,2,"2007-01-30","ESTI"
70,70,69,70,133000,"2007-01-31","ESTI"
70,70,70,70,0,"2007-02-01","ESTI"
70,70,70,70,0,"2007-02-02","ESTI"
70,70,70,70,0,"2007-02-05","ESTI"
70,70,70,70,0,"2007-02-06","ESTI"
70,70,70,70,0,"2007-02-07","ESTI"
70,70,70,70,0,"2007-02-08","ESTI"
70,70,70,70,0,"2007-02-09","ESTI"
70,70,70,70,0,"2007-02-12","ESTI"
70,70,70,70,0,"2007-02-13","ESTI"
61,61,61,61,1000,"2007-02-14","ESTI"
61,61,61,61,1,"2007-02-15","ESTI"
61,61,61,61,0,"2007-02-16","ESTI"
61,61,61,61,0,"2007-02-19","ESTI"
61,61,61,61,0,"2007-02-20","ESTI"
61,61,61,61,0,"2007-02-21","ESTI"
61,61,61,61,0,"2007-02-22","ESTI"
61,61,61,61,0,"2007-02-23","ESTI"
61,61,61,61,0,"2007-02-26","ESTI"
61,61,61,61,0,"2007-02-27","ESTI"
