"Open","High","Low","Close","Volume","Date","Emiten"
173,173,173,173,29200,"2019-06-11","FITT"
232,232,190,232,75160500,"2019-06-12","FITT"
240,290,238,290,85709800,"2019-06-13","FITT"
310,344,218,230,101456400,"2019-06-14","FITT"
230,238,173,173,49107900,"2019-06-17","FITT"
164,175,140,143,43857000,"2019-06-18","FITT"
NA,NA,NA,NA,NA,"2019-06-19","FITT"
134,137,126,129,5614400,"2019-06-20","FITT"
129,134,124,127,5476600,"2019-06-21","FITT"
127,143,118,134,26070000,"2019-06-24","FITT"
134,145,130,132,23057800,"2019-06-25","FITT"
122,134,122,128,3202000,"2019-06-26","FITT"
128,130,122,126,3373100,"2019-06-27","FITT"
127,127,121,121,2367600,"2019-06-28","FITT"
121,140,115,129,15816700,"2019-07-01","FITT"
129,130,118,120,5206600,"2019-07-02","FITT"
110,130,110,119,5410000,"2019-07-03","FITT"
119,124,115,117,2657300,"2019-07-04","FITT"
115,118,115,115,1441200,"2019-07-05","FITT"
113,115,111,111,2639600,"2019-07-08","FITT"
101,113,101,105,2313900,"2019-07-09","FITT"
102,111,98,98,4217200,"2019-07-10","FITT"
88,130,88,110,30419100,"2019-07-11","FITT"
112,118,107,108,7034100,"2019-07-12","FITT"
108,110,103,108,2451400,"2019-07-15","FITT"
108,108,103,103,1484100,"2019-07-16","FITT"
103,105,99,102,2544000,"2019-07-17","FITT"
101,103,98,99,2029300,"2019-07-18","FITT"
89,108,89,102,4027000,"2019-07-19","FITT"
100,103,99,100,2396400,"2019-07-22","FITT"
100,100,97,98,1493300,"2019-07-23","FITT"
99,101,98,100,1634000,"2019-07-24","FITT"
100,104,100,100,2735700,"2019-07-25","FITT"
100,135,99,129,49211900,"2019-07-26","FITT"
128,131,110,118,27929400,"2019-07-29","FITT"
120,122,112,114,5955200,"2019-07-30","FITT"
119,124,108,111,5858900,"2019-07-31","FITT"
113,115,108,108,1474700,"2019-08-01","FITT"
118,118,104,105,5980200,"2019-08-02","FITT"
105,108,99,100,2630700,"2019-08-05","FITT"
110,110,95,98,12145200,"2019-08-06","FITT"
99,102,98,98,3289900,"2019-08-07","FITT"
99,108,98,100,8482900,"2019-08-08","FITT"
102,103,99,100,2970700,"2019-08-09","FITT"
104,104,99,100,1079800,"2019-08-12","FITT"
100,104,99,100,2733100,"2019-08-13","FITT"
100,106,100,101,2837000,"2019-08-14","FITT"
99,110,98,102,24080500,"2019-08-15","FITT"
102,103,100,100,1439600,"2019-08-16","FITT"
100,100,98,100,1524100,"2019-08-19","FITT"
99,101,98,99,1349300,"2019-08-20","FITT"
98,100,98,98,1223300,"2019-08-21","FITT"
98,101,97,98,1495700,"2019-08-22","FITT"
98,104,97,98,12931300,"2019-08-23","FITT"
98,100,97,98,1238400,"2019-08-26","FITT"
98,100,97,100,2109300,"2019-08-27","FITT"
101,106,99,100,4987700,"2019-08-28","FITT"
100,101,98,98,1012300,"2019-08-29","FITT"
98,100,96,97,1186000,"2019-08-30","FITT"
95,98,91,92,2684400,"2019-09-02","FITT"
92,93,90,91,1036100,"2019-09-03","FITT"
89,94,89,94,1659100,"2019-09-04","FITT"
93,94,90,91,641400,"2019-09-05","FITT"
91,93,90,91,179800,"2019-09-06","FITT"
91,93,90,90,633200,"2019-09-09","FITT"
80,97,80,91,3187500,"2019-09-10","FITT"
91,96,91,93,1618100,"2019-09-11","FITT"
93,96,93,95,786800,"2019-09-12","FITT"
96,96,93,93,951900,"2019-09-13","FITT"
93,93,90,91,774100,"2019-09-16","FITT"
91,92,90,92,403300,"2019-09-17","FITT"
91,93,89,90,764300,"2019-09-18","FITT"
90,91,89,91,305600,"2019-09-19","FITT"
89,92,89,90,258300,"2019-09-20","FITT"
90,91,81,86,1625300,"2019-09-23","FITT"
86,87,73,84,13173700,"2019-09-24","FITT"
84,94,82,84,23076300,"2019-09-25","FITT"
82,109,82,95,96863200,"2019-09-26","FITT"
95,96,86,87,24797300,"2019-09-27","FITT"
88,88,80,84,24477300,"2019-09-30","FITT"
81,86,81,83,13234800,"2019-10-01","FITT"
83,86,82,82,14061100,"2019-10-02","FITT"
80,83,80,81,6265000,"2019-10-03","FITT"
81,85,81,83,4277300,"2019-10-04","FITT"
83,84,83,83,998800,"2019-10-07","FITT"
83,84,83,84,1195800,"2019-10-08","FITT"
84,84,82,83,5843700,"2019-10-09","FITT"
83,84,81,81,4385600,"2019-10-10","FITT"
81,82,81,81,1227300,"2019-10-11","FITT"
81,93,81,89,32273100,"2019-10-14","FITT"
90,90,85,85,7536500,"2019-10-15","FITT"
85,86,85,85,3821200,"2019-10-16","FITT"
85,86,85,85,1376600,"2019-10-17","FITT"
85,87,85,87,4086300,"2019-10-18","FITT"
87,88,86,86,1348900,"2019-10-21","FITT"
86,89,86,86,6035100,"2019-10-22","FITT"
86,95,86,95,17946300,"2019-10-23","FITT"
96,96,92,92,3195500,"2019-10-24","FITT"
92,99,92,99,19300900,"2019-10-25","FITT"
99,103,99,99,6850700,"2019-10-28","FITT"
99,100,95,95,3443600,"2019-10-29","FITT"
95,100,95,95,11942400,"2019-10-30","FITT"
95,96,94,94,1521500,"2019-10-31","FITT"
94,95,94,94,1046100,"2019-11-01","FITT"
94,107,94,107,44147500,"2019-11-04","FITT"
107,109,105,106,6117500,"2019-11-05","FITT"
106,106,104,104,2768300,"2019-11-06","FITT"
104,104,100,100,4214300,"2019-11-07","FITT"
100,101,98,98,6152500,"2019-11-08","FITT"
98,99,97,99,2363200,"2019-11-11","FITT"
99,100,98,100,2247000,"2019-11-12","FITT"
100,100,98,98,3317200,"2019-11-13","FITT"
98,98,95,95,3149200,"2019-11-14","FITT"
95,96,84,84,8312700,"2019-11-15","FITT"
75,80,55,55,23383500,"2019-11-18","FITT"
50,65,50,50,36890700,"2019-11-19","FITT"
50,51,50,51,2766900,"2019-11-20","FITT"
51,51,50,50,822500,"2019-11-21","FITT"
50,50,50,50,157800,"2019-11-22","FITT"
50,50,50,50,320600,"2019-11-25","FITT"
50,50,50,50,302000,"2019-11-26","FITT"
50,50,50,50,2400,"2019-11-27","FITT"
50,50,50,50,101500,"2019-11-28","FITT"
50,50,50,50,4100,"2019-11-29","FITT"
50,50,50,50,5400,"2019-12-02","FITT"
50,50,50,50,116100,"2019-12-03","FITT"
50,50,50,50,211300,"2019-12-04","FITT"
50,50,50,50,7000,"2019-12-05","FITT"
50,50,50,50,253600,"2019-12-06","FITT"
50,50,50,50,35800,"2019-12-09","FITT"
50,51,50,50,1860900,"2019-12-10","FITT"
50,50,50,50,422300,"2019-12-11","FITT"
50,50,50,50,102000,"2019-12-12","FITT"
50,50,50,50,107000,"2019-12-13","FITT"
50,50,50,50,1555600,"2019-12-16","FITT"
50,54,50,51,3189200,"2019-12-17","FITT"
52,65,51,55,21508800,"2019-12-18","FITT"
50,73,50,64,24008600,"2019-12-19","FITT"
66,69,61,61,6089500,"2019-12-20","FITT"
55,82,55,79,18444400,"2019-12-23","FITT"
69,81,69,73,7219300,"2019-12-26","FITT"
63,77,63,70,4221400,"2019-12-27","FITT"
70,75,67,75,2259100,"2019-12-30","FITT"
74,75,70,73,247700,"2020-01-02","FITT"
73,79,71,72,1888500,"2020-01-03","FITT"
72,74,67,69,632500,"2020-01-06","FITT"
65,72,65,71,472100,"2020-01-07","FITT"
70,73,67,72,608900,"2020-01-08","FITT"
71,73,70,72,178300,"2020-01-09","FITT"
71,73,70,70,395600,"2020-01-10","FITT"
70,70,69,70,182200,"2020-01-13","FITT"
75,75,70,70,63300,"2020-01-14","FITT"
70,90,70,79,9957000,"2020-01-15","FITT"
79,79,74,74,441700,"2020-01-16","FITT"
70,95,70,85,4839200,"2020-01-17","FITT"
85,99,85,95,4521000,"2020-01-20","FITT"
85,96,83,87,514200,"2020-01-21","FITT"
83,87,82,85,342800,"2020-01-22","FITT"
85,85,81,84,38300,"2020-01-23","FITT"
87,90,81,86,600200,"2020-01-24","FITT"
86,86,81,81,149700,"2020-01-27","FITT"
91,91,80,82,41400,"2020-01-28","FITT"
92,92,75,80,219800,"2020-01-29","FITT"
90,90,75,79,35100,"2020-01-30","FITT"
89,89,75,80,83400,"2020-01-31","FITT"
80,80,75,77,74300,"2020-02-03","FITT"
87,87,67,76,113200,"2020-02-04","FITT"
85,85,67,74,116100,"2020-02-05","FITT"
74,74,70,73,47800,"2020-02-06","FITT"
73,75,71,71,32400,"2020-02-07","FITT"
71,77,69,74,44800,"2020-02-10","FITT"
73,73,69,73,139700,"2020-02-11","FITT"
72,73,56,64,96500,"2020-02-12","FITT"
62,74,62,68,241900,"2020-02-13","FITT"
68,86,68,79,893400,"2020-02-14","FITT"
75,80,74,74,12000,"2020-02-17","FITT"
72,72,67,70,14200,"2020-02-18","FITT"
70,74,70,72,8000,"2020-02-19","FITT"
74,74,67,67,1400,"2020-02-20","FITT"
68,72,67,70,54300,"2020-02-21","FITT"
67,70,56,68,12800,"2020-02-24","FITT"
63,72,54,56,2029000,"2020-02-25","FITT"
59,61,56,56,53100,"2020-02-26","FITT"
60,60,50,52,1519200,"2020-02-27","FITT"
52,60,52,58,607600,"2020-02-28","FITT"
58,66,52,62,725300,"2020-03-02","FITT"
62,64,58,59,41600,"2020-03-03","FITT"
60,62,59,62,20600,"2020-03-04","FITT"
62,63,57,60,15100,"2020-03-05","FITT"
60,61,60,61,6100,"2020-03-06","FITT"
60,61,58,61,42300,"2020-03-09","FITT"
55,70,55,64,208400,"2020-03-10","FITT"
64,66,60,63,153600,"2020-03-11","FITT"
59,59,57,57,3200,"2020-03-12","FITT"
57,57,56,56,1400,"2020-03-13","FITT"
56,56,53,53,71100,"2020-03-16","FITT"
60,60,50,52,26000,"2020-03-17","FITT"
62,62,50,50,20500,"2020-03-18","FITT"
50,53,50,50,39100,"2020-03-19","FITT"
50,67,50,54,704700,"2020-03-20","FITT"
52,55,52,55,35600,"2020-03-23","FITT"
52,58,52,56,95100,"2020-03-24","FITT"
59,59,55,55,900,"2020-03-26","FITT"
52,60,52,56,6600,"2020-03-27","FITT"
53,58,53,58,3400,"2020-03-30","FITT"
54,58,54,55,2200,"2020-03-31","FITT"
59,59,53,54,11800,"2020-04-01","FITT"
51,58,51,57,2900,"2020-04-02","FITT"
54,59,54,55,5400,"2020-04-03","FITT"
53,59,53,59,3500,"2020-04-06","FITT"
60,60,55,58,16500,"2020-04-07","FITT"
54,55,54,55,1400,"2020-04-08","FITT"
52,58,52,58,11800,"2020-04-09","FITT"
54,58,54,55,4600,"2020-04-13","FITT"
54,56,54,54,19400,"2020-04-14","FITT"
52,58,52,57,1100,"2020-04-15","FITT"
57,57,57,57,500,"2020-04-16","FITT"
54,59,54,55,46000,"2020-04-17","FITT"
53,58,53,55,8300,"2020-04-20","FITT"
52,56,52,53,2500,"2020-04-21","FITT"
52,57,52,53,5100,"2020-04-22","FITT"
51,54,51,53,55900,"2020-04-23","FITT"
50,55,50,54,10500,"2020-04-24","FITT"
51,55,51,54,29600,"2020-04-27","FITT"
51,56,51,55,800,"2020-04-28","FITT"
52,56,52,53,1400,"2020-04-29","FITT"
51,53,51,53,228600,"2020-04-30","FITT"
54,54,51,51,468700,"2020-05-04","FITT"
54,54,52,54,4500,"2020-05-05","FITT"
56,56,53,54,30500,"2020-05-06","FITT"
54,56,53,55,8300,"2020-05-08","FITT"
56,56,53,55,21200,"2020-05-11","FITT"
56,56,54,55,600,"2020-05-12","FITT"
55,55,52,55,24700,"2020-05-13","FITT"
55,55,53,55,13500,"2020-05-14","FITT"
60,60,52,54,70100,"2020-05-15","FITT"
54,56,53,55,7700,"2020-05-18","FITT"
55,55,55,55,100,"2020-05-19","FITT"
58,58,55,55,600,"2020-05-20","FITT"
57,57,52,54,17500,"2020-05-26","FITT"
58,58,52,54,3800,"2020-05-27","FITT"
52,54,51,54,87300,"2020-05-28","FITT"
58,58,54,54,11500,"2020-05-29","FITT"
61,61,52,55,5200,"2020-06-02","FITT"
58,58,52,52,12300,"2020-06-03","FITT"
55,55,53,54,5900,"2020-06-04","FITT"
57,57,52,54,28600,"2020-06-05","FITT"
58,58,53,54,115700,"2020-06-08","FITT"
58,58,53,55,111900,"2020-06-09","FITT"
60,60,53,54,8200,"2020-06-10","FITT"
54,55,52,54,1800,"2020-06-11","FITT"
54,56,54,55,117200,"2020-06-12","FITT"
55,55,54,55,300,"2020-06-15","FITT"
55,55,54,54,28200,"2020-06-16","FITT"
55,55,52,54,54600,"2020-06-17","FITT"
55,59,53,57,1699400,"2020-06-18","FITT"
57,57,54,55,171600,"2020-06-19","FITT"
54,54,52,54,107400,"2020-06-22","FITT"
54,54,51,53,17300,"2020-06-23","FITT"
53,55,53,53,4100,"2020-06-24","FITT"
52,54,52,54,26800,"2020-06-25","FITT"
51,55,51,53,65000,"2020-06-26","FITT"
51,54,50,54,70500,"2020-06-29","FITT"
54,55,51,51,206400,"2020-06-30","FITT"
52,54,51,51,130500,"2020-07-01","FITT"
55,55,52,53,900,"2020-07-02","FITT"
58,58,50,51,71400,"2020-07-03","FITT"
51,52,51,51,19500,"2020-07-06","FITT"
56,56,51,51,105400,"2020-07-07","FITT"
57,57,50,52,337500,"2020-07-08","FITT"
54,54,51,53,17800,"2020-07-09","FITT"
53,71,53,71,10994400,"2020-07-10","FITT"
73,76,67,67,5018500,"2020-07-13","FITT"
67,73,66,69,1108500,"2020-07-14","FITT"
70,74,68,70,2930100,"2020-07-15","FITT"
70,70,67,67,46900,"2020-07-16","FITT"
70,70,66,69,45400,"2020-07-17","FITT"
66,69,65,65,73000,"2020-07-20","FITT"
65,70,65,67,704900,"2020-07-21","FITT"
67,70,67,67,12900,"2020-07-22","FITT"
65,69,64,64,45400,"2020-07-23","FITT"
64,67,64,67,1900,"2020-07-24","FITT"
67,67,64,64,13500,"2020-07-27","FITT"
64,69,64,68,900,"2020-07-28","FITT"
64,72,64,71,485400,"2020-07-29","FITT"
70,70,67,67,26200,"2020-07-30","FITT"
67,67,63,63,13400,"2020-08-03","FITT"
63,67,61,66,16500,"2020-08-04","FITT"
64,69,63,69,3200,"2020-08-05","FITT"
67,69,65,65,9800,"2020-08-06","FITT"
66,67,66,67,2100,"2020-08-07","FITT"
63,67,63,66,252200,"2020-08-10","FITT"
66,72,62,69,277600,"2020-08-11","FITT"
68,74,65,66,8821900,"2020-08-12","FITT"
65,66,63,66,25300,"2020-08-13","FITT"
63,70,62,64,567100,"2020-08-14","FITT"
65,65,64,64,53700,"2020-08-18","FITT"
62,63,60,60,106100,"2020-08-19","FITT"
57,63,57,63,51200,"2020-08-24","FITT"
60,60,60,60,70200,"2020-08-25","FITT"
61,61,58,59,13400,"2020-08-26","FITT"
60,62,57,57,60900,"2020-08-27","FITT"
56,70,54,56,1110000,"2020-08-28","FITT"
57,64,54,56,114400,"2020-08-31","FITT"
55,58,55,58,189500,"2020-09-01","FITT"
58,58,58,58,68900,"2020-09-02","FITT"
58,58,57,57,90600,"2020-09-03","FITT"
54,58,54,58,20900,"2020-09-04","FITT"
57,62,57,61,1000,"2020-09-07","FITT"
58,62,58,61,40500,"2020-09-08","FITT"
59,59,58,59,500,"2020-09-09","FITT"
59,59,55,57,49500,"2020-09-10","FITT"
57,57,57,57,1500,"2020-09-11","FITT"
54,64,54,57,103200,"2020-09-14","FITT"
60,60,60,60,300,"2020-09-15","FITT"
58,58,57,57,8000,"2020-09-16","FITT"
57,61,57,61,200,"2020-09-17","FITT"
61,61,61,61,0,"2020-09-18","FITT"
61,61,61,61,0,"2020-09-21","FITT"
59,59,57,57,1000,"2020-09-22","FITT"
55,61,55,56,60300,"2020-09-23","FITT"
55,56,55,56,17500,"2020-09-24","FITT"
56,56,55,56,1400,"2020-09-25","FITT"
55,56,55,56,14300,"2020-09-28","FITT"
56,56,56,56,17000,"2020-09-29","FITT"
53,56,53,56,17700,"2020-09-30","FITT"
55,68,55,67,281800,"2020-10-01","FITT"
67,67,65,65,3300,"2020-10-02","FITT"
61,62,61,62,2200,"2020-10-05","FITT"
60,63,58,59,1900,"2020-10-06","FITT"
59,72,58,58,280600,"2020-10-07","FITT"
54,66,54,62,277300,"2020-10-08","FITT"
58,66,58,64,26600,"2020-10-09","FITT"
60,64,60,60,37800,"2020-10-12","FITT"
64,64,60,60,86900,"2020-10-13","FITT"
61,62,60,61,19500,"2020-10-14","FITT"
58,61,57,61,21000,"2020-10-15","FITT"
63,64,63,63,21500,"2020-10-16","FITT"
63,63,63,63,200,"2020-10-19","FITT"
59,63,59,62,26800,"2020-10-20","FITT"
65,69,62,62,7200,"2020-10-21","FITT"
60,60,59,60,30200,"2020-10-22","FITT"
63,63,57,61,24900,"2020-10-23","FITT"
60,61,60,60,800,"2020-10-26","FITT"
59,59,59,59,900,"2020-10-27","FITT"
55,60,55,59,31200,"2020-11-02","FITT"
59,59,55,57,9800,"2020-11-03","FITT"
56,58,54,58,53600,"2020-11-04","FITT"
62,62,55,55,16300,"2020-11-05","FITT"
58,58,55,56,10900,"2020-11-06","FITT"
56,56,55,55,18600,"2020-11-09","FITT"
55,62,54,60,125300,"2020-11-10","FITT"
59,60,58,60,124400,"2020-11-11","FITT"
58,60,58,60,18600,"2020-11-12","FITT"
58,58,58,58,216500,"2020-11-13","FITT"
58,62,57,57,9400,"2020-11-16","FITT"
57,60,57,59,32400,"2020-11-17","FITT"
59,61,59,61,61000,"2020-11-18","FITT"
59,61,59,59,4900,"2020-11-19","FITT"
58,62,58,59,387300,"2020-11-20","FITT"
59,63,58,59,7700,"2020-11-23","FITT"
