"Open","High","Low","Close","Volume","Date","Emiten"
135,135,110,113,771271300,"2023-08-07","FOLK"
112,114,97,97,134778000,"2023-08-08","FOLK"
95,95,83,83,137766100,"2023-08-09","FOLK"
72,95,72,90,161390800,"2023-08-10","FOLK"
91,93,85,85,45615800,"2023-08-11","FOLK"
73,88,73,86,20475200,"2023-08-14","FOLK"
86,89,79,80,73277200,"2023-08-15","FOLK"
68,82,68,82,52195200,"2023-08-16","FOLK"
82,91,80,88,121820300,"2023-08-18","FOLK"
89,93,85,85,40211000,"2023-08-21","FOLK"
85,91,83,85,31820700,"2023-08-22","FOLK"
85,87,82,83,15292000,"2023-08-23","FOLK"
83,85,78,83,25561200,"2023-08-24","FOLK"
77,88,77,83,22274700,"2023-08-25","FOLK"
84,86,81,82,15099400,"2023-08-28","FOLK"
82,84,81,82,7833300,"2023-08-29","FOLK"
83,84,81,83,3944700,"2023-08-30","FOLK"
84,84,82,82,9602700,"2023-08-31","FOLK"
82,83,81,81,4238900,"2023-09-01","FOLK"
81,82,78,79,6997300,"2023-09-04","FOLK"
79,80,77,77,6368800,"2023-09-05","FOLK"
64,78,64,73,17792900,"2023-09-06","FOLK"
73,80,73,76,22866800,"2023-09-07","FOLK"
76,78,75,75,2605100,"2023-09-08","FOLK"
76,77,74,74,3609400,"2023-09-11","FOLK"
74,77,74,74,4253000,"2023-09-12","FOLK"
74,76,74,74,2293300,"2023-09-13","FOLK"
75,76,74,75,3375000,"2023-09-14","FOLK"
75,76,74,74,3081900,"2023-09-15","FOLK"
74,76,73,75,4137600,"2023-09-18","FOLK"
74,76,73,74,3555100,"2023-09-19","FOLK"
74,74,73,73,1922100,"2023-09-20","FOLK"
73,74,72,74,4072400,"2023-09-21","FOLK"
74,75,74,74,5412400,"2023-09-22","FOLK"
73,75,73,75,4776500,"2023-09-25","FOLK"
75,75,73,73,1802800,"2023-09-26","FOLK"
73,76,73,74,5923900,"2023-09-27","FOLK"
74,75,73,73,3146400,"2023-09-29","FOLK"
73,75,73,73,2208600,"2023-10-02","FOLK"
73,74,72,73,2276000,"2023-10-03","FOLK"
65,74,65,71,2174400,"2023-10-04","FOLK"
71,90,71,75,304411500,"2023-10-05","FOLK"
65,76,65,68,57492500,"2023-10-06","FOLK"
50,71,50,69,12076800,"2023-10-09","FOLK"
70,70,67,67,20550400,"2023-10-10","FOLK"
68,74,67,69,25497100,"2023-10-11","FOLK"
69,74,68,70,22166400,"2023-10-12","FOLK"
71,71,68,69,7030100,"2023-10-13","FOLK"
69,69,66,68,8180400,"2023-10-16","FOLK"
68,68,66,68,3915100,"2023-10-17","FOLK"
68,68,65,66,6181400,"2023-10-18","FOLK"
66,67,64,66,5494500,"2023-10-19","FOLK"
66,66,64,64,2707000,"2023-10-20","FOLK"
65,71,64,65,12334200,"2023-10-23","FOLK"
67,67,64,64,3149700,"2023-10-24","FOLK"
65,65,64,64,2952700,"2023-10-25","FOLK"
65,65,64,64,1643500,"2023-10-26","FOLK"
65,65,64,64,2187700,"2023-10-27","FOLK"
64,65,63,63,2323000,"2023-10-30","FOLK"
63,65,63,64,1552700,"2023-10-31","FOLK"
64,69,64,65,9781700,"2023-11-01","FOLK"
66,67,65,66,2777700,"2023-11-02","FOLK"
66,67,65,66,2497500,"2023-11-03","FOLK"
66,68,65,67,2716900,"2023-11-06","FOLK"
66,67,66,66,2849300,"2023-11-07","FOLK"
65,67,65,66,1342300,"2023-11-08","FOLK"
66,69,66,66,4683400,"2023-11-09","FOLK"
67,67,65,66,2628100,"2023-11-10","FOLK"
65,67,65,66,867900,"2023-11-13","FOLK"
65,66,64,65,1415600,"2023-11-14","FOLK"
65,66,64,64,1444400,"2023-11-15","FOLK"
65,66,64,66,1720800,"2023-11-16","FOLK"
66,67,65,67,3272200,"2023-11-17","FOLK"
67,67,65,65,1343500,"2023-11-20","FOLK"
65,66,64,64,1211800,"2023-11-21","FOLK"
65,66,64,65,862100,"2023-11-22","FOLK"
66,66,64,66,819200,"2023-11-23","FOLK"
66,66,64,66,1041400,"2023-11-24","FOLK"
66,68,64,66,2162300,"2023-11-27","FOLK"
65,67,65,65,2227600,"2023-11-28","FOLK"
66,66,64,65,1728200,"2023-11-29","FOLK"
65,66,64,65,1853600,"2023-11-30","FOLK"
64,65,63,64,3041600,"2023-12-01","FOLK"
63,65,63,64,1371400,"2023-12-04","FOLK"
64,64,62,63,5496300,"2023-12-05","FOLK"
64,64,63,63,1376600,"2023-12-06","FOLK"
66,66,62,63,1834900,"2023-12-07","FOLK"
63,64,62,64,1359200,"2023-12-08","FOLK"
64,64,61,61,3391700,"2023-12-11","FOLK"
61,64,61,62,1743600,"2023-12-12","FOLK"
64,64,61,61,1842000,"2023-12-13","FOLK"
62,62,53,60,7678100,"2023-12-14","FOLK"
64,64,57,60,341300,"2023-12-15","FOLK"
51,61,51,60,1718600,"2023-12-18","FOLK"
60,61,59,60,711700,"2023-12-19","FOLK"
60,61,58,60,1689000,"2023-12-20","FOLK"
60,61,59,61,822000,"2023-12-21","FOLK"
61,61,59,60,1350800,"2023-12-22","FOLK"
59,61,58,60,6130100,"2023-12-27","FOLK"
60,61,58,60,3087900,"2023-12-28","FOLK"
60,65,59,63,1787300,"2023-12-29","FOLK"
