"Open","High","Low","Close","Volume","Date","Emiten"
93,108,93,100,667191300,"2023-02-27","FUTR"
110,121,98,121,161703700,"2023-02-28","FUTR"
127,163,114,163,616358700,"2023-03-01","FUTR"
167,170,152,152,183133100,"2023-03-02","FUTR"
142,142,142,142,3038000,"2023-03-03","FUTR"
133,157,133,150,356386200,"2023-03-06","FUTR"
152,156,140,140,121149800,"2023-03-07","FUTR"
131,149,131,144,38028700,"2023-03-08","FUTR"
144,151,138,147,107602300,"2023-03-09","FUTR"
147,177,137,143,304524200,"2023-03-10","FUTR"
143,148,133,134,303113500,"2023-03-13","FUTR"
134,135,125,125,161626500,"2023-03-14","FUTR"
123,134,118,131,111237200,"2023-03-15","FUTR"
131,137,126,135,326452200,"2023-03-16","FUTR"
144,144,126,126,282457800,"2023-03-17","FUTR"
121,124,118,118,67308800,"2023-03-20","FUTR"
117,123,110,119,132303500,"2023-03-21","FUTR"
119,124,117,121,34380000,"2023-03-24","FUTR"
121,132,120,128,125680500,"2023-03-27","FUTR"
130,133,125,129,83491900,"2023-03-28","FUTR"
129,130,124,125,40319300,"2023-03-29","FUTR"
125,143,117,117,172950500,"2023-03-30","FUTR"
115,117,109,109,78486500,"2023-03-31","FUTR"
102,124,102,121,160294800,"2023-04-03","FUTR"
120,126,113,115,215253400,"2023-04-04","FUTR"
125,125,107,109,214239200,"2023-04-05","FUTR"
110,110,102,102,142524100,"2023-04-06","FUTR"
101,102,95,95,72121700,"2023-04-10","FUTR"
89,101,89,89,121386400,"2023-04-11","FUTR"
84,88,83,83,22997800,"2023-04-12","FUTR"
79,89,78,83,169268900,"2023-04-13","FUTR"
83,86,78,78,57400100,"2023-04-14","FUTR"
82,82,73,74,19964000,"2023-04-17","FUTR"
69,75,69,69,20415600,"2023-04-18","FUTR"
68,80,65,77,172308300,"2023-04-26","FUTR"
78,81,72,77,101624800,"2023-04-27","FUTR"
77,84,75,81,142070100,"2023-04-28","FUTR"
82,85,76,79,128096900,"2023-05-02","FUTR"
79,84,78,80,44949200,"2023-05-03","FUTR"
80,84,78,80,84286800,"2023-05-04","FUTR"
80,86,76,80,177606500,"2023-05-05","FUTR"
81,98,80,90,577945900,"2023-05-08","FUTR"
92,98,87,94,232431800,"2023-05-09","FUTR"
95,103,92,100,274750700,"2023-05-10","FUTR"
101,104,95,100,338569300,"2023-05-11","FUTR"
100,105,95,95,241663400,"2023-05-12","FUTR"
96,100,89,90,505472000,"2023-05-15","FUTR"
89,93,84,85,404761200,"2023-05-16","FUTR"
85,88,80,80,293988300,"2023-05-17","FUTR"
77,92,75,75,1027213000,"2023-05-19","FUTR"
75,81,72,76,550799700,"2023-05-22","FUTR"
76,79,73,73,214060600,"2023-05-23","FUTR"
74,76,70,73,168098400,"2023-05-24","FUTR"
73,75,72,73,26441300,"2023-05-25","FUTR"
