"Open","High","Low","Close","Volume","Date","Emiten"
660,660,660,660,30,"2007-01-02","GDYR"
660,660,660,660,30,"2007-01-03","GDYR"
640,640,640,640,5000,"2007-01-04","GDYR"
640,640,640,640,10000,"2007-01-05","GDYR"
640,640,640,640,45000,"2007-01-08","GDYR"
640,640,640,640,10000,"2007-01-09","GDYR"
635,635,635,635,5000,"2007-01-10","GDYR"
660,660,660,660,10000,"2007-01-11","GDYR"
660,660,660,660,20,"2007-01-12","GDYR"
640,640,640,640,10000,"2007-01-15","GDYR"
620,630,620,620,40,"2007-01-16","GDYR"
620,620,620,620,30000,"2007-01-17","GDYR"
620,620,620,620,20,"2007-01-18","GDYR"
620,620,620,620,20,"2007-01-19","GDYR"
620,620,620,620,10000,"2007-01-22","GDYR"
620,620,620,620,10,"2007-01-23","GDYR"
620,620,620,620,10,"2007-01-24","GDYR"
620,620,620,620,20,"2007-01-25","GDYR"
620,620,620,620,0,"2007-01-26","GDYR"
620,620,620,620,0,"2007-01-29","GDYR"
620,620,620,620,0,"2007-01-30","GDYR"
600,600,600,600,5000,"2007-01-31","GDYR"
600,600,600,600,20,"2007-02-01","GDYR"
600,600,600,600,30,"2007-02-02","GDYR"
600,600,600,600,20,"2007-02-05","GDYR"
600,600,600,600,10,"2007-02-06","GDYR"
600,600,600,600,30,"2007-02-07","GDYR"
620,620,620,620,5000,"2007-02-08","GDYR"
620,620,620,620,20,"2007-02-09","GDYR"
620,620,620,620,10,"2007-02-12","GDYR"
620,620,620,620,10,"2007-02-13","GDYR"
610,610,610,610,5000,"2007-02-14","GDYR"
610,610,610,610,40,"2007-02-15","GDYR"
610,610,610,610,20,"2007-02-16","GDYR"
610,610,610,610,10,"2007-02-19","GDYR"
610,610,610,610,10,"2007-02-20","GDYR"
630,630,630,630,5000,"2007-02-21","GDYR"
630,630,630,630,40,"2007-02-22","GDYR"
650,700,650,700,20000,"2007-02-23","GDYR"
700,700,700,700,0,"2007-02-26","GDYR"
700,700,700,700,20,"2007-02-27","GDYR"
700,700,700,700,20,"2007-02-28","GDYR"
660,660,660,660,10000,"2007-03-01","GDYR"
660,660,660,660,30,"2007-03-02","GDYR"
640,640,640,640,10000,"2007-03-05","GDYR"
650,680,650,650,40,"2007-03-06","GDYR"
670,670,660,670,40,"2007-03-07","GDYR"
670,670,670,670,30,"2007-03-08","GDYR"
675,675,675,675,10000,"2007-03-09","GDYR"
675,675,675,675,30,"2007-03-12","GDYR"
660,660,660,660,5000,"2007-03-13","GDYR"
660,660,660,660,10000,"2007-03-14","GDYR"
680,680,650,680,40,"2007-03-15","GDYR"
690,690,680,690,40,"2007-03-16","GDYR"
690,690,690,690,10000,"2007-03-20","GDYR"
710,750,705,750,95000,"2007-03-21","GDYR"
750,750,725,750,40,"2007-03-22","GDYR"
770,770,750,770,40,"2007-03-23","GDYR"
780,780,780,780,5000,"2007-03-26","GDYR"
760,770,760,760,40,"2007-03-27","GDYR"
790,800,770,790,40,"2007-03-28","GDYR"
820,880,800,820,40,"2007-03-29","GDYR"
835,835,800,835,40,"2007-03-30","GDYR"
835,835,835,835,30,"2007-04-02","GDYR"
835,860,820,835,40,"2007-04-03","GDYR"
835,880,835,880,35000,"2007-04-04","GDYR"
900,900,865,900,40,"2007-04-05","GDYR"
880,880,880,880,5000,"2007-04-09","GDYR"
870,880,870,870,70000,"2007-04-10","GDYR"
870,870,870,870,30,"2007-04-11","GDYR"
870,870,870,870,0,"2007-04-12","GDYR"
870,870,870,870,30,"2007-04-13","GDYR"
880,880,870,880,40,"2007-04-16","GDYR"
905,905,900,905,40,"2007-04-17","GDYR"
910,910,910,910,10000,"2007-04-18","GDYR"
940,950,930,940,40,"2007-04-19","GDYR"
940,950,940,950,30000,"2007-04-20","GDYR"
945,1000,945,1000,115000,"2007-04-23","GDYR"
1000,1000,1000,1000,20,"2007-04-24","GDYR"
980,990,980,980,40,"2007-04-25","GDYR"
980,980,980,980,20,"2007-04-26","GDYR"
