"Open","High","Low","Close","Volume","Date","Emiten"
590,590,570,590,1411500,"2007-01-02","GJTL"
610,610,590,610,39350500,"2007-01-03","GJTL"
610,620,600,610,21577000,"2007-01-04","GJTL"
630,630,600,630,34453000,"2007-01-05","GJTL"
600,630,600,600,5316500,"2007-01-08","GJTL"
590,610,580,590,13736000,"2007-01-09","GJTL"
570,580,550,570,23455000,"2007-01-10","GJTL"
550,580,550,550,3560500,"2007-01-11","GJTL"
550,560,520,550,11790500,"2007-01-12","GJTL"
570,570,550,570,16500000,"2007-01-15","GJTL"
570,570,560,570,705000,"2007-01-16","GJTL"
590,590,560,590,7426000,"2007-01-17","GJTL"
590,600,590,590,10227000,"2007-01-18","GJTL"
580,590,580,580,3411500,"2007-01-19","GJTL"
590,590,580,590,2429500,"2007-01-22","GJTL"
580,580,560,580,1488000,"2007-01-23","GJTL"
580,590,570,580,1421000,"2007-01-24","GJTL"
560,580,550,560,5886000,"2007-01-25","GJTL"
550,570,550,570,1253000,"2007-01-26","GJTL"
570,570,560,570,285500,"2007-01-29","GJTL"
550,570,550,550,1057500,"2007-01-30","GJTL"
570,570,560,570,1922500,"2007-01-31","GJTL"
570,580,560,570,10762500,"2007-02-01","GJTL"
570,580,580,570,4604500,"2007-02-02","GJTL"
560,560,550,560,1021500,"2007-02-05","GJTL"
570,590,560,570,8740500,"2007-02-06","GJTL"
570,570,570,570,2025000,"2007-02-07","GJTL"
580,580,570,580,1656000,"2007-02-08","GJTL"
580,590,570,580,9981500,"2007-02-09","GJTL"
570,580,570,570,677000,"2007-02-12","GJTL"
570,570,570,570,822500,"2007-02-13","GJTL"
570,580,560,570,10378500,"2007-02-14","GJTL"
570,580,560,570,11075500,"2007-02-15","GJTL"
570,570,570,570,3924500,"2007-02-16","GJTL"
560,570,560,560,985500,"2007-02-19","GJTL"
560,570,560,560,1138000,"2007-02-20","GJTL"
570,570,570,570,4942000,"2007-02-21","GJTL"
560,570,560,560,542000,"2007-02-22","GJTL"
560,560,550,560,6044000,"2007-02-23","GJTL"
560,560,550,550,692500,"2007-02-26","GJTL"
550,560,540,550,6612500,"2007-02-27","GJTL"
540,540,510,540,9311000,"2007-02-28","GJTL"
550,550,530,550,2681500,"2007-03-01","GJTL"
540,540,530,540,1585000,"2007-03-02","GJTL"
520,530,510,520,4943000,"2007-03-05","GJTL"
520,520,500,520,13854500,"2007-03-06","GJTL"
510,540,510,510,7715000,"2007-03-07","GJTL"
520,530,520,520,1757000,"2007-03-08","GJTL"
510,530,510,510,1439500,"2007-03-09","GJTL"
530,530,520,530,4024000,"2007-03-12","GJTL"
530,530,520,530,3602000,"2007-03-13","GJTL"
520,520,510,520,473500,"2007-03-14","GJTL"
510,520,510,510,544500,"2007-03-15","GJTL"
510,520,510,510,222000,"2007-03-16","GJTL"
510,520,510,510,2114000,"2007-03-20","GJTL"
510,510,510,510,2622000,"2007-03-21","GJTL"
530,530,520,530,3523000,"2007-03-22","GJTL"
530,540,520,530,20048500,"2007-03-23","GJTL"
520,530,510,520,1753000,"2007-03-26","GJTL"
520,520,520,520,816000,"2007-03-27","GJTL"
520,520,510,520,51000,"2007-03-28","GJTL"
520,520,510,520,3458500,"2007-03-29","GJTL"
510,520,500,510,9040000,"2007-03-30","GJTL"
520,520,510,520,4534000,"2007-04-02","GJTL"
520,520,510,520,614000,"2007-04-03","GJTL"
520,530,510,520,7898000,"2007-04-04","GJTL"
520,520,510,520,777500,"2007-04-05","GJTL"
520,520,510,520,3660000,"2007-04-09","GJTL"
520,520,510,520,8814500,"2007-04-10","GJTL"
520,520,510,520,1750000,"2007-04-11","GJTL"
520,520,510,520,5845500,"2007-04-12","GJTL"
520,530,510,520,9555000,"2007-04-13","GJTL"
540,550,520,540,24360500,"2007-04-16","GJTL"
530,540,520,530,8461000,"2007-04-17","GJTL"
530,540,520,530,3740000,"2007-04-18","GJTL"
510,530,510,510,4107000,"2007-04-19","GJTL"
520,530,520,530,10308500,"2007-04-20","GJTL"
520,540,510,520,9206000,"2007-04-23","GJTL"
520,560,510,550,48116500,"2007-04-24","GJTL"
550,570,550,550,16915000,"2007-04-25","GJTL"
560,570,550,560,12742000,"2007-04-26","GJTL"
540,560,530,540,8450000,"2007-04-27","GJTL"
540,540,530,540,5317500,"2007-04-30","GJTL"
550,550,530,550,7127500,"2007-05-01","GJTL"
550,630,540,580,69958500,"2007-05-02","GJTL"
580,590,550,550,15774500,"2007-05-03","GJTL"
550,570,540,550,7172500,"2007-05-04","GJTL"
540,550,540,540,6481000,"2007-05-07","GJTL"
530,540,530,530,8042000,"2007-05-08","GJTL"
530,540,520,530,9127000,"2007-05-09","GJTL"
540,540,530,540,9739000,"2007-05-10","GJTL"
540,570,530,540,31734000,"2007-05-11","GJTL"
550,560,540,550,3704000,"2007-05-14","GJTL"
550,550,530,550,8383000,"2007-05-15","GJTL"
540,550,540,540,2713000,"2007-05-16","GJTL"
540,550,530,540,5948000,"2007-05-21","GJTL"
540,550,530,540,5089000,"2007-05-22","GJTL"
550,550,540,550,3433000,"2007-05-23","GJTL"
540,550,530,540,5817500,"2007-05-24","GJTL"
530,570,530,560,24818500,"2007-05-25","GJTL"
550,560,540,550,14112500,"2007-05-28","GJTL"
550,550,540,550,4814000,"2007-05-29","GJTL"
540,590,540,580,45286500,"2007-05-30","GJTL"
600,610,570,570,32654500,"2007-05-31","GJTL"
600,610,580,600,35002000,"2007-06-04","GJTL"
600,600,570,590,12548500,"2007-06-05","GJTL"
590,590,570,590,4500000,"2007-06-06","GJTL"
570,580,560,570,4359500,"2007-06-07","GJTL"
560,570,550,560,10392500,"2007-06-08","GJTL"
560,570,540,560,12074000,"2007-06-11","GJTL"
570,580,560,570,13306000,"2007-06-12","GJTL"
570,570,560,570,10254500,"2007-06-13","GJTL"
570,580,560,570,4050000,"2007-06-14","GJTL"
560,570,560,560,1562500,"2007-06-15","GJTL"
560,570,550,560,3952500,"2007-06-18","GJTL"
560,610,560,600,45625000,"2007-06-19","GJTL"
630,630,600,630,33121500,"2007-06-20","GJTL"
640,660,620,640,78988000,"2007-06-21","GJTL"
630,640,620,630,6959000,"2007-06-22","GJTL"
620,640,610,620,20095500,"2007-06-25","GJTL"
620,630,610,620,9268000,"2007-06-26","GJTL"
600,610,590,600,10039500,"2007-06-27","GJTL"
600,610,580,600,5861500,"2007-06-28","GJTL"
600,600,590,600,654000,"2007-06-29","GJTL"
610,610,590,610,3016500,"2007-07-02","GJTL"
600,610,590,600,6487000,"2007-07-03","GJTL"
610,620,600,610,6631500,"2007-07-04","GJTL"
600,610,590,600,3201500,"2007-07-05","GJTL"
620,620,600,620,13812000,"2007-07-06","GJTL"
620,620,610,620,7024000,"2007-07-09","GJTL"
620,620,600,620,6505000,"2007-07-10","GJTL"
620,620,600,620,12904500,"2007-07-11","GJTL"
610,620,600,610,5155500,"2007-07-12","GJTL"
610,620,600,610,5244000,"2007-07-13","GJTL"
610,610,600,610,2466000,"2007-07-16","GJTL"
600,600,590,600,6507500,"2007-07-17","GJTL"
590,600,580,590,2904000,"2007-07-18","GJTL"
600,600,590,600,4126000,"2007-07-19","GJTL"
600,600,590,600,2950000,"2007-07-20","GJTL"
590,600,590,600,2296000,"2007-07-23","GJTL"
600,630,590,630,50576000,"2007-07-24","GJTL"
610,620,600,610,8101500,"2007-07-25","GJTL"
620,630,590,600,13889500,"2007-07-26","GJTL"
590,590,580,590,5870000,"2007-07-27","GJTL"
590,600,580,600,6944000,"2007-07-30","GJTL"
600,600,580,590,10486500,"2007-07-31","GJTL"
570,590,550,570,14295000,"2007-08-01","GJTL"
560,580,550,560,15175000,"2007-08-02","GJTL"
560,570,540,560,3506000,"2007-08-03","GJTL"
540,550,530,540,20356000,"2007-08-06","GJTL"
530,560,520,530,19862000,"2007-08-07","GJTL"
540,540,530,540,5003500,"2007-08-08","GJTL"
550,550,530,540,1745500,"2007-08-09","GJTL"
520,530,500,520,3284000,"2007-08-10","GJTL"
530,530,510,530,1117500,"2007-08-13","GJTL"
520,530,510,520,1742500,"2007-08-14","GJTL"
490,510,480,490,6421000,"2007-08-15","GJTL"
400,470,400,425,11386500,"2007-08-16","GJTL"
455,465,445,455,11283500,"2007-08-20","GJTL"
440,460,435,440,3787500,"2007-08-21","GJTL"
460,460,440,460,6220000,"2007-08-22","GJTL"
475,485,465,475,11265000,"2007-08-23","GJTL"
