"Open","High","Low","Close","Volume","Date","Emiten"
93,93,93,93,81597500,"2021-09-08","GTSI"
87,87,87,87,11480800,"2021-09-09","GTSI"
81,81,81,81,10438300,"2021-09-10","GTSI"
76,85,76,81,1650889700,"2021-09-13","GTSI"
81,81,77,78,201338800,"2021-09-14","GTSI"
78,79,74,77,107299600,"2021-09-15","GTSI"
77,78,74,75,88415900,"2021-09-16","GTSI"
75,76,72,74,66306700,"2021-09-17","GTSI"
75,80,71,77,297817400,"2021-09-20","GTSI"
77,80,75,80,105413800,"2021-09-21","GTSI"
83,83,77,79,71700800,"2021-09-22","GTSI"
79,82,75,80,87463000,"2021-09-23","GTSI"
81,81,77,80,38999800,"2021-09-24","GTSI"
80,81,78,78,25772600,"2021-09-27","GTSI"
78,88,77,87,416051400,"2021-09-28","GTSI"
86,86,82,82,86371400,"2021-09-29","GTSI"
82,82,79,80,29397600,"2021-09-30","GTSI"
80,81,78,80,30094400,"2021-10-01","GTSI"
80,80,77,78,52300200,"2021-10-04","GTSI"
77,79,77,77,20960900,"2021-10-05","GTSI"
77,78,76,77,28032600,"2021-10-06","GTSI"
77,78,73,74,55684400,"2021-10-07","GTSI"
74,77,74,76,30813700,"2021-10-08","GTSI"
76,76,74,75,22087900,"2021-10-11","GTSI"
75,77,74,75,31710800,"2021-10-12","GTSI"
75,76,73,73,46618300,"2021-10-13","GTSI"
73,75,72,73,41907400,"2021-10-14","GTSI"
73,76,72,76,26001600,"2021-10-15","GTSI"
76,76,71,74,76216500,"2021-10-18","GTSI"
74,74,72,73,15294300,"2021-10-19","GTSI"
74,74,71,72,28130700,"2021-10-21","GTSI"
72,73,70,70,53204700,"2021-10-22","GTSI"
71,72,69,70,43004100,"2021-10-25","GTSI"
70,71,69,70,19531200,"2021-10-26","GTSI"
70,72,69,70,26952700,"2021-10-27","GTSI"
70,71,67,69,56273700,"2021-10-28","GTSI"
68,70,67,67,26479200,"2021-10-29","GTSI"
67,68,66,66,15686900,"2021-11-01","GTSI"
67,68,66,66,11268500,"2021-11-02","GTSI"
66,68,66,67,10896400,"2021-11-03","GTSI"
67,68,66,68,11875700,"2021-11-04","GTSI"
68,72,68,69,41270300,"2021-11-05","GTSI"
70,70,68,68,12371600,"2021-11-08","GTSI"
70,70,66,69,19682100,"2021-11-09","GTSI"
69,71,67,70,21688000,"2021-11-10","GTSI"
70,71,68,70,15854000,"2021-11-11","GTSI"
70,70,68,69,9540400,"2021-11-12","GTSI"
69,70,68,69,9423500,"2021-11-15","GTSI"
69,70,68,68,15380600,"2021-11-16","GTSI"
68,70,68,69,10773300,"2021-11-17","GTSI"
69,70,68,69,13344400,"2021-11-18","GTSI"
69,70,68,69,5948500,"2021-11-19","GTSI"
69,70,69,69,9867900,"2021-11-22","GTSI"
70,78,69,72,167888100,"2021-11-23","GTSI"
73,75,70,71,23836200,"2021-11-24","GTSI"
71,73,71,71,14615900,"2021-11-25","GTSI"
72,72,69,70,15269600,"2021-11-26","GTSI"
70,71,69,71,10952700,"2021-11-29","GTSI"
71,74,70,72,41759200,"2021-11-30","GTSI"
72,73,70,71,13249800,"2021-12-01","GTSI"
71,71,69,70,12941300,"2021-12-02","GTSI"
71,71,69,70,19883100,"2021-12-03","GTSI"
70,71,69,70,9396600,"2021-12-06","GTSI"
71,72,69,71,11913100,"2021-12-07","GTSI"
70,71,69,69,8005100,"2021-12-08","GTSI"
70,71,69,70,5454500,"2021-12-09","GTSI"
70,71,69,69,4497600,"2021-12-10","GTSI"
70,71,69,70,6213400,"2021-12-13","GTSI"
70,74,70,72,39292900,"2021-12-14","GTSI"
71,73,70,72,6589000,"2021-12-15","GTSI"
72,72,69,70,14657500,"2021-12-16","GTSI"
70,72,69,71,13025300,"2021-12-17","GTSI"
71,71,70,70,8124700,"2021-12-20","GTSI"
71,71,69,70,6885700,"2021-12-21","GTSI"
70,71,69,70,4827500,"2021-12-22","GTSI"
70,70,68,69,15065200,"2021-12-23","GTSI"
69,70,66,67,15967400,"2021-12-24","GTSI"
67,70,66,67,9142100,"2021-12-27","GTSI"
67,68,66,67,5900800,"2021-12-28","GTSI"
67,68,66,67,8844300,"2021-12-29","GTSI"
67,67,65,67,9707100,"2021-12-30","GTSI"
66,67,63,65,20461000,"2022-01-03","GTSI"
66,69,63,64,45581200,"2022-01-04","GTSI"
65,65,62,63,14507000,"2022-01-05","GTSI"
62,64,60,62,26479700,"2022-01-06","GTSI"
63,63,60,61,10675600,"2022-01-07","GTSI"
60,61,57,57,35314200,"2022-01-10","GTSI"
56,57,54,54,27683200,"2022-01-11","GTSI"
51,55,51,51,49907300,"2022-01-12","GTSI"
