"Open","High","Low","Close","Volume","Date","Emiten"
370,374,370,374,12520400,"2021-09-01","HAIS"
466,466,348,348,391548500,"2021-09-02","HAIS"
324,352,324,324,61849800,"2021-09-03","HAIS"
320,320,302,302,25856000,"2021-09-06","HAIS"
298,306,282,292,73914500,"2021-09-07","HAIS"
294,298,282,286,22402500,"2021-09-08","HAIS"
284,292,266,270,29975900,"2021-09-09","HAIS"
256,270,256,260,17935400,"2021-09-10","HAIS"
280,306,260,282,101607300,"2021-09-13","HAIS"
288,288,270,276,19218300,"2021-09-14","HAIS"
276,280,272,278,13438300,"2021-09-15","HAIS"
278,284,274,276,10653500,"2021-09-16","HAIS"
276,276,266,270,13235500,"2021-09-17","HAIS"
272,274,262,266,12646000,"2021-09-20","HAIS"
262,274,262,268,11939700,"2021-09-21","HAIS"
270,272,266,268,10639400,"2021-09-22","HAIS"
268,270,260,262,13666200,"2021-09-23","HAIS"
262,268,260,262,11522600,"2021-09-24","HAIS"
264,278,262,266,13380900,"2021-09-27","HAIS"
268,268,260,264,9267900,"2021-09-28","HAIS"
262,266,260,262,10607900,"2021-09-29","HAIS"
262,268,260,264,12150200,"2021-09-30","HAIS"
266,266,260,262,11168700,"2021-10-01","HAIS"
262,266,260,260,9174400,"2021-10-04","HAIS"
260,264,260,262,8505900,"2021-10-05","HAIS"
262,264,250,264,23772600,"2021-10-06","HAIS"
264,264,258,264,10638600,"2021-10-07","HAIS"
262,262,250,250,18833800,"2021-10-08","HAIS"
250,258,242,244,11698600,"2021-10-11","HAIS"
244,244,236,238,13394300,"2021-10-12","HAIS"
238,238,222,228,9053600,"2021-10-13","HAIS"
228,228,216,220,11044600,"2021-10-14","HAIS"
220,236,218,224,12110300,"2021-10-15","HAIS"
224,226,220,224,9295800,"2021-10-18","HAIS"
224,232,224,228,13491600,"2021-10-19","HAIS"
228,228,216,222,11252700,"2021-10-21","HAIS"
220,224,218,218,9406700,"2021-10-22","HAIS"
218,222,218,218,5988200,"2021-10-25","HAIS"
220,220,216,218,4917000,"2021-10-26","HAIS"
220,220,216,216,9205000,"2021-10-27","HAIS"
216,218,206,206,16077500,"2021-10-28","HAIS"
208,210,204,204,9891600,"2021-10-29","HAIS"
204,236,204,214,28267700,"2021-11-01","HAIS"
214,220,206,208,8999400,"2021-11-02","HAIS"
208,216,208,212,1909600,"2021-11-03","HAIS"
214,230,212,228,17690900,"2021-11-04","HAIS"
228,234,220,220,17156800,"2021-11-05","HAIS"
220,220,216,216,10678300,"2021-11-08","HAIS"
216,222,214,220,10640400,"2021-11-09","HAIS"
220,222,214,214,6459200,"2021-11-10","HAIS"
214,224,214,220,6282700,"2021-11-11","HAIS"
222,222,216,216,1640700,"2021-11-12","HAIS"
216,220,208,208,3433200,"2021-11-15","HAIS"
208,230,206,222,30800300,"2021-11-16","HAIS"
224,228,218,218,14520900,"2021-11-17","HAIS"
220,230,214,216,13236700,"2021-11-18","HAIS"
216,220,208,214,14829600,"2021-11-19","HAIS"
214,220,210,212,16004800,"2021-11-22","HAIS"
212,216,210,212,10102500,"2021-11-23","HAIS"
212,214,208,212,11402900,"2021-11-24","HAIS"
212,230,210,222,14612200,"2021-11-25","HAIS"
224,224,214,216,16556100,"2021-11-26","HAIS"
216,218,208,214,11560200,"2021-11-29","HAIS"
212,220,210,212,13419500,"2021-11-30","HAIS"
212,212,198,199,25385800,"2021-12-01","HAIS"
200,200,191,196,11881800,"2021-12-02","HAIS"
195,196,193,196,9594400,"2021-12-03","HAIS"
197,199,192,194,7442600,"2021-12-06","HAIS"
194,196,191,193,1826300,"2021-12-07","HAIS"
192,192,190,192,1089400,"2021-12-08","HAIS"
192,194,191,194,758400,"2021-12-09","HAIS"
194,210,194,202,11461900,"2021-12-10","HAIS"
202,206,200,202,2181100,"2021-12-13","HAIS"
204,204,196,200,1472200,"2021-12-14","HAIS"
200,212,200,202,3153200,"2021-12-15","HAIS"
202,204,196,197,1326000,"2021-12-16","HAIS"
197,198,194,197,742200,"2021-12-17","HAIS"
199,199,192,195,1075400,"2021-12-20","HAIS"
195,196,190,193,611600,"2021-12-21","HAIS"
194,196,192,194,605800,"2021-12-22","HAIS"
195,195,192,193,746200,"2021-12-23","HAIS"
193,194,191,191,1031700,"2021-12-24","HAIS"
191,192,181,184,3109200,"2021-12-27","HAIS"
184,188,183,185,1316800,"2021-12-28","HAIS"
185,186,173,173,5891200,"2021-12-29","HAIS"
173,173,168,171,1386300,"2021-12-30","HAIS"
180,190,171,173,14741200,"2022-01-03","HAIS"
173,174,171,173,2992900,"2022-01-04","HAIS"
173,182,171,172,7700200,"2022-01-05","HAIS"
