"Open","High","Low","Close","Volume","Date","Emiten"
785,785,785,785,11700,"2019-07-12","HDIT"
980,980,795,805,15931500,"2019-07-15","HDIT"
805,810,780,785,2014200,"2019-07-16","HDIT"
790,795,780,780,2230100,"2019-07-17","HDIT"
780,855,780,800,7828800,"2019-07-18","HDIT"
805,815,795,805,1776500,"2019-07-19","HDIT"
805,815,790,790,1556700,"2019-07-22","HDIT"
790,800,790,795,1004500,"2019-07-23","HDIT"
790,800,790,790,982400,"2019-07-24","HDIT"
790,790,775,780,1155800,"2019-07-25","HDIT"
780,780,740,740,1904100,"2019-07-26","HDIT"
740,740,725,735,1033400,"2019-07-29","HDIT"
730,775,730,770,1207900,"2019-07-30","HDIT"
775,795,775,790,768200,"2019-07-31","HDIT"
790,815,790,800,1054300,"2019-08-01","HDIT"
800,810,795,810,823800,"2019-08-02","HDIT"
810,815,775,800,19689200,"2019-08-05","HDIT"
795,800,785,785,331200,"2019-08-06","HDIT"
780,780,770,770,386200,"2019-08-07","HDIT"
775,790,775,790,501900,"2019-08-08","HDIT"
795,800,790,795,422800,"2019-08-09","HDIT"
790,805,790,800,248700,"2019-08-12","HDIT"
805,810,795,805,490900,"2019-08-13","HDIT"
810,810,805,810,342700,"2019-08-14","HDIT"
810,815,810,815,457000,"2019-08-15","HDIT"
815,825,815,815,432800,"2019-08-16","HDIT"
820,820,790,800,668500,"2019-08-19","HDIT"
800,800,790,795,217400,"2019-08-20","HDIT"
790,790,780,790,211400,"2019-08-21","HDIT"
785,785,775,780,177400,"2019-08-22","HDIT"
785,790,780,780,274200,"2019-08-23","HDIT"
785,785,780,785,179100,"2019-08-26","HDIT"
785,790,785,790,226000,"2019-08-27","HDIT"
790,795,790,795,162700,"2019-08-28","HDIT"
790,790,780,785,212700,"2019-08-29","HDIT"
780,785,780,785,166600,"2019-08-30","HDIT"
790,790,775,775,177800,"2019-09-02","HDIT"
775,780,775,780,158600,"2019-09-03","HDIT"
785,785,770,785,308100,"2019-09-04","HDIT"
780,780,770,770,96300,"2019-09-05","HDIT"
765,780,765,775,133100,"2019-09-06","HDIT"
