"Open","High","Low","Close","Volume","Date","Emiten"
634,668,622,650,37063500,"2018-05-17","HEAL"
650,660,636,640,16095500,"2018-05-18","HEAL"
640,640,610,610,26039500,"2018-05-21","HEAL"
610,628,610,620,7144500,"2018-05-22","HEAL"
610,626,610,620,6496000,"2018-05-23","HEAL"
618,666,616,650,12619000,"2018-05-24","HEAL"
664,664,650,656,5231000,"2018-05-25","HEAL"
660,666,648,660,7014500,"2018-05-28","HEAL"
660,660,660,660,0,"2018-05-29","HEAL"
654,672,654,670,5073000,"2018-05-30","HEAL"
670,680,670,676,1580000,"2018-05-31","HEAL"
676,676,676,676,0,"2018-06-01","HEAL"
680,680,658,672,7628500,"2018-06-04","HEAL"
676,696,674,684,2611500,"2018-06-05","HEAL"
690,716,686,714,2911500,"2018-06-06","HEAL"
714,740,690,712,5586000,"2018-06-07","HEAL"
728,730,716,724,2107000,"2018-06-08","HEAL"
724,724,724,724,0,"2018-06-11","HEAL"
724,724,724,724,0,"2018-06-12","HEAL"
724,724,724,724,0,"2018-06-13","HEAL"
724,724,724,724,0,"2018-06-14","HEAL"
724,724,724,724,0,"2018-06-15","HEAL"
724,724,724,724,0,"2018-06-18","HEAL"
724,724,724,724,0,"2018-06-19","HEAL"
724,740,712,712,5135500,"2018-06-20","HEAL"
710,734,708,710,6667500,"2018-06-21","HEAL"
710,724,710,724,2179500,"2018-06-22","HEAL"
736,736,710,720,1890000,"2018-06-25","HEAL"
720,732,708,708,935000,"2018-06-26","HEAL"
720,726,714,726,2128500,"2018-06-27","HEAL"
726,732,704,704,1721500,"2018-06-28","HEAL"
704,720,704,706,823000,"2018-06-29","HEAL"
706,718,702,702,685500,"2018-07-02","HEAL"
720,720,686,714,7289500,"2018-07-03","HEAL"
714,716,690,714,2487500,"2018-07-04","HEAL"
700,718,698,706,5553000,"2018-07-05","HEAL"
710,710,698,700,3753000,"2018-07-06","HEAL"
700,702,696,700,6329500,"2018-07-09","HEAL"
702,704,690,690,1625500,"2018-07-10","HEAL"
700,702,684,684,5879500,"2018-07-11","HEAL"
690,692,682,686,2123000,"2018-07-12","HEAL"
690,690,672,676,2001500,"2018-07-13","HEAL"
668,680,668,680,2289000,"2018-07-16","HEAL"
680,680,672,676,815500,"2018-07-17","HEAL"
676,680,668,672,1018500,"2018-07-18","HEAL"
672,680,672,674,785500,"2018-07-19","HEAL"
680,682,676,676,768000,"2018-07-20","HEAL"
680,682,676,676,619500,"2018-07-23","HEAL"
680,700,668,668,2962000,"2018-07-24","HEAL"
680,680,670,670,681000,"2018-07-25","HEAL"
678,680,672,674,546000,"2018-07-26","HEAL"
674,682,672,678,563500,"2018-07-27","HEAL"
680,684,668,668,869000,"2018-07-30","HEAL"
680,680,668,676,501500,"2018-07-31","HEAL"
678,680,672,674,584000,"2018-08-01","HEAL"
680,680,670,670,511000,"2018-08-02","HEAL"
676,678,672,678,570500,"2018-08-03","HEAL"
678,680,676,678,602000,"2018-08-06","HEAL"
680,680,672,678,541500,"2018-08-07","HEAL"
678,680,674,680,516000,"2018-08-08","HEAL"
678,680,660,660,2151000,"2018-08-09","HEAL"
658,678,658,676,487000,"2018-08-10","HEAL"
676,676,666,666,835500,"2018-08-13","HEAL"
674,680,660,660,1395000,"2018-08-14","HEAL"
674,680,670,680,2602500,"2018-08-15","HEAL"
676,680,676,678,1100000,"2018-08-16","HEAL"
678,678,678,678,0,"2018-08-17","HEAL"
680,682,676,676,2220000,"2018-08-20","HEAL"
