"Open","High","Low","Close","Volume","Date","Emiten"
1280,1380,1270,1330,67971300,"2023-03-01","HILL"
1330,1615,1325,1495,67644100,"2023-03-02","HILL"
1500,1540,1425,1510,44537100,"2023-03-03","HILL"
1505,1570,1505,1560,24836800,"2023-03-06","HILL"
1560,1610,1555,1580,15957600,"2023-03-07","HILL"
1575,1660,1575,1630,19358300,"2023-03-08","HILL"
1635,1660,1590,1640,20286000,"2023-03-09","HILL"
1635,1700,1620,1700,13609000,"2023-03-10","HILL"
1690,1745,1690,1735,12020800,"2023-03-13","HILL"
1735,1900,1730,1820,27599800,"2023-03-14","HILL"
1845,2010,1825,2000,32178500,"2023-03-15","HILL"
2000,2180,1930,2020,45415600,"2023-03-16","HILL"
2050,2080,1900,2040,48143700,"2023-03-17","HILL"
2040,2120,2030,2050,15780700,"2023-03-20","HILL"
2050,2100,2020,2080,12589900,"2023-03-21","HILL"
2080,2190,2070,2120,18368900,"2023-03-24","HILL"
2120,2160,1975,2130,25865900,"2023-03-27","HILL"
2130,2170,2090,2140,21273800,"2023-03-28","HILL"
2140,2150,2060,2060,13604800,"2023-03-29","HILL"
2030,2060,1920,1920,14330600,"2023-03-30","HILL"
1900,2040,1790,2020,37599700,"2023-03-31","HILL"
2020,2080,1975,2030,17324300,"2023-04-03","HILL"
2030,2040,1980,1990,5749800,"2023-04-04","HILL"
1990,1990,1855,1875,22693300,"2023-04-05","HILL"
1870,1890,1745,1745,18592400,"2023-04-06","HILL"
1745,1775,1625,1760,33616500,"2023-04-10","HILL"
1760,1790,1735,1765,8825900,"2023-04-11","HILL"
1760,1765,1645,1670,21128400,"2023-04-12","HILL"
1670,1695,1555,1585,9413900,"2023-04-13","HILL"
1585,1600,1535,1590,5057700,"2023-04-14","HILL"
1585,1730,1585,1705,8115200,"2023-04-17","HILL"
1705,1740,1655,1710,7289700,"2023-04-18","HILL"
1710,2130,1705,2130,43678900,"2023-04-26","HILL"
2250,2660,2000,2650,97497400,"2023-04-27","HILL"
2650,2860,2620,2730,39008600,"2023-04-28","HILL"
2730,3010,2700,2900,28473500,"2023-05-02","HILL"
2900,3290,2750,3160,72026900,"2023-05-03","HILL"
3160,3500,3120,3430,46740400,"2023-05-04","HILL"
3440,3740,3410,3700,44439700,"2023-05-05","HILL"
3700,3890,3460,3740,39625000,"2023-05-08","HILL"
3740,3930,3730,3850,59068900,"2023-05-09","HILL"
3850,4000,3760,3910,54427700,"2023-05-10","HILL"
3910,4000,3720,3910,47517500,"2023-05-11","HILL"
3910,3990,3640,3660,45705700,"2023-05-12","HILL"
3660,3660,3410,3410,800300,"2023-05-15","HILL"
3290,3350,3180,3180,485800,"2023-05-16","HILL"
3180,3180,2960,2960,5940800,"2023-05-17","HILL"
2760,3100,2760,3020,22369000,"2023-05-19","HILL"
3030,3160,2810,2810,14738500,"2023-05-22","HILL"
2800,2810,2620,2620,5437200,"2023-05-23","HILL"
2620,2630,2440,2440,2110000,"2023-05-24","HILL"
2430,2800,2270,2270,35506900,"2023-05-25","HILL"
2260,2830,2260,2830,49721600,"2023-05-26","HILL"
2840,2860,2640,2680,23135300,"2023-05-29","HILL"
2680,2680,2500,2550,63758700,"2023-05-30","HILL"
2550,2650,2460,2580,15278900,"2023-05-31","HILL"
2590,2770,2540,2640,20200900,"2023-06-05","HILL"
2640,2750,2600,2670,11062800,"2023-06-06","HILL"
2670,2840,2670,2760,15703800,"2023-06-07","HILL"
2760,2840,2510,2720,20557600,"2023-06-08","HILL"
2720,2770,2710,2730,8224500,"2023-06-09","HILL"
2720,3030,2720,2950,26392700,"2023-06-12","HILL"
2960,3000,2790,2880,20624100,"2023-06-13","HILL"
2900,2970,2870,2910,9606000,"2023-06-14","HILL"
2910,2980,2900,2940,8568000,"2023-06-15","HILL"
2950,3140,2940,3110,17788800,"2023-06-16","HILL"
3120,3170,3080,3080,10603700,"2023-06-19","HILL"
3080,3140,2950,3010,9775800,"2023-06-20","HILL"
3010,3070,2970,2990,6800600,"2023-06-21","HILL"
2990,3030,2800,2800,5430700,"2023-06-22","HILL"
2760,2800,2580,2580,8745200,"2023-06-23","HILL"
2570,2670,2560,2660,9634100,"2023-06-26","HILL"
2660,2710,2650,2690,5461100,"2023-06-27","HILL"
2680,2780,2670,2740,8442600,"2023-07-03","HILL"
2750,2790,2730,2770,3934400,"2023-07-04","HILL"
2770,2830,2760,2790,5313700,"2023-07-05","HILL"
2790,2840,2790,2800,4632400,"2023-07-06","HILL"
2810,2810,2560,2660,7980000,"2023-07-07","HILL"
2660,2740,2650,2720,4098500,"2023-07-10","HILL"
2720,2780,2600,2740,12159800,"2023-07-11","HILL"
2740,2860,2620,2660,16507500,"2023-07-12","HILL"
2660,2680,2650,2660,2128300,"2023-07-13","HILL"
2650,2690,2650,2680,1462400,"2023-07-14","HILL"
2680,2750,2670,2700,4773400,"2023-07-17","HILL"
2700,2780,2690,2750,5364400,"2023-07-18","HILL"
2750,2850,2740,2810,8774500,"2023-07-20","HILL"
2810,2870,2790,2810,4999500,"2023-07-21","HILL"
2810,2850,2730,2790,5851500,"2023-07-24","HILL"
2790,2810,2780,2800,4119700,"2023-07-25","HILL"
2800,3320,2790,2880,59100600,"2023-07-26","HILL"
2890,2930,2730,2920,23537000,"2023-07-27","HILL"
2920,2960,2820,2830,11593200,"2023-07-28","HILL"
2830,2860,2820,2850,2370700,"2023-07-31","HILL"
2850,2870,2840,2840,3478700,"2023-08-01","HILL"
2830,2900,2800,2800,6130500,"2023-08-02","HILL"
2800,2820,2640,2730,8190400,"2023-08-03","HILL"
2730,2740,2670,2690,3624300,"2023-08-04","HILL"
2690,2850,2670,2740,12888000,"2023-08-07","HILL"
2740,2770,2650,2650,6624700,"2023-08-08","HILL"
2650,2670,2620,2620,4033500,"2023-08-09","HILL"
2610,2640,2580,2620,4970600,"2023-08-10","HILL"
2620,2680,2610,2630,5382200,"2023-08-11","HILL"
2630,2650,2590,2600,3994800,"2023-08-14","HILL"
2600,2740,2600,2710,4769700,"2023-08-15","HILL"
2710,2740,2600,2630,6001700,"2023-08-16","HILL"
2630,2800,2620,2800,7094800,"2023-08-18","HILL"
2800,2920,2790,2870,12213000,"2023-08-21","HILL"
2880,2960,2870,2930,6922900,"2023-08-22","HILL"
2930,3010,2900,2940,10819300,"2023-08-23","HILL"
2940,3000,2900,2940,7200800,"2023-08-24","HILL"
2940,2960,2870,2870,3703200,"2023-08-25","HILL"
2870,2930,2860,2930,5171000,"2023-08-28","HILL"
2930,2970,2920,2930,4577000,"2023-08-29","HILL"
2930,2980,2900,2900,5200700,"2023-08-30","HILL"
2900,2960,2890,2900,4230700,"2023-08-31","HILL"
2890,3120,2880,3050,21465000,"2023-09-01","HILL"
