"Open","High","Low","Close","Volume","Date","Emiten"
235,237,235,237,63200,"2020-09-10","HOMI"
295,295,295,295,92800,"2020-09-11","HOMI"
367.5,367.5,367.5,367.5,143800,"2020-09-14","HOMI"
412.5,450,342.5,367.5,3974400,"2020-09-15","HOMI"
367.5,377.5,342.5,365,1064400,"2020-09-16","HOMI"
365,365,340,342.5,947600,"2020-09-17","HOMI"
342.5,350,322.5,330,1621800,"2020-09-18","HOMI"
320,347.5,310,310,1683000,"2020-09-21","HOMI"
325,340,292.5,340,2561400,"2020-09-22","HOMI"
340,350,322.5,342.5,2623800,"2020-09-23","HOMI"
367.5,367.5,330,342.5,2743600,"2020-09-24","HOMI"
367.5,367.5,342.5,342.5,3181200,"2020-09-25","HOMI"
367.5,367.5,332.5,352.5,3080200,"2020-09-28","HOMI"
377.5,377.5,357.5,372.5,3289800,"2020-09-29","HOMI"
380,395,367.5,395,2498800,"2020-09-30","HOMI"
420,482.5,400,477.5,3247400,"2020-10-01","HOMI"
502.5,502.5,452.5,455,2116400,"2020-10-02","HOMI"
480,490,455,487.5,2462600,"2020-10-05","HOMI"
512.5,512.5,482.5,497.5,3311000,"2020-10-06","HOMI"
512.5,512.5,480,482.5,2451200,"2020-10-07","HOMI"
507.5,510,482.5,510,2723800,"2020-10-08","HOMI"
535,535,490,495,2026000,"2020-10-09","HOMI"
520,520,490,517.5,2724400,"2020-10-12","HOMI"
542.5,542.5,492.5,497.5,2102200,"2020-10-13","HOMI"
522.5,547.5,490,492.5,2665200,"2020-10-14","HOMI"
517.5,520,497.5,520,2120400,"2020-10-15","HOMI"
525,525,497.5,500,2550800,"2020-10-16","HOMI"
525,525,492.5,497.5,2277600,"2020-10-19","HOMI"
505,505,490,492.5,2693000,"2020-10-20","HOMI"
517.5,517.5,485,485,2142200,"2020-10-21","HOMI"
510,510,470,470,2775800,"2020-10-22","HOMI"
495,547.5,460,460,2311600,"2020-10-23","HOMI"
485,505,452.5,460,2964400,"2020-10-26","HOMI"
460,510,455,455,2572800,"2020-10-27","HOMI"
455,545,455,465,2471200,"2020-11-02","HOMI"
467.5,527.5,467.5,485,2800000,"2020-11-03","HOMI"
487.5,502.5,487.5,497.5,2262800,"2020-11-04","HOMI"
497.5,505,485,500,2925000,"2020-11-05","HOMI"
500,510,500,502.5,2282200,"2020-11-06","HOMI"
505,512.5,490,495,2310600,"2020-11-09","HOMI"
520,520,495,500,2201000,"2020-11-10","HOMI"
525,525,497.5,497.5,2667400,"2020-11-11","HOMI"
522.5,522.5,487.5,507.5,2534000,"2020-11-12","HOMI"
512.5,512.5,487.5,502.5,2205600,"2020-11-13","HOMI"
527.5,527.5,497.5,497.5,2353200,"2020-11-16","HOMI"
505,505,487.5,500,2192400,"2020-11-17","HOMI"
505,505,492.5,497.5,2672200,"2020-11-18","HOMI"
522.5,522.5,492.5,492.5,2269200,"2020-11-19","HOMI"
517.5,517.5,485,500,2721000,"2020-11-20","HOMI"
525,525,495,500,2338200,"2020-11-23","HOMI"
525,525,492.5,495,2901200,"2020-11-24","HOMI"
520,520,482.5,510,2811200,"2020-11-25","HOMI"
525,525,500,512.5,2653400,"2020-11-26","HOMI"
525,525,505,507.5,2779000,"2020-11-27","HOMI"
532.5,532.5,502.5,512.5,2829200,"2020-11-30","HOMI"
537.5,537.5,507.5,522.5,2974600,"2020-12-01","HOMI"
525,545,525,545,2975400,"2020-12-02","HOMI"
570,597.5,550,560,2295000,"2020-12-03","HOMI"
565,570,550,560,2902200,"2020-12-04","HOMI"
560,570,542.5,567.5,2800600,"2020-12-07","HOMI"
592.5,592.5,562.5,575,2641800,"2020-12-08","HOMI"
600,600,557.5,580,2289000,"2020-12-10","HOMI"
592.5,592.5,575,585,2550400,"2020-12-11","HOMI"
605,625,592.5,620,2245400,"2020-12-14","HOMI"
645,645,610,610,2095600,"2020-12-15","HOMI"
635,635,590,597.5,2113600,"2020-12-16","HOMI"
622.5,622.5,575,602.5,2107000,"2020-12-17","HOMI"
620,620,577.5,612.5,2405400,"2020-12-18","HOMI"
630,630,602.5,617.5,2431400,"2020-12-21","HOMI"
642.5,642.5,610,620,2479000,"2020-12-22","HOMI"
630,630,610,622.5,2334200,"2020-12-23","HOMI"
647.5,647.5,622.5,637.5,2363400,"2020-12-28","HOMI"
662.5,662.5,622.5,650,2263000,"2020-12-29","HOMI"
675,675,650,660,2203400,"2020-12-30","HOMI"
685,685,650,662.5,3116400,"2021-01-04","HOMI"
680,682.5,655,662.5,1249000,"2021-01-05","HOMI"
687.5,700,647.5,655,1100400,"2021-01-06","HOMI"
672.5,672.5,647.5,665,1975200,"2021-01-07","HOMI"
690,690,657.5,670,1989400,"2021-01-08","HOMI"
695,695,657.5,680,2981200,"2021-01-11","HOMI"
705,705,665,690,768200,"2021-01-12","HOMI"
715,715,665,675,1690000,"2021-01-13","HOMI"
700,700,655,665,1728200,"2021-01-14","HOMI"
690,690,655,655,1310800,"2021-01-15","HOMI"
667.5,667.5,642.5,645,861000,"2021-01-18","HOMI"
670,805,647.5,747.5,878200,"2021-01-19","HOMI"
747.5,755,700,700,1772000,"2021-01-20","HOMI"
697.5,697.5,675,677.5,1061200,"2021-01-21","HOMI"
702.5,702.5,665,670,1108000,"2021-01-22","HOMI"
685,685,657.5,657.5,1012600,"2021-01-25","HOMI"
682.5,682.5,647.5,660,1425200,"2021-01-26","HOMI"
660,662.5,652.5,662.5,1299800,"2021-01-27","HOMI"
687.5,687.5,652.5,655,1597800,"2021-01-28","HOMI"
657.5,662.5,652.5,662.5,1702600,"2021-01-29","HOMI"
662.5,672.5,655,672.5,3206600,"2021-02-01","HOMI"
675,682.5,657.5,682.5,2111600,"2021-02-02","HOMI"
682.5,697.5,682.5,697.5,2555000,"2021-02-03","HOMI"
722.5,722.5,695,700,2106000,"2021-02-04","HOMI"
700,707.5,692.5,707.5,2955000,"2021-02-05","HOMI"
707.5,717.5,702.5,715,2996800,"2021-02-08","HOMI"
715,720,707.5,712.5,2821200,"2021-02-09","HOMI"
715,715,705,712.5,2525600,"2021-02-10","HOMI"
