"Open","High","Low","Close","Volume","Date","Emiten"
159,159,159,159,88600,"2021-05-24","HOPE"
214,214,214,214,3843400,"2021-05-25","HOPE"
266,266,218,266,139171200,"2021-05-27","HOPE"
274,326,248,266,117880800,"2021-05-28","HOPE"
266,266,248,248,50883900,"2021-05-31","HOPE"
240,240,232,232,49703600,"2021-06-02","HOPE"
216,216,216,216,52906900,"2021-06-03","HOPE"
202,202,202,202,39296600,"2021-06-04","HOPE"
188,188,188,188,24430900,"2021-06-07","HOPE"
188,220,175,189,198397500,"2021-06-08","HOPE"
190,204,176,178,59853000,"2021-06-09","HOPE"
179,184,167,175,36511700,"2021-06-10","HOPE"
179,183,170,175,12028100,"2021-06-11","HOPE"
175,185,171,177,49754400,"2021-06-14","HOPE"
177,180,173,176,4555300,"2021-06-15","HOPE"
175,176,165,168,5894000,"2021-06-16","HOPE"
168,218,167,204,68769000,"2021-06-17","HOPE"
204,204,190,190,21216200,"2021-06-18","HOPE"
190,198,181,181,4079800,"2021-06-21","HOPE"
181,194,176,184,4326800,"2021-06-22","HOPE"
184,184,180,180,1894600,"2021-06-23","HOPE"
180,193,178,178,1812500,"2021-06-24","HOPE"
178,183,176,176,972300,"2021-06-25","HOPE"
182,182,166,166,2355800,"2021-06-28","HOPE"
156,166,155,155,4028600,"2021-06-29","HOPE"
153,161,145,149,2791700,"2021-06-30","HOPE"
150,150,140,141,1833400,"2021-07-01","HOPE"
141,151,141,142,2559700,"2021-07-02","HOPE"
142,145,141,142,861900,"2021-07-05","HOPE"
142,142,136,139,1868400,"2021-07-06","HOPE"
138,141,133,138,11853700,"2021-07-07","HOPE"
138,139,129,136,58994200,"2021-07-08","HOPE"
136,136,127,127,48626800,"2021-07-09","HOPE"
127,131,119,120,6091600,"2021-07-12","HOPE"
118,120,115,116,3394500,"2021-07-13","HOPE"
112,119,108,108,4858000,"2021-07-14","HOPE"
101,118,101,118,2232800,"2021-07-15","HOPE"
118,121,111,118,1791200,"2021-07-16","HOPE"
118,124,113,119,2415700,"2021-07-19","HOPE"
120,160,115,157,41282800,"2021-07-21","HOPE"
159,210,157,210,139818400,"2021-07-22","HOPE"
220,240,196,197,72157900,"2021-07-23","HOPE"
190,206,184,184,27363300,"2021-07-26","HOPE"
184,184,172,172,9225500,"2021-07-27","HOPE"
163,185,160,180,14481800,"2021-07-28","HOPE"
182,224,180,214,50372800,"2021-07-29","HOPE"
220,246,210,218,62488100,"2021-07-30","HOPE"
218,230,204,204,28768600,"2021-08-02","HOPE"
204,220,191,200,38642100,"2021-08-03","HOPE"
200,204,194,194,4797700,"2021-08-04","HOPE"
194,214,181,184,23262200,"2021-08-05","HOPE"
184,191,176,182,4762300,"2021-08-06","HOPE"
184,187,173,178,5347200,"2021-08-09","HOPE"
178,208,166,166,629266000,"2021-08-10","HOPE"
155,155,155,155,3481200,"2021-08-12","HOPE"
145,145,145,145,1727000,"2021-08-13","HOPE"
135,139,135,135,18218300,"2021-08-16","HOPE"
126,126,126,126,5027400,"2021-08-18","HOPE"
118,138,118,133,134158000,"2021-08-19","HOPE"
134,179,134,179,643370300,"2021-08-20","HOPE"
182,210,167,179,574946900,"2021-08-23","HOPE"
178,212,167,167,603447800,"2021-08-24","HOPE"
165,172,156,156,91131500,"2021-08-25","HOPE"
146,159,146,146,119876600,"2021-08-26","HOPE"
146,156,138,140,89153600,"2021-08-27","HOPE"
141,152,140,142,37673500,"2021-08-30","HOPE"
142,146,135,142,31017100,"2021-08-31","HOPE"
144,156,139,156,102074400,"2021-09-01","HOPE"
158,162,149,149,134717900,"2021-09-02","HOPE"
150,160,139,139,276398200,"2021-09-03","HOPE"
130,133,130,130,24108100,"2021-09-06","HOPE"
122,135,121,134,66546400,"2021-09-07","HOPE"
134,136,125,126,35916100,"2021-09-08","HOPE"
128,132,123,125,20271900,"2021-09-09","HOPE"
125,128,119,122,17237300,"2021-09-10","HOPE"
123,129,122,124,18571100,"2021-09-13","HOPE"
125,132,123,129,33110200,"2021-09-14","HOPE"
130,152,127,138,295062300,"2021-09-15","HOPE"
140,147,134,134,92541200,"2021-09-16","HOPE"
134,139,130,133,30029200,"2021-09-17","HOPE"
134,135,130,131,11660600,"2021-09-20","HOPE"
130,133,126,129,14050000,"2021-09-21","HOPE"
129,136,129,130,31078900,"2021-09-22","HOPE"
131,135,130,131,22990000,"2021-09-23","HOPE"
133,134,127,128,12718500,"2021-09-24","HOPE"
130,130,127,127,10244600,"2021-09-27","HOPE"
127,130,123,124,22257400,"2021-09-28","HOPE"
124,130,122,125,24064900,"2021-09-29","HOPE"
125,128,125,125,8134800,"2021-09-30","HOPE"
125,129,124,125,15753800,"2021-10-01","HOPE"
126,126,122,122,14045300,"2021-10-04","HOPE"
122,128,122,124,19942100,"2021-10-05","HOPE"
125,136,122,129,145311100,"2021-10-06","HOPE"
130,135,126,127,46549800,"2021-10-07","HOPE"
129,131,124,124,11701800,"2021-10-08","HOPE"
124,139,116,116,687330700,"2021-10-11","HOPE"
108,116,108,108,129072900,"2021-10-12","HOPE"
101,118,101,110,293539900,"2021-10-13","HOPE"
110,111,104,104,40396400,"2021-10-14","HOPE"
104,107,103,104,13900000,"2021-10-15","HOPE"
105,109,102,104,25182500,"2021-10-18","HOPE"
104,108,104,104,13240200,"2021-10-19","HOPE"
104,105,102,103,10750800,"2021-10-21","HOPE"
103,104,101,102,8923500,"2021-10-22","HOPE"
102,105,102,102,11269700,"2021-10-25","HOPE"
104,104,101,102,7050400,"2021-10-26","HOPE"
102,105,102,102,10999300,"2021-10-27","HOPE"
102,104,101,103,8537200,"2021-10-28","HOPE"
103,106,103,105,18200100,"2021-10-29","HOPE"
107,107,102,103,13431400,"2021-11-01","HOPE"
103,104,102,102,5591000,"2021-11-02","HOPE"
102,104,102,102,4810400,"2021-11-03","HOPE"
102,104,102,102,5779800,"2021-11-04","HOPE"
102,110,102,104,74342100,"2021-11-05","HOPE"
105,108,102,105,23105600,"2021-11-08","HOPE"
