"Open","High","Low","Close","Volume","Date","Emiten"
178,178,178,178,55100,"2019-04-12","HRME"
240,240,240,240,118800,"2019-04-15","HRME"
300,300,300,300,357400,"2019-04-16","HRME"
300,300,300,300,0,"2019-04-17","HRME"
374,374,374,374,2252300,"2019-04-18","HRME"
374,374,374,374,0,"2019-04-19","HRME"
460,466,460,466,3229100,"2019-04-22","HRME"
580,580,565,580,8378600,"2019-04-23","HRME"
700,700,460,460,19208500,"2019-04-24","HRME"
460,460,350,440,6757000,"2019-04-25","HRME"
440,460,350,372,4454500,"2019-04-26","HRME"
360,412,358,384,3313700,"2019-04-29","HRME"
386,406,376,382,1821900,"2019-04-30","HRME"
382,382,382,382,0,"2019-05-01","HRME"
380,400,344,356,1285700,"2019-05-02","HRME"
358,358,342,342,227000,"2019-05-03","HRME"
340,340,280,310,482700,"2019-05-06","HRME"
306,324,280,320,1097500,"2019-05-07","HRME"
330,330,300,312,497200,"2019-05-08","HRME"
310,318,302,308,28800,"2019-05-09","HRME"
300,310,290,292,265000,"2019-05-10","HRME"
280,294,270,276,333700,"2019-05-13","HRME"
272,280,230,278,691700,"2019-05-14","HRME"
276,290,250,290,503800,"2019-05-15","HRME"
280,290,250,288,708600,"2019-05-16","HRME"
280,280,260,260,55000,"2019-05-17","HRME"
260,324,250,324,5324000,"2019-05-20","HRME"
326,328,290,320,1273400,"2019-05-21","HRME"
320,320,296,302,3578100,"2019-05-22","HRME"
300,300,276,276,552600,"2019-05-23","HRME"
276,316,240,260,15252500,"2019-05-24","HRME"
260,300,244,284,12305300,"2019-05-27","HRME"
290,332,272,272,7425600,"2019-05-28","HRME"
272,302,268,280,8235900,"2019-05-29","HRME"
280,280,280,280,0,"2019-05-30","HRME"
284,286,282,282,361400,"2019-05-31","HRME"
282,282,282,282,0,"2019-06-03","HRME"
282,282,282,282,0,"2019-06-04","HRME"
282,282,282,282,0,"2019-06-05","HRME"
282,282,282,282,0,"2019-06-06","HRME"
282,282,282,282,0,"2019-06-07","HRME"
284,284,268,270,803600,"2019-06-10","HRME"
268,268,264,266,586100,"2019-06-11","HRME"
266,310,266,298,7737900,"2019-06-12","HRME"
300,310,286,296,4429900,"2019-06-13","HRME"
298,312,290,292,9839000,"2019-06-14","HRME"
292,324,280,324,11175100,"2019-06-17","HRME"
324,360,312,360,12648100,"2019-06-18","HRME"
NA,NA,NA,NA,NA,"2019-06-19","HRME"
350,384,342,382,12366200,"2019-06-20","HRME"
384,402,382,400,7932000,"2019-06-21","HRME"
400,400,390,394,5271200,"2019-06-24","HRME"
394,394,382,386,4531500,"2019-06-25","HRME"
384,384,368,368,4519100,"2019-06-26","HRME"
368,370,350,350,5374300,"2019-06-27","HRME"
350,436,350,436,20380400,"2019-06-28","HRME"
440,454,432,436,8905500,"2019-07-01","HRME"
434,476,434,466,23722800,"2019-07-02","HRME"
466,580,444,580,12358300,"2019-07-03","HRME"
585,610,565,585,10197700,"2019-07-04","HRME"
585,605,535,540,10268200,"2019-07-05","HRME"
540,545,515,520,9017700,"2019-07-08","HRME"
520,560,520,525,10176700,"2019-07-09","HRME"
525,560,525,530,10835200,"2019-07-10","HRME"
530,565,530,535,12340600,"2019-07-11","HRME"
535,565,510,520,12235500,"2019-07-12","HRME"
520,560,515,530,11349300,"2019-07-15","HRME"
530,540,520,530,4621200,"2019-07-16","HRME"
530,550,525,545,12129400,"2019-07-17","HRME"
550,680,535,680,10785500,"2019-07-18","HRME"
710,710,680,690,8431300,"2019-07-19","HRME"
650,725,650,715,8053400,"2019-07-22","HRME"
755,755,700,705,11307200,"2019-07-23","HRME"
705,720,700,710,7529000,"2019-07-24","HRME"
710,785,705,775,8541400,"2019-07-25","HRME"
775,775,775,775,0,"2019-07-26","HRME"
780,780,740,755,8726700,"2019-07-29","HRME"
755,770,745,755,6005700,"2019-07-30","HRME"
755,800,740,740,9284800,"2019-07-31","HRME"
740,755,740,740,3618700,"2019-08-01","HRME"
740,755,735,740,4079200,"2019-08-02","HRME"
740,755,710,725,5478900,"2019-08-05","HRME"
720,735,700,735,4957100,"2019-08-06","HRME"
735,840,735,765,8641700,"2019-08-07","HRME"
770,790,735,775,7996800,"2019-08-08","HRME"
775,785,765,775,4375800,"2019-08-09","HRME"
780,815,780,810,6180800,"2019-08-12","HRME"
815,815,795,805,6428100,"2019-08-13","HRME"
805,840,800,840,8207200,"2019-08-14","HRME"
840,850,825,825,6465000,"2019-08-15","HRME"
825,860,825,840,9841400,"2019-08-16","HRME"
840,870,835,850,7765100,"2019-08-19","HRME"
830,870,815,840,9455900,"2019-08-20","HRME"
840,865,825,835,8854600,"2019-08-21","HRME"
835,870,835,845,7878100,"2019-08-22","HRME"
845,880,840,875,5768500,"2019-08-23","HRME"
870,900,865,870,7575900,"2019-08-26","HRME"
870,905,860,895,8075000,"2019-08-27","HRME"
895,925,880,890,8112300,"2019-08-28","HRME"
890,920,870,885,13428600,"2019-08-29","HRME"
885,920,880,915,11195200,"2019-08-30","HRME"
915,925,890,895,9734500,"2019-09-02","HRME"
895,915,840,890,12310700,"2019-09-03","HRME"
890,925,885,920,10385900,"2019-09-04","HRME"
920,945,920,925,10929100,"2019-09-05","HRME"
920,950,920,940,10754800,"2019-09-06","HRME"
940,960,930,935,11312000,"2019-09-09","HRME"
930,935,920,925,9665700,"2019-09-10","HRME"
925,970,920,970,12067800,"2019-09-11","HRME"
975,985,970,970,11283200,"2019-09-12","HRME"
970,985,945,955,11110500,"2019-09-13","HRME"
960,980,940,955,11899000,"2019-09-16","HRME"
955,990,950,985,11711200,"2019-09-17","HRME"
990,1000,955,960,13596500,"2019-09-18","HRME"
960,1000,960,1000,11439500,"2019-09-19","HRME"
1000,1020,970,985,11963300,"2019-09-20","HRME"
985,1045,980,1010,14797500,"2019-09-23","HRME"
1015,1050,1010,1035,14245100,"2019-09-24","HRME"
1040,1060,1020,1025,15150200,"2019-09-25","HRME"
1025,1055,1025,1035,12408500,"2019-09-26","HRME"
1035,1060,1020,1020,12722300,"2019-09-27","HRME"
1020,1045,1000,1005,13489100,"2019-09-30","HRME"
1005,1030,985,1010,13642400,"2019-10-01","HRME"
1015,1030,990,1000,12570200,"2019-10-02","HRME"
1000,1015,970,995,13782800,"2019-10-03","HRME"
995,1020,995,1020,11335300,"2019-10-04","HRME"
1020,1040,1015,1015,12655700,"2019-10-07","HRME"
1015,1035,1010,1015,12090100,"2019-10-08","HRME"
1015,1035,1000,1010,13985000,"2019-10-09","HRME"
1010,1030,1000,1015,14982400,"2019-10-10","HRME"
1020,1060,1010,1060,14674600,"2019-10-11","HRME"
1065,1105,1050,1100,23030400,"2019-10-14","HRME"
1105,1110,1075,1080,12989000,"2019-10-15","HRME"
1065,1120,985,995,18814300,"2019-10-16","HRME"
995,1020,890,975,23102500,"2019-10-17","HRME"
975,1015,975,1005,14930400,"2019-10-18","HRME"
1005,1030,1005,1030,15637500,"2019-10-21","HRME"
1035,1070,1030,1070,17002100,"2019-10-22","HRME"
1075,1095,1050,1055,15034500,"2019-10-23","HRME"
1055,1075,1055,1055,14134500,"2019-10-24","HRME"
1060,1060,1020,1040,14649000,"2019-10-25","HRME"
1040,1055,1025,1025,15160800,"2019-10-28","HRME"
1025,1045,1020,1030,25397400,"2019-10-29","HRME"
1030,1045,1010,1020,16575100,"2019-10-30","HRME"
1020,1035,1005,1015,10594800,"2019-10-31","HRME"
1015,1020,995,1005,12321100,"2019-11-01","HRME"
1005,1025,1000,1010,32046100,"2019-11-04","HRME"
1010,1015,985,985,11304300,"2019-11-05","HRME"
985,995,980,985,7714200,"2019-11-06","HRME"
985,995,965,980,10425800,"2019-11-07","HRME"
980,995,980,990,28153800,"2019-11-08","HRME"
990,1005,975,975,13542200,"2019-11-11","HRME"
975,995,975,985,13492000,"2019-11-12","HRME"
985,1010,985,1010,18513500,"2019-11-13","HRME"
1015,1040,1010,1015,19878000,"2019-11-14","HRME"
1015,1025,1005,1020,17161700,"2019-11-15","HRME"
1020,1030,1015,1020,18896000,"2019-11-18","HRME"
1020,1035,1010,1030,18522700,"2019-11-19","HRME"
1030,1035,1020,1025,18615100,"2019-11-20","HRME"
1025,1035,1015,1020,20483800,"2019-11-21","HRME"
1020,1035,1010,1025,19706500,"2019-11-22","HRME"
1025,1035,1020,1025,18599500,"2019-11-25","HRME"
1025,1035,1020,1030,15809100,"2019-11-26","HRME"
1030,1055,1020,1035,14489600,"2019-11-27","HRME"
1035,1045,1010,1020,15674400,"2019-11-28","HRME"
1020,1030,1010,1025,12943700,"2019-11-29","HRME"
1025,1040,1020,1035,15266000,"2019-12-02","HRME"
1035,1050,1030,1035,12392300,"2019-12-03","HRME"
1035,1045,1025,1030,15019000,"2019-12-04","HRME"
1030,1030,1015,1015,12270200,"2019-12-05","HRME"
1015,1030,1010,1025,17053900,"2019-12-06","HRME"
1025,1040,1025,1030,14737200,"2019-12-09","HRME"
1030,1045,1025,1030,14855900,"2019-12-10","HRME"
1030,1045,1030,1035,14373200,"2019-12-11","HRME"
1035,1070,1030,1065,20651400,"2019-12-12","HRME"
1065,1100,1060,1085,20867600,"2019-12-13","HRME"
1090,1095,1080,1080,16642700,"2019-12-16","HRME"
1080,1090,1075,1075,13278700,"2019-12-17","HRME"
1075,1160,1075,1160,26699000,"2019-12-18","HRME"
1160,1210,1155,1195,22938600,"2019-12-19","HRME"
1195,1220,1190,1200,15774200,"2019-12-20","HRME"
1200,1240,1195,1240,13626600,"2019-12-23","HRME"
1240,1295,1240,1270,24406100,"2019-12-26","HRME"
1270,1285,955,1000,17320600,"2019-12-27","HRME"
1000,1000,750,860,25983800,"2019-12-30","HRME"
860,880,830,880,26150200,"2020-01-02","HRME"
880,925,880,920,36564100,"2020-01-03","HRME"
925,955,915,955,30001300,"2020-01-06","HRME"
955,970,950,965,29729700,"2020-01-07","HRME"
965,1005,965,1005,22373300,"2020-01-08","HRME"
1010,1040,995,1000,26235100,"2020-01-09","HRME"
1000,1020,1000,1010,22689800,"2020-01-10","HRME"
1010,1030,1000,1000,26129900,"2020-01-13","HRME"
1000,1020,985,1000,22287800,"2020-01-14","HRME"
1000,1010,990,995,32220000,"2020-01-15","HRME"
995,1010,985,990,26979000,"2020-01-16","HRME"
990,995,975,980,32580200,"2020-01-17","HRME"
970,1000,970,995,28432300,"2020-01-20","HRME"
990,1005,985,995,26105100,"2020-01-21","HRME"
1000,1055,1000,1025,23297900,"2020-01-22","HRME"
1025,1045,1020,1040,25508700,"2020-01-23","HRME"
1040,1065,1040,1045,26469900,"2020-01-24","HRME"
1045,1055,1020,1020,26278600,"2020-01-27","HRME"
1015,1030,1010,1030,27048800,"2020-01-28","HRME"
1030,1050,1025,1035,29115900,"2020-01-29","HRME"
1035,1035,780,1025,28076700,"2020-01-30","HRME"
1025,1050,1025,1045,31291000,"2020-01-31","HRME"
1045,1050,1020,1035,25308000,"2020-02-03","HRME"
1035,1045,1030,1035,30513300,"2020-02-04","HRME"
1035,1050,1030,1050,29432500,"2020-02-05","HRME"
1050,1100,1045,1090,45839400,"2020-02-06","HRME"
1095,1140,1085,1130,43279900,"2020-02-07","HRME"
1125,1145,990,1040,46297000,"2020-02-10","HRME"
1040,1040,940,980,50536400,"2020-02-11","HRME"
980,980,915,970,59592200,"2020-02-12","HRME"
970,985,940,985,49084300,"2020-02-13","HRME"
990,990,910,925,54718300,"2020-02-14","HRME"
925,945,910,935,43039300,"2020-02-17","HRME"
940,950,930,945,53543600,"2020-02-18","HRME"
945,945,920,940,46539000,"2020-02-19","HRME"
940,970,940,950,65714100,"2020-02-20","HRME"
950,965,930,945,52339200,"2020-02-21","HRME"
945,960,935,935,69353200,"2020-02-24","HRME"
935,945,930,940,48411500,"2020-02-25","HRME"
945,985,935,950,62144600,"2020-02-26","HRME"
955,955,900,910,52870200,"2020-02-27","HRME"
910,920,890,905,67435200,"2020-02-28","HRME"
905,920,905,905,56617800,"2020-03-02","HRME"
905,960,900,940,67683900,"2020-03-03","HRME"
940,965,940,950,57585800,"2020-03-04","HRME"
955,965,940,965,68654700,"2020-03-05","HRME"
960,965,920,920,58281700,"2020-03-06","HRME"
