"Open","High","Low","Close","Volume","Date","Emiten"
660,660,500,660,12014800,"2019-12-05","IFSH"
700,710,575,650,6781600,"2019-12-06","IFSH"
650,670,575,670,3646100,"2019-12-09","IFSH"
675,675,620,645,638400,"2019-12-10","IFSH"
625,710,620,655,2466700,"2019-12-11","IFSH"
655,670,640,645,350600,"2019-12-12","IFSH"
645,655,625,630,217200,"2019-12-13","IFSH"
635,700,635,635,331500,"2019-12-16","IFSH"
655,655,600,610,190900,"2019-12-17","IFSH"
615,615,570,570,114500,"2019-12-18","IFSH"
570,620,555,565,53400,"2019-12-19","IFSH"
565,620,540,565,46100,"2019-12-20","IFSH"
610,610,550,585,38500,"2019-12-23","IFSH"
585,585,535,565,93600,"2019-12-26","IFSH"
565,635,535,630,106900,"2019-12-27","IFSH"
630,630,570,590,18200,"2019-12-30","IFSH"
600,650,560,645,83000,"2020-01-02","IFSH"
635,635,580,580,15000,"2020-01-03","IFSH"
580,625,580,580,7500,"2020-01-06","IFSH"
580,580,550,580,33100,"2020-01-07","IFSH"
570,570,520,560,71800,"2020-01-08","IFSH"
560,560,505,540,37900,"2020-01-09","IFSH"
510,550,510,540,23000,"2020-01-10","IFSH"
540,540,490,500,25700,"2020-01-13","IFSH"
500,520,442,462,54000,"2020-01-14","IFSH"
500,500,460,460,26800,"2020-01-15","IFSH"
500,505,500,505,29300,"2020-01-16","IFSH"
500,500,462,468,9000,"2020-01-17","IFSH"
468,500,468,468,18200,"2020-01-20","IFSH"
488,500,470,488,11200,"2020-01-21","IFSH"
486,486,486,486,6100,"2020-01-22","IFSH"
486,486,486,486,0,"2020-01-23","IFSH"
500,510,488,500,16200,"2020-01-24","IFSH"
490,490,490,490,200,"2020-01-27","IFSH"
490,500,490,500,300,"2020-01-28","IFSH"
500,500,500,500,0,"2020-01-29","IFSH"
490,490,490,490,50000,"2020-01-30","IFSH"
490,490,480,480,296700,"2020-01-31","IFSH"
458,460,450,460,34600,"2020-02-03","IFSH"
490,490,488,488,600,"2020-02-04","IFSH"
480,488,480,488,2000,"2020-02-05","IFSH"
488,488,488,488,0,"2020-02-06","IFSH"
500,500,480,480,2100,"2020-02-07","IFSH"
480,480,480,480,300,"2020-02-10","IFSH"
500,500,400,470,600,"2020-02-11","IFSH"
470,470,470,470,0,"2020-02-12","IFSH"
470,470,470,470,0,"2020-02-13","IFSH"
470,470,470,470,200,"2020-02-14","IFSH"
468,468,370,444,2700,"2020-02-17","IFSH"
444,446,420,446,2700,"2020-02-18","IFSH"
460,472,390,470,12400,"2020-02-19","IFSH"
478,478,470,476,1700,"2020-02-20","IFSH"
480,480,480,480,1200,"2020-02-21","IFSH"
480,490,480,480,120200,"2020-02-24","IFSH"
476,476,476,476,100,"2020-02-25","IFSH"
476,500,476,476,75400,"2020-02-26","IFSH"
480,480,460,460,60600,"2020-02-27","IFSH"
460,460,460,460,100,"2020-02-28","IFSH"
448,448,442,442,600,"2020-03-02","IFSH"
442,500,442,480,15200,"2020-03-03","IFSH"
490,490,460,460,6600,"2020-03-04","IFSH"
460,500,460,500,77500,"2020-03-05","IFSH"
470,470,460,460,26900,"2020-03-06","IFSH"
460,480,430,430,7500,"2020-03-09","IFSH"
500,500,388,440,98600,"2020-03-10","IFSH"
396,396,396,396,21100,"2020-03-11","IFSH"
358,358,358,358,400,"2020-03-12","IFSH"
334,440,334,440,700,"2020-03-13","IFSH"
438,440,438,440,2000,"2020-03-16","IFSH"
440,440,440,440,0,"2020-03-17","IFSH"
440,440,440,440,0,"2020-03-18","IFSH"
450,450,410,410,400,"2020-03-19","IFSH"
382,382,382,382,100,"2020-03-20","IFSH"
382,382,382,382,0,"2020-03-23","IFSH"
382,382,382,382,0,"2020-03-24","IFSH"
