"Open","High","Low","Close","Volume","Date","Emiten"
3230,3250,3100,3230,3240000,"2007-01-02","INCO"
2985,3210,2980,2985,15730000,"2007-01-03","INCO"
2995,3085,2985,2995,8655000,"2007-01-04","INCO"
3005,3060,3000,3005,5220000,"2007-01-05","INCO"
2955,3005,2940,2955,3220000,"2007-01-08","INCO"
2900,2970,2855,2900,5715000,"2007-01-09","INCO"
2900,2900,2900,2900,0,"2007-01-10","INCO"
2695,2810,2690,2695,9590000,"2007-01-11","INCO"
2775,2820,2530,2775,12730000,"2007-01-12","INCO"
2860,2865,2800,2860,3330000,"2007-01-15","INCO"
3015,3020,2865,3015,7230000,"2007-01-16","INCO"
3025,3130,3020,3025,8280000,"2007-01-17","INCO"
3155,3160,3100,3155,6400000,"2007-01-18","INCO"
3280,3320,3120,3280,10070000,"2007-01-19","INCO"
3485,3485,3300,3485,13330000,"2007-01-22","INCO"
3580,3650,3490,3580,8460000,"2007-01-23","INCO"
3560,3610,3490,3560,6560000,"2007-01-24","INCO"
3420,3560,3410,3420,4665000,"2007-01-25","INCO"
3450,3470,3350,3450,1060000,"2007-01-26","INCO"
3450,3460,3400,3450,855000,"2007-01-29","INCO"
3420,3500,3400,3420,6725000,"2007-01-30","INCO"
3300,3400,3280,3300,4505000,"2007-01-31","INCO"
3250,3350,3240,3250,9110000,"2007-02-01","INCO"
3280,3350,3330,3280,2780000,"2007-02-02","INCO"
3350,3385,3300,3350,7850000,"2007-02-05","INCO"
3365,3385,3345,3365,5890000,"2007-02-06","INCO"
3350,3455,3350,3350,8705000,"2007-02-07","INCO"
3550,3550,3355,3550,8020000,"2007-02-08","INCO"
3530,3570,3520,3530,3730000,"2007-02-09","INCO"
3605,3620,3500,3605,9110000,"2007-02-12","INCO"
3795,3835,3595,3795,9595000,"2007-02-13","INCO"
4005,4045,3815,4005,12285000,"2007-02-14","INCO"
4170,4360,4030,4170,8720000,"2007-02-15","INCO"
4295,4420,4200,4295,12025000,"2007-02-16","INCO"
4220,4300,4205,4220,615000,"2007-02-19","INCO"
4220,4230,4140,4220,910000,"2007-02-20","INCO"
4195,4250,4170,4195,6375000,"2007-02-21","INCO"
4145,4260,4140,4145,10580000,"2007-02-22","INCO"
4085,4145,4040,4085,15740000,"2007-02-23","INCO"
4150,4150,4100,4150,14630000,"2007-02-26","INCO"
4000,4200,3950,4000,13340000,"2007-02-27","INCO"
3880,3930,3800,3880,7e+06,"2007-02-28","INCO"
3910,3920,3880,3910,11085000,"2007-03-01","INCO"
3910,3980,3900,3910,8395000,"2007-03-02","INCO"
3915,3940,3800,3915,5520000,"2007-03-05","INCO"
4050,4130,3910,4050,3940000,"2007-03-06","INCO"
4250,4250,4060,4250,5335000,"2007-03-07","INCO"
4490,4550,4270,4490,12665000,"2007-03-08","INCO"
4490,4630,4460,4490,13950000,"2007-03-09","INCO"
4510,4560,4500,4510,6900000,"2007-03-12","INCO"
4680,4700,4495,4680,9515000,"2007-03-13","INCO"
4580,4670,4545,4580,7910000,"2007-03-14","INCO"
4755,4780,4650,4755,10675000,"2007-03-15","INCO"
5075,5370,4800,5075,18050000,"2007-03-16","INCO"
5000,5200,4950,5000,15620000,"2007-03-20","INCO"
4770,4950,4765,4770,10675000,"2007-03-21","INCO"
5000,5000,4690,5000,11555000,"2007-03-22","INCO"
4915,5025,4900,4915,7370000,"2007-03-23","INCO"
