"Open","High","Low","Close","Volume","Date","Emiten"
1364,1374,1344,1374,6784500,"2007-01-02","INDF"
1374,1394,1354,1384,29472000,"2007-01-03","INDF"
1384,1404,1374,1374,38664500,"2007-01-04","INDF"
1374,1394,1364,1394,8679000,"2007-01-05","INDF"
1394,1414,1354,1414,27538000,"2007-01-08","INDF"
1424,1444,1364,1404,35892000,"2007-01-09","INDF"
1384,1384,1344,1354,39002500,"2007-01-10","INDF"
1354,1364,1314,1334,30596000,"2007-01-11","INDF"
1344,1344,1274,1314,31467000,"2007-01-12","INDF"
1324,1424,1324,1414,71877504,"2007-01-15","INDF"
1424,1424,1394,1414,10709500,"2007-01-16","INDF"
1414,1533,1414,1533,164084992,"2007-01-17","INDF"
1543,1563,1513,1533,35995000,"2007-01-18","INDF"
1533,1583,1533,1583,36248500,"2007-01-19","INDF"
1583,1583,1533,1543,16735500,"2007-01-22","INDF"
1533,1533,1513,1523,23875500,"2007-01-23","INDF"
1523,1593,1523,1593,41024500,"2007-01-24","INDF"
1593,1613,1563,1563,31560500,"2007-01-25","INDF"
1533,1563,1523,1553,18113500,"2007-01-26","INDF"
1553,1723,1553,1683,112527504,"2007-01-29","INDF"
1703,1713,1663,1683,42138500,"2007-01-30","INDF"
1683,1693,1653,1683,28275000,"2007-01-31","INDF"
1693,1752,1673,1742,41116500,"2007-02-01","INDF"
1742,1742,1693,1703,6006500,"2007-02-02","INDF"
1713,1772,1703,1723,39535500,"2007-02-05","INDF"
1723,1752,1723,1732,10875000,"2007-02-06","INDF"
1752,1752,1723,1742,13891500,"2007-02-07","INDF"
1742,1792,1732,1792,54287000,"2007-02-08","INDF"
1792,1802,1752,1762,13626500,"2007-02-09","INDF"
1732,1752,1703,1713,18637000,"2007-02-12","INDF"
1703,1703,1663,1673,21450000,"2007-02-13","INDF"
1683,1713,1633,1653,32348000,"2007-02-14","INDF"
1673,1703,1653,1673,49952500,"2007-02-15","INDF"
1673,1693,1663,1673,8305000,"2007-02-16","INDF"
1683,1713,1673,1703,8285000,"2007-02-19","INDF"
1703,1703,1663,1673,9316500,"2007-02-20","INDF"
1683,1713,1683,1693,43158000,"2007-02-21","INDF"
1693,1703,1653,1653,24027000,"2007-02-22","INDF"
1643,1653,1623,1623,15179000,"2007-02-23","INDF"
1623,1623,1563,1583,39217500,"2007-02-26","INDF"
1583,1613,1573,1583,38087000,"2007-02-27","INDF"
1494,1553,1444,1553,39119500,"2007-02-28","INDF"
1563,1573,1543,1563,13913500,"2007-03-01","INDF"
1553,1563,1543,1543,4248500,"2007-03-02","INDF"
1533,1543,1474,1484,19571500,"2007-03-05","INDF"
1513,1533,1503,1533,3589500,"2007-03-06","INDF"
1533,1533,1494,1503,13606000,"2007-03-07","INDF"
1503,1503,1503,1503,9895000,"2007-03-08","INDF"
1513,1523,1474,1484,4918000,"2007-03-09","INDF"
1494,1513,1484,1503,12126500,"2007-03-12","INDF"
1503,1503,1484,1494,16889500,"2007-03-13","INDF"
1474,1484,1464,1464,11142500,"2007-03-14","INDF"
1484,1484,1424,1444,24305500,"2007-03-15","INDF"
1444,1444,1404,1414,22027500,"2007-03-16","INDF"
1424,1424,1374,1384,35182000,"2007-03-20","INDF"
1384,1394,1364,1394,37351500,"2007-03-21","INDF"
