"Open","High","Low","Close","Volume","Adjusted","Date","Emiten"
950,950,930,950,1278500,841.011353,"2007-01-02","INKP"
950,980,950,950,8971000,841.011353,"2007-01-03","INKP"
940,970,940,940,3746000,832.15863,"2007-01-04","INKP"
950,960,930,950,5592000,841.011353,"2007-01-05","INKP"
940,950,940,940,1356000,832.15863,"2007-01-08","INKP"
920,950,920,920,6441000,814.453064,"2007-01-09","INKP"
890,890,890,890,5840000,787.894775,"2007-01-10","INKP"
890,910,880,890,1825500,787.894775,"2007-01-11","INKP"
870,900,850,870,6532500,770.189392,"2007-01-12","INKP"
900,910,880,900,4860000,796.74762,"2007-01-15","INKP"
910,910,900,910,3761000,805.600342,"2007-01-16","INKP"
900,910,900,900,1599500,796.74762,"2007-01-17","INKP"
930,930,900,930,3743500,823.305847,"2007-01-18","INKP"
930,930,920,930,4353000,823.305847,"2007-01-19","INKP"
930,930,920,930,1770000,823.305847,"2007-01-22","INKP"
920,930,910,920,1367000,814.453064,"2007-01-23","INKP"
920,920,900,920,779000,814.453064,"2007-01-24","INKP"
900,910,890,900,3401500,796.74762,"2007-01-25","INKP"
900,900,880,900,2326500,796.74762,"2007-01-26","INKP"
910,920,890,910,2963000,805.600342,"2007-01-29","INKP"
890,910,890,890,1654500,787.894775,"2007-01-30","INKP"
870,900,870,870,10390500,770.189392,"2007-01-31","INKP"
870,880,860,870,12371000,770.189392,"2007-02-01","INKP"
880,880,880,880,6650000,779.042053,"2007-02-02","INKP"
900,920,870,900,13210500,796.74762,"2007-02-05","INKP"
950,970,900,950,49243500,841.011353,"2007-02-06","INKP"
920,960,910,920,11543500,814.453064,"2007-02-07","INKP"
900,920,900,900,11073500,796.74762,"2007-02-08","INKP"
900,910,890,900,3748500,796.74762,"2007-02-09","INKP"
910,910,890,910,6274500,805.600342,"2007-02-12","INKP"
900,920,900,900,1171500,796.74762,"2007-02-13","INKP"
900,910,890,900,2583500,796.74762,"2007-02-14","INKP"
910,910,900,910,3889500,805.600342,"2007-02-15","INKP"
910,910,890,890,2757000,787.894775,"2007-02-16","INKP"
890,910,890,890,1578500,787.894775,"2007-02-19","INKP"
900,910,890,900,2367500,796.74762,"2007-02-20","INKP"
890,910,890,890,7039000,787.894775,"2007-02-21","INKP"
890,900,890,890,4549500,787.894775,"2007-02-22","INKP"
910,910,890,910,2011000,805.600342,"2007-02-23","INKP"
890,900,890,890,238000,787.894775,"2007-02-26","INKP"
900,920,900,900,12756500,796.74762,"2007-02-27","INKP"
890,890,850,890,10042000,787.894775,"2007-02-28","INKP"
890,890,870,890,3462500,787.894775,"2007-03-01","INKP"
870,880,870,870,1009500,770.189392,"2007-03-02","INKP"
840,870,840,840,7806500,743.631165,"2007-03-05","INKP"
850,860,850,850,1885500,752.483765,"2007-03-06","INKP"
850,860,850,850,1325000,752.483765,"2007-03-07","INKP"
880,900,840,880,8930000,779.042053,"2007-03-08","INKP"
890,900,880,890,1515000,787.894775,"2007-03-09","INKP"
900,900,880,900,2563500,796.74762,"2007-03-12","INKP"
880,900,880,880,977500,779.042053,"2007-03-13","INKP"
860,870,860,860,2569500,761.336609,"2007-03-14","INKP"
870,870,860,870,1489500,770.189392,"2007-03-15","INKP"
860,870,860,860,2655500,761.336609,"2007-03-16","INKP"
860,870,860,860,1849500,761.336609,"2007-03-20","INKP"
850,860,850,850,960500,752.483765,"2007-03-21","INKP"
860,870,860,860,5566500,761.336609,"2007-03-22","INKP"
860,860,850,860,2467500,761.336609,"2007-03-23","INKP"
860,860,860,860,1532500,761.336609,"2007-03-26","INKP"
860,860,850,860,936500,761.336609,"2007-03-27","INKP"
850,860,850,850,2157000,752.483765,"2007-03-28","INKP"
870,880,860,870,6374000,770.189392,"2007-03-29","INKP"
870,870,870,870,1285000,770.189392,"2007-03-30","INKP"
860,860,860,860,933000,761.336609,"2007-04-02","INKP"
890,910,870,890,16382000,787.894775,"2007-04-03","INKP"
870,900,870,870,10270000,770.189392,"2007-04-04","INKP"
870,880,870,870,1847000,770.189392,"2007-04-05","INKP"
880,880,870,880,1349000,779.042053,"2007-04-09","INKP"
870,870,870,870,2283500,770.189392,"2007-04-10","INKP"
860,870,850,860,16710500,761.336609,"2007-04-11","INKP"
860,860,850,850,6974000,752.483765,"2007-04-12","INKP"
850,860,850,850,3981000,752.483765,"2007-04-13","INKP"
860,860,850,860,4903500,761.336609,"2007-04-16","INKP"
