"Open","High","Low","Close","Volume","Date","Emiten"
5750,5800,5700,5750,508000,"2007-01-02","INTP"
5800,5800,5750,5800,891000,"2007-01-03","INTP"
5650,5800,5650,5650,772000,"2007-01-04","INTP"
5600,5650,5450,5600,2076000,"2007-01-05","INTP"
5700,5700,5500,5700,296000,"2007-01-08","INTP"
5550,5800,5500,5550,1486000,"2007-01-09","INTP"
5500,5500,5300,5350,3104500,"2007-01-10","INTP"
5350,5450,5350,5350,1836000,"2007-01-11","INTP"
5200,5400,5150,5200,4432000,"2007-01-12","INTP"
5550,5550,5250,5550,4976000,"2007-01-15","INTP"
5350,5500,5200,5350,9041500,"2007-01-16","INTP"
5350,5350,5300,5350,2421000,"2007-01-17","INTP"
5600,5650,5350,5600,3480500,"2007-01-18","INTP"
5650,5700,5600,5650,1373500,"2007-01-19","INTP"
5750,5750,5650,5750,1824500,"2007-01-22","INTP"
5600,5650,5550,5600,1201500,"2007-01-23","INTP"
5650,5650,5350,5650,3530000,"2007-01-24","INTP"
5350,5450,5200,5350,7640500,"2007-01-25","INTP"
5350,5350,5100,5350,8445000,"2007-01-26","INTP"
5150,5300,5150,5150,2285000,"2007-01-29","INTP"
5200,5250,5150,5200,2118500,"2007-01-30","INTP"
5350,5350,5200,5350,658000,"2007-01-31","INTP"
5300,5400,5300,5300,1293000,"2007-02-01","INTP"
5150,5400,5300,5150,2113000,"2007-02-02","INTP"
5250,5300,5150,5250,790000,"2007-02-05","INTP"
5350,5350,5200,5350,1399500,"2007-02-06","INTP"
5400,5400,5300,5400,5185500,"2007-02-07","INTP"
5200,5350,5200,5200,634000,"2007-02-08","INTP"
5200,5250,5150,5200,1806500,"2007-02-09","INTP"
5250,5300,5200,5250,1109000,"2007-02-12","INTP"
5150,5250,5150,5150,929000,"2007-02-13","INTP"
4950,5250,4950,4950,4785000,"2007-02-14","INTP"
5150,5175,5050,5150,4827500,"2007-02-15","INTP"
5150,5550,5150,5450,10924000,"2007-02-16","INTP"
5650,5750,5500,5650,5634000,"2007-02-19","INTP"
5550,5700,5500,5550,658000,"2007-02-20","INTP"
5600,5650,5550,5600,2031500,"2007-02-21","INTP"
5600,5750,5600,5600,2679000,"2007-02-22","INTP"
5700,5700,5500,5700,1099000,"2007-02-23","INTP"
