"Open","High","Low","Close","Volume","Date","Emiten"
1750,1750,1645,1715,38058200,"2018-07-09","IPCC"
1720,1720,1600,1650,13797800,"2018-07-10","IPCC"
1650,1650,1620,1650,4746800,"2018-07-11","IPCC"
1655,1655,1615,1650,2103400,"2018-07-12","IPCC"
1645,1645,1620,1645,1545800,"2018-07-13","IPCC"
1645,1645,1620,1630,5209800,"2018-07-16","IPCC"
1625,1640,1605,1640,4192400,"2018-07-17","IPCC"
1640,1640,1615,1640,4832300,"2018-07-18","IPCC"
1640,1645,1625,1645,3113400,"2018-07-19","IPCC"
1640,1645,1635,1645,2766400,"2018-07-20","IPCC"
1645,1645,1625,1645,1548000,"2018-07-23","IPCC"
1645,1650,1635,1645,893900,"2018-07-24","IPCC"
1645,1675,1630,1675,1709800,"2018-07-25","IPCC"
1665,1690,1665,1685,943800,"2018-07-26","IPCC"
1690,1690,1670,1680,699200,"2018-07-27","IPCC"
1675,1680,1645,1650,537100,"2018-07-30","IPCC"
1650,1690,1635,1690,592100,"2018-07-31","IPCC"
1690,1690,1635,1660,387700,"2018-08-01","IPCC"
1660,1670,1655,1660,1723500,"2018-08-02","IPCC"
1670,1675,1640,1660,404800,"2018-08-03","IPCC"
1640,1640,1635,1640,261600,"2018-08-06","IPCC"
1635,1635,1630,1630,1730500,"2018-08-07","IPCC"
1630,1630,1605,1605,179900,"2018-08-08","IPCC"
1605,1640,1590,1640,2042100,"2018-08-09","IPCC"
1620,1640,1600,1640,1058900,"2018-08-10","IPCC"
1620,1620,1515,1610,2057900,"2018-08-13","IPCC"
1600,1600,1450,1600,1304600,"2018-08-14","IPCC"
1590,1590,1510,1570,480900,"2018-08-15","IPCC"
1570,1570,1520,1520,23800,"2018-08-16","IPCC"
1520,1520,1520,1520,0,"2018-08-17","IPCC"
1525,1530,1505,1510,66700,"2018-08-20","IPCC"
1500,1500,1475,1480,232600,"2018-08-21","IPCC"
1480,1480,1480,1480,0,"2018-08-22","IPCC"
1485,1485,1435,1435,295400,"2018-08-23","IPCC"
1435,1530,1350,1530,1780500,"2018-08-24","IPCC"
1500,1500,1435,1485,1329700,"2018-08-27","IPCC"
1485,1500,1425,1500,298300,"2018-08-28","IPCC"
1445,1600,1430,1600,1065400,"2018-08-29","IPCC"
1600,1600,1505,1505,298600,"2018-08-30","IPCC"
1440,1495,1435,1435,246600,"2018-08-31","IPCC"
1420,1490,1370,1370,544700,"2018-09-03","IPCC"
1370,1370,1300,1300,584100,"2018-09-04","IPCC"
1350,1350,1100,1120,618900,"2018-09-05","IPCC"
1120,1185,995,1125,3481400,"2018-09-06","IPCC"
1125,1200,1095,1140,1890500,"2018-09-07","IPCC"
1125,1200,1125,1190,1614200,"2018-09-10","IPCC"
1190,1190,1190,1190,0,"2018-09-11","IPCC"
1190,1435,1190,1395,2243800,"2018-09-12","IPCC"
1420,1500,1420,1485,2997000,"2018-09-13","IPCC"
1500,1525,1485,1495,3008500,"2018-09-14","IPCC"
1495,1495,1370,1380,596000,"2018-09-17","IPCC"
1380,1485,1375,1485,2892400,"2018-09-18","IPCC"
1485,1525,1460,1525,2438400,"2018-09-19","IPCC"
1520,1625,1515,1585,5403100,"2018-09-20","IPCC"
1580,1580,1545,1580,2813800,"2018-09-21","IPCC"
1600,1610,1550,1595,6599600,"2018-09-24","IPCC"
1595,1680,1580,1680,16197500,"2018-09-25","IPCC"
1650,1680,1640,1670,4444100,"2018-09-26","IPCC"
1665,1670,1610,1610,1410100,"2018-09-27","IPCC"
1650,1650,1610,1640,2231800,"2018-09-28","IPCC"
1645,1650,1635,1635,765100,"2018-10-01","IPCC"
1650,1650,1610,1610,722000,"2018-10-02","IPCC"
1650,1650,1610,1620,199300,"2018-10-03","IPCC"
1640,1650,1625,1625,1021800,"2018-10-04","IPCC"
1625,1650,1550,1650,419400,"2018-10-05","IPCC"
1650,1650,1500,1500,1367400,"2018-10-08","IPCC"
1500,1600,1495,1600,885000,"2018-10-09","IPCC"
1570,1590,1530,1590,452100,"2018-10-10","IPCC"
1550,1585,1515,1585,153500,"2018-10-11","IPCC"
1600,1600,1570,1590,7000,"2018-10-12","IPCC"
1570,1600,1535,1550,606100,"2018-10-15","IPCC"
1585,1585,1555,1580,359400,"2018-10-16","IPCC"
1595,1595,1535,1535,1985400,"2018-10-17","IPCC"
1545,1550,1505,1535,2697800,"2018-10-18","IPCC"
1545,1600,1540,1540,1214400,"2018-10-19","IPCC"
1540,1575,1535,1535,608100,"2018-10-22","IPCC"
1535,1540,1520,1530,645600,"2018-10-23","IPCC"
1530,1570,1490,1550,1234500,"2018-10-24","IPCC"
1550,1760,1520,1760,13370900,"2018-10-25","IPCC"
1760,1760,1590,1590,996100,"2018-10-26","IPCC"
1590,1605,1555,1555,1322500,"2018-10-29","IPCC"
1520,1550,1480,1480,201300,"2018-10-30","IPCC"
1510,1590,1490,1490,238300,"2018-10-31","IPCC"
1530,1550,1480,1485,39700,"2018-11-01","IPCC"
1500,1545,1480,1480,163500,"2018-11-02","IPCC"
1485,1545,1460,1545,185300,"2018-11-05","IPCC"
1510,1550,1480,1480,124100,"2018-11-06","IPCC"
1480,1480,1470,1470,177800,"2018-11-07","IPCC"
1480,1500,1430,1470,443300,"2018-11-08","IPCC"
1470,1470,1430,1430,122200,"2018-11-09","IPCC"
1480,1480,1410,1410,106800,"2018-11-12","IPCC"
1350,1415,1350,1400,1534300,"2018-11-13","IPCC"
1400,1420,1400,1405,369800,"2018-11-14","IPCC"
1420,1420,1395,1395,377300,"2018-11-15","IPCC"
1400,1415,1375,1415,894400,"2018-11-16","IPCC"
1415,1460,1395,1415,131400,"2018-11-19","IPCC"
1415,1415,1415,1415,0,"2018-11-20","IPCC"
1415,1500,1390,1500,549100,"2018-11-21","IPCC"
1470,1525,1440,1510,388000,"2018-11-22","IPCC"
1490,1615,1480,1615,1682700,"2018-11-23","IPCC"
1590,1645,1590,1605,1632900,"2018-11-26","IPCC"
1605,1660,1605,1660,12090400,"2018-11-27","IPCC"
1665,1665,1500,1500,147500,"2018-11-28","IPCC"
1550,1570,1520,1535,155600,"2018-11-29","IPCC"
1550,1550,1530,1530,346100,"2018-11-30","IPCC"
1540,1540,1510,1510,583200,"2018-12-03","IPCC"
1510,1530,1500,1500,496900,"2018-12-04","IPCC"
1520,1520,1500,1500,23100,"2018-12-05","IPCC"
1520,1520,1500,1510,50400,"2018-12-06","IPCC"
1570,1570,1500,1510,453700,"2018-12-07","IPCC"
1530,1530,1495,1495,93400,"2018-12-10","IPCC"
1495,1600,1495,1540,57700,"2018-12-11","IPCC"
1540,1540,1510,1540,21600,"2018-12-12","IPCC"
1500,1540,1500,1525,28600,"2018-12-13","IPCC"
1535,1590,1510,1550,90100,"2018-12-14","IPCC"
1585,1600,1540,1600,716500,"2018-12-17","IPCC"
1600,1600,1560,1590,526600,"2018-12-18","IPCC"
1580,1580,1555,1560,92200,"2018-12-19","IPCC"
1560,1560,1450,1550,625600,"2018-12-20","IPCC"
1525,1565,1525,1560,64900,"2018-12-21","IPCC"
1560,1560,1560,1560,0,"2018-12-24","IPCC"
1560,1560,1560,1560,0,"2018-12-25","IPCC"
1560,1560,1500,1560,885400,"2018-12-26","IPCC"
1560,1600,1535,1600,682400,"2018-12-27","IPCC"
1560,1640,1530,1640,6937000,"2018-12-28","IPCC"
1640,1640,1640,1640,0,"2018-12-31","IPCC"
1640,1640,1640,1640,0,"2019-01-01","IPCC"
1560,1640,1550,1580,66000,"2019-01-02","IPCC"
1570,1590,1570,1580,70200,"2019-01-03","IPCC"
1580,1620,1580,1600,236200,"2019-01-04","IPCC"
1595,1595,1550,1565,5300,"2019-01-07","IPCC"
1565,1565,1540,1540,940600,"2019-01-08","IPCC"
1540,1540,1530,1530,474500,"2019-01-09","IPCC"
1530,1540,1530,1540,170100,"2019-01-10","IPCC"
1550,1550,1540,1540,3500,"2019-01-11","IPCC"
1530,1530,1500,1500,37200,"2019-01-14","IPCC"
1500,1540,1500,1530,166600,"2019-01-15","IPCC"
1535,1535,1505,1505,96100,"2019-01-16","IPCC"
1505,1505,1500,1500,383900,"2019-01-17","IPCC"
1510,1510,1500,1510,14200,"2019-01-18","IPCC"
