"Open","High","Low","Close","Volume","Date","Emiten"
100,135,94,135,116416900,"2021-12-09","IPPE"
148,182,148,182,7818300,"2021-12-10","IPPE"
230,244,230,244,59466000,"2021-12-13","IPPE"
252,304,228,228,53711600,"2021-12-14","IPPE"
214,214,214,214,3302100,"2021-12-15","IPPE"
200,200,200,200,4714400,"2021-12-16","IPPE"
186,216,186,186,98356900,"2021-12-17","IPPE"
246,246,173,173,21150400,"2021-12-20","IPPE"
163,230,163,224,99027300,"2021-12-21","IPPE"
280,280,218,224,76586800,"2021-12-22","IPPE"
224,270,212,254,129620200,"2021-12-23","IPPE"
258,260,238,238,58343200,"2021-12-24","IPPE"
230,252,222,222,61888100,"2021-12-27","IPPE"
222,228,208,208,33794100,"2021-12-28","IPPE"
208,218,194,200,54354900,"2021-12-29","IPPE"
204,210,186,188,61760700,"2021-12-30","IPPE"
190,220,188,208,45695600,"2022-01-03","IPPE"
210,218,200,206,16401100,"2022-01-04","IPPE"
208,212,202,202,12151100,"2022-01-05","IPPE"
202,202,190,199,22463400,"2022-01-06","IPPE"
199,208,197,198,10337900,"2022-01-07","IPPE"
200,202,192,192,11655400,"2022-01-10","IPPE"
192,208,192,196,23973600,"2022-01-11","IPPE"
198,202,192,193,13086400,"2022-01-12","IPPE"
194,197,180,185,39895500,"2022-01-13","IPPE"
185,188,173,174,45011500,"2022-01-14","IPPE"
170,178,162,163,38839900,"2022-01-17","IPPE"
163,164,152,158,31062200,"2022-01-18","IPPE"
159,186,159,162,77350300,"2022-01-19","IPPE"
162,166,157,158,16293000,"2022-01-20","IPPE"
158,164,152,155,16874600,"2022-01-21","IPPE"
156,158,153,155,7680200,"2022-01-24","IPPE"
155,157,145,147,23902300,"2022-01-25","IPPE"
147,171,141,162,29795100,"2022-01-26","IPPE"
163,208,163,202,246662300,"2022-01-27","IPPE"
204,208,188,195,91831700,"2022-01-28","IPPE"
195,214,195,199,99233100,"2022-01-31","IPPE"
199,210,196,210,60423200,"2022-02-02","IPPE"
210,246,210,238,154955800,"2022-02-03","IPPE"
240,256,222,222,161219100,"2022-02-04","IPPE"
222,234,208,224,95520600,"2022-02-07","IPPE"
226,236,220,228,37656700,"2022-02-08","IPPE"
230,244,228,244,51634000,"2022-02-09","IPPE"
248,282,246,264,207135700,"2022-02-10","IPPE"
264,274,256,270,52662600,"2022-02-11","IPPE"
268,332,264,324,279785000,"2022-02-14","IPPE"
324,396,324,396,271788200,"2022-02-15","IPPE"
406,492,400,460,329420700,"2022-02-16","IPPE"
460,464,428,428,29031500,"2022-02-17","IPPE"
400,400,400,400,9999900,"2022-02-18","IPPE"
434,500,372,480,419963200,"2022-02-21","IPPE"
484,560,484,535,216990700,"2022-02-22","IPPE"
615,615,498,498,108730600,"2022-02-23","IPPE"
496,496,464,464,13213700,"2022-02-24","IPPE"
