"Open","High","Low","Close","Volume","Date","Emiten"
560,560,560,560,12325600,"2019-10-15","IRRA"
585,590,496,510,25705100,"2019-10-16","IRRA"
515,540,510,510,11038000,"2019-10-17","IRRA"
520,525,490,500,12003100,"2019-10-18","IRRA"
500,510,494,496,10187800,"2019-10-21","IRRA"
496,498,492,494,10438900,"2019-10-22","IRRA"
492,500,490,500,12822100,"2019-10-23","IRRA"
505,565,500,550,14891600,"2019-10-24","IRRA"
555,620,550,620,27771400,"2019-10-25","IRRA"
630,655,620,625,25368900,"2019-10-28","IRRA"
625,650,625,645,18500500,"2019-10-29","IRRA"
650,665,645,665,17380300,"2019-10-30","IRRA"
665,690,665,685,17927500,"2019-10-31","IRRA"
690,715,685,710,27068000,"2019-11-01","IRRA"
715,730,710,725,24485400,"2019-11-04","IRRA"
730,745,730,740,23202300,"2019-11-05","IRRA"
745,765,740,760,23867100,"2019-11-06","IRRA"
765,790,765,785,32026900,"2019-11-07","IRRA"
790,820,785,810,29480500,"2019-11-08","IRRA"
810,835,810,830,27117600,"2019-11-11","IRRA"
835,855,625,800,176937000,"2019-11-12","IRRA"
805,820,670,705,65933500,"2019-11-13","IRRA"
695,710,565,590,33765000,"2019-11-14","IRRA"
585,590,444,450,28897100,"2019-11-15","IRRA"
446,550,350,498,51187700,"2019-11-18","IRRA"
505,505,452,500,17289700,"2019-11-19","IRRA"
505,510,480,500,9501100,"2019-11-20","IRRA"
500,570,500,550,13516200,"2019-11-21","IRRA"
560,665,555,630,26886900,"2019-11-22","IRRA"
645,715,530,640,39519800,"2019-11-25","IRRA"
640,680,600,605,13425100,"2019-11-26","IRRA"
610,615,468,540,12678700,"2019-11-27","IRRA"
540,555,480,550,4299300,"2019-11-28","IRRA"
555,570,525,555,3193500,"2019-11-29","IRRA"
565,570,550,560,1605400,"2019-12-02","IRRA"
560,575,555,570,3919000,"2019-12-03","IRRA"
575,575,570,570,1439200,"2019-12-04","IRRA"
570,575,480,575,3425400,"2019-12-05","IRRA"
575,600,570,580,13318500,"2019-12-06","IRRA"
585,600,580,590,14835300,"2019-12-09","IRRA"
595,600,590,595,10332700,"2019-12-10","IRRA"
595,645,580,625,16794500,"2019-12-11","IRRA"
630,645,610,615,15078000,"2019-12-12","IRRA"
615,665,615,660,27522300,"2019-12-13","IRRA"
665,690,650,665,17601900,"2019-12-16","IRRA"
665,665,610,640,10586500,"2019-12-17","IRRA"
640,650,615,630,10082200,"2019-12-18","IRRA"
635,635,610,630,10159200,"2019-12-19","IRRA"
630,650,615,640,10312100,"2019-12-20","IRRA"
645,660,630,645,11014100,"2019-12-23","IRRA"
645,655,635,645,10595700,"2019-12-26","IRRA"
640,655,640,645,10318000,"2019-12-27","IRRA"
645,655,640,650,15715700,"2019-12-30","IRRA"
650,650,640,645,11512400,"2020-01-02","IRRA"
645,655,645,645,11760600,"2020-01-03","IRRA"
650,675,640,670,14710100,"2020-01-06","IRRA"
670,695,665,685,13719300,"2020-01-07","IRRA"
685,700,655,665,16493600,"2020-01-08","IRRA"
665,730,650,715,22814100,"2020-01-09","IRRA"
720,725,700,710,10158100,"2020-01-10","IRRA"
710,730,700,710,12312300,"2020-01-13","IRRA"
710,725,695,710,10866200,"2020-01-14","IRRA"
710,715,675,690,12199900,"2020-01-15","IRRA"
695,715,675,705,13617200,"2020-01-16","IRRA"
705,705,690,700,8939000,"2020-01-17","IRRA"
700,705,690,695,9571300,"2020-01-20","IRRA"
695,695,680,695,10020300,"2020-01-21","IRRA"
690,695,680,690,10549600,"2020-01-22","IRRA"
690,690,675,685,7198100,"2020-01-23","IRRA"
685,690,685,685,4820600,"2020-01-24","IRRA"
685,690,675,680,4591700,"2020-01-27","IRRA"
680,680,660,665,4299800,"2020-01-28","IRRA"
665,675,665,670,4454100,"2020-01-29","IRRA"
675,680,670,675,5247600,"2020-01-30","IRRA"
670,690,670,685,5558800,"2020-01-31","IRRA"
685,685,675,680,5499200,"2020-02-03","IRRA"
680,690,680,685,6301300,"2020-02-04","IRRA"
680,700,680,700,6814600,"2020-02-05","IRRA"
700,705,695,700,11439500,"2020-02-06","IRRA"
700,715,700,715,12034000,"2020-02-07","IRRA"
715,730,710,730,11480000,"2020-02-10","IRRA"
725,730,725,725,6868600,"2020-02-11","IRRA"
720,730,720,725,6353000,"2020-02-12","IRRA"
725,740,725,740,8024900,"2020-02-13","IRRA"
735,740,735,740,5508400,"2020-02-14","IRRA"
735,745,735,745,5781800,"2020-02-17","IRRA"
740,750,740,745,5429200,"2020-02-18","IRRA"
740,750,740,750,4690300,"2020-02-19","IRRA"
745,755,740,750,5297500,"2020-02-20","IRRA"
745,750,730,730,5471400,"2020-02-21","IRRA"
730,730,700,705,7336700,"2020-02-24","IRRA"
700,710,695,695,4328200,"2020-02-25","IRRA"
695,695,670,685,6219200,"2020-02-26","IRRA"
680,680,605,605,6869800,"2020-02-27","IRRA"
605,625,565,625,5282200,"2020-02-28","IRRA"
